topic,review
Simply The Best,"In Singapore for the F1 and there was a grill in the Hotel we were staying in . The Park Royal Collection Marina Bay and I decided to book a table for four.. To say we were impressed was not the word, the steaks were the best I have ever had,and I have been around . We were from Australia and although the price was up there the produce was to die for..
The service was fantastic, the whole experience was one I won't forget .The best ,like they advertised!! steak I have had in my lifetime and would not hesitate to recommend...
Peter ..."
Raw and burned steak. Unprofessional service.,"I had high expectations when placing a booking at this steakhouse. I ordered a porterhouse for two, requesting for a medium rare. What arrived is a burnt steak on the outside and rare meat on the inside.

The manager had the cheek to tell us that the steak is medium rare. Please review the attached pictures for a laugh.

The manager then proposed to recook the steak, and claimed that it was normal for his restaurant to cook their steaks a bit rawer, as they cooked steaks based on colour. Perhaps they had x ray vision to see the colour of the steaks, but anyway, their x ray vision was rather suspect based on how they cooked their steaks. With their price tags, I would expect their chefs to use a food thermometer if they cannot judge the doneness of their steaks via appearance.

Will not recommend"
My first visit to Ruth’s Chris steakhouse,Was greeted by Ezan at the front desk and directed to our table. The location of the restaurant is not the best but I must say the service is one of its best! The quality of food and service is enough to keep you occupied. Was served by David and he’s someone who will make you feel at home! He ensures that you are satisfied with the food and drinks. Check in with you occasionally to ensure you are self suffice. Loved the beefy…..yummy in my tummy and was amazed by the dessert portion! Incredibly big and it’s enough to serve a portion of 4. Kudos to the amazing team!
Birthday Celebration Family Lunch,"Wonderful family lunch with great food and friendly service. Ribeye, petite filet and tuna steak which we ordered were excellent."
Very good but very expensive.,"Excellent steak however very expensive (coming from Australia) that I don't think any steak could be worth that price. Having eaten there will probably not spend that money on a steak again. However it was very nice, service excellent and staff friendly of course."
Great steak and lamb!,We ordered porterhouse steak and lamb. The food's great and service is good also. The wine that the waiter suggested wasn't good though and we paid 200$ for the so so pinot noir wine!
Great service,"Had a delicious lunch here when we arrived. Great steak, spinach salad and scallops. Scallops were perfectly done."
Very expensive steak,"I had never heard of this chain, but having been poorly organised for dinner, we had little choice but to eat here whilst staying at the Parkroyal Marina.

The staff are friendly and the service is good. We opted for chicken breast, ribeye steak and some sides, with tap water to drink. The steak was nice enough, but certainly nowhere near the quality that I have had elsewhere. The chicken likewise was nice enough, but with the bill being near on £150, without having alcohol, the value for money is simply not justifiable. If prices of this chain are similar elsewhere, I would definitely not visit again myself, nor recommend it to anyone else unless you had more money than sense."
Unhappy dining !!,We booked dinner for 7:30 pm for a birthday celebration with friends. We ordered our food at approximately 8:00 pm after initials drinks etc . We were flabbergasted to be told by our waiter during the main course that the kitchen was closing at 9:30 pm. This was a shock as we did not have time to even consider or order dessert !!! Extremely disappointed in the lack of notification when we initially made booking or informed upon arrival. Then to add injury to insult the reason given was that a corporate customer was dictating service for that night and hence affecting all patrons dining !!! Very unprofessional and will not recommend to anyone if seeking good service ! Very expensive lesson learned!
Poor steaks quality and slow service,Very disappointed from the service - we waited 1:30 hour just to get the first course. Food quality was bad and below expectations
