topic,review
Great view and service,"I had an aniversary trip with my big family. They applied my pre-request for table, and gave careful services for each family members. Especially table manager, Carmela, I want to leave the appreciate message for today!^^"
Anniversary dinner,"Had my anniversary dinner on the 21/1/23 with SKAI and I must commend Ivy for being such an attentive server. As I did not indicate it as our anniversary dinner when making the booking, she took the cue from the flowers that I gave my partner. Thank you for the complimentary cake for the occasion, it was a nice personal touch to what was already a perfect evening with SKAI- both the view, as well as the food. Am anticipating our return to dine with SKAI again. Thank you!"
Awesome brunch,Carmela. in particular was an outstanding staff. She made us feel like family and we cannot wait to return again.
A VIEW WORTH A VISIT,"I’d recommend to spend an evening on the 70th floor of the Skai, possibly the bar, not the restaurant, as the view is absolutely breathtaking.
The personnel is nice but not very well organized (e.g. if you call and ask for a table and there is not room for the time of your choice they do not suggest any other choice even if available, or it takes at least two people serving at the table so the waiter may hung around you without placing the food until the second one is available).
We had a steak, grilled at perfection indeed, a salad and the hand-cut potatoes which would have been happier if left some more time to cook.
Bread was just microwaved out of the freeze and hard as a stone."
Great spot for couples,"Would like to pay compilments to the service rendered by the restaurant: specifically service staff: CARMELA.

Thank you for your warmth smile, service and initiative to adjust good lighting angles for our photos.

Food is good with a breathtaking view.

Highly recommend for Sunday lunch."
Anniversary dinner,"The service is superb especially with Carmela; the food is likewise good and the staff are all friendly. Ambience is fabulous with a nice view.
However, it could have been a more fine-dining setting, should you have a white table cloth on your tables.
But generally, it was a good dining experience."
First visit experience - good,"The service staff Carmela is very good. She is very gentle, helpful and patient. The view from the 70th floor is captivating. We had the set lunch for 4 and reasonably good.
It has been a enjoyable experience since this is our first visit."
Amazing Experience For Farewell Dinner,"Our family had an amazing trip to Singapore, and we wanted to find a perfect way to end it before we go back home. That’s when we decided to go to Skai Restaurant. Firstly, this restaurant brought a picture perfect ambience with its floor-to-ceiling windows that (at the right time) can capture a perfect sunset. The modernity and spaciousness of the inside also helped to complement the experience. Secondly, the staff were exceptional. They demonstrated amazing professionalism and our server, Carmela, helped especially on bringing her kindness and serviceability to the table…literally! Lastly, and most importantly, the food was perfect. The meat was salted phenomenally and the sides that accompanied the dish were great. All in all, this restaurant is an amazing place to go to capture any moment, whether it’s with your family, partner, or anybody else."
Business Lunch Meeting at Skai,"It is with full confidence that I recommend Shereena as a Skai representative of the highest caliber.

She was always extremely helpful, happy and seemed to truly love her job. The ambience and food was perfect too.

The only disappointment was that we were not even informed that warmed water was chargeable at $12.
We could have opted for the sparkling water which was at the same price instead."
"Wonderful Dining Experience in the ""Skai""","Food is great! Lovely staff, attentive to the guests without being intrusive.

Commands a spectacular view."
