topic,review
Amazing food and service!,"We dined at Sabai last night, and are so pleased that we did. From the outset, the service was first class, friendly but attentive. We were given time to study the menu and order drinks, the service was steady and unrushed. We were able to discuss the menu with the waiter, and adjust the level of spiciness if needed. Starters were brought out in stages, so time to enjoy the various flavours. Mains were a good portion size and were totally delicious. Our waiter ordered a taxi for us, and even escorted us to the pick up area.
Service and food were of the highest quality, I highly recommend visiting Sabai!"
Wonderful Thai experience,"Wonderful Thai experience Lovely food, the green curry is sublime and nice complimentary wine list too. Nice location. Wonderful service too, very attentive and very warm. Highly recommended."
BEL,Excellent food and service. For once i tasted fresh chicken in the green curry. Even the rice for the mango sticky rice was of exceptional texture and taste. Restaurant is pricey but u get what u pay for. Will be my only thai place to go to.
No comparison to Jim Thomson,"Unfortunately expectations and outcome were a wide distance apart. The service was average, the decor dated and the food was better at our local carry out. This is simply not fine Thai"
Excellent Thai food,"We visited here 2 years ago just before the pandemic and received such a warm welcome we just had to return on our next stopover in Singapore. The welcome this time was just as warm and the food superb. In fact after a month long stay in SE Asia this is the restaurant we keep talking about! The spring rolls were to die for and my husband requested an extremely spicy beef curry - and they didn't disappoint! I also enjoyed the most exquisite prawn curry. We are planning on visiting the Far East in March again and this will be our first port of call. The wonderful manager took the time to talk to us and explain how all the food was prepared and cooked which was fascinating. Can't wait to return! The Souths, UK"
Most money minded management,"Went with my daughter for lunch. Sat outside and decided to order some pineapple fried rice and some tofu vegetable.

The pineapple rice came with fried cashewnyts on the side. We immediately called the server and requested him to replace the dish as she was allergic to nuts. He readily agreed to and then charged us for the rice! When I requested them to remove it as we hadn’t touched a morsel, he said he can’t. So I called the manager who I have seen on several occasions and I used to be a frequent regular customer kind you.

But he was downright condescending; rude and said I have to charge it because I cannot RE sell it.

The food was really bad. The look of the pineapple rice was a yellow rice with some diced carrots. The tofu dish wr ordered had more beans than tofu and was tasteless. The olive rice which we thought was a replacement was decent

So we paid about $30 for food we didn’t eat because of genuine allergies for which the restaurant had no concern about. I have found very rude service at this place and arrogance on multiple occasions. So if you’re going to enjoy yourself, this is the worst place to go! I would recommend Jim Thomson and it’s stellar service ten times over this.!"
Lovely,We had a very nice dinner here. The food and service were very good and it was a nice atmosphere. Definitely worth a visit.
Terrible food and waited long for my orders to be taken!,"Visited this place for my birthday in view of the highly-rated reviews. I was so disappointed! Waited so long for them to take our orders which we realized later the reason. Only one man was taking the orders. At least if the food is awesome, I don't mind the wait. The food was a great disappointment. In fact, those Thai food outlets at Golden Mile taste so much better - cheap, and good. We will definitely not go to this restaurant again."
Luxury Thai food by the water.,Very pleasant business lunch in well respected Thai restaurant by the water. Standard Thai offerings with excellent service. A tad expensive but it is located in CBD. Luxury Thai vs more local authentic Thai at cheaper prices. Depends on your mood and wallet. But this this definitely recommended if you can afford it.
"Delicious, authentic Thai food with impeccable service",We loved our dinner here! The food was delicious and the setting perfect - we sat outside sheltered from the rain and enjoyed the fabulous view. The service was also very kind and attentive - we will be back.
Super Best Food and Services,First time got impressed by services in Singapore. Superb services and Food was out of the world. Sabai Thai is one of the Best Restaurant in Singapire
