topic,review
Raffles would like this!!!,"The service is good and the menu is extensive. It has a bar bistro feel and a relaxed atmosphere, the quality of the food was very good albeit a little overpriced but I would recommend this place and go again."
The Botanic,"Not recommended unless:
1) Unless you don't mind paying overprice for dishes
2) Unless you don't mind a bistro service style but price as expensive as semi-gastronomic restaurants

We went there, obviously being a couple. The candle on the table was off, and throughout the meal it wasn't lit. At the price we pay, I think the service should follow
The food taste is nice (that's why a three star), but the portions are way too small. Actually just look at the plates, these are not main dishes plate, but starter sizes.

A Mojito cost 18SGD plus tax and service charge.

Won't be back"
Valentine Day,Excellent food and staff services. Service staffs are friendly.A nice complimentary valentine churro too.
Name change but still Great Food,Recently changing names to The Botanic this restaurant is still providing a great relaxed atmosphere and fantastic food with many share plates available. The revamp is great and the new menu also provides some great new choices. Great place to meet friends in a casual environment and share some wonderful food at the same time. This has been a long time favorite place and will continue to be so.
Now replaced with the Botanic at the Raffles CIty location,"The Salt Tapas Bar in Raffles City has now been replaced with The Botanic. I came for lunch recently with a friend and we both opted for the lunch set at $24++, which includes a main, side and a coffee. Food quality was good but just a little on the small side. The coffee was very good."
Here for cocktails,Not bad place to watch world go by until raffles finishes refirb. A few gin slings to start the evening😁😁😎😎 food not bad either.
Great place of an evening,"Had the best croquettes and honey ribs here. I ate here several times as super close to the Swissotel, good air con and great for people watching. Happy hour too hits the spot. Staff are super attentive too"
A place of buzzing activity,A good place to visit in the evenings. Noisy but enjoyable ambience. Tamil speaking staff are very friendly.
in the mood for tapas!,"It was time for dinner and my friend was not too hungry so the idea of tapas appealed to her. We were seated immediately and water arrived to the table. We looked over the menu-it is a fairly large space with pleasing decor. We decided to order from the cheese platter menu-each cheese was $9/each, 3/$25, 4/$32. My friend ordered 2 choices and I ordered 3 choices of cheese. Each platter came with slices or sourdough bread, some pear slices, quince, a teaspoon of truffle honey and crackers. My friend ordered the manchego and one other, I got the manchego,[sheep's milk] the meredith valley [goat's milk] and the morbier [cow's milk] It was a delicious meal, reasonably priced and I would return."
A welcome cocktail,"We were hoping to visit Raffles Hotel but they are renovating it and just had a pop up bar that you could use. We were hoping to enjoy a Singapore Sling but there were too many people so instead we popped across the road to this bar/restaurant. They served a brilliant Singapore Sling at a very reasonable price, we sat outside in a covered area and people watched. Very enjoyable, we didn't eat so can not comment on the food."
