topic,review
Institution in Singapore,Truly a great place - fantastic Malay Indian on a banana Leaf. not to be messed - a culinary experience.
Terrible don’t go over rated,Super over rated! The food are worst than MOST hawkers centres.. chicken tikka is fried chicken?!!! What!!! Never go back again
Stomachache place,"Went thrice. Had stomachache twice. Will never visit again.

But if you have an iron stomach and crave for Indian spiced food, not a bad place to visit. Prices are reasonable for a location in dempsey. Lime juice is good, most other dishes are tasty too but the famous curry fish head is a little less than expected."
"Always good, Excellent place","Probably been there for few dozen times in last few years and food is always good.
This time the rice set with side of veggie and Rasam was as usual fantastic.
It was full house during Friday lunch time. Masala chicken was hard though, disappointing.
P
Ambience is great, a must visit restaurant in Singapore."
fish is not fresh and masala chicken is hard,"First when you arrive, you are greeted curtly to get your checking in done. Then they say ""you cannot share rice"" - so it doesn't matter how many dishes you order? That's really in poor taste. To top it off, the fish head curry was not fresh and the masala chicken was so hard, we had to order a drumstick in addition. The potato cutlet has a strange vegetable oil taste. It all just leave a very sour taste on my lips."
Always great !,"Great South Indian food. Sitting outside, we have enjoyed nice fish, squid curries, briyani rice on banana leaf with a good tiger ! What else do you want ??"
Tasty and rich indian food,We came here on Hari Raya Haji public holiday. They are normally closed on Tuesdays but decided to open today to cater to the holiday crowd but it wasnt crowded when we went for lunch. We had byrani and naan with masala chicken which was just about spicy enough for us. Washed it down with coconut water. Tasty and rich indian food for a treat once in a while.
Authentic Indian food,Authentic Indian food the Singaporean way. simple and easy. use your hands. one of the better ones in SG
A heritage establishment since 1935,"A heritage establishment since 1935. Popular with locals as well as visitors. Order and the food comes very quickly. The rice comes first, briyani or white. Ordered their curry fish head, chicken tikka, and butter, cauliflower, paneer( cottage cheese with spinach), black squid and naan( garlic and plain). Tastes was acceptable, nothing awesome but in general tasty Indian food. Lime juice, mango lassi was refreshing. Service is ok, whilst the environment is an open space in a colonial building. The floors looks kind of untidy just before closing. Price is mid range."
"Simple, normal ‘restaurant’","Simple , normal ‘restaurant’ in an up market area. Price wise reasonable but on the higher side. Place is ok - you will be taking the odour back after a meal especially if you’re seated inside . Food wise is good - the usual chicken tikka , Gobi, masala chicken , butter chicken , naan , and of course the white rice and briyani rice served with potatoes and daal. Mango or sweet lassi is ok - nothing to rave about here . Ambience is ok but wear proper shoes - not slippers - as the floor can be oily . Car park is abundance if you don’t mind walking. Overall - it’s good and worth a try and revisits. And yes - make an appointment as the place can be pretty busy ."
"Not impressed, average food","Food was average, fish head curry the meat was tough, find the Chinese type better, but maybe its personal preference. Curry mutton meat was also tough. Won't be going back."
Excellent food!,Authentic Indian food! Love the food and ambiance! Signature fish head curry is a must try! One of the best curry in Singapore!
Finger licking good,"This place is a cult. Everyone has their preferred phở or burger joint. Samy’s is my fav place fir fish head curry. If you dare, best way to savour your meal here is to eat with your hand. Then you will understand what finger lickin’ good really means!"
"Authentic Indian food,fast service","Went there for a dinner and was blown away by the delicious food.We ordered briyani rice meal(briyani rice with 2 vegetables) black squid,fish cutlet,mysore mutton and fried cauliflower.

I really loved the briyani rice.It was a good quality basmati rice,very fragrant and light.The mutton was good but not the best I have had.The fish cutlet was yummy and loved the crunchy fried cauliflowers.

The food was authentic and not too spicy,which
suited everyone palette.We ended the meal with their aromatic and delicious masala tea.

The food was served very quickly and customer service was very good ⭐"
Popular among locals as well visitors,"Popular among locals as well as visitors there is no air conditioning here. One sits outdoors or indoors. Indoors is an old colonial building with many overhead fans blowing. Served on a banana leaf for your rice and accompaniments. The curry fish head is famous, chicken tikka, braised lamb and cauliflower all taste good. Lassi is also available. Price is mid range."
"Bottled it on the signature fish head curry, but delicious","Confirming previous reviews, service a bit erratic, but if you count that as part of charm and fun its no issue as you eventually get there and the waiters are good natured rather than wilfully indifferent. Atmosphere fine, its not Atlas Bar inside, but it does its prime job, of serving great curry, very well.

Four of us went, all served on big leaves, rice is free flow so you cant order to share, at $3-4 per portion thats no crisis. You can order most dishes in small or big portions, we had a query with our bill as we thought we had been given a small when we had ordered a big. The cashier has obviously had this question before as he brought out a round bowl (small) and an oval bowl (big) and asked us which one we had had (the oval bowl). Most of the dishes we had were dry, which explained the person coming round with the rice offering seperate helpings of curry sauce (fish or chicken) for the rice. Didnt check the 'free-flow' as with the rice and the basket of nan between four plus all the dishes and sides we were full. Somehow there was a little spare room left for some very nice ice-cream to finish things off

All the food was served quickly and as per above, delicious. Recommended. $105 for four including a round of drinks. Would place it on the boundary between cheap eats an mid-range."
Poor service. Excellent food,"If you are looking for a fine dining experience or decent service, give this place a skip. However, if all you care about is delicious Indian food, the masala chicken and cutlets are out if this world. Loved the fact that they let me bring my own whiskey"
Soshal Distan Singh,"Samy’s popularity is proven during circuit breaker. On Mother’s Day, there was a queue for about 1 hour to order lunch. In theory, you could order by phone or online, but unless you contact them the day before, no chance of an answer. The reasonably-priced and decent-quality food (except the fish head which is superb)n make it worth it. Distancing is not fantastic, let’s hope this doesn’t become a new cluster."
You will be more welcome at Uncle Samy’s than at Uncle Sam’s embassy next door,"This family restaurant has been in business since 1950, and at this Dempsey location since the 80’s. To its fans’ delight, it has recently been allowed to stay on, although many tenants in Blocks 15&16 have been invited out for redevelopment of the Tanglin Village area. Samy’s is a bit of a cult, with loyal customers, many of whom first came here as kids. The clientèle is largely Asian, and mainly local at that. The fish head curry is awesome. Other dishes are not the best Indian you can have in Singapore, but you come here mainly for the experience, and the fish head! To really savour the curry, eat with your fingers. Extraordinarily efficient service from friendly roaming wait staff, who can happily refill your needs in rice, pappadum, or vegs. The dishes, including the fish head curry, are served within ONE or TWO minutes after ordering! Prices are very reasonable. Don’t overindulge though - one look at the well-fed managers would tell you why you shouldn’t!"
"Off the Beaten Path, but Worth Finding","My friend is a local, and he loves this place. So, it's a regular stop on my visits to S'pore. Authentic Indian food - inexpensive and healthy portions."
Value for money,"Their masala chicken is a must, the masala is very rich & aromatic. If can try their fish roe, claypot fish head curry & fish cutlets. It's very tasty, yuymmy!!"
"Very, very traditional curry house","This place seems to do a few things right as it is here for 50y or so

Food is served on a banana leaf. Big portion rice, plus curries. Gets a bit messy,
And maybe less clean looking.

Curties are hot, too, so go for k6ng prawns, very munchy"
great fish head curry,cheap and good... surprisingly! for the location. food arrived very quickly even when we ordered at 9pm.
Excellent Indian food,"If you love indian food, this is a place to go. Very good seafood, calm setup in a much nicer place than going to Little India."
Great food,"We went with a family of 8 for dinner. Great food, especially masala chicken and fish head curry. Great and friendly staff"
