topic,review
Great food of consistent quality with really friendly and attentive service,"I have lost count on the number of times i have returned to this restaurant. I really love the great tasting food and tried almost every main course on the menu and still not getting tired with any of them, especially the duck confit, beef and the salmon. French onion soup and the lobster bisque are definitely my favorites too. Staff are really friendly and nice. Superb experience at reasonable price. Highly recommended. :)"
Good Spot for a hearty French lunch,"I made reservations for a slot at 12noon and was a bit annoyed that the place was locked when I arrived at 11.50am. There were people inside but they would not open the door earlier for you. When the clock stuck 12, one man open the door and did not say a single word nor had a smile. Grim day.
Food was good though, no complains. So my advice is to be late or not book the 12noon slot unless you like to bake in the sun waiting for them to open the door."
Awesome dinner. Will go back for more,The set dinner meal is value for money. I have chosen the lobster soup and it is superb delicious. The steak is done perfectly and the sorbet is perfect for cleaning up my palette.
Poor service and not great food,"Went to hear as I had heard rave reviews on the place but I have to admit I was quite shocked on the standard of service and food.

We were on time at the restaurant and waited patiently for someone to welcome us and take us to our table. After about 5 mins someone just waved us in and told us to sit at a table but didn’t have the decency to come and show us the table nor actually say hello!

It took about 10 mins to order our food. As a family of 4 we all wanted different starters but 3 of us had the same mains. What I found weird was that as soon as someone finished their starters the plates were immediately cleared away even if the others were still eating. Then the mains were immediately put down whilst others were still on their first course. We tried to ask the staff to slowdown but they were always scurrying around and had no time to listen.

We risked the desserts which were again served at different times and I had the creme brûlée which was severely over caramelised on one side ie burnt.

After paying for the bill and having our credit card just dropped on our table within any thank you we just left. There was no “goodbye”, no “please come again”, just nothing.

The meal cost about $500 with drinks and I have to admit it was money well wasted. Definitely not a place to take kids and definitively not a place for business lunches.

We won’t be going again."
Great place for an occasion,My 2nd time coming back to have the Steak Frites. My favourite dish and arguably the best steak I've eaten to date. Other starters and appetizers like the french onion soup and the angel hair pasta is great too.
Please keep up the good service and food,"Food is great eventho they have shrunk in size. However, I do hope the waiter can serve patrons better, at least with a sincere smile, waitresses were good, but the waiter was quite rude, didn’t even smile when he serve the food. Took quite sometime for us to get the waiter’s attention when we need to order, restaurant was not even full or busy."
Unpretentious French cuisine,"My go-to place for an easy-on-wallet and above decent French cuisine. Usually order the pan-seared foie gras, angel hair pasta, duck confit and lamb shank (just tried this, it's tender enough for my liking). I think they changed their menu with slight increase in the price as well."
Very nice,"Very nice. Would say perfect but steak was very fatty. Rest of meal was great, good wine suggestions, pate was nice, vegGoes and break excellent, cheese plate and desert all great"
Above average,"First visit, decided to give a try after reading some positive reviews here. The confit de canard was just average, the meat a bit tough, a bit disappointed, I guess this is one of their signature dishes. The foie gras poele was good, my second time ordering this as a complete dish in a restaurant, can go back for more of this but not sure what main dish to pick. The mashed potato was above average. I liked the bread basket.
Ambience okay and normal customer service."
First time but definitely not the last!,"Great ambience, service food and wine at really reasonable prices. Will be going back. Also the location is perfect if in the CBD."
Great Food and service be aware of the phone call from a +65 number to confirm,"Service was fantastic. Food was excellent. Significant value for money for family of 5.
Be aware that the confirmation call from an automated system uses a +65 number to call. I didn't pick up the first 2 times but decided uncharacteristically to pick up on third attempt. It sounded like the usual +65 scam call messaging voice until I heard the actual message to confirm my reservation!"
Better than expected,I have been to Saveur on many occasions and I was surprised this time that both the service and quality of food have improved. We had a very enjoyable evening. Highly recommended. The wine selection was good but a little over priced.
Nice Place,Restaurant is clean and welcoming. Excellent service crew. Went for the set meal. Very reasonably priced. Starters and desserts were marvelous. Oysters were a bit less plump but was good. Guess cannot complain considering the price. The mains has more room to upgrade. Tasted sort of Ikea food though. Good range of wines and they have good wines. Prices of the wine is unbeatable as compared to most restaurant.
Great french food without breaking the bank,Staff was attentive and food was served promptly and according to order .Tasty french food without breaking the bank.
Next time will try the steak,All of us had the duck confit and enjoyed it very much. Would have ordered the mussels and chips but we did not notice the specials board until too late.
Room for improvement.,"Great ambience, attentive staff but foodwise, a little disappointing. Had heard friends raving about how good the duck confit was but when I patronised, the duck was extremely dry. It didn't look freshly cooked. The taste of the duck, however was the saving grace. Would probably return for the lobster bisque and the steak. Hopefully, the chef improves the quality of the duck soon!"
Fantastic French Food,"My family 1st time had lunch in a french restaurant which was highly recommended by Church friend. All the dishes we order were excellent in presentation, great taste and even quantity is more than enough. Will definitely go back to try other dishes."
Great Experience,Food was delicious and service was superb one of my suggestion is that given an option for dessert i.e either dessert or coffee or a drink
"Great Food, Good Atmosphere with excellent service","Amazing experience, the food was delicious. We opted for the set Menu which I thought was good value. I had the French onion soup, wow it was the best I've ever tasted I loved it. My steak was cooked to perfection. The atmosphere was great and intimate, and the service was very good and attentive. Overall a wonderful experience with amazing food"
Excellent Food!,"I visited Saveur twice in the last 3 months and once again, it delivers excellent quality of food and quantity. Must visit again."
Amazing Classic French food,A no frill restaurant that serves amazing classic french food cooked to perfection. The confit duck’s crispy skin and moist meat paired with rich gravy and Beef Bourgogne that melts in your mouth are amazing!
Will be back,"Ordered the 3 course meal: escargot, steak and creme brulee. And lobster bisque and beef cheek. Really love it, especially bisque and beef cheek!"
20thMay2022,"5 pax. ordered the set meal. duck confit, salmon, beef striploin. all meat cooked to perfection. especially the beef, medium rare.

Pinot noir red wine recommended by the manager was very good, what we wanted, easy to drink.

service is excellent! The bread, piping hot is also very delicious, i do not like bread but i had the most there.

we spent about $86 per pax.

i would recommend Saveur."
Great tasting French food,"Had dinner at Saveur on a weekday night last week. Luckily I had a reservation as the place was pretty crowed. My friend and I had their set dinner. Both the onion soup and escargots we had for starters were excellent. As for the mains, the duck confit was tender, juicy and very delicious. So was the pan roasted veal sweetbread. Large selection of wines available and the Chardonnay we had was very good.

Ambiance was nice and service was good. The best thing was the quality of the food at such reasonable pricing. Highly recommended!"
"Good service, good food","From making table reservation via Chope to the completion of luncheon, all went well. Restaurant is centrally located and easily accessible."
Excellent!,Service was quick with reservation. Food is still as delicious as my last visit years before. Highly recommended for an authentic taste of French cuisine without hurting your wallets.
Very good food,The food was really good but the AC is too cold. French bistrot athmosphere is appreciable. Would recommend with a sweat shirt :)
great little bistrot,"This is a great little place. We had the ""table d'hote"" and everything was delicious. The service was also very good with pleasant and efficient waiters. The walls are bear and need to be decorated though. The place is lacking a vibe, but I will definitely go back"
Always good,We always enjoy dining at Saveur. Good food and friendly service. A must have is the Saveur Pasta. It's my daughter's favourite.
Food taste super good👍,"Everything was satisfied. I think the atmosphere can be better, like the interior design or lighting can be more romantic"
Service,Friendly stuff! Excellent service provided. Boss cutting cake skills is very pro 😂. Will definitely come back again!
Great family meal,"Excellent service and food is just as good as when it first started, though the price is a little steeper now, there is deals around."
Good food good service,"Service is good despite some of the negative reviews in google. It was a full house during our dinner. Had mignon, cod & duck confit as mains & they were well-executed. Would like to try their set lunch someday"
Lunch,Lunch gathering with a group of friends at Saveur. The service crew were attentive and readily got our orders when we were ready. All of us ordered duck confit and the dish tasted excellent! Go to place for this dish.
Lunch Outing,The french onion soup was a bit salty and the creme brulee was a bit soft. The service staff was very attentive.
Fantastic food that is value for money. The restaurant was,"The food was great and quite affordable. However, my 6 year old son finds the place a little noisy. This won't stop us from going back though."
Christmas dinner,The Christmas dinner was awful especially the main course i.e lobster only the dessert (i.e. chocolate tart) is edible very disappointed with the food
