topic,review
Great Central Asian Food,"This river fronted restaurant located on Robertson Quay has both outdoor and indoor seating. As ours was a large group, we were seated at an inside table, close to the show kitchen, and we could see the chef in action . Also, the inside is air conditioned, which makes it more attractive if the weather is wet or muggy, which is usually the case in Singapore.
We ordered starters which included hummus and flat breads. We had to order pita breads separately, but they were oven hot when they reached our table. The vegetarian kabab platter was excellent, and easily served the six of us dining there. The Chicken sheikh was tastier than the lamb sheikh kabab, and came with saffron rice. We also ordered an okra curry which came in a rich tomato gravy.
The highlight of the evening was the belly dance. It was entertaining, perhaps more so because the dancer was probably a Thai or Singapore girl, and not the Turkish dancer one would have expected.
The wine list is extensive, but they also have draft beers, which go great with central asian foods."
Fake Persian doesn’t taste like real Persian food,"I know Persian food well and have eaten in Persian restaurants all over the world including my home country of Iran.
We got starters (mix platter), mains (kebabs and ghorme Sandi stew).

Starters came out cold despite being advertised as warm. Meat and chicken were fatty and meat in the stew was

Overall food tastes like Indian food not Persian food and made with wrong spices. Will not be visiting again."
EXCELLENT,"An excellent place. i can't say enough good about this place.

Now, food was excellent.

Of course you can have the kebabs which are excellent but many places serve these. go for some other items which you do not see often. I especially enjoyed the Persian stews. The first course plates looked excellent. I suggest you try something different.
You have both indoor and outdoor dining and a nice Alcohol Selection.
Service was excellent and friendly"
Good food and location needs to improve choice if white wines,Restaurant in great location on the river Food was lovely had hummus and bread Prawns and taboulli yummy. Could not however say the same for the wine limited choice for white wine by the glass
Repeat visit,"Service is as good as before, salad n appetiser too. As for the main, the meat was too well done. I didn’t want to inform the staff as I didn’t want to make a scene with my guest. That was kinda disappointing"
Great experience:),"Food was definitely the best, really amazing Persian food like the ones you get in Beverly Hills. Great job chef :)"
Perfect,"Celebrated my husbands birthday with great food, excellent servos and cozy atmosphere. Must try it out. Thanks"
Good restaurant in front the river,We visited this restaurant few times. Food is good and I like the presentation of the dishes. Nice location in front the river with indoor and outdoor table. Price in the average of the restaurants in the area. Wine list a little bit expensive.
"Best Fine Iran Cuisine in Singapore and the staff are friendly, welcoming and helpful!","Best Fine Iran Cuisine in Singapore and the staff are friendly, welcoming and helpful! Our favorite dishes were the kebabs and eggplant stew. Very grateful and thankful to Ajay and Rahul for taking good care of us during our visit."
Best !,I’m new to Singapore and since my husband and I arrived we been trying few restaurants and new cuisine. So far this is my favourite middle eastern food. It’s just amazing
"Would have been 5*, had it not for one bad egg( staff)","We decided to celebrate my sister’s birthday at this restaurant upon stumbling upon it on a trip to Robertson quay.
The date was set for 03/03 dinner.
We decided we should start the dinner with some shared mezze.
We ordered 3 to be shared between 4 of us.
No problem, the staff serving us were polite and friendly.
When it was time to order our mains, we asked for the menu again.
This time, disaster stuck.
The waiter( Ronnie ) came and asked if we wanted 4 menus, there’s 4 of us. Needless to say, if this claim to be a finest Persian’ restaurant. This question would not be raised.
I replied, unless you want us to share reading the menu.
Judging from us sitting on a square table, it would be rather challenging to crank our necks, let alone raking more time to take turns to have a look at the menu.
He made a snide remark that still resonate in my head this morning.
He said’ well, you shared your food so why not the menu’
Thus was the worse kind of service a restaurant can have.
We have also noticed he was especially friendly to other tables of ‘western guest’ but pretty hostile and if I should say, frown upon us.
I arrived into Singapore as a tourist but my family is from Singapore.
I am starting to think, this restaurant had hired a very bad customer facing staff.
This is exceptionally detrimental for a restaurants business.
Either he should be sacked, moved to back kitchen or undergo extensive training.
I raised that with another staff, his name is Sabin.
This young gentleman was nothing like the other.
He made us feel welcome.
I told him that I would not like to see Ronnie serving us again and praise the lord, he did not.
We enjoyed ourselves the rest of the evening.
There is another staff that served us, it’s a shame I did not get his name but I could see he is of ‘Malay origins’ he is just as friendly as Sabin.
There was another older gentleman in a white shirt, he was also friendly.
So, all in all, it was good except for this Ronnie.
I made it a point to get his name.
When the meal was over, I had a chat with JoJo about the whole thing. She mentioned that Ronnie had a cold sense of humour.
It was definitely cold, humour I don’t think so.
There was nothing humorous about that snide comment.
We definitely were not laughing.
I would have given the restaurant a 5* had it not been for that incident.
The meal was good.
My sister was even presented with a birthday slice of cake.
That is good customer service.
Would I visit it again?
This would be if the restaurant acknowledges this review and the reply it post back."
Service couple of notch lower than the price they charge,"Before I could finish my food, the waiters tried to take my plate away.. not once, twice but three time. I was so annoyed the third time that I gave it away… with a bit of an complaint that I wanted to finish the yogurt if they allowed me too. Unhappy with the approach. The manager try to calm me down with a set of free yogurt… that pissed me off even more."
Exotic Ambience and Food to match,"The best of Middle-Eastern cuisines in our opinion- Persian cuisines! The way the dishes are prepared - with exotic ingredients and marinated for many hours; and the way they are cooked and presented! And the exotic decor and the outdoor sitting to complement the dining experience. Too bad we miss the belly dancing performances. For a party of 4, we started with the Appetizer Platter (5 types including hummus, etc) with bread. And the mains of kebabs (chicken masti and pasand beef kebab). And for the Persian dishes mains, we had the Bahala Polo Mahicheh (lamb) and the Khoreh-E-Ghureh-O-Bademjan (Eggplants in tomato saffron sauce). Finished with desserts baklava and kunafe. Total cost plus a bottle of wine is S$388"
Good meal especially if you like pomegranates!,"Chanced upon this restaurant when staying at the Warehouse hotel not too far away. Despite not having a reservation for a Friday evening, we were promptly seated at a table outside the restaurant - we preferred that anyway to bring in an air-con place - under cover with cool evening breeze but away from the tropical rain. The service staff were friendly and more importantly, knowledgeable of the menu. We received the house flatbreads which came warm and were delicious especially when eaten with the dips we ordered. These came as a set of about 5 and the pomegranate with walnuts was delicious, as was the hummus and cheese and yoghurt dip. It was more than enough for two. We also ordered a chicken (instead of duck) with walnut sauce which turned out to be a variation of the walnut-pomegranate dip we had. Oh well. But it was treated differently so the sauce was delicious, the chicken though, was a little dry. It came with Persian style rice which was long-grain and saffron dressed. Very nice. Presentation was lovely and the rice came in two separate servings to allow us to share. We were saving our tiny tummies that were filling up fast for dessert. Sadly those were a disappointment. The ice-cream with vermicelli was overpowered by saffron which left a not to pleasant note on the palate. the baklava wasn’t too sweet but it wasn’t as nutty as Turkish or Greek baklava (everyone has their own variations we were told). The baklava was again, a little dry. The bill wasn’t horrendous and the staff were good company, even sharing tips and a contact for a trip to the Maldives if we ever wanted to visit! And as it was raining when we left, they fretted over possible slippery walkways and our lack of an umbrella. But we managed not to melt!"
Amazing dining experience,"Came with my family to celebrate Christmas and was amaze by their great service. GM Madan and Ismail are very friendly and approachable which makes the dining experience amazing. The food taste fantastic, we ordered shandiz, tekeh masti and bakhtiari beef and my kids loved it."
"Good food, good service",Ordered a number of the lamb dishes which were great. The kebab platter was also good with the different dips. Wine selection is ok but overall good variety for drinks. Well worth a visit.
