topic,review
Good food and good serive.,We really had a wonderful meal there. I really love the atmosphere of the place. The food was lovely. I am sure we will be back
Wonderful Staycation for a family,The hotel is very clean. The Covid regulations are strictly adhered to which was comforting. The staff are welcoming and attentive. The facilities are great and family orientated. The only slight issue was eating in the level 3 restaurant in the evening. The service was very disorganised. We waited ages for cutlery . It arrived 20 minutes after the food. And we had to ask 3 times. We had breakfast there every day and the service was amazing/ in spite of it being super busy. So our poor experience may have been an off night.
Amazing range of delicious food and great staff,"The food, particularly the buffet, at the Rasa Sentosa Resort is outstanding with a huge range of delicious and healthy options that suited all the family (including 2 teenagers). I am coeliac (so very allergic to gluten) but the staff here (in particular the Executive Sous Chef, Pradeep) was so helpful and accommodating helping me find suitable food and making me special orders so I didn't miss out. I would definitely visit this Resort again."
BASIC CLEANLINESS NOT MET,"The room floor was dirty, I had to wear my shoes in the room. The bedsheets are just as bad. You can feel the crumbs inside the blanket which causes my skin to itch. This hotel is not cheap, it is way overpriced and of course expectations was high especially for the basic which is cleanliness. The “Good old Days” buffet was misleading, they didnt have the durian station as advertised. They agreed to give me 20% discount. Not recommended even if you have extra money to burn"
Great for families,"I stayed here with my husband and 3.5 years old daughter in June 2019. The service was really good. The property is big and very clean. The room was specious and had a good view. The breakfast spread was good too. The bus connectivity in Sentosa is good from this resort. There are options available in and around the resorts for good meals. For people travelling with kids, there is a big kids play area and the resort is super kids friendly. Enjoyed my stay here!"
We recommended this hotel,"We recommended this hotel to our family in laws from Sweden. And they enjoyed it very much. Especially our nephews. It’s a kid friendly resort and many things to do. Activities for kids and aerobics by the pool for adults. We stayed for 10 days with four rooms. Our room was spacious and very clean. Mei Ling from Housekeeping was friendly. The hotel buffet breakfast was huge and lots of varieties to choose. We definitely missed the delicious scrambled egg. Service from Vera in the breakfast buffet is amazing. She reserved a table for us every morning for 10 people. This kind of service is a must especially when you have big group. Definitely a table for big group should be ready to lessen the waiting time and service staff can focus on clearing the used plates from the table. We love the food in Trapizza but service is inconsistent. First day we had a very good service from a young lady. Unfortunately forgot her name. She repeats our order and ensure that table sequence is followed. Very attentive lady and defo the best server. Next day we had a terrible experience. Guy took our order, repeat it and left. My father in law told him to expedite the kids food first and drinks but this does not happen. Appetizer for adults came w no drinks. Few Main course was served but not all, kids was served late and drinks. It was disaster. They gave us discount as they realized a big mistake was done."
Rasa Sentosa resort,What can I say about this hotel. The staff are exceptional from the reception area to the maids cleaning the room. The choice at breakfast was expansive from western cereals to Asian noodles. The pool is excellent with a quiet area just for adults. Should you wish the hotel is the only beachfront hotel on Sentosa the beach is clean with warm water .overall if you book to stay here I'm sure you won't be disappointed. 5*
Leaves a lot to be desired,"I’m not sure on what planet this hotel calls itself a 5* resort but this struggles to get up to 4 in my book
The room ( A deluxe sea view so I was told) was tired looking
The shower had three settings cold tepid and scolding hot
Breakfast on day 1 was excellent however that was because I went at 7am - day 2 tried to go at 9.15 and ridiculously long queue to get into dining room so I tried the Business lounge which was described as Adults only - obviously no one told the staff about that
There was one lady working there she had to make eggs ( a superb omelette ) clear tables refill buffet and coffee machine etc - she was doing an admirable job on her own
Staff were friendly, nice pool area but I have to say definitely not good value for money and if this is an example of Shangri-La Hotels then no thank you"
Must Stay to Believe It 🌟 🌟🌟🌟🌟,"Like you guys, we travel all the time, for work and pleasure. At an average, We do 100+ nights in hotels. Which is why we can say - We have never experienced such Warmth and Professionalism as the ShangriLa Sentosa, Singapore.

No matter how busy (and they are surprisingly packed all year around) you will be attended to quickly - or at least acknowledged - which is very unique and great! Letting us know - we will attend to you in 3-5 min is a Superb process !

Then, the Shang charm kicks in! No matter who you are - everyone is a friend and everyone gets that warmth. I’ve noticed that with even a bus load of weary travelers. Big noisy groups, demanding people, large families, quite business traveler - all get the Luv!

The location, Right On Siloso beach, is simply Spectacular!!! Beach, sea, islands, the view is “Soo Not Singapore”.
The rooms are superb too! Families can ask for specific kids / infant / extra bed requirements- and it’s done ! Yes, it’s expensive - but only 15-20% more than other Sentosa hotels - but they are worth it. “” The other RWS hotels are a carnival, a crowded hotchpotch of pushy tourist and baaad service. We have tried them a few times, hence cautioning you””.

I don’t know how the Staff are training or what process they follow but - you never wait, you are always tended to, wait staff are an absolutely joy, breakfast buffet is constantly tended to - and cleaned / cleared.

There is Nothing quite like it on the Island, or elsewhere, so ShangriLa Sentosa - You are a Six Star for us"
Noises in the mid of the night,"Noises from other unit in the mid of the night, made few calls to inform the hotel staff but the same answers was given, they will investigate. No greeting from the housekeeper, no polite and black face from the breakfast (Egg Benedict) counter. Strictly No late check out allowed even only 1 hour (1pm) for us to finish packing and preparing kids from swimming pool. Be fair, if you looking for 5 stars rating hotel please go with VIP/suite/club to enjoy the better service."
