topic,review
Re : Great place for Omasake,"Fresh food, great service . The restaurant sent reminders and also give tips on where to park. The staff is very attentive. it was raining when we left the restaurant. They offered to shelter us to our car. The fish is fresh and yummy."
Great service and Food!,Very good service ! Chefs are friendly and the food is delicious. Location is also convenient since it is near to mrt station
Excellent food at reasonable price!!,Fantastic value for lunch set. Still good food and great taste. Repeated visits. Very easy to make reservations via Chope app. Shinzo's staff will call one day in advance of the appointment date to confirm.
"Unpretentious setting, amazing food","Highly recommend this place if you want a fuss-free omakase experience with the freshest, top notch ingredients crafted exquisitely into small plates of heavenly goodness. The chef and staff were super friendly and knowledgeable, really tended to all our requests and questions and make us feel really at ease as we enjoyed the great food. Thumbs up and will definitely come again!"
Good value omakase lunch.,The place is open concept where you can see the chefs working without any barriers. The chefs are friendly and interacts with the customers freely. The food is fresh and good. Well worth the $118 and $138 that we paid for the omakase lunch. We really enjoyed our lunch.
A fun and nice experience,"The chefs were all so nice and friendly, they made us feel welcome. I went with friends and everybody had a fun and relaxing time. The food was excellent."
"Cozy, friendly and Authentic Japanese Cuisine","Though the place is small, the staff are friendly and the sushi are marvelous. They even gave us a small piece of cake after knowing that it's 1 of the guest birthday."
Excellent food at reasonable price!!,"I am a long time regular, going there for lunch and dinner. Their lunch sets are unbeatable in terms of food quality, taste and pricing. Best in Town!!"
Excellent!,Excellent food & service! Our guests were so pleased. All of us enjoyed the delicious meal. The quality as well as the presentation of food is highly commendable! The restaurant wasn’t big but what we liked was its cleanliness & the warmth. The service staff were observant/attentive. Every dish was passionately prepared. There is ample parking space near Shinzo. Thank you.
Birthday lunch,Our lunch at shinzo was amazing. Compliments to chef Xiang. Would definitely come back again and try out a different menu. Love the whole experience!
Value lunch,"A sushi counter restaurant. They have a choice of lunch set or the lunch Omakase menu. My wife decide she wanted a Tempura lunch set at $38 which consisted of an appetiser ( pitan tofu), sashimi 5 pieces, soup, tempura basket, rice and sherbet while I chose their lunch take Omakase menu. 3 appetisers, 7 sashimi items, fish chicks in soya sauce, 7 good quality nigiri sushi, soup and dessert plate for $118. The meal was satisfying and all the nigiri was made one piece at a time. The chef are locals but has many experience serving sushi. Environment is a typical sushi bar restaurant, small and cosy. Overall, good taste and good value for lunch."
Absolute steal - early bird dinner,"The blue fin tuna sashimi tasted like butter, unlike any tuna sashimi we had. Every piece of nigiri was good and got better with the next; we usually don’t go for tuna and anago but we were wowed by the flavour and texture of the aburi otoro and anago. The starter had an interesting note that reminds me of century eggs. The hot food of mushroom tofu and foie gras chawanmushi were luscious."
Disappointed,"Not value for money. We didn't even eat anything substantial! It was just the usual sushi, sashimi, chawanmushi, tofu. I had a shock when they presented the sorbet and told us it was the last course! I remember my experience was much better in 2019. I walked out with a full and satisfied stomach."
Great atmosphere and food,Two of us had dinner here to celebrate birthday. This is an Omakase Japanese restaurant during dinner. We opted for the Shinzo Omakase Tokusen. set that cost $208++ per pax. We truly enjoyed our time here as the staffs are friendly and attentive. The food is also good while our chef Kevin Hoo and head chef Patrick Tan were also very chatty and explained in details about the food that were served. Would recommend people to try their Omakase set here and would definitely be back again
Stay away,I have been to almost every omakase restaurants in SG and the quality of this feels like a bento set. It was a waste of time.
Great Food and Experience,"2nd visit to Shinzo and we opted for their Sushi Omakase menu this time round. Fish was very fresh and was delicately prepared by Chef Kevin, who was skilful and professional! The service crew was also very attentive and helpful. Overall it was an excellent dining experience, and would definitely go back to try out other seasonal dishes!"
Good Value Omakase,"Ingredients were extremely fresh, taste is equisite. Chef specially arranged one more cooked dish to replace the item in the menu. Excellent Service. Value for money! Will come again."
Great Japanese omasake. Friendly,"Great Japanese omasake. Friendly staffs, supreme food, fresh sashimi and sushi. Reservation is required as it is very popular."
Excellent food and company,Food at Shinzo is very fresh and good quality. Chef Patrick and Kevin were also very friendly. Enjoyed my dinner.
Friendly Staff and Excellent Food,"Staff are friendly and the Chef was detailed in preparing the food, also give introduction on some ingredient which we are not so familiar with. Cozy Atmosphere. Good"
Wonderful experience,"Shinzo Chef Patrick and team went the extra mile in making sure my best friend birthday experience in their restaurant was fun, enjoyable and memorable. Food is fresh.. should try.."
"Good food, good ambience","It was a good experience with good quality food, friendly staff and good ambience. Will look forward to next visit again."
