topic,review
"Excellent Service, Good Food","Good food and excellent service. Accidentally ordered chicken tikka with extra spice. It was too spicy, & we requested to remove the spice, the manager, Vijay, however gave us a fresh plate of Chicken Tikka!! Very hospitable & lovely of him.

Supriya - front counter staff, was always very welcoming, lovely and hospitable, always has a pleasant smile on her face. Recommended good food.

Will definitely recommend for a cozy & chill Friday night with positive vibes. Will definitely return.

Cheers!"
Great Place for a Friday Night,"Food is excellent, drinks very cheap and always service with a smile. We love the courtyard, it feels private and no cars noise."
"Great food, great staff",Pleasant environment. Nice outdoor seating. Fantastic food. Looking forward to our next visit. And the next....
Best Indian in Singapore,"I've been to Shish Mahal a number of times. The food has always been first class and vast selection of vegetable and meat dishes. Vijay the manager is an absolute star and one of the nicest people you'll meet, and the ambience of the restaurant is lovely tucked away in Albert court. The drinks are also very reasonably priced. This place is an absolute gem."
Excellent Food and quality service,It was a great time at the restaurant with my colleagues and friends. Food was excellent and service was great. Commendable service so would recommend and would go again if I get a chance.
THE BEST NAAN IN TOWN,One of the best naan in town. Very good curry dishes to go with the naans. Very good value set lunch too.
Excellent Food,"Must try this restaurant specially if you are from Asia, their Indian cuisine is awesome. Staff is very friendly moreover food is very tasty."
Excellence and a smile...,"My first visit to Singapore had me visiting this place two time because I was so impressed and pleased with the food, the service and the professionalism of the staff. Excellent from top to bottom and our business meetings went so very well. Visit them and treat yourself to all the good they offer... you will be glad you did..."
"Very good service, below average food.","The restaurant has a nice location and the service is good with attentive staff. Unfortunately the food didn't match the service. We ordered onion bhaji to start which was just an oily mess with little flavour. The rest of the dishes were very similar tasting with nothing special about them. The bread dishes, nans, were very good however."
Decent food and service. Noting special,"The restaurant has seating on the terrace and inside. The food was decent enough. The service was adequate but somewhat slow. The location, on Albert Court, is very pleasant."
Great northern Indian food,Found this place purely by accident last weekend as I waiting for a nearby shop to open. Excellent tandoori chicken as well as bhindi masala. Nice service and a warm welcome from Vijay who I assumed was the boss. Will be back again soon. Thank you.
Nothing to write home about,Went for dinner thinking it would be something special but it wasn’t. Food was just ok... we had tandoori chicken and mutton Mysore. Seemed like it had a lot of Color. Not going back.
Always great and everyone is super friendly,"Visited numerous times during 2018, bringing friends along too. Always impressed with the food and the super friendly staff. We'll be back soon!"
Good INDIAN food,"It was a great experience having the INDIAN food at the restaurant which is just next door to the venue we were staying in, the best part was the set lunch which had a good taste and a filling too and with polite and soft spoken staff around made more easier for us to understand the menu and option they served its recommended to people who stay in little India vicinity should try this restaurant next to Albert village court hotel"
Fine Ambiance,"Ambiance is good. They serve Nepalese as well as Indian food. Indian starters are good, lime soda is worth trying. However, main course and Nepalese cuisines were not as delightful (I had tried veg and chicken momos)."
Memorable Food,"We went there to try the Nepalese dishes and have returned again and again. One dish they serve, described as a Nepalese soup simmered with 8 different types of beans, is amazing. Everyone we brought there has ordered a second portion of this soup. Also love the momo - steamed dumplings with a spicy achar. I brought my dad too and he loves the fish Bryani. Enough said!"
Visit to a restaurant,Food was good !! It was my 1st time with my family!! The most important part which I like is virgin colada !! Superb !!! One of the best virgin colada in Singapore !! We will come back again !! Very good 👍🏻👍🏻
A Visit to Shish Mahal,Food is delicious. The Pina colada is outstanding and the service and staff is just wonderful. Would love to go back there for their Pina Colada.
Disgusting Staff,Staff is highly disgusting and do not care about what they are talking.....do not visit the place ...it's run by some Asian guys who think other Asian visiting are fools ...
Disappointing,"Badly maintained area with tables and chairs in disarray. Too much time taken to set the tables, take orders and finally serve. The food finally didn’t make the cut.

If you have ample time and the patience to bear with a bunch of grumpy waiters, best place to go to eat average Indian food. :("
Hidden Gem of Little India,"Located just 5 minutes walk away from Little India MRT Station (Take Exit A), this is a hidden gem and away from the hustle and bustle of the main Little India area. The food was fantastic and the service was exceptional. Try the Reshmi Kebab and the Garlic Naan and you will not be disappointed. Das (Senior Manager) was helpful and attended to us quickly. Will definitely be back in future to try other dishes. They are currently on eatigo --> enjoy while it lasts!"
Best Pina Colada,"Beautiful quiet place to have dinner and drinks. And, Das from the bar made the best Pina Colada in town. Absolutely fabulous! The fish tikka and paneer were also scrumptious!"
After Singapore Formula 1,"Went to this restaurant after the Singapore GP. Good welcome, english was ok and food as expected. Can recommend if you ever are nearby. Open after 23.30, at least this Sunday."
"Great food, Nice terrace and location","Probably one of the best indian restaurant in Singapore, the food is really good ,Sheek Kebab is perfect and not too spicy, their butter chicken is also great.
Rare thing in Singapore for an indian restaurant : they have a nice terrace, big and quiet.
Price is cheap compare to others restaurants with terrace. They also serve alcohol."
Unbelievably rude service,"This evening we returned to this delightful area in Albert Street. We had had drinks there in the outside area the night before and loved the atmosphere.
As it was really hot we wanted to go back to this lovely area, but somewhere with air conditioning. The menu for the Shish Mahal was good and when one of the waiters outside approached us and confirmed they had air con inside we were delighted. I wished we had stayed outside as the staff were polite and smiled. Inside we sat and waited, and waited, and waited. Finally I had to ask for a menu. It went from bad to worse. No welcome, no smile, rather a dismissive attitude. We did order and had ok food. At every stage we had to get the waiters attention and were treated rudely. Finally when we paid we got a complete blank. No thank you, or I hoped you enjoyed your meal. As we walked out we both said thank you and he turned his head away.
I am shocked with this level of rudeness as in Singapore we have only had marvellous service."
OK ok,Hi The restaurant is not that good. I ordered mix veg one day and they gave me some old stuff.. It was a bit smelly too.. Please try other restaurants if u hv option.
"Great Indian, had to go back for another visit. It was that good","Service outstanding, food also to die for and ver generous with the quantity when served. Very close to my hotel and has a great outdoor dining area to soak up the evening cooler air. Well worth the trip."
Great for a leisurely meal and a pint with your curry!,"My girlfriend and two friends went for the meal and arrived late after 11 and were promptly seated outside where I found the ambiance to be delightful - the setting is on a pedestrianised street and provides a quaint backdrop for a chilled out dining experience.

We started with poppadoms which were on the smaller side but very tasty all the same and came with a mint yogurt type dip which was of a perfect consistency. After being recommended the butter chicken I was not disappointed as it was rich, tasty and the meat was beautifully tender as to compliment such a dish. Whilst I can imagine a butter chicken of a higher caliber this one was far from disappointing. Accompanying this we all share the naan basket which for the price was sufficiently ample in allowing us to mop up each of our curries as it was a mixed basket containing 16 individual cut up segments of naan. I washed this down with free water which was regularly topped up upon request. I also tried some of my girlfriends paneer dish which was tasty and packed more of a punch spice wise than mine and is something I may consider next time.

The service was friendly with the waiter having banter whilst we ordered and the staff were not overbearing and allowed us to have a meal in peace and were not pushy for us to leave despite us staying in the restaurant up to 45 minutes after last orders. It's not the cheapest in the area but fairly priced and we thought the service charge was well worth paying. Would recommend to all"
Authentic Indian Food,Food here is totally value for money Taste just like Indian food Offers hotel guests a discount as well
Great Food,"Fed up with eating over sweetened and under spiced indian food back in the UK this place was a great surprise. Just across from our hotel we ate here rather than go back into town .
Every bite was full of heat and spices
Service was good
Well done Shish Mahal"
Best Indian in Singapore,I went back here again last week while on a family holiday in Singapore. I have eaten here many times since 2015 and never found better Indian food anywhere! The service was impeccable. They made my family feel very welcome and relaxed. The tables in the courtyard out the front are a great spot to eat within Albert Court. Top marks again for this restaurant!! A must try in Singapore!!!
"Good food, marred by disappointing service","Food was very good, I enjoyed a nice spicy vegetarian dish, setting was also pleasant. The experience was unfortunately marred by one particular waitress who could not have been more rude, sullen or unhelpful if she tried. Hopefully this can be sorted as it spolit what would otherwise have been an enjoyable meal."
Good Food Ruined by Feral Children,It's always difficult when you're reviewing a restaurant to know the factors to take into consideration. The Shish Mahal was located very conveniently close to our hotel so we opted to visit for an evening meal. It was only once we had begun to eat our starter that a group of what can only be described as feral children ran riot round the outdoor seating area and into the interior. Their parents were with them sitting at a table removed from the group of about 6 kids and not once did they move to take any action or account of the effect their offspring were having on their fellow diners. Perhaps more culpable were the management and staff of the restaurant who similarly tolerated what would have been intolerable anywhere else. The fact that the parents seemed to be known to the staff perhaps explains this but staff are responsible for the dining experiences of all their customers and here they completely failed. Having said all this the food was actually very good and surely most diners here will not experience the mayhem of our unfortunate night. The restaurant management needs to get the message however and need to know that we would have eaten here again had it not been for their negligence on this occasion.
Great food,"We visited this restaurant on valentines night, they had a lovely buffet with a wide range of dishes, very tasty. Staff were very attentive and friendly."
Best Indian / Nepalese,"We cannot recommended this place highly enough. The food was sublime and the service was amazing.

Visited 6 times over a 4 week period as it was so good. Never disappointed and can’t wait to go back when we return in March.

Told all our friends about this place.

Great restaurant."
