topic,review
Good location and delicious food,I went to Shivam with some friends for dinner and was impressed with the flavorful vegetarian food and wide range of choices available. The atmosphere of the restaurant was also cosy and nice and the waiters were attentive. The restaurant is conveniently located just opposite Mustafa shopping centre. Would definitely recommend a visit.
Superb Masala Chai,"I was having Business Meeting at Shivam Restaurant , had their Masala Tea which I would recommend to all the Masala Tea lovers out there . The unique part in the Chai was the Cinnamon Stick AKA ""stirrer stick"" adding more Aroma to the Tea."
Good variety of food and food is delicious!,"They have wide variety of food that caters to different taste buds. The food is delicious too! We forgot to take pic before eating. They also have a lift to 2nd level as well, can host parties etc. Worth a visit!"
Great Food - Will visit again,Great quality vegetarian food. Wide varieties of menu to chose from. The food was flavour full & delicious. Portion size was value for pretty good. Friendly staff crew with excellent service. Overall a pleasant experience. Definitely will visit again.
Good Indian food,"Our family friend recommended this place, this restaurant serves 5 cuisines. We tried sizzler pasta. It tastes good. We enjoyed the food"
Really great ambience and good food,Shivam restaurant is at the heart of the City just opposite Mustafa. Great ambience and good food. I encourage people to visit and enjoy the tasty food.
Excellent food,"My friend recommended this restaurant, tried jalebi and other snacks. Excellent taste and I enjoyed the food"
Good vegetarian option,I had a sizzler Mexican rice. First time trying vegetarian version of Mexican rice. Taste good. This restaurant got many other options. Will definitely try again!
Best Indian Restaurant experience!,Greatly enjoyed my time dining here. Appreciate the great good and great service. Definitely one of the restaurants I’d keep coming back to!
Good vegetarian food,"I went with my friends, very good food, menu choices are many.. tried chole batura. Very tasty and I enjoyed"
Average restaurant,There are many good Indian restaurants in Singapore. This was average at best . Staff were ok but still a long way from 5 star service
Good vegetarian restaurant,"Visited this restaurant after seeing the review, tried punjabi thali. Food was food and I enjoyed the taste. Staff were courteous and recommended correct choices according to my requirements."
Disappointingly average,"Was expecting good things after all the 5 star reviews. I took the pani puri which is all about the flavour of ground spices in the water followed by the chana bhutura.

Service was prompt and speedy.

The food arrived and looked great. But it was at best very simple home style cooking, lacking any deep flavour and spices that you expect when you go dine in a restaurant.

While I was eating, the owner was sat 2 tables away and decided to make a phone call at the top of his voice, with no regard for his customers.

Tekka market has better food quite frankly!"
Mexican Pasta Sizler,"I always wanted to try the Italian food with a touch of indian flavour.. I tried the mexican pasta sizler and it was one of the best fusion food i had recently.. It was a combination of different pasta like penne spaghetti fuesli.. Loaded with cheese and tomato base with bell peppers corn mushroom olives and other veggies.. topped with herbs As this will be an overload of cheese the restaurant make sure that to reduce the quantity of the cheese. this is presented like a sizzler

Overall it is super Appetising and 1 portion can be shared by two individuals.. It’s a must try for all veggie pasta lovers"
Great food,My friend recommended this place. We tried Punjabi and Gujarati Thali and they were delicious 😊 They do have varieties of options and I strongly recommend this place for a perfect feast.
Good North Indian food,"I was looking for good lunch, i noticed Shivam serves thali. I tried North Indian thali, good taste, reasonable portion. Enjoyed the food. Need to visit again and try other cuisine Mexican and Italian food."
Good Gujarati Food,"I am a South Indian, my friend recommended me to try Gujarati veg food here, I had kichadi and patra, excellent taste and I loved it."
Good taste and service,"I went with my friends, tried masala kichadi. Homely taste, enjoyed the food. Lot of menu varieties and multi cuisine food. Need to visit again and try other food"
Delicious multi cuisine food all at one place,"Shivam restaurant in Farrer Park offers multi cuisines - North Indian,Gujarati,Mexican to name a few.
I went there with family referred to me by a friend and the food was mouth watering,well prepared and delicious.
Loved the taste of all the items that we ordered including the desserts."
BEST INDIAN RESTURANT,"This is my absolute favorite eatery in Singapore. The food is always fantastic and no matter what I order I'm always pleased with my mess! waiters are also great and always effective, happy and polite"
Great Indian food,"Went to Singapore on a business trip, i was searching for Indian chaat and snacks, i had few snacks with my colleagues, we all enjoyed the food. Varieties of food, good service and traveller friendly"
Good Indian food,"I went with my friends, excellent menu choices, good service and good taste. Enjoyed North Indian food and sabji"
The place to go for Indian vegetarian food.,"Had lunch at this restaurant which is located just opposite the Mustafa Shopping Mall. As I’m not familiar with Indian vegetarian food, I asked the owner to recommend. He asked about my food preferences and recommended 1) butter naan 2) Palek Paneer (spinach gravy with cottage cheese and 3) vegetable biryani (serve with some yogurt salad). We ordered fresh lime soda for drinks.

The recommendations were perfect as we enjoyed the dishes very much. They were tasty and not very oily, nice and healthy food basically.

There are many other dishes in the menu that we would like to try. Will visit again."
Nice good food,"My friend recommended this restaurant, I tried paneer tikka, it’s a cottage cheese. Good taste and I loved it. Need to visit again and try other foods"
Good vegetarian food,"I enjoyed their most unique, fragrant and delicious masala tea. Uniqueness is you will get a cinnamon stick as stirrer instead of spoon. Must to try. Other disk to try is Patra. Made from a huge leaf which is edible"
Excellent food,"I went with my friends and tried fried rice and Gobi Manchurian, tastes very good. Good service, staff also good...."
Great Indian cuisine that is extremely delicious!,"went with my friends, menu varieties are good. i tired sandwich, prepared with Indian spice twist. good taste and good service. will gi again to try other menu varieties"
Excellent Gujarati food,"I came to Singapore last week, I was searching for Gujarati food. My friend told me to try thali here. I visited today and had Gujarati thali, homely authentic taste. Must visit again and try other Gujarati food here."
Good Indian Vegetarian food,"Happy and delicious Indian food. My friend recommended to try vada pav and masala tea, very tasty and I truly enjoyed. Need to visit again to try other menu varieties"
Excellent food and staff,"It is my first time eating Indian food and it was really good, I particularly liked the puffed rice with tangerine paste and pizza!"
Fabulous food,Very very good food loved it . A must visit place in Singapore amazing food with perfect taste Must try pasta roll & nachos
Good Indian Vegetarian food,"I went with my friends, good taste, nice service and variety of menu options. All the food are tasty from starter to main dish. Must recommend"
Awesome Vegetarian Food !,"Went with family, had a wonderful experience in terms of great ambiance & Awesome Quality Food Varieties. Location very convenient as just opp to Mustafa Center, Highly recommended !!!"
Very food good,"Went with my friends, what a menu varieties?? Wow had starters, taco's.. my favorite is roasted capsicum with cheesy Nacho's."
Good Indian veg food,"I went with my friends after seeing the reviews, ordered thali, good portions, variety of Sabji, nice taste. Their menu choices are good. Must come again"
Good vegetarian restaurant,"Good vegetarian restaurant in little India, close to Mustafa center. Tasty fresh food, kind waiter. We had a nice moment with fiends."
Good Indian restaurant,"I tried North Indian food in various restaurants in Singapore, but this restaurant food stands different. Very good service, great taste"
Best Vegetarian Restaurant!!,"First time having Indian Vegetarian food and was impressed! Vegetarian food never been this exciting and tasty. Excellent service and each dish well executed and bursting with flavours. All the dishes I ordered, honestly I like them all. Pani Putri, Cheese & Garlic Naan, Hara Bhara Kabab, Gobi Manchurian and Paneer Methi Wala. Must try! I be back for more for other dishes as the menu got alot dishes."
Sedu,"Recomended by friends. Visites this hotel. Good Variety of Vegetarian Food, Hospitality was good, Nice Ambience.. Will visit again...Will recomend to my friends.."
Good indian food,"I went with my friends, excellent service, good homely food taste, enjoyed well. Must recommend for all."
Awesome indian vegetarian food,"Interesting selections of Pure Vegetarian Gujarati, North Indian, Italian, Mexican to Indo-Chinese cuisine

My personal favourite would be their Naans. Chewy and crispy. Fragrant too. Generally all the dishes are flavourful enough yet not overly spiced. I love the Khaman Dhokla too, very interesting dish with a sweet savoury profile. The briyani is also surprisingly delicious! @shivamrestaurant is a good choice for people who wants variety, but do not like mock meat as there is no mock fish or mutton options for your curry etc. All real food."
Good indian food,"My friebd recommended this place, variety of menu options. Good taste, good service, nice ambience. Enjoyed very well"
Vegetarian Indian food in a new way.,Food was good. Friendly staff. Easier to order from online menu otherwise staff recommendation was also good. The masala tea is a must try.
Best time after Mustafa shopping!,I tried coffee and vada Pav a perfect place for a family timing!!! Good service and quality taste !!!!!!!!!!!!!!!!!!!!!
Good Indian food,"I saw the pics and review in Instagram page, tried briyani and naan. Good taste and they got lot of food item’s. Will come again"
Tasty Indian Vegetarian food,"They have a variety of food options to choose from Indian, Italian and Mexican cuisine and the food was very tasty. Good service and ambience too."
Good Indian Food,"I recently came to Singapore, waiting to taste good homely food. I found this restaurant while walking around Syed alwi road, tried north Indian Thali. Homely authentic taste. I want to go again and try other Food"
Yum,"Very good food. We ordered some vegan and gluten-free patras, dhokla, batata vadas and pakoras for our friends. Was delicious. The manager is also extremely helpful"
Veg means Shivam,Authentic yam... Mouth refreshing... Easy choice after shopping Worth for money and must try Jalebi sweet
Excellent menu choices,"Went with my friends, variety of menu choices. I tried cheesy nachos with roasted capsicum. Very tasty and I liked it very much. Want to go again and try other dishes"
Excellent Indian food,"Menu vareties are good, good service and good taste. My friend recommended to try here, it’s worth trying. I will come again"
Excellent menu varieties,"Got recommended by my friend, tried food with my family. Indian fusion with 5 cuisines. Tried cheesy nachos with roasted capsicum, great taste. Nice idea"
Excellent North indian food,"I went with my friends, excellent menu choices and good service,. I enjoyed all the food. Must recommend"
Awesome Food and really satisfied,"I eat vegetarian food and also in stay home notice to server quarantine. I saw this restaurant and called them to send food to my hotel. They immediately helped and also sent few extra portions of food. Food was good and homely food. I saw they have various menu choices, I will surely visit the restaurant after the quarantine. Great help from the restaurant, appreciate it."
Excellent menu choices,"My friend requested to try Gujarati thali here, i visited with my friend's, good authentic and homely taste. I requested them to customize the chat and requested specially, they fulfilled my request. Excellent service and good taste."
"Good taste, great experience","Various menu choices, good service, great taste. Tried veg fried rice with gobi manchurian. Excellent taste.. My friends enjoyed the food. Must recomend"
Nice veg place,"After seeing the review and ratings, I went to the place with my family. Good menu choices and great taste. Must recommend"
Nice variety and good service,"I saw few reviews and wanted to try here. Very good food choices and excellent service. Tried North Indian thali, homely taste."
Variety of choices,"My friend recommended this restaurant, variety of menu choices to try. Excellent taste and good taste. We truly enjoyed the food"
Amazing Indian Food,It’s a great experience. Amazing Indian food and service. Staff are extremely knowledgeable and make great recommendations.
Best place for Indian food,This place always have a special space in my heart. The food taste is super and literally mouthwatering You should specially try the Gujarati Thali and vada pav best place best food best time to spend
Excellent north Indian food,"I was looking for good Indian food, my friend recommended this place. North Indian thali is good choice and everyone enjoyed the food."
Excellent chaat,"I tried Bhel puri, excellent presentation and taste. I truly enjoyed the food. I recommend for vegetarian lovers"
Good food with variety of options,Most of my orders are from this restaurant. They offer a lot of good vegetarian options along with set meals at best rates. Lot of snacking options available along with good vegetarian North Indian cuisines. Do try if you are looking good for vegetarian Indian cuisine at minimum price
Dinner and sweets,"Had a dinner here with my spouse, we liked taste and service...we also took sweets for Diwali festival...overall it was a great day."
Good North Indian food,"My friend recommended this place, excellent taste and good service. Good menu choices, it's a fusion restaurant. Come back again"
Excellent food,"Good service, staff. Taste is excellent. I never tasted this kind of taste anywhere in Singapore. Good menu options"
Good North Indian food,"My friend recommended this place, excellent choice of menu. Good taste, great service. Tried Thali, good option"
Fantastic Gujarati Thali,I am regular visitor at Shivam. Service is excellent and so is the food. Recently I had a Gujarati thali. Excellent food keep up the good and hygienic standard.
Good indian food,"I went with my family, good options of food to try for full family. Concept is food for full family. Good restaurant"
Gathering,Althntic Indian food with Good service . food also nice ..boss very friendly..location is good Will visit again
