topic,review
Great food at affordable prices,"Great food, fast service in a central location. We arrived just after opening and despite having difficulty placing our orders via QR code the staff happily assisted and recommended their specialties. Great location near our house and with MRT and bus stops nearby. Must admit they have the best egg omelette I've eaten in Singapore Thai restaurants. So were the other dishes we had, Thai green curry with Thai white noodle and tomyam prawn noodle, their house special with 2 big fresh water prawn. Will be back for more."
Spicy food,Very spicy food but very tasty for us spicy foodies Serve food quickly Attentive staff Thanks Highly recommend this restaurant for everyone who wants to come to This place
Excellent Thai foods in Singapore,"Excellent Thai foods in Singapore. Super delicious authentic Thai foods. We had pad kaprao, Som tum, pork BBQ. Love here!!"
Excellent authentic thai food!,"We enjoyed the thai food here, especially fried seabass, crav omelette and green curry chicken! Will come again!"
Superb Thai cuisine,Had dinner at the Hougang Blk 529 outlet. Quality of food is superb and price is reasonable. Definitely will recommend more friends to come. 👍🏻👍🏻
Outstanding quality and value,"Outstanding quality and value. Great service too. During the recent 2HA lockdown Soi Aroy’s deliveries were a godsend. Reliable, tasty, value for money. Food was neatly packed, arrived warm and ready to eat. Keep up the good work Soi Aroy"
Good tasty Thai food in Sim lim,"Did not expect to see a Thai food place in Sim lim, was pleasantly surprised by the taste and spiciness of the pad krapow, pork cheek was flavorful as well as the rich Thai tea! Enjoyed my time!"
Hidden Gem 😋Soi Aroy,"Found this authentic Thai food at Sim Lim Tower while waiting for my box upgrading. Love this friendly place and enjoyed the food. Thumbs up to the signature noodle, delicious non-oily collagen soup with the generous portion of ingredients and chewy noodle. The sweetness of the Thai ice tea taste good for me. Not forgetting the yummy grilled pork cheek, the meat not too oily after using the flame torch lightly over it. Overall, I have a great experience with my first visit, and definitely revisit the place."
nice food,Food was pretty decent and portion was just right! The waiting time was quite short also around 5 minutes.
Creamy Tom Yam,Creamy Tom Yam was great!!! Portion is just right as there are 3 sizes of the food I can choose fromXD
"Authentic thai food, reasonably priced","One of the few authentic thai food that's not only delicious, it's reasonably priced too! Love the meat platter, vermicelli salad and surprisingly good bak chor mee AND their drinks are good too :) Service was fast even when i visited at full capacity."
Great Thai food off the beaten track,"When my wife suggested lunch at a Thai restaurant at Sim Lim square I was very sceptical but pleasantly surprised I was with Soi Aroy. The food was fantastic and the fact that you can order tasting samples was a real bonus as we got to sample many items on the menu. The Grilled Pork Cheek was exceptionally good and when you ask for the Spicy Pork Salad at the 'I want it hot' spice level, it is definitely HOT but lovely.
The staff were excellent, attentive and also taking the time to explain the concept of the restuarant and also the dishes which was very helpful. 4 bottles of Heineken for S$25 was also refreshing to wash down the fantastic food. We will definitely be returning to this little gem."
excellent thai food,extremely delicious thai food and friendly staff. the desserts here are so unique especially the cotton candy wraps. i would highly recommend people to dine here if given the chance.
A chance encounter😘,Was at Sim Lim Square repairing my laptop. Was hungry so walk around and saw this Thai eatery. Ordered a few dishes drinks n dessert to share; Wah..was so authentic n yum..almost like I was in Bangkok again! The food is fantastic so decided to order takeaway for crab meat fried rice n mango sticky rice. Will definitely either patronise the shop or order in (saw a deliveroo ad). Have to try their other dishes n food from the restaurant. The staff are polite n helpful too! Highly recommended
Impeccable service and perfect food,"I'd just gone shopping in Sim Lim Square and was looking for dinner when I was caught by the extremely professional greeting offered by who I assumed was a random staff member.

I stepped in and got myself a meal, and everything was perfect. Not too salty, not too sweet...just how it was supposed to taste.

The service throughout was also fantastic; turns out the gentleman serving was also the owner himself!

13/10 would come back AND check out their affliated outlet, Super Thai, in Joo Seng."
