topic,review
CNY Gathering,Truly enjoyed the dinner & Service at Song Garden. The food selection was delicious! Thumbs up to the GM & team !
CNY Lunch,Great food! Service was good and the ambience at the location is good for large intimate gatherings. Will be returning!
Good quality food,"Ask for their recommendations when you come here. They recommended the steamed fish, which was superb. All the other dishes they recommended were very good too. The staff were friendly and helpful as well."
Delicious,"If you don't mind abit overpriced, it's worth it. I got the 5 course set meal and it's not too filling and not too little (I don't eat alot)"
Dinner,My favourite restaurant by far. Never fail in terms of food and their excellent services especially from May who is always attentive to the customers.
Good food Song Garden Chinese Restaurant,"We came for lunch. Good food and nice ambience. For the month of December, there is promo for the steamed marble goby fish. Recommended."
My daughter enjoyed the service from the staff,Nice food nice ambiance. Always a great experience here. Will come back and recommend to my good friend. Merry Christmas and Happy New Year!
Dinner,"Services and foods are good. Always attentive to their customers, from recommending menus, refilling our tea, and sauces. Pork ribs are yummy."
Birthday,Wonderful food and great service. Shanvon was great ! Overall spacious for function. Place is clean and waiter polite and on the ball. The menu can be customized to requirements.
Best In The Town 👍🏻,"Conducive environment with relaxing background music. Staff’s service is top notch! They always ensure that your tea cup is full and give good recommendations as they are well versed with the menu.

The soup is served hot and was flavourful. Lastly, the iconic dish is none other than the Charcoal Tofu with Scallop.

Worth for a visit and highly recommended"
Underrated Chinese Restaurant,Serves good Chinese food at a very decent price. Food is tasty but not salty. Will definitely come back here again
Excellent,"Fourth visit, the pan fried cod fillet with black truffle sauce was good, at SGD28 each, price a bit high, but with such good quality still worth it.
Probably here they are good at preparing fish dishes.
The stir fried mashed fish noodle with lobster in signature chilli sauce was good too, much better than what I had on my third visit, this time the noodle was especially good, next time can request to cook with other ingredients ?
The stir fried ""Mee pok"" with seafood and lard in signature chilli sauce was also good.

My third visit was in March 2022, not sure why it took me so long to return, probably due to not so good dish of lobster noodle during that visit.
Ambience okay and normal customer service.
Rather unexpected to get a 5-star dining experience here."
Pleasant Lunch,"We had an enjoyable time during lunch. The Dimsum is still good, just as we had expected from our previous visits. Would like to thank Yuki & Team for the warm service despite the lean resources."
Opulent Cantonese Cuisine,"Song Garden had always been on my wishlist since I had lunch at this place three years ago. It was with family though, so I totally had no impression of what I had eaten, except that I like the food here. So I'm finally back again to slowly savour the food and write this post about this restaurant.

Treasure Platter (Chilled) of Foie Gras, Abalone and Sake Infused Crabmeat Salad is a good showcase of what this restaurant has to offer: Classic Opulent Cantonese Food with a Twist. Sake infused Crabmeat coupled with thinly shredded pickles cucumber is very refreshing on the palates. The umami of crab and flying fish roe go very well with the tangy flavour of the cucumber. A good starter. Chilled Foie Gras is very buttery and the jelly that comes with it introduces a burst of refreshing juice that harmonises perfectly with the richness of the foie gras. The abalone is very flavourful and the texture is just right: not too chewy but firm.

My favourite got to be the Deep-fried Homemade Charcoal Tofu with Crab Meat and Hokkaido Scallop. I love this so much. So traditional yet so unique. Every bite of the soft fresh tofu is filled with awesomely sweet umami of fresh crab. Even the veggie is also soaked with the goodness of the crab. The slightly crispy exterior of the tofu gives a nice variation to the texture. The fresh, well-seared Hokkaido Scallop is plump and meaty, going well with the tofu.

Lots of dim sum items on the menu are the old-school types, and I decide to try one of the staples of dim sum repertoire: Deep-fried Prawn Dumpling with Mayonnaise. Crispy deep-fried thin dough skin wrapping around super fresh juicy, bouncy prawns get the thumbs-up from me. Now I look forward to trying the rest of their dim sum items.

Pan-fried Pork & Foie Gras Dumping is one of the more innovative dim sum items on the menu. This is like gyoza filled with meat and soup à la Xiao Long Bao. So juicy, so good. And the hint of foie gras inside gives the dumplings an extra buttery richness.

Chilled Black Glutinous Rice with Ice Cream Served in Young Coconut is pretty good. The coconut ice-cream is so creamy, so good that I do wish more ice-cream is added. A little dollop of ice-cream is so easily over-whelmed by the sea of black glutinous rice soup. Yes, I said ""soup"" because texture wise, the black glutinous rice part is a bit like starchy shark fin soup. Some people may like the smooth texture of black glutinous rice prepared this way, but I prefer to enjoy the wholesomeness of rice grains by chewing on them. By the way, I also dig up the young coconut flesh from the shell to enjoy. It is yummy.

The place is very posh and full of traditional Chinese influences, yet inviting and comfy at the same time. The red plush chairs make for very striking impression. I love the semi-circle red plush sofa seats at the side, it makes one feels like one is in a private space of his/her own. The service is professional and efficient. And the tall lady staff is very friendly and helpful in recommending the dishes without hard-selling. This is a very nice restaurant to enjoy traditional Cantonese food, with some twists at times."
Compliment,Roasted duck and pork is a must to order! Warm staff and great ambience to dine in! Will definitely return 😁
Family dinner @ Song garden,Great dinner with my family over here. Good is good with nice ambience. Will consider to hold dinner for business here too.
Friend gethering,"Best restaurant I ever been, all service excellent in all aspect. Yuki & May are the best server. We will be back again."
Friend gathering,Excellent service in all aspects. Especially Yuki & May they are the best service in town. Good environment.
Dinner,Food tasted delicious. Staff provided great service. The avocado dessert didnt taste like normal avocado but still tasted good when mixed with the coffee ice cream that came along with it.
Good dimsum,"Great dimsum, wonderful service. The service staff gave good recommendations and were very patient and attentive. Would return!"
Birthday dinner,We celebrated my mother in law’s birthday. The staff and manager (Ms Yuki) were excellent. The food was also very good. Highly recommended!
Lovely restaurant for the family!!,Lovely place to be at if you're hosting your family to dinner! Good cantonese chinese restaurant that caters delicious dishes and providing top notch services! Yuki has been fabulous and warm throughout meal. Love to return soon!
Happy,"Great service, delicious food. Thanks to Dickson and yuki for accommodating us v well tonight. Despite the last minute request they managed to do it for our friend. :)"
Overall is good,Overall is good. Pecking duck is not crispy enough. The place is cosy and clean. Sometimes serves tea quite slow and not notice when cup is empty.
Review,Good food good ambience. Waitress are attentive and they can give good recommendations. Overall experience is good.
Good food! Really enjoy the food!,It’s really our first time here and very pleasant surprise by the food quality and variety! Will return!
Enjoyable Meal,Went for the Dim Sum on Sunday 4 Sep and was crowded. Last visited weeks back and the food and service were just as good. It seems the service staff were shorthanded but could see that they did what they could to accommodate to their best ability. Appreciate the service rendered by Shanvon & Joey : )
Better Cantonese restaurants out there,Very over priced and service very poor . Best to stick with other high end restaurants such as imperial or even crystal jade .
Underwhelming,"Given the ratings (and the prices) I was expecting a bit of ""wow"" - there was none of that. The food was definitely ok, but given what they charge I would have expected quite a bit more in presentation and quality."
While going,It was a good experience here. Nice Restaurant food was Very Tasty specially soup & Shrimps and Scallion. As per price this restaurant expensive. Overall good experience
Yum cha at its best,"Deluxe environment, met with great service. Food was top notch and accompanied with great service and a peaceful environment, you can’t get better yum cha than this. For larger parties, there are private rooms. If you are a larger party, please go to those rooms."
Song Garden Dinner,Will definitely come again to dine in with my family. Kudos to yuki as she is warm and professional making her way out in making our dinning experience very enjoyable.
Song Garden @ Mecure Hotel,"Restaurant's ambience was great, suitable for big gatherings with family and friends. Food was delicious and they offered a wide variety of dimsum that had a creative twist to the traditional dimsum. Service was very good too. Highly recommend!"
Great Dim Sum,"Dim Sum was really good. Loved the chicken feet, 流沙包 and the otah dumpling. Great place to go to if you are a fan of dim sum"
YUMMY dimsum,Bring your friends and family to eat some good tasting DIMSUM!!!! I really enjoyed the large variety of dimsum especially the xiaolongbao and dumpling 😋🤤
Good fusion food,"The food was good and the service was excellent, 10/10 would reccomend friends and family to come back here to eat again"
Wonderful dinner,"Outstanding food and service, especially from Shavon. Food recommendation was great and food served hot"
Ms Tan,"Family dinner for 9 pax. Service was swift, excellent and great. Thank you for the wonderful team for the great time here. Food was yummylisious."
Mr bryan,Fantastic roasted duck and very well cooked seafood horfun. The place is quiet and good for family gathering
Birthday Dinner :),Great and attentive service by the team! The crispy chicken dish was very original and delicious. The steam soon hock we had was fresh and yummy. See you again.
Friendly staff good food,Very happy with the food and service rendered. Staff were very professional and had good EQ. Thanks so much!
Song Garden Dim Sum,The Dim Sum here are absolutely awesome. Way much better than Carlton hotel which I have went last week. Services and environment have so much different even though Carlton is a 5 star hotel. Services staff are so friendly and dim sum price are reasonable. This Dim Sum to me is more than 5 stars rating. Will bring my family here again
Eastern European Wine Pairing Dinner on 1 June 2022,"It was an incredible experience at the Chinese dinner at Song Garden. The selection of wines from Moldova and Romania were good choices to pair with the appetising dishes.

My recommendation is the Purcari- Negru de Purcari 2019, red wine from Moldova rich and intense flavour, paired very well with Pan-Seared Angus Beef Fillet"
Sumptuous Lunch,"Recommended dishes - Shanghai Dumplings (Siew Long Bao, 小笼包), Pork Dumpling with Mini Abalone (Siew Mai, 烧卖) and Prawn Dumplings (Har Gau, 虾饺). Thin skin, each dumpling are filled with wholesome ingredients. Nice ambient, good place for social gathering."
Friends gathering,"Had a lovely evening with yummy food with my friends at this highly recommended restaurant. Been here few times already and every time, the standard of service and food never fail me.
Great place to hang out with family and friends over lunch or dinner as the restaurant is so cozy. Will definitely go back again."
Family get together after after a long hiatus,Food was good. Especially enjoyed the fried crispy fish skin in salted egg yolk and the clay pot rice. Staff was polite
Siblings Gathering,Get together dinner with all siblings after 2 years because of COVID. The food served at Song Garden were very nice and yummy. Each dish was individually served. The staff was very polite & service was very good.
Service level needs improvement,"味道环境都不错，但服务有点差。价格中高，人均80新币（400人民币）可免停车费。
Overall taste is good, good restaurant ambience but service level needs improvement. Above average pricing with free parking. Average S$80 / head (400RMB)."
Birthday celebration for mother-in-law,"4 of us ordered set lunch $43++ each and top up with dim sum (carrot cake in XO sauce etc). We are pleasantly surprised by the food quality, food portion and nice ambience. We also ordered a few longevity buns for my mother-in-law and my uncle. They are fragrantly infused with osmanthus. This is our 1st visit and I'll definitely be back again for the yummy food!"
Song Garden - Highly Recommended!,Food quality is great; Excellent service from William and Yuki: Price is reasonable! Definitely will be back again to try their dim sum.
Review of food,Food is nice and good quality. Service is also good. Will definitely come back the next time with family and friends.
Good dinner,"Third visit, the prawns mentaiko and noodles lobster were above average. Previous two occasions I was the only diner, this time glad to see another two tables occupied with guests."
timsum with family...,the best timsum....excellent food n service.my family members love it. No other choir only Song garden.
Highly recommended,Impressive service from Ms Yuki and team. Excellent food with nice presentation. Definitely worth trying
Family outing,"Food is good and nice. Service is excellent and staff are friendly. The robot, Yummi, is quite helpful in giving the food to us."
