topic,review
Tasty Crabs,"Crabs were the highlight and they did not disappoint. Crayfish/ slipper lobsters were good too. The mantou was a tad over fried . It spoilt the taste when eating with the chilli crab. The local dishes were below average.
Nothing much to shout at. This is an area for improvement. They could have added local desserts like chendol ."
Excellent food and spread,Excellent Christmas Day buffet spread. Dishes were tasty especially the Christmas special roasts and desserts. Very good pricing too!
Disappointed,"Went there to eat the Sin Ma buffet however, was being inform they are serving only festive buffet lunch.
What the....
Should had let known earlier even before proceeding into dining area as there are few more queuing in front of us. They simply just led everyone else in and inform when were at the table.
Though i reserve at chope, I actually reserve another date from the restaurant or hotel web which also, did not mention about the change.
Nothing to shout about for the price we paid for a festive buffet. Can't really understand where the festive comes into play, beside charging festive price"
Enjoy the Breakfast Much,"We like the spread of the breakfast. It caters to the local, Indian and international.
The place is spacious so that we did not feel over crowded despite the stay rate is high during our time.
There is slight change on the morning breakfast so that we will not find it boring and repetitive."
Reasonable price for satisfying crab craves,"It was a Thursday night dinner for colleagues. We enjoyed the fresh selection of crabs especially the bak kut teh pepper crab!!!The thick flavourful gravy laksa (it's just the way we liked it), satay, roasted meat, soup, salad, durian pengat, sashimi, jackfruit cake, self prepared muah chee was fun and the attentiveness of the servers to promptly clear our plates. We will be back again!"
Wide variety of food.,Menu is always interesting and new each day. Great food. great service. Very conducive for families travelling together. Perfect holiday accomodation.
Crab Lover Buffet,"Generally, I am not a fan of hotel buffets that serve pre-dominantly local cuisine. But I do love mud crabs, and this place definitely serves up plenty of crab in their dinner buffet.

There seems to be a fair number of reviews here that say their crabs are not fresh. For me, I am pretty sensitive to that ammonia smell that is associated with crabs that are not very fresh at all. Perhaps it was a good night when I dined there, because I did not detect any of that non-fresh situation that many others have cited here.

Off my memory, I recall sampling chilli crabs, white pepper crabs, salted egg yolk crabs, and a dry curry powder one. Out of the lot, my favourite would still be the chilli crab style, as I love me an eggy gravy. You can have as many deep fried buns to complement the sauce.

Whilst the crabs were pretty good, the one item in the buffet that I thought was really nice was the pig stomach soup. I really did not think that I would be having a good time slurping 2 very full bowls of their tasty and peppery pig stomach soup. If you are here for the buffet, please do not skip the soup, and have at least a bowl of it.

They also have sashimi and a few kinds of sushi, but I really did not think the sashimi was very good at all. Not sure why - perhaps it was the way the sashimi were poorly sliced in very odd and uneven shapes. It came across to be as a tad sloppy. And it did not taste as fresh as sashimi can be. Not that it tasted stale - just not very fresh.

The salad station was a yawn-fest. Did not even bother touching anything there.

I had a lot of fun at the DIY muah-chee station making my own muah-chee like how they do it at the pasar malam. As it can take some time to snip yourself up a pile of muah chee, I would not advise it if there is a queue. You can always return to have some when there is no queue.

As a whole, I feel that this buffet has some ups and downs. Luckily for me, the freshness of the crab was not an issue. The spread is so-so, and definitely could have more additions. For $68 nett per pax on weeknights, I was expecting a bigger spread."
First buffet since Covid-19,"My family wanted to have our very first buffet since C19 and decided on this. We were delighted with the variety and was especially looking forward to the sashimi and the crabs. We were disappointed to find that the crabs were not fresh and the chilli crab was not at all spicy, more like tomato crab. The rest of the food was good. Overall, we enjoyed the buffet, it was good value."
Disappointing Lunch,There was not much items on the buffet table. Not even pastries. The hokkien noddle was very soft and wet. And there is porridge with few accompanying dishes. It's quite a wierd buffet spread and rather doo away the porridge! The refill of the braised duck was like chicken which was not the usual dark brown color but whitish which showed that it's not cooked and marinated with braised sauce.... there were 4-5 types of crackers which does not make sense? Truly disappointing even for $25/nett per pax. I rather pay more for a better and more variety of buffet spread...
Great place but food is a disappointed. The service staff was great. But just the food is really bad.,Just disappointed with the food. The crabs not fresh. Usually I don’t complain at all. The staffs were great.
Not up to expectation,"Went there for a birthday dinner, not all food item listed on the menu was provided. Service were slow, so food items took a long time, their cooked crabs disappointed us the most, it wasn’t fresh at all, the taste also seemed a little off. Overall all I can say is that there’s way better option out there for the price paid."
Buffet dinner at Spice Brasserie at PARKROYAL on Kitchener Road,"We had dinner on 24 Sep Sat, was served by Subas for being helpful and nice. My mom wants to have the Nonya Kueh from the buffet however there was none left. Subas was observant and quickly when to the kitchen to take out and placed it at the buffet. He informed to my mom about the top up."
Inexperienced staff,"Staff asked to see Chope voucher number, I bought 2 vouchers in one receipt so I only have 1 voucher number. She is obviously inexperienced and is inpatient and kept insisting I should have 2 voucher numbers. She then peeped over to my email and asked rather rudely ""you sure 2 vouchers? how much you paid"". That is really rude. We thought things have settled after she took down the voucher number, but she came over again when we are almost done with the dinner. She questioned me the same exact thing - ""you should have 2 voucher numbers, where is the other one?"". I went through the email again and asked exactly how to claim as she wants us to claim. She took a glance at my phone and replied ""I come back later"". We ended up showing it to another staff and she had settled it in seconds. I am sure Chope vouchers should be quite commonly used, even if the staff does not know how it works and is unable to advise, her attitude is really bad."
"Options are limited, taste normal","Quite surprised that the variety of food they have are so limited i can even rmb each of it. The taste was normal, i can find better ones at any coffeeshop lol. but thumbs up to the chili crab but i cant be only eating that right. Totally not worth the money. Staff there dont even smile also"
Delicious food with great hospitality,"I had a great time eating delicious food at your restaurant. The waiters Raj and Subas were committed to great service and were very friendly. The
atmosphere was awesome and I definitely liked that you have a very modern
style. Most importantly, every food and drink on the buffet were awesome."
Buffet dinner,"I went for buffet dinner with my partner. Food spread worth the price. Service was excellent, and a special thank you to Serene, whom we thought was a part timer at the restaurant as she was not wearing the same uniform as others. Only until we chatted then we realised she's from the front office but helping out at restaurant. Very impressed by her service and attitude. Serene also constantly attended to us and ensuring we are being well taken care. Thank u, Serene and staffs. We will be back for staycation when hotel open."
worst buffet i ever had,"selection of food -
ambience -
service -
verdict - first and last
non-halal. not only that, pork dishes were serve together with what i called ""halal"" food although its a non halal restaurant. a big NO to those muslim guest."
Not worth the money,The buffet is good and with plenty to choose. Just not worth the 68$ per person. For that price you can eat a la carte in much better restaurants. Desserts were very good.
Awesome place for dinner!,Great food and great ambience. Discount w passion card was great! Highly recommended for friends and family!
Food and service,The food very delicious and nice. The prawn and crab very fresh. A lot variety of foods. The service also very good. Especially Kavi
Succulent crab buffet! It’s crazy!,"Large mud crabs cooked in 4 different styles. Big claws as big as child’s palm. Unlimited flow of crabs, replenish at short intervals. Wow. Service crew Ms Kavi is a wonderful hostess. Prompt service, chatty and smile always. Family enjoy the buffet dinner."
Good and Friendly Service Crew - Kavi,"Kavi is very friendly, approachable and would go the extra mile to serve us. Our family had a wonderful time at the restaurant."
Nice food,"Nice food & nice place to dine.
Went there for my anniversary, the price is reasonable too. Loves the crab."
Mages.Kenny.Raj,Fantastic service and was very friendly and welcoming. Did his best to ensure we had a great time as a family. Thanks Kenny Raj!!!
Lousy seafood buffet,"Lousy seafood buffet yet charged so much for the bill, crab meat is not fresh at all and not much options to choose"
Cheap and Good Buffet,"The laksa, kueh pie tee, otah and desserts were lovely. Plates and bowls were cleared regularly. Special thanks to Phoebe for helping us with the popiah."
Birthday Party,"same like last time before covid 19
all good
Service good
won't regret for dinning
Trust Me

Thanks you"
Buffet lunch,"Good food and Service all staffing duty staff mages. Kenny. Deepa,helen,raj,Puru,phone,stephanie.and this beautiful ambience"
Dinner,"Good variety of food, staff were attentive and made for a pleasant dining experience! Esp Phoba, Meges, and Deepa, thank you!!"
Dinner,"Great food and service here! The staff were very polite, helpful, and responsive! Sashimi was fresh. Will return"
Great food great service! 👍🏼,Good service by Mages and crew. The kids enjoyed the food too. Loved the special ice cream Will definitely visit again.
Wedding cum family gathering,"Good food, good service by Meges, Phoba & Deepa. Convenient location. Been there more than 10 times. For all CNY & family gatherings."
Spice dinner buffet,"Special thanks to one of the waiters Mr Mages. He provided very excellent service responded to my request in a very timely and polite manner. It’s a great experience. Even though it’s just a buffet l, but the service is amazing."
"Average, just very average","Quality seems to have dropped since they switch from ala carte buffet style to self serve

Quite pricey at $68 nett without oysters or lobsters on the menu, and the rest of the spread could not make up for it"
