topic,review
CNY dinner,"We had our CNY reunion dinner here. Actually it was held at the ballroom, but the food was from this restaurant. The buffet was well done, sufficient variety of dishes and desserts. The hot food stations was yummy too. Seating-wise was ok. Not too cramped. Overall a great experience although it did feel a bit like a wedding dinner."
Always enjoy my dining experience here.,"Dined here for lunch time Peranakan buffet a number of times over the years.
Have always enjoyed the food.
All the staff at Spices cafe are definitely to be commended ; always helpful, pleasant &
service oriented, whether it is the hostess, captain, waiting staff or cooks at the different stations.
They’re so helpful.
I will continue to dine here and definitely recommend this establishment."
Disappointed,The selection for the buffet was very limited and taste wise it was just OK. Nothing great. Won't be visiting again.
My go to buffet restaurant,"Service was excellent and food was great , price per pax is affordable with discount. Highly Recommended"
Disappointed and place seems understaffed,Limited buffet selection. Went there for their crab buffet but staff repeatedly refused to take our orders for the crab until the very end. Had to keep asking for the crabs before they finally served it. Seems like the restaurant cannot deliver on their crab buffet.
Value for money,Returning customer for many years. So far the most value for money Xmas buffet even though this year the price goes up a little.
Good varieties of seafood,"There are unlimited of crabs, prawns & satay. The main fish is nice but always run out. The herbal prawn soup is nice. It seems that it took longer time to serve the crabs.
It would be great if there is free soft drinks as the buffet price $75+++ is above average…"
Buffet lunch with friends on a Saturday afternoon,"Buffet spread mainly consist of Asian food in particular more towards paranakan food. Buffet lunch does not serve western soup or bread at all, also no Japanese cuisines like sushi or sashimi . Only hot drinks are coffee n tea. No juices or soft drinks are served. A little different from usual buffet spread I have been to before ."
Consistent food and service! And thank you Rita for being a gracious host! :),"It was my 2nd visit and the food and service was consistent.

Restaurant gives us a very homey vibes.
Everyone was friendly and the buffet food selection and quality was still good.

Special mention to Rita for being such a gracious and sweet host! Thank you for performing the special song for my parent’s wedding anniversary. It was extra memorable!

We definitely look forward to be back! :)"
Spices Cafe,Spices Cafe has an amazing Peranakan buffet lunch at a very reasonable price for seniors. Food presentation and quality excellent. Staff very attentive. Would like to single out Rita who has been there since we started going to Spices. 3 years away (due to covid restrictions) haven't dimmed her beautiful personality
Value for money,"First visit to this Peranakan Buffet. Laksa gravy just nice not overpowered by too much coconut milk. Returned for second bowl. Chicken and beef satay were tasty, meat soft, not hard. Surprised to see grated pineapple for the satay. Rest of dishes were delicious, especially ayam buah keluak. Nyonya kueh was cut into bite size pieces. Durian Pengat was a favourite, although a little sweet.
Friendly and attentive service from the Manager and staff. We were entertained by the friendly female waitress.
The pricing is enticing to return for another lunch soon. Expansive variety to try, couldnt sample everything. Being a weekday, small crowd."
Quality of food,"Cuttlefish was overcooked, is very tough and unchewable. Stingray was tough and dry. Prawns texture is mushy, and the jellyfish has a very strong fishy taste. Dessert still has the same standard though. However, quality of food has deteriorated over the years as we used to visit for Mother's Day celebration as my mum loves the local food selection. This recent tasting of food quality made me think twice about booking my reunion dinner buffet with Spices cafe."
Worst seafood buffet ever,"Worst seafood buffet ever. Minimal selection, seafood counter is in a mess look like leftover, sushi and oyster are empty 80% of the time. Slow top up, basically food sucks.

Free flow crab not on counter have to order separately and they make you wait 30mins. When the portion comes it extremely small, seem to be short of staff, can't seem to find any around to take food orders. Slow to clear the plates. Horrible. Will never recommend to anyone"
Good food and staff,"The food is very good, and all the staff makes you feel at home. This is my regular hangout. Must come and try it!!"
Average Joe,"Limited selection and also not the freshest of seafood food. For the price paid (around $65/pax), wouldn’t call it a great deal."
Nice ambient and good service,The ambient is nice and informal. The service is good. Food spread seemed to have lessen. Value for money for seniors.
Good place Good food,"There is variety of food, love the kuay pie tee, laksa and etc. Staff was friendly and helpful. Price is reasonable too. Will recommend my friend and family."
Dinner Buffet,"Very good service level & promptness in refilling the food. However, can prolly add a little more varieties to the food."
Friendly staff,Son and Hub enjoyed the black pepper crab. Chilli crab was too tomato-ish for our liking. Mentaiko lobster was much tastier than cheese. Tomato soup was lovely. Son loved the sushi. Durian and mint dessert were our favourite
Dinner Buffet,Good food..good service. I will recommend to friends. I would love to have more selection though. All the best to the friendly staff!
Good peranakan food to experience,"The service was great , food is well balanced. At almost the end of the buffet, there was no replenishment."
Fantastic,"The food was so tasty and fresh and there was a great assortment, service was awesome and friendly, definitely value for money"
Not to my expectations,Chope app easy to use . Staff service was excellent; food average. Not much variety. Drink has to order separately as it is not included in the buffet . Only plain water and hot drinks are available.
Great buffet,"Upon arrival of the spices cafe we were greeted with a warm welcome, expectation were up to standard. Cooked Food and seafood are freshly prepared served with lobster and crabs. Service a tiptop . Thankyou for the great experience."
Lunch at Spice Cafe,Made the right choice to have Peranakan food at Spice cafe with my brother n sis I law who came back from overseas n longing for such food .
Excellent,We got a dinner promotion. The food is really nice and the service excellent. Lots of choices to eat and fresh sea foods.
Miss u so much,"Have been waiting for them to reopen their buffet lunch. Glad to see familiar face (Rita), service is still as good as before. Thank you Rita for being so nice and thoughtful as before. Food is still so good."
service and food are V.good,waiting time is too long. there should be free flow of either ice lemon tea or an orange juice for diners so that we do not have to start with coffee. Good food and good service provided by staff once we entered into the cafe. thanks.
