topic,review
Fantastic place to eat and drink,"At Clarkes quay. What a wonderful place to wile away some time. Happy hour is 3pm to 7pm drinks are not cheap but the ambiance is excellent. The staff are helpful, friendly and cheerful. The food is just superb and I would recommend this bar to all who visit Singapore."
"Friendly service, delicious food","SQUE was next door to the hotel I was staying at.
I ate there several times for lunch, dinner and drinks in the last week of November.

They have great happy hour cocktails and a three-course lunch deal. All the food I tried was well prepared and tasty.

The staff were particularly friendly and looked after me well as a solo diner."
Fantastic food!!!,"We came by this place by accident and WOW!!! We had the ribs, chicken, soft shell crab and sirloin. All four of us simply could not fault anything at all. Meals very very generous, ribs so tender and tasty. HUGE chicken dish, almost a whole chook!!! Sirloin beautifully cooked and crab super tasty.

Service amazing, fast and friendly. Do yourself a favour and just go there, very reasonably priced also."
Amazing service,Go to Sque for great food and drinks but above all…. The service is perfect. Kris in particular waited on me like I was the queen. We will be back for sure
Travel with my friend,I love it The food is delicious I will comeback I love it The food is delicious I will comeback I love it The food is delicious I will comeback
Certainly worth a visit,Stopped here for a couple of drinks whilst walking around Clark Quay. The staff are friendly & accomodating. Beer was cold and reasonably priced. Certainly worth a visit
Happy hour,"Great service, we came for happy hour and had a great time. Would recommend while staying in the Clarke Quay area, go for the Singapore Slings!"
great service and food,"Decided to stop here after a long morning of walking in the heat.
service was quick and friendly, decided on the 2 for 1 drink specials, coronas then next went for the Singapore slings..hit the spot.
We tried the calamari rings with the fries promo..all very nicely done..
Good spot looking at the river.
SGD $62.40 all up"
Riverside gem,Very attentive service and fast! Beautiful location highly recommend! One for one drinks happy hour from 11.30 to 8.30 very attractive
Great place to meet friends in the evening,"We had a table for 4 for drinks and snacks after work. Very relaxed environment, with great views across the river. Drinks were very reasonable, with an interesting (and long) 2 for 1 Happy Hour. Food was good, mainly western snacks and mains - we had the pork knuckle which was excellent."
Disappointed,"Food was ok only. As burger was dry . Senior waitress wasn’t really happy while serving . The worst part they charge for water . When I asked why the answer was,” because customer keep on asking for water and service again and again. If we charge for water they will not ask.”
Well then don’t charge us SERVICE CHARGE .
Won’t be going again"
Good spot for quick lunch,"Family lunch on aver quiet Sunday. Fish and chips, tuna salad, clams and quesadillas . All good - happy hour as well so good value on the drinks and meals. Great service and river views.."
Cool,From the minute you arrive to when you are seated you are looked after so great plus the view and location. Especially as there is so much competition but they win and good is super.
Good time spent with friends,"Had visited for the first time, I found it average place, we sat outside and it was too hot and humid, there were no fan or cooling options Food was average as well"
