topic,review
its a sad closure,sad to hear the place is closing - been countless times to this place much for the view and service although food is much to be desired and nothing to wow about although the dessert art is a must try for 1st timers - see you soon and all the best
Horrible reservations system,"The view is supper, the food is good, the reservations system is horrible, I call early to reserve the window seat, the staff give me motherhood statement will try their best, although there is window seat available,"
"Fantastic view, terrible food","Went there to celebrate Valentine’s Day. Booked early so managed to secure a table by the window overlooking the bay. View was fantastic! Unfortunately everything else fell short of our expectations, considering this is supposed to be a high-end restaurant and we were paying $198++ for each 5 course Valentine’s Day set dinner.
The head waiter in a black jacket was quite polite, but his suit was obviously too small for him and it was stretched over his tummy. Rather unpresentable. He asked about our food restrictions so we told him. Didn’t expect to see the exact food we couldn’t eat to appear in the first dish! Oh dear… The subsequent courses were so-so but what stood out as really terrible were the fish course and the duck mains which my partner had because he couldn’t eat beef. The fish over overcooked and tough. The duck just tasted terrible. The dessert however was nice and probably the best course out of the 5. I’m not sure why the food was of such poor standard but the restaurant needs to address this.
The service staff were all young and inexperienced, except for the head waiter of course. So service was not becoming of a high-end restaurant, but I guess we just accepted it because on the whole they were quite polite.
Needless to say, we won’t be making a second appearance."
Great experience!,"We were there for Valentine’s Day meal, it’s was nice and the staff services were good. We will consider visiting again for other occasions / celebrations."
Spectacular View!,Great Ambience at Level 62. Value for money for their lunch set course averaging $50 and top up with few selections. I would recommend this place to all my friends.
Anniversary Dinner,"First few minutes sat at our table wasnt good experience but i turned out unhappy with my experience for our 5th anniversary.

The person who serves i would say and not friendly at all given he is working at hospitality. we ordered the 5 meal course and he left right away before asking us what we want to drink so need to get his attention for our drink again. So its a piecemeal order basically. As am pregnant and cant drink alcohol and have asked what mocktail can you recommend and pleasantly said virgin mijito (fair enough) and took me 5 second to think and said back probably a juice?!!

Otherwise food is good and the rest of the staff was very kind and friendly."
One of my top picks to impress someone,"What can I say? Central location with stunning views (just make sure you book early to get the window seats), excellent food (quality and quantity) with elegant presentations, generally attentive service and superb ambience. Highly recommended by yours truly, a picky fusspot."
My Fav SG restaurant,"Definitely at the top of my list of fav Spore restaurants. Perfect ambience (top of the world) for all occasions. Professional and friendly staff. Delicious food. We had French oysters, Hokkaido scallops, Australian fish and US wagyu. A total delight. A must visit for all Spore visitors. And post dinner, one may adjourn to the rooftop bar 1-Altitude for drinks and a 360 degrees view of Singapore. Highly recommended. Super AAA+++"
Family Celebration,"The view will be great if seated by the window. Else there is not much difference dining on the ground or at high level. We thought due to celebration, a cake was sent to the table, but it was charged $16 for a slice. Though it was waived when queries."
Good Anniversary Experience,Pretty view while celebrating our anniversary! Thank you Hui Ting for making our anniversary a wonderful experience!
Lovely views and food,"Came for the 8 course dinner and was warmly served by Gab who took care of our every need. Views were great as we got a window table facing the city and although it rained we were treated to the spectacular view of lightning flashing against the city. Food was excellent, especially the dessert which tasted as good as it looked!"
Excellent service from Jovan,The service from Jovan was impeccable - warm and attentive. We enjoyed our lunch. Coupled with good views and food.
Great! STELLAR,Great food and service. Thanks Gab for taking care of us. We like the dessert presented and prepared at our table. Will see us more often in the future.
Nice but inexperienced staff,Very nice but inexperienced staff. For the money charged. Staff should properly be vetted. Offer additional bread. Explain the dishes. Ask how the food was. Don’t socialize among staff during service. Time should be spent on paying customers
Birthday Birthday Dinner,"Nice atmosphere. Manage to get window seat. The foods nice presentation plating. Foods was nice & fresh. Every dishes presented there is staff to inform of the foods contain of.

The service is awesome, Mr Gabriel is very polite and he will recommend us on the foods so that we can take his references. After all the desserts is nice not so sweet just like my preferred.

He also recommend on the wine. Ya, good recommended of the wine. He is also thoughtful towards us. Feel great to have such a good service.

Thank you."
Almost perfect experience,"Went there for my birthday treat and it was almost perfect. Great view by the windows looking across MBS, excellent service by the staff being friendly and engaging without being intrusive, delicious 5 course dinner and especially love the squid, cod fish and wagyu beef plus the recommended glass of wine (bonus point for allowing us to have a taste first before ordering). The night would have been perfect if not for being trapped in the lift for almost 30 minutes on the way out which dampened the experience just a little bit. Certainly won't fault the resturant for that though and will return again"
"Brilliant Service, Average Food, Great Views","I came here 11/11/21 for a business lunch with a friend of mine. Lunch menu was average 50SGD for both of us (without drinks), expect average Singapore prices for drinks.

Amuse b was fried crab, a tad suspicious as we both had the crab starter (i suspect it was expiring), with my mate having the barramundi and i had the angel hair uni butter pasta.

My pasta was great, possibly a tad difficult to eat for the sake of presentation but over all good. The highlight of the meal was the amuse b, starter was good but the meal didnt have legs. Desert was some black sesame sponge cake, which in reality too much was going on. Chefs dont need a crunch for the sake of textures.

Gab our server, was abolsute brillaint. He is the manager, runs a tight shift and I would return for his service.

View of course was fantastic, but if left up to the food, I wouldnt return."
so high in the sky is worth a visit,Episode 2 – Asian Five Elements & Four Seasons by Ace Tan and Andy Yang - food meets art that’s my first experience it’s amazing. The service is very professional by GAB. Chef ACE explain every single dish.
Birthday dinner with great people.,"Greeted by Gab who served us. All other crew members were as helpful as he is.

The ambiance and view from the window table was fabulous though it rained.

The food was great and well presented. With the chef preparing our dessert at our table. And must say her hand drawing is perfect for the Birthday girl.

No regrets dining here.

Well done Gab and team."
Our Birthday,It was a wonderful lunch and memorable years for us to celebrate our Birthday in this place.. well appreciated and thank you for the Hospitality. The surprise Birthday with our names on the plates was so beautiful.. thanks to Ms. Jackleh and Charles.. hope to try next your dinner
"1 for 1, 8 Course Tasting Menu","We came in was treated very nicely by the service team. We were having the 1 for 1 8 course tasting menu. The food very underwhelming, some of the plates were oily and had fingerprints on them. The tile used for the dessert was chipped on all corners.

Octopus was rubbery and bitter.
Scallop was overcooked.
The Crustaceans Sauce for the Cod was thickened heavily.
Dessert was confusing and the chef didn’t really speak up loud enough for us to hear what was being plated tableside.

Overall it was a lackluster experience."
Romantic restaurant with scenic view,Love the food and warm ness from the staffs. Enjoy the quietness and romance with your love ones here! ❤️
"Fantastic food and ambience,l","Fantastic food and ambience, will be back. Service staff was attentive and polite. Nice dessert at the end"
High quality of food with excellent service and great view,Thanks to Gab and the team for the special arrangement for my proposal! Food is fresh and well prepared and presented! Dessert is also incredible! We enjoyed the time very much!!
Great view and service from,"Great view and service from GAB and team, highly recommended! Great value for lunch set. Under $100 per pax."
Great birthday lunch,"Came here for a birthday lunch with my partner,m, everything is fine for me. Great food, great service, great view, great environment and great value 😊"
Nice dinner,"nice location, good views from 62nd level; and food to match. Had a 8 course dinner there, really enjoyed the food and view."
First anniversary,Was here for our 1st anniversary lunch and was seated by Gabriel. He was attentive and welcoming and introduced us with the lunch menu. Keep on checking on our table and our well being. All the food was fine and deserts was great as i am a earl grey lover. Thank you for being such a great host.
Birthday lunch,"First time came. Nice atmosphere, was assigned to a centre seat and requested a window seat when available. Nice view and food quality is good."
Nice View !,Ambiance super good ! Nice view ! Friendly n attentive service! Food was rated 4.5/5 . Celebrating my anniversary ! Thanks for the services !
Inconsistent service,"Visited the restaurant to celebrate my gf’s bday on the 19th sep 2021. While making the reservation, I noted that it is my gf’s bday. Throughout all the fine dining restaurants we’ve been to, they will serve the dessert with a happy birthday writing on the bowl. However, they did not do so that day. We did not think much about it until my gf visited the toilet and saw a staff escorting a lady to the toilet. My gf overheard the staff asking the lady if it was her son’s birthday today. When the lady said yes he said he will make arrangements and send over something to their table. Likewise, we also stated that it was my gf bday but they did not do the same? We recommended our friends to visit the restaurant as they wanted to celebrate their birthday. On an Instagram post they posted that they were being served a dessert with a happy birthday sign written there. Not saying this is a very big deal, but would just like to question this restaurant’s consistency in service."
Below expectation!,Disappointed on both food quality and service. Restaurant environment is under expectation. Only have a nice view. Luckily that we got window seat.
Dinner with a View,Great tasting food and service was excellent. Gabriel was attentive and provided good recommendations. Ask for a table overlooking the bay for a great view.
Excellent service and food,"Came to celebrate our wedding anniversary and was greeted by Gabriel and his wonderful team. Service was too notch and food was excellent, highly recommended!"
Had a great time at Stella restaurant,Great service by Gabriel V! He took great photos for us and the view was fantastic. Food looked lovely and enjoyed it.
Just Married,"Came here for dinner after our solemnisation. GAB and team gone great lengths to make sure we enjoy our time here. Very satisfied with their service! Great food packed with flavour, leaving us wanting to come again soon."
Lovely view and dinner,"Loved the staff , took good care of me, took beautiful photos of me!! Loved ur croissants or im not too sure what its called!food was amaazing i loved the desserts esp pavlova! Had a such a wonderful dinner"
Great view but food can be better,"The last I was here was many years ago. It was ordinary and wait staff were condescending hence it was written off the place to go.

After the 2nd lockdown I saw 1-Altitude has a weekend brunch which is of reasonable set price price and free flow of champagne add SGD 80+. Our server is polite and nice. Window seat only if you arrive there at 12pm sharp :)
We'd 3 and 4 course set lunch. The food is rather ordinary and pretty small portion. As we're there mostly for the champagne it was looked over. Even though the place is only filled up to max. 5 tables, our ""free flow"" champagne needs at least 3 times encouragement and signal to top up.

Food is ordinary and petite, so if you're there solely to catch up with friends and want to have a nice ambience + nice sparkling for 3hrs. Is a nice place to be. But if you're more into food than scenery, Fullerton, Four season, St. Regis will be better option with free flow of champagne too.

Overall is a 3 star place. They managed to survive as they do have good view (however only if you're early enough to grab the table as they won't reserve it for you)."
Romantic,Very professional service by Gabriel fast and friendly 👏🏻 recommended for couples and family who like good food and good service
excellent choice,"Chose Stellar to celebrate my girlfriend’s birthday and thankfully it was an excellent choice, excellent view of MBS as i got transferred to the window seats after the guests at the windows left, food was good and value for money as we chose the 1-for-1 9C set, pace was good, did the pairing of wines which was paired well, my girlfriend loved the dessert art which was prepared in front of us towards the end to sum up the night. Special kudos to Charles and the dessert chefs for making all this possible and will be back soon, thanks Charles!"
Excellent,Great food and service as always. Gabriel was very attentive and welcoming. Thanks for a fantastic first meal out in 9 months.
Birthday dinner,"Great service by Gab and team, very attentive to our needs. Love the octopus! Visited Stellar for my partner’s birthday however a little disappointed that nothing was done despite indicating it’s a birthday, while I saw from reviews that there’s small arrangement made."
Lovely view and Super friendly staffs,Lovely view and Super friendly staffs served by Jackleh and Jill! 😊 I felt so Welcomed by them and they are really professional! 😊😊
Great service from Ju Matto and H.Ting,"Thanks to Ju Matto's recommendation we went for the 5-course dinner to celebrate our 100th monthsary and we didn't regret it. Ju was very kind in explaining all the dishes and made us feel very comfortable despite being our first time here. The view here is unbeatable, being only one of the few restaurants at this height in the area but the food was no less amazing with the presentation and also the complex flavours each dish had. Portion size was just right."
Highly recommended,"Money well spent. Delicious food accompanied with the view of Marina Bay at the tallest building of SG. Also, Ju Matto is very experience and did a very good job at servicing customers, from the ordering to the phototaking at the end. Fantastic! Highly recommended for special occasions."
"Amazing food, awesome view and even better service","Went here for dinner and the food was amazing! The view was also breathtaking, you can see the whole city, including MBS and the marina from above. The food was well made, the 5 course meal was curated thoughtfully and delicious. The service on the other hand, even better! I want to personally recommend Jackleh, the assistant manager. Although she was busy with many other diners, she made sure to keep all of us well serviced and recommended great wines/food suggestions. 5 stars! :)

Attaching my favorites from the 5 course :)"
Chef´s signature series. Weekday lunch.,"We had a great time and it was an amazing experience overall. I would like to thank Mr. Ju Matto, who attended us and was fantastic.
We had the 4 dishes lunch menu and excluding the first one (just because it was a very small portion) the other three were to die for. Finally, what can I add about the view? IMPRESSIVE."
Weekday Lunch,"Great view, great food and also great service by Ju Matto. Took the 4 course set and it did not disappoint"
"Food was wonderful, views were amazing, service was spectacular!","We had a fantastic time! Our server Ju Matto was amazing and super accomodating - he gave us great recommendations and really went above and beyond to make us feel comfortable. We went for my mother's birthday, and I called ahead and they got us a chocolate cake! Food was excellent and really a well-worthy experience. 10/10 would recommend!"
