topic,review
Delicious breakfasts for the hotel!,I'm a new vegetarian and the staff went out of their way to make my food delicious and nutritious! Thank you all!
Great Lunch!,"It has been a long time since our last visit (in 2012) and the cafe has undergone renovations and now is brighter, trendier and more cosy.

Before entering the cafe, the staff took our temperature in wake of the Covid-19 and had our contact details taken, we were then ushered to our table by the window side, which was good as we could have a good street view outside. Sofa seat was along the window that was good but was too low (not full stretch to the head) at the back, if not it would be perfect.

The food spread was good, combining of local, asian and western dishes. On the day of our visit, they had a seafood fried rice vermicelli that was very nice, besides the stewed beef, sambal fish, signature laksa that was yummy and hor fun soup too (both at live cooking station), stir fried kailan, dim sum items, seafood on the ice where prawns and crab legs were fresh and mussels, DIY rojak and salad bar etc, just to name a few. In addition, the cakes and pastry were nice and not to be missed was the durian pengyet that was so creamy and flavourful along with other like chocolate crepe, cut fruits.

And the good thing was that both hot and cold (softdrinks) beverages were inclusive in the spread, where very few restaurants would include the latter especially for lunch. Well done!

For those who fancy Japanese items maybe disappointed as there was no sushi maki or salmon though most restaurants would provide a handful of such items (for for us, it was fine), possibly because it was a Peranakan restaurant, focusing on nonya food.

Service was great, staff were friendly and efficient in clearing used plates and utensils from time to time. In particular, Tina had done a great job while the Indian manager (sorry didn't manage to get his name) was nice as we had met him before long time ago during our dinning sessions back at Oasia Hotel (Zaffron cafe) and Changi V Hotel (Saltwater cafe). It was good to see him and we had a brief chat and he was sharing with us his experiences at these cafes, that was all under the Far East Hospitality Group!

And finally, it was great value for money, considering the ambience, spread of food and service was around $55 with the 1-for-1 promotions. Lovely.

We will surely return again, surely not 8 years later, possibly for dinner and hopefully we will enjoy it as much as we did this time round.

Overall rating would be 4.5 out of 5 but since we are not able to give a 0.5, we decided to leave it at 4, giving it room for improvement and its being closed to perfection. Do keep up with the good work!"
Not worth it,Very little variety and don’t worth the price. Please reconsider your food option when you charge at that rate. Basically I stop eating after 2plate/rounds. And the familiar durian dessert was also not as nice as previously. Totally waste of my trip there.
Good Local Food Buffet,"Came here for lunch on a weekend, it's located in Hotel Rendezvous itself. Good spread of local food, especially the crayfish and the durian desserts!"
Connected to the Rendezvous,Connected to the Rendezvous Hotel and provides all their breakfast lunch and dinner options. All buffet style so if you like that kind of thing go for it as the food quality is very good. Access from the street too.
Lunch buffet is good,"We had the first team lunch in 2020 there. Not too crowded during lunch. The durian deserts and laksa are amazingly delicious, all of us can't help with more servings. The rest of the food is good too"
Great service by Marco,Waiter Marco a very cheerful and polite staff friendly and the food is really fresh & taste best recommended to this place.
Great Service,The food overall are very.Marco recommend what food is good here.Would like to have more varieties of food.Should come here again.
Amazing service from Marco,Went to Straits Cafe for dinner buffet with a group of friends. We were treated very well from the staff name Marco. Great food & great service. Try the Chili Lobster while it last.
Dinner with friends,The food is good. Marco is a very polite person. Plates were clear promptly and he also serve everyone with a smile.
Marco Great service,Had dinner as it was my birthday. Food is good. Service is excellent. Durian pengat and the crab legs is a must try.
During Christmas Visit,"On Christmas Eve 2019, we(3 of us) chose this hotel to have celebration and family gathering at Straits Cafe.

To my surprise, as LOCAL GUESTS dine in there we have to pay for car park fees.
We haven't go back to this property almost 6 years. (We hold our Wedding Banquet lunch there 6 years ago)

We spoke with Concierge staff to seek any other options to given during Festival Season and simply got rejected.

That's why I want to highlight this feedback to management team, maybe can consider offer this small and fair benefit
(To provide free car park coupon to those dine in F&B outlet guests during Festival Seasons)

I believe those guests who dine in at F&B outlets also brings great amount to hotel revenues.

The Staff at Straits Cafe are nice and professional, food was good and service was attentive.

Hope managment team can work out some options regarding car park issue if still want to stand out among competitive hotel industry in Singapore."
Christmas Lunch,Shocking Christmas lunch from our perspective. Would have expected some accompaniments with the Turkey but nope! No potatoes or anything you may expect. I suppose the blow would have been less severe had we a taste for Turkey and noodles. An experience to forget and a place I will not be going back to.
Awesome service from Marco,"Perfect venue for simple gathering with Peranakan food; laksa, kueh Pietee, Alaskan crab legs and etc."
nice hotel restaurant for Muslim travellers.,"I went to have breakfast and was impressed by wide variety of food, (which is just standard for all hotels. but no pork items, )
The fruit station- just two fruits available- Water Melon and honeydew)
The club lounge at same hotel offer wide variety of fruits - orange, grapes, even strawberry...etc.."
Christmas lunch,"We booked for our office Christmas lunch on 20 December. Disappointed with the selection of food. Expected more Christmas dishes since Christmas is around the corner but was disappointed. There were no turkey, ham or roasted beef. Asked the staff and was told these were served on alternate days. What were in place that day were fish and samosa? We do not find the food great."
Lunchtime buffet,"I came here with a friend for the lunchtime buffet in October and we made use of the Entertainer to get a 1:1 pricing. Good selection of locally themed food, quite decent quality. No problem getting a table. Don't think I'd want to pay full price though."
Food,"So-so only.nothing special,in fact,i feel like i have wasted the amount i paid for it.
But again different people has different expectations."
Good food and pleasant atmosphere,"We were in search of authentic local cuisine and found this cafe. There was a good choice on the menu but we weren’t offered the choice of the buffet. When other diners came in and were choosing from the vast array of food on the buffet we were disappointed that we hadn’t been given that option. What we had was tasty but nothing special. We were not offered anything else. Service was pretty inattentive and there is no alcohol available at this restaurant. So we didn’t stay long. It had the potential to be so much more, with all that lovely food on offer. But we felt overall that we were not being looked after or encouraged to stay and eat and enjoy."
Not worth with what we paid for,I do not recommend for Buffet in this restaurant. There are not much variety and foods are just okay. Not really worth with what we paid for.
wonderful venue,Staying in the Hotel Rendevous this venue was fantastic for all type of meals Breakfast lunch and dinner clean good variety and good value
Lacks variety,"Not much food choices. Mains were bee hoon, fried rice together laksa and prawn noodle. Highlight was sambal seafood which was so-so."
Buffet,"Service was attentive, polite and warm. Food was generally good. Particularly liked the carrot cake and hokien noodles. Hainanese chicken was good although the rice was not so fragrant."
Best local food in a hotel cafe.,Highly acclaimed laksa proven to be true! Especially love the rich coconut gravy and soft noodles topped with yummy lobsters and cockles. The starters ngoh hiang could be a main dish was also delicious. The ho fun was also very tasty and the noodles are soft.
Great food for a good price..,"We were here for dinner after a friend recommended this spot. The spread was reasonable but the flavours for each dish were rich and tasty. Definately worth coming back more dinners here. And Marco was extremely helpful in recommending the desserts, which were rich in flavour and typical of peranakan cuisine.
P.S.. the puffs and pengat were purely divine.."
