topic,review
Lunch@Straits Kitchen,"there was wide selection of food; spread from Indian, Chinese & Malay cuisines. Love the cosy ambience and super friendly staffs"
well done,"food variety & freshness, overall quality, availability of local cuisines, the atmospheric and ambiance are really fine. Unique and great for bigger gatherings. The price is high and therefore makes this a place that is more suitable for business outings .

I think it is true that you can easily find the individual types of food served here at all corners of Singapore. But the fact that you can simply walk around and pick and choose what you’d like to eat and enjoy the most, helps increase the joy of coming to this place."
Lunchtime,"There are varieties of foods, we are spoiled with many juices including teh tarik, which not all restaurants provide it.We love the foods and ambiance.. we’ll definitely be back again ❤️"
Mix Feeling This Time Round,"It has nothing to do with the service nor the food. However, we were saddened to learnt that Shril Nie, who was one of the gem of Straits Kitchen, has left!

Nevertheless, our visit this time, too, were enjoyable! As usual, Ivy was at her best serving us with her usual flair, anticipating our needs such as our preferred way of grilled satay, drinks (calamansi/orange mix) as well as herbal tea! This time around, we were delighted to know of another staff i.e. Nelson Wong from the kitchen who made and delivered the herbal tea! Excellent!

Really, we are going to miss Straits Kitchen since we were told that it will close for renovation in September 2022. We will come back again in August for the last time before it close the door!

Thank you Straits Kitchen!"
Decent but have lost its sparkles,"Went there to bring my family for a long weekend celebration, our past memories of this place was thar of great local cuisines in a 5 star establishment. This time, satay were still great, chicken rice was probably 1 notch below Chatterbox's std, as well as most dishes. But rojak was overpowering and the crab and chilled prawns were not fresh. 3.5 stars for the food and additional 0.5 star for the place."
Local Delights in a fantastic setting,"Come with your appetite for great local foods. You can choose to start with satay or chendol but you will not be disappointed. India, Chinese, Malay, Laksa and more. Check in advance on which cards have offers here to increase your satisfaction."
Great Staff,The food is generally very good. Good job by all the chefs. Place is nice and the service staff is fantastic!
Good Local food.,Went for hi-tea with a group of friends.Good selection of foods but timing of one and a half hour a bit too short to eat the food variations.
"excellent food quality, nice ambience",first time here. happy to report food variety and quality was excellent! even for an afternoon tea the spread was great and i got myself stuffed. visited on a weekday hence it was not too crowded. will visit again! Sahri (hope i spelt his name correctly) was very accommodative to requests by my family. Staff at the payment/reception counter was patient and courteous. Straits kitchen has a great team!
Wife’s birthday celebrations,"Visited Straits Kitchen last evening for my wife’s birthday celebrations. Food was great as usual, but service from the staff was awesome. Especially that of Shahri Buhari. He was engaging every customer on the dining floor and also often going the extra mile to make every diner comfortable. It was a memorable experience and celebrations for us. Strongly recommend Straits Kitchen to everyone."
"GREAT RAMADAN BUFFET, pricey but same as other hotel…","Great ramadan buffet with everything you want from MEDJOUL dates to Indian to Malaysian to Chinese to seafood…
The experience to be served by someone at the counter isn’t the best, with good safe distancing management
All the juices were served fast and in good quality, try the TEA TARIK, not to sweet for once, loved it
Two thing we didn’t like : the low level maintenance of the carpets and they dirty…for a 5 stars, not a good sign. And the price…"
Excellent!! As usual!,"Came back to Straits Kitchen again on 24th March 2022. Service, as usual, is excellent! Ivy, obviously she knew, have our satay burnt to perfection, without even us ordering!! Thank you Ivy!!

AND, another surprise!!! We were so touched with Vina!!1 We asked him if Straits Kitchen served herbal tea but we were informed that it was not the day where herbal tea is served. Nevertheless, he came back with two full glasses of herbal tea, freshly brew!!! Incredible!!! Though we knew that he is the manager but we never expect such committed-to-excellence manager!!! Kudos to Vina and Grand Hyatt Singapore!!

Not to say the least, Shirl Nie was full of smile at the reception counter and the excellent PR skilled Shahri!! Thank you so much for the attention and courtesy."
Awesome service,"My husband and i had our lunch on 24th of March , Thursday as to celebrate our 16th Wedding anniversary together. We reached at 12pm.Get seated by the host and start to 'recce' ouf food
while deciding, we were approached by the manager name Shahri.By saying Hi and talk about random topic about the pandemic

Overall We had Unexpectedly amazing service from the him.He was so friendly & joyful.He offered us a delicious chocolate cake for our anniversary and took a photo of us.. it was an amazing experienced that we could never forget on our special day!
Will visit again next time;)"
Great atmosphere with good food,"Straits Kitchen is a buffet setting with many good options of India, Chinese, Malay and Indonesian cuisines to choose from. The ambience and the food taste great. The staffs were helpful, courteous, friendly and attentive. recommended!"
Unfriendly and rude reception,The quality of the staff (I think the Supervisor - a fair-skinned woman) at the reception remains to be desired. She was utterly rude when I asked whether a complimentary parking ticket could be spared. I have dined many times in the past and have always encountered polite and helpful staff the recent visit was an exception. Bad experience.
Delicious buffet!,"Straits Kitchen is a buffet setting with many varieties of Asian dishes to choose from. Love the ambience and the food taste great. The staffs were helpful, courteous, friendly and attentive. Halal certified and Highly recommended!"
