topic,review
"Standards dropped over the years . Quality of food isn’t as good , better casual Jap dining options around.","Standard has dropped over the years. Quality isn’t maintained and pricing has been on the steeper side compared to Japanese restaurants of casual dining standards. Severely understaffed the last time I went . Didn’t have the best experience , likely won’t be coming back as there are many better options around ."
sarcasm service to new level,"dine in at sun & moon, and because we are troublesome customers which we accidently turn off the portable stove was set to high on one of the soup base dish and request the staff to assist to switch it back on and told him to turn it to the small heat as it was boiling over he made a sarcastic remark that the stove was bulid this way and cannot turn low. and i again was clumsy enough to drop my chopsticks and walk over and ask the same staff for replacement and he offered two pairs of chopsticks to me and mention you take one more pair incase you drop again. customer service sarcasm to the next level. male staff wearing spectacle. food was spoiled by the bad service given."
4/5,"Ambience: 4/5
Cleanliness: 5/5
Customer Service: 3.5/5
Quality of Food: 5/5
Value for Money: 4/5

-Dishes-
Autumn Bento Set: 5/5
Sushi Assorted Set: 5/5
Kids Meal: 4.5/5

Overall we loved it for the food. Ambience is nice, but not exceedingly fantastic, and we had a slower customer service compared to the rest of the places we went. Overall still ok, maybe we caught them at a bad timing."
Average,"Third visit, salty main dish, aburi kaisen chirashi km set, assorted tempura was good, Maki not so good.
Fourth visit, salmon belly teriyaki and unagi kamameshi set, the unagi was okay, salmon not that fresh, tempura also not good.
For members, 20% off during birthday month.
Probably can visit once a year ?"
"Nice Tonkatsu, ambient count be improved","Food was not bad.
Will come back for tonkatsu.
Sashimi was fresh in the set meal was fresh.

On arrival hostess could action a little faster. Was left hanging at the entrance for a while
.
Ambient could be improved, it’s a little too noisy to enjoy the food."
Nice dinning but nosy,"Nice Japanese food. Except too nosy. If only they can make the corner room with more sound absorption items , the dinning experience will be much better. Hopefully they will take note of this comment and make changes"
Still Tasty,"It has been a while since we ate here and dinner was quite a good experience. The staff were very friendly and helpful, even when their ordering app on the Ipad had an issue.

Prices seem to have gone up quite a bit, but the quality is still there. The Australian Wagyu Harami don was pretty tasty, as was the Tori and Unagi Kamameshi set. Love the fact that the taste changes at the second serving with the pouring of the superb broth.

The salmon sashimi was very fresh as well."
Hearty Hokkaido Bento Set,"Visited Sun with Moon in December, after Christmas. We called ahead to make a reservation but no luck so we’d decided to walk in before the peak dinner hour, to try our luck.

We managed to get a table by the bar counter.

I had a Hokkaido Bento set which was on the promotion menu.

The set was visually stimulating and it came with a full set of salad (deep fried squid and mizuna salad), sashimi (tuna, scallop, shrimp), steamed egg with salmon roe, Hokkai sushi roll, another salad (egg roll with salted cod roe & potato salad), grilled atka mackerel and a mini Hokkaido ramen. And the set ended with a Otaru wine sherbet dessert.

It was a very satisfying dinner.

Staff were friendly and helpful."
"Nice food , good environment","The food is nice , the yuzu lemon is amazing, strongly recommend to try if keen to have non alcoholic drinks during your meal The Unagi sushi is one of the best I’ve tried in Singapore"
Good dinner,"First visit, ordered the aburi kaisen chirashi km set, second visit, ordered the aburi kaisen bara chirashi. Both were equally good. Friendly service staff. You can pay SGD20 to join as a member and you get 10% off for subsequent visit."
Family Japanese Eatery,Family japanese eatery and popular with the locals. Price are mid range. Extensive menu and service is fast. Order from the iPad and the food will come as soon as it can. Special this month is the Aomori promotion. We ordered their Kamameshi special and appetisers and cheese cakes. Tasted good. Need reservations!
"Neither sun nor moon, just very popular","Everything here is average - food, service, pricing . Why is it always full? Hedge funders at Wheelock Place now work from their home swimming pool, so it must be all the nurses and assistants at the cosmetic clinics, while the docs go to Fat Cow at Campbell? For more character, go to Uya at level 2."
Renovated and menu slightly changed,"Seats were re-arranged, slightly renovated to accommodate the safe distancing! Menu was slightly updated but food great as ever. But i may not order their tonkatsu again as it was abit oily. Still love this restaurant!"
Make your reservations...,"Make your reservations because walk ins have limited tables and time to eat. Very popular among locals and japanese because the tastes is both fresh and tasty. Price is mid range, a friendly atmosphere and cozy environment. Extensive menu and a great place to entertain as well as for couples. Beer and sake is available. Convenient location too."
Lunch with good friends,"It was my first time trying the food in this highly recommended Japanese restaurant. As we were unsure of the portion of a set we decided to order just one set to share, green tea all around and 3 different types of desserts. The food is delicious and the desserts were interesting. The place is spacious and surprisingly there’s no table available for a few customers who did not make a reservation."
Great food and service,"They were full but since I was alone, she asked if I could be done by 1300, I was in a hurry too so I dined from 1200-1230. But they apologised for the rush! So polite and you definitely need to book before going. Food is VERY good!! I did a take away (they don't allow take a way for raw items FYI) but my friend said it was still yummy when it had turned cold. Very good staff and awesome food. Highly recommended!"
"If You Love Japanese Food, You Must Give This Place A Try",Came here for dinner and order the Ebi Tempura and Unagi Negi Toro Don set and the Aburi Kaisen Chirashi Kamaneshi Set. Both the sets were delicious and mouth watering. Service was simply impeccable.
Best Nabe and Kamameshi,"Best quality Japanese Nabe I've had. Both the beef and the seafood ones are perfect. Mix of crab, scallops and squid... heavenly. Top it up with a nice sake or suntory premium malt beer."
One of the first few places,One of the first few places we decided to dine at after circuit breaker. Delicious food and impeccable service. Will definitely come back again to try more dishes
Consistently very good and excellent service,Consistently very good and tasty food and excellent welcoming service. Best to make booking. Enjoyed the seasonal menu as always. Came for birthday month and will come again.
Nice dining experience,"I've always loved eating at Sun with Moon and yesterday was the first time I dined in after a long while. I really enjoyed yesterday's meal, because the food was great, ambience was great and service was great as well.

I ordered Nabe, and it was really good. I will like to commend on your service staff, especially Thomas, who was really friendly in his service. It's obvious that he knows his stuff well. He recommended the right soup base for my meal (it goes really well with it), and look out for all guests under the same area attentively, constantly asking if they need anything. It must be hard, especially when the place is bustling.

Overall, my dining experience was really wonderful!"
Skip home delivery,"Blimey, the quality of their food delivery and dine-in is like night and day.

Pre-covid, we were fans. We loved their sushi, brimming and loaded with flavour, yet oh-so-delicate.

Fast forward, we ordered in home delivery of 3 large portions of sushi. Although well-packed, the quality of the sushi was far from respectable. Chunky, crude and bland. It was quite difficult to swallow. Frankly, it felt like some supermkt-grade sushi takeaway.

Moral of the story, skip their home delivery altogether. It's been 3 months since we last dined in at restaurant itself so I seriously hope their standards have not dropped.

Perhaps when we're brave enough to mingle with the crowds during this pandemic, we'll get to see for ourselves."
Delicious wagyu,The food was delicious but I could not finish it because it was too much 😢 Otherwise the food was great! It is one of the best beefs I had. That is the only reason I put four out of five. 👍👍🏻👍🏼👍🏽👍🏾
Early dinner!,"Went for early dinner at 1730hours. Was easy to get a table next to the glass facing Ion. An extensive menu, highlighting their Kamameshi. Ordered their 3 ways salmon sashimi, aburi hotate, kaizan Yukke, Hamachi kama, Temari sushi and aburi salmon roll. Taste was good and yummy. Presented well. Ordered their Dassai 45 to enjoy some sake. Environment is modern with an open kitchen. Price is mid to high range."
Always a pleasure,Frequent here almost when I’m in town. Food standards always never fails me. Wide variety and almost every dish is up to standards.
Nice Restaurant Suitable for Whole Family,One of our favourite Japanese restaurant in town. It has never failed our tastebud with their choices in the menu. Booking is strongly encouraged to avoid disappointment even on weekdays.
Good quality Japanese food,"This is a popular Japanese restaurant and one of our favourites. During our recent visit last Friday evening, we’d ordered a salad, assorted sashimi, prawn tempura and grilled pork with strawberry sauce.

The food at Sun with Moon were consistently of a high quality. I liked the grilled pork in particular, which tasted very well with the strawberry sauce. The sweetness in the strawberry made the grilled pork quite special.

Staff are friendly and efficient."
Fabulous food!,"This restaurant never fails to entice our tastebud with their fabulous culinary of Japanese food! Lots of choices in their extensive menu. Advance reservation is recommended, it’s crowded all the time."
Dinner for 3,"Service is prompt and good. Prior reservation is required to ensure you get to dine in there. Variety is wide, and food is fresh and very tasty. very value for money."
Birthday dinner,Made reservation 2 days in advance. First visit for hubby and both teens. We enjoyed the food and ambience. Waiting time for the food were not long. Nite that their dinner reservation has a time span. My booking was from 7.15pm to 8.45pm. Food was great. Will go again but reservation is a must.
Head to Wheelock Tower,Every in Singapore seems to be super busy at lunch times so if you time it right there are plenty of great places to dine. Sun with Moon being one of them and if you can get a window seat great views. The food is Japanese style and you get the usual selections but this time I did try the Kamameshi and it was super tasty. Worth going back for another tasting
Come for the dainty tasty potions & lovely ambiance,"They must be doing something right and I've a feeling it's simply because you're always assured a great, well-executed meal here every visit.

It's impressive how they've actually be in this same locale for a few decades now. Other tenants around them have come and gone but they've stayed & they still maintain the same decor and ambiance to this very day without feeling at all dated. Quite a feat indeed!

They have really great staples, for instance, umami-rich tasting sushi and maki. Plus, they certainly know how to keep things interesting with seasonal promotions.

Only one gripe. It's next to impossible to make last minute reservations cos they're so popular. Good for them!"
"Cozy place, delicious food!","Went there to celebrate my friend's birthday. The food was great!! If you like that 'homely ' style Japanese food, this is the place.
The service staff are great too! Seriously the older gentlemen who was the host at the entrance.

Do make a reservation in advance as this place is ALWAYS packed."
Good variety,"A pretty good Japanese restaurant in town, the selection is quite varied too. We celebrated our young nephew’s birthday there and the food we had were pretty yummy..however I felt that their service is not v friendly though..I bought a couple of tarts n asked my nephew to try one..the waitress came over n told us that we cannot have outside food. We understood the restaurant’s policy but we asked if he could juz finished the tart and I guess she wasn’t happy with the response n the next moment the supervisor came to tell us again lol.."
Good food but basic,"This is a casual place. The sushi’s were excellent, very tasty and fresh. The salmon was good but very fatty. The chicken was a little dry. Only 1 kind of wine, reasonable quality"
Good Japanese food,The restaurant serves good Japanese food as well as some western dishes like foie gras. They have food promotion from different parts of Japan. Will definitely return.
A delightful place,"I’ve only been here twice so far, but I gotta say: I like this place. It serves generous set meals. The food is delicious. Service is attentive. The atmosphere is lively. (Excuse the poorly taken photo - I was famished - so I know it doesn’t do the food justice.)

Check it out. The restaurant is at Wheelock Place, smack in the middle of Singapore’s shopping district, Orchard Road."
Delicious Cuisine but rushed,love the Japanese food and their set in particular. Food was really delicious but unfortunately it is always fully booked and we need to finish our meals within the hour.
Dinner,"As usual, an excellent dinner at Sun with Moon. They were featuring Okinawan specialties. Service was great and food was served promptly."
