topic,review
Calling it Mexican it’s an offence,"No even worth of a description but have to hit the 100 typo…..no burrito, quesadilla was a joke, Disgusting and expensive."
Good Mexican food with MBS view,"Dined here last night in a group of 8, Ms Joey personally saw to us and made sure our orders and everything was in order. Ms Joey is an asset to this restaurant Overall good food and lovely view."
Too much disappointment,Booked 3 weeks in advance and requested for outdoor seats for our birthday. We reached the place early and very disappointed to have been given a corner indoor and no-view seat. The food was so so and pricey. Asked the staff to help us get a proper outdoor seat but was told it was reserved 2 weeks back when I got a reservation a whole lot earlier. We planned to stay longer but only took us less than 20mins and left to such disappointment. There are a lot of place nearby thats not as expensive and has a better ambiance and view. Not coming back.
Mixed experience,"For a birthday celebration I booked 1+ weeks ahead of time for an alfresco table with a nice view. One day before arrival I had to confirm via sms, which I did. Once we arrived I was told the table I booked was not available because of something with the government reducing outdoor places. I mentioned why I was not informed of that earlier as I could have made different plans as the view was important to me. After some typing on the ipad the lady told me it was possible, but she also said that that if it were to rain, I would not get another outdoor seat. Before I sat down I was reminded for the 3rd time we only had 2 hrs. Not a great way to make your guests feel special before even sitting down. When I made the reservation I was asked if it was a special occasion, and yes, this was a birthday celebration. Not that it mattered, not even one person said happy birthday or showed any other gesture to the birthday girl we brought. The food was 8/10 and the outdoor service by the staff was really good, so kudos to them. There seemed to be some improvising taking place once it started to rain- so not sure if there is an SOP for that as that could not have been the 1st time. So overall, just OK, would not run back there any time soon, and definitely not for a celebration."
Rude attendant not surprised was sitting with empty tables all evening,"The attendant was too rude
He didn’t mind sitting with empty tables with his poor language
What a shame, the other staff who must be dealing with this"
Mediocre experience for Mexican Restaurant,"Food was pretty acceptable but not great for its price.However if you like cocktails better select a beer or wine as you will barely taste any alcool. When I asked our waitor which draft beer is lager he did not know and in the menu description it was not clear. Avoid jar of margaritas as it is only juice. Our waitor mentioned to us that the margaritas in the jar are ready and they cannot add alcool ti make it stronger and if we want we can buy shots. View is nice. There are better restaurants for mexican food and drinks in Singapore at the same or even lower prices.
Also although our booking was for outdoor for some weird reason they were trying to convince us to stay indoor saying that they had another bigger group than our group which was 4 people although they had free table outdoor covered in case of rain and that table was for 4people and in no way could accommodate more people.Finally table outdoor was provided. In the same area there are many restaurants to chose from.
Overall overpriced for what it offers."
Family dinner Super Loco Customs House,"The Waiters and Waitresses were all very helpful and attentive. Food is good. Love it. Those who drive, you can park at OUE Bayfront. Just come up to street level and Customs House is just right opposite."
Good Food Good Views,The food was amazing! The staff were really friendly and accommodating. Highly recommend the Lamb Baracoa and beef tacos.
Super Loco Customs House,"We came to Super Loco Customs House for my mother's birthday, and it exceeded our expectations. We ordered queso quesedilla, two beef quesedillas, super grain salad, wine, beer, mocktail and were surprised with free churros for dessert!"
"memorable dinner at superloco, great customer service from Ivy ☺️","here to leave a word of thanks to Ivy for her amazing customer service. my family and I came to Superloco for a Birthday celebration. not only was all the food delicious (p.s. if you’re looking for Mexican style chicken wings, this may just be the best place), she was able to make the experience particularly memorable because of her friendly and outgoing nature. she was kind enough to lend me a sombrero hat to take photos with and even gave us free ice cream. I am truly grateful for her service and she definitely should be commended for it! and Ivy, if you’re seeing this, THANK YOU very much from the girl in the green flower dress whose outfit you complimented today ❤️❤️ we had a great dinner!"
