topic,review
another omakase joint,"Am seeing everyone move from ala-carte to omakase in japanese cuisine. Two reasons: a less clued up clientele and a cleverer restaurant. Feeding the same stuff to 20 diners cuts ordering problems, cooking problems and waste and also increases margins because you can feed nonsense also and call it a part of a package. Too much soya in the rice, too much fusion in the side dishes. The only thing outstanding was the quality of the fish but if you cannot order exactly what you like, what is the point? good for business dinners and clueless patrons who cannot be bothered to learn what to order"
Lovely experience,wonder why the prawn sushi was cut half when presenting? It will also nice to explain the food in English after staff introduced the dish in Japanese. :)
Fantastic Omakase,Really loved this place - the quality of the food is excellent. Our chef Shintaro-san is simply great and very friendly. Highly recommended
good experience that’s worth the price!,went for the lunch omakase and it was a really good experience :) will definitely recommend to others and chef Shintaro was very friendly to make the experience a memorable one! thank you!
One of the best original omakase!,This is one of the best orginal Omakase in Singapore. Service very good. Very impressive. Love !!!!!!
Good material but over priced,"Great ambience, good service & food is okay some bite a little bit too salty. I paid $388 net for lunch but still hungry. The fish and dishes are similar to typical to other Omakase restaurants."
Best Jap Food and Experience,"I thought I have eaten the best jap food already, but this is even more delicious and bring me to a whole new level! Service is good and no complain!"
Ooohlala Food and Service is excellent!,"We dis not order any of the cooked items and did just the raw ones but everything hit the spot. Personally 3rd was the Ankimo Monaka, 2nd Ootoro and 3rd the Ikura Uni Don. Its Omakase so you may not always get these but some.could be the standard staple items. Biance, service was great. You also get nice experience and not only good food."
Superb dining experience,"Excellent service, staff and chef were attentive to our needs and requests. Food was superb and fresh. Staff also took note that we are celebrating birthday, and prepared a surprise dessert for us. Staff also helped to take an instant photo with their prepared notes and card. Very pleasant experience overall. Quite expensive but definitely worth it."
Very good experience,"The food was great and the fish was fresh. It was a good place to go to if you want somewhere quiet. We just felt a bit uncomfortable to see the chef going to the kitchen now and then, as well as hearing him sniffing and sneezing in the kitchen. We were constantly praying that he washed his hands properly after sneezing."
