topic,review
An excellent dim sum place at a fair price. It is open for business.,"Your page states that the restaurant is closed “This restaurant is only available for takeaway or delivery at this time.” This is incorrect. The original large place is closed but they have opened a takeaway right next door and there is a sit-down place covering two large sections next to the takeaway.
1. I was with a Chinese friend who spoke to the server – a tired looking elderly guy who is not customer oriented. So, unless you have a Chinese speaker, check it out. There are also young lady servers / helpers.
2. There is a printed menu and then you are given a sheet of paper on which you write the quantity required against the list of printed items.
3. We had pork buns, sui mai, steamed pork rib, bean curd prawn roll, fried prawn dumpling, chives pork dumpling, rice roll with prawns and har gow. The rice roll was outstanding.
4. There were large family groups in the next room – parties of over 8 members enjoying their sumptuous lunch.
5. Some of the dishes are only available at night for dinner.
6. You pay after the meal at the counter in the second room.
7. The toilet could be cleaner!!
8. I took photos of a cook making noodles. Awesome."
Very popular diner but food could be better,"Extremely popular diner with queues outside. But it’s very basic, even extremely. Dim sums are good, sainted egg yolk excellent, but steamed pork ribs is a disaster - pieces of bones and something else, unedible."
Just a meal,"Booked from google for nothing, didn’t ask for reservations, fortunately went there early. Food is fine, some recommended didn’t suit my taste, a bit salty"
Average,"Atmosphere is good, has aircon and clean. During weekends morning there will be a queue, remember to scan their QR code to take a queue number and also scan to place an order. Dim Sum was average although the porridge was good. Overall experience 5/10."
Best dim sum in Singapore,Heard good things about this place. Very busy but got a table quickly with no need to wait. Use a QR code to order your food so quick and simple. Items are prepared in house so very fresh and tasty. Cheaper than most dim sum in Singapore. Highly recommend. Make sure you go to the one on Jalan Besar.
most worthwhile dim sum!,Affordable yet the quality and service is as good as some expensive dim sum elsewhere. This is the third time I've gone this year and I will continue to eat here!
Good and nice tim sum 👍,"Tim sum is hot and fresh. Their chicken feet is nice and their pork rik, shrimp dumplinh tasted like home made, not instant one. Those food is served fast too Service is good too, I will back again. If I wanna to eat dim sim again. My 1st choice will be sweet choon."
Nice,"Nice enough. Food was good, staff were polite. I have had better Dim Sum but overall I can’t complain! The carrot cake and custard buns were absolutely delicious, really recommend you try those"
Food was good & service was excellent.,Food was good & service was excellent. Maybe because we were the last patrons in the restaurant before their afternoon break.
First Attempt,Prices are on the high side with these settings and the he service level was prompt cos it wasn't at their peak hours.
Authentic local dimsum.,"Swee Choon Tim Sum Restaurant. Is one of the few authentic and long serving eatery offering better quality dim sum. Served in the quaint and casual setting it is a favourite amongst local diners but we came early on a Sunday morning 9am. The q already developed, quite digitalised operations as both queue and ordering from Menu are electronic/QR code based
Make up of a few shops just ajoining we managed to get tables in the original (central) section. The setup & atmosphere is somehow typical of a Hong Kong-style dim sum restaurant, but localised to suit more our taste palate.
We ordered the usual loads of feast; lui sha bao, beancurd prawn, fried red-bean paste, carrot cake ++ . Still we prefer the steamed goodies like Har gao & siew mai dumplings & chee cheong fun (rice noodle rolls drenched in a sweet soy sauce). The cheecheongfun is thin and silky, the prawn paste of the dumplings fresh and scullent.
Needless to say all the food taste nice, vying for my stomach space.. 
Overall reasonably price breakfast of dimsum for us all."
