topic,review
Excellent place,Visited this restaurant for afternoon tea with my partner. Loved every bit of the experience from the tea to the food to the music! Will be back for sure!
Wonderful Afternoon Tea,TWG Tea Salon was wonderful. We had the Parisian Tea for Two with Jade Dragon and Lung Ching Jade teas. Everything was excellent. Service was great and it was very busy and a full restaurant.
TWG Atas Tea Break,"Service was excellent and an expensive tea break, but worth it. Except the muffins was horrible. Long queues doesn't deter us as were on staycation."
Singaporean afternoon tea,"Wow, how exciting it was to try the TWG tea experience after being told it was one of the things to try, and we weren't disappointed.
We were shown to our table and our waiter Julius, was a star. He was extremely polite very friendly and made us feel at ease.
They have a great book of all the teas they have from around the world, which will take a good few minutes to read through.
We decided upon a tea and scone set. Each chose our own tea, which was served with 2 warm scones, clotted cream and their own TWG tea jelly which tasted of strawberry or raspberry, interesting but very enjoyable.
We were asked if it was our first time there and we said yes. We were then presented with an in house pastrie, delicate butter pastry, jam base custard top and then finally finished with a thin cremebrulee.
After our tea and scones we stepped down into the shop and purchased a tin of Weekend in Singapore tea leaves to enjoy at home and relive the memory of tea at TWG's.
Go when you are in Singapore you will not be disappointed."
Place to tea,"We first time had tea here was in 2014! We are visitors to Singapore and come back to tea after 8 years. Everything is so nice and the memory comes back with the scent of the best tea in the world.
Thank to those who make the excellent tea for us and servers for their good service!
TWG, you should be proud of your team!"
Amazing blend of tea,"An amazing place inside Marina Mall and a great ambience and good food aprt from very special tea. We went for afternoon tea and I must admit I being a lover of milk tea, they changed my perception and black tea offered was far better than milk tea and had some of their signature infused aromas."
The details and attentiveness,Superb food and of course the teas. Attentiveness and attention to detail makes you leave feeling celebrated! Thank you
Terrible Lunch Experience,"Went to TWG MBS and decided to try their set lunch. Service was slow despite the place not being crowded ( we went pretty early). We had to wave many times just to try and get someone's attention. Tea for the set lunch was bad ( orange and wood) which i tasted absolutely none of. Mains and desserts was nothing to shout about. As I do not eat alot during lunch, I requested for food to be packed. There was more than half of it left. I was then told that I could not pack my food! There was no signs informing me of such a policy. If i had known, I would have bought something smaller, something I could finish comfortably. In the end, forced myself to eat as much as I could because I did not want to cause so much food wastage. An extremely unpleasant experience."
Exquisite food and tea.,"Exquisite food and tea for any day of the week. Come to Marina Bay Sands the Shoppes, one cannot miss the TWG tea garden. This is perhaps one of my favourite TWG places in Singapore. Natural sunlight fills the place during the day making the tea experience even more special, akin to the tea gardens in the UK. Food was excellently executed, a good blend of taste bringing out the full flavours of the ingredients. From the savoury to the sweets, buttery to tangy, everything was of choice ingredient, you can definitely tell from the first bite. The tea list is really long and one will be able to find something to one's liking."
Excellent Service and Food,Had a wonderful hightea with my friend. The food is amazing good quality. The staffs are professionals specially Mr. Arnold Latorre very detail and attends well on the guest he made our dining experience special.
Great Job TWG,"TWG
I love the ambiance of this TWG branch. I always feel relaxed and love how naturally bright the shop is. Of course, I enjoyed the wide varieties of tea and pastries. But most importantly the kind of service that they offer here, that in spite being badly hit with the pandemic, the service continues to be amazing."
Exceptional customer service!,Exceptional service at Marina Bay Sands twg! Staff was really friendly and remembered us. Celebrated my birthday with me even though it was belated and gave complimentary macarons and candles. Will highly recommend this outlet.
Good food! Good times!,"We had a wonderful lunch today at TWG with friends. First, great service by the staff as I feel it is their service which turns a dining experience from being satisfying to being a delight. A special mention for the lady manning the entrance, who made us feel very welcome and Alvin who took care of our table, was very friendly, courteous, prompt and extended excellent service. With covid, many dining outlets at mbs have specified time periods allocated for your meals. We were glad to see TWG did no such thing, and we relaxed, chattered , and had a great time bonding over food and tea without a time limit hovering over us. Thirdly, the food was excellent. We were tickled pink to see the wide variety of tea options available - I think I saw more than a hundred blends mentioned !! Heard of and tried tea mock-tails for the first time - it was delicious . They have a tea cocktail too - if you like a spirited drink"
"Delicious Food, Excellent Service","Highly recommend the TWG Branch at B1 of MBS (perhaps a lesser known location compared to the Tea Garden which is more visibly located at the mall centre). For a restaurant that is more famous for its teas, the food is surprisingly good - in particular the steak and fries, and the wonderful sauces and condiments that goes well with the mains and bakes. Service was absolutely professional from beginning to end, in particular Ryan the store manager was warm and attentive to our meal, and his team made sure we had a good dining experience. We will certainly be back!"
Expensive but delicious!,"Expensive ofcourse because they are high end. But their teas and food are delicious! Fantastic sandwiches, cakes, ambience, and great service. Could tell that one of the staff who served us was knowledgeable - He knew what kind of tea would suit us individually the most. Thumbs up to him!"
Amazing food and thoughtful service,"Food was delicious and perfectly done. Was delighted with the special twists to the various sauces that accompany the main dish. Above this, would like to do a special shout-out to Charif, the area manager. He made it a point to go to each and every table to check if everyone had a good time and also to provide really really good recommendations and house specialties. He was also very attentive and was really warm in his actions and conversations. Well done Charif!"
Afternoon Delight,"Always an experience to dine in here. Food and the service are always very good, however lacks or that warmth feeling. Every staff were focus on serving , cleaning taking orders, but this girl - Sophia, whom I’ve seen the second time (lasttime was October2020) was a breath of fresh air. As my friends and I were dining , i asked of her to take a picture of our group, she politely smiled with that genuinely gave warmth feeling of “yes sure I want to help you” attitude, I appreciate that a lot. I recognise her warmth gesture. Thank you again Sophia."
I’m still thinking about their portobello sandwich 3 days later,They were warm toasted sandwiches with roasted portobello mushroom and white truffle béchamel sauce infused with Emperor Pu-Erh to be exact. Delicious. The scones were divine with jelly and cream. Oh and the macarons! Napoleon tea and caramel was my favourite flavour. Love how it painted our mouths too Selection of teas were overwhelming and the waitress was helpful with making recommendations. They don’t take reservations on the weekends so the wait for a table was pretty long (almost 1 hour). A fancy experience nonetheless.
