topic,review
Had TWG for years,"The initial teas was good like Arabian nights, etc. However as prices goes up and up and UP... extravagantly.... it's really not worth
HECK these are only TEAS!!!
I got the TWG Royal, Darjeling, etc and my verdict? It's smooth, light but at the end of it, it's JUST TEA! Even the standard Darjeling from Dilmah, etc are more fragrant.
Overrated overpriced TWG... I've stopped buying it. Trying to BRAND something that's not and shouldn't be branded. Greedy TWG"
Average,"Firstly, at such an established tea brand and tea house, the queuing system was ridiculous. I agree that it is ok to have first come first served basis, but to have to stand in queue and not be able to leave mobile no. that already set the tone for this visit. Made us more than a little crank. We took turns in queue and looked around. Our table was teeny tiny and they squeeze 3 of us on a little table, which is fine, but I would just stretch my hand out and touch the neighbour's table, actually, I could hear their conversation, they were on a first date! The scones were a little small and dry. But I guess I came here for their tea. It was really good. The best part of this was the cake, their saving grace that gave them an average rating instead of poor. I recommend the cake option for the afternoon tea - the matcha one with the gold leaf, really delicious - could not fault this. Anyway, come early 13:30 -13:45 and sit until the afternoon tea starts 14:00 to avoid the queue."
Service Needs To Begin With The Queue,"Sat, 25 June 2022

I am writing this as I am still queuing outside TWG ION. It is

TWG needs to re look their standard and Service SOP should begin with the queue.

I went in to make 2 suggestions to a male staff-
1. Institute a system where our mobile numbers provided so staff can ping customers when th table is ready
2. Provide chairs outside for customers who choose to wait in the queue.

This ensures all customers are taken care of specially in a way that no other tea establishment has thought of.

My daughter felt unwell after still waiting in line and had to go sit down.

Meanwhile, I am still queuing as I finish texting.. Badly done TWG!"
What would you drink at a famed tea store?,"I would like to recommend the mushroom soup. It was as good as I have had anywhere, although the serving size was small. BTW, they do have some good tea. After our soup, my wife and I both had tea."
Tea and more,"A chain of high end tea cafes originating from here in singapore and expanded all over asia. They have the usual scones, cakes and macarons as well. Some teas go for as much as $250 per pot. 😬"
Disappointing Service,"Have been a regular at TWG but was startled by the pushy service staff. They seemed unwilling to provide additional plates to share items, or even additional spoons (pointing out that the table already had one - of course i knew that I wanted a serving spoon). Also insisted on the one pot per person rule (even though we ordered other desserts and food items).

Really dulled my experience."
Pleasant dine in at TWG,"Ion orchard TWG tea . Staff, Charles recommended tea pairing with food goes well with it. V patience introducing the different type of tea and food when I ask for suggestions. Did go thru the menu with u and ask about me and my friend’s appetite. The tea he intro is awesome. The taste bud and even go for extra mile to let you experience the tea taste. Nice !"
Great afternoon tea experience!,"Love the Parisian afternoon tea. We were to opt for choice of scones, cakes or muffin. Glad we chose scones and cake as the scones are delicious! It has one of the best scones. It is tasty and has a soft texture inside. Love the tea jelly to match it with, which i think is only unique to TWG. There is a wide selection of cakes to choose from as well. Service is great. Staff is friendly and knowledgeable. Their afternoon tea is available until 6pm so it is a good option as most other afternoon tea ends before 5pm."
Sarah,"Terrible service provided at ION’s TWG. Staff talked down to customers. 0 product knowledge as well. Food was great but service and attitude of one particular staff (girl with very thick eyeliner, did not manage to catch name as no name tag). I expected more from TWG as I have visited other outlets and experience has been great. TRULY DISAPPOINTING ION’S TWG. Also, i visited on 2nd Jan around 11am. I hope TWG sees this and does something about it."
Pretentious place for afternoon tea,"Pretentious place for afternoon tea... the food was ok. Enjoyed the selection of teas they had; they are great for teas from South Asia but their teas from China are average. Service was also mixed, some are good, know their products but some were just so so."
