topic,review
Birthday Celebration,"Came here with my family and enjoyed the high tea experience - Nisha made the experience pleasant and was attentive and helped us take pictures too, thank you Nisha!"
Staycation,"Had a good time dining at tablescape as well as crystal club. Servers Thomas at crystal club, David & Nisha at tablscape were extremely helpful and made my dining experience enjoyable :) The food at tablescape was delightful and portion sizes were big! Thank you to all the staff that made my staycation a memorable one."
Tablescape dining experience,"I would like to commend Rico, Indran, David and Nisha for their wonderful service during our wedding lunch reception today. It was indeed a memorable experience.

Everything was commendable. Their 4-course meal lunch is very satisfying and delighting all my guest each time they serve each meal Happy that I made the right choice to have my wedding ceremony and reception here. Kudos to the whole team!!!"
Food,The food here in tablescapes tastes amazing and the service is wonderful!! Would definitely come back soon!
Tablescape,"Super good service, friendly staff and good food. Would come again. Awesome restaurant, great experience"
Dining,The staff are all courteous and Mr Rico handed and made us come cappuccino. The room was very so beautiful and relaxing.
Impressive service,"We went to Tablescape for breakfast and greeted by Mei warmly despite of the busy crowd. She ushered us to our seat with a smile on her face.
We were then served by Rico which pays attention to detail as our daughter is very picky on food. He attends to our needs as we also have a young boy that keeps playing around.
The chefs are very accommodating to our request and thanks to Lai Yong, Kok Wah & Jaden for attending to the dietary that we have. We really appreciate them as chef Lai Yong even walk out to check if all is good.
The team is really an asset to the place and their service is really impressive. We will certainly come back and recommend the hotel to our family and friends.
Thank you so much for the warmth hospitality!"
"Compliment for Rico, Mei, Kok Wah, Jayden and Chef Lai Yong and the whole team!","We were very pleased and satisfied with the service provided by Rico, Kok Wah, Jayden, Mei and the food prepared by Chef Lai Yong. We look forward to coming back at mid of this year.

Thank you for your service and keep up the great work."
"Compliment to Rico, Mei and Chef Lai Yong and the whole team","I am pleased with the service of Rico and Mei because they are very friendly and accomodating. They have attended to us in a professional manner. They are very efficient and effective on their job responsibilities. I am so happy with the service of the whole team. Food is so amazing, kudos to the Chef Lai Yong for doing the job well done. Good job guys. Keep it up!"
Breakfast at Tablescapes,Mei and Rico of Tablescapes Restaurant and Bar in Grand Park City Hall provided the best service ever! Will definitely recommend to this place to my friends.
A great dining experience and more on Chinese New Year’s Eve.,"This is my second time back to Tablescape, on Chinese New Year’s Eve! Once again, the staff did not disappoint with great service and fantastic food.

The soup was my favourite while the asparagus with scallop sprinkled with almonds left me wanting more. The truffle duck was another highlight but the dinner was elevated from great to superb when we had the Lo Hei with salmon and caviar! My kids enjoyed the mango passion fruit juice and the adults took the gin and strawberry cocktails to wind down the dinner.

The team took such good care of us that I took their names down - Mei, David, Rico, Nisha, Farah were so attentive and went the extra mile to serve us coffee on the house with hot froth milk to pour on as desired. One of my girls did not like the dessert I ordered and the staff served her ice cream to make her day!

As we were seated in a secluded corner, the ambience was right on spot and we enjoyed lots of photo taking. Our first CNY dinner in a hotel after Covid and Tablescape helped made this evening memorable."
Chinese New Year Eve Dinner,"My family have a reservation for CNY Eve reunion dinner there.

The table setting for 19 of us is very nice, we were very well served by Mei, David, Rico, Nisha and Farah.
Staff are all very attentive and adds in the joy when we did our Lo Hei. We also had some juices, mocktails and cocktails from the bar during dinner, very refreshing drinks and delicious meal.
Thank you for such memorable reunion dinner there as we usually have steamboat at home…"
Having a wholesome dinner at Tablescape Restaurant,"Serviced staffs, Farah and Nisha were very warm and efficient. I feel very welcomed at the restaurant. I love the nasi goreng. It’s delicious and the serving is very generous!"
Fantastic,Stayed here for the first time. Hotel was clean and helped us a numerous time. Want to thank a wonderful lady named Wendy that looked after us so well during our stay she was very kind.
Tablescape charged double!,I had a nice dinner in Tablescape on new year eve. The foods were amazing and we were nicely taken care by the server. The only problem was i feel like hotel was trying to scam people. I was billed $208++ per person for new year dinner while on internet clearly stated $108++ per person. Please be honest and mention the correct price on the internet. I was totally upset by the management marketing style by cheating customer :(
Not good anymore,"We liked the place before Covid, but is a true disappointment now. Some courses on the food were good, other not so good. Wine list has probably a dozen of selections, of which (3!) are available. We were the only diners in the evening."
Tablescape lunch,"Was here for lunch, served by nisha excellent service, friendly and cheerful, can’t wait to meet nisha and the tablescape team again! :)"
Lobby Bar for F1,"The bar and staff was top notch very kind and friendly. Nisha Tablescapesg team crushed it, she came recommended and did an outstanding job!"
F1 Race @ Grand Park City Hall,Great food and service at the rooftop! Nisha brought us under cover in lobby for wet weather! Highly recommend the tablescape team.
Afternoon Tea,"Great service, patient and polite. Will visit again really soon! Recommended to everyone. @tablescapesg @nisha @mei"
Afternoon high tea for 2,Staffs are very helpful and hospitable when attending to us. Great attitude! High tea treats are filling so it’s best to come with an empty stomach to better savour them 😋 @tablescapesg_ @nisha @mei
Afternoon High Tea,The staffs are attentive and friendly. The food is also freshly prepared and served. It’s an overall good experience. _@tablescapesg @nisha @Mei
"Awesome farewell, welcome and birthday event",Totally awed by the Tablescape team for the impeccable service! Esp Nisha who attended to us so attentively!
Not recommend,We was the only customer dining at the time but the staff was not attentive enough and they take quite long to serve the food and it taste average.
Average selection,Staff - friendly and professional Ambience - love the renovated decor Food - nothing to exciting Drinks - standard offering
Good food plus trustworthy staff,"It was our first time to try their set lunch and we were not disappointed. I’d like to take this opportunity to commend Kubeindran and Rico for finding my bracelet, which I dropped at the restaurant. Thank you very much!"
