topic,review
Brilliant innovation on singapore classics,"Food & service were fantastic, delicious interpretation on traditional laksa and savoury spices made for great flavour"
That delightful twist,"I have always been meaning to try the dry laksa as it has received positive reviews. Sure it has a balanced ratio between the vermicelli and the ingredients (and it could be a notch or 2 spicier for that extra kick of depth) but what surprised us was the Kaya Goreng dessert that was so low key but so deserving of flex. That aromatic kaya paired with refined coconut shavings alongside the savory sweet ice cone is simply too delectable. I ordered a second portion being on a caloric count so yeah, try it!"
Good place and will visit again sometime,"I like this cozy restaurant and recommend to everyone. Hospitable hosts, delicious dishes, and local cocktails. I would like to come back here again sometime."
Fantastic and cosy place!,I had dinner and drinks with some of my friends there. Chef Renee's signature dry laksa is surely the dish that cannot be missed! The manager Emery is very friendly and chatty too. I will definitely go there again.
Great Food Great Place Great People,Food here is fantastic! Try out chef specialties…. Too many to list down Friendly and attentive service team! We always had a great time here
Group of 5,Food was great. The service was fast and friendly. We will be back again. The place wasn’t awfully crowded hence the service received was almost like private dining.
Fantastic place,"Went for a dinner and the food and service was amazing. The staff were very polite and attentive.

We had the otah scallops and tau pok for starters. Both were delicious with us giving the edge to the scallops!

Our mains were the dry laksa and the pork ramen. The ramen broth was super comforting! Definitely value for money and I find it better than the ramen chains that you pay the same/slightly more for

The dry laksa was definitely the highlight of the meal. I honestly find it a good compliment with ramen we had! We had it with the prawns and it was a generous serving with plenty of flavour. I was worried I would get jelak after a couple of bites but I thoroughly enjoyed it till the last bite

Definitely would love to go back with a bigger group so we can try the other things!

Highly recommend this place!"
Fantastic food and wonderful service,"Ordered the dry laksa from jelebu dry laksa, chef Renée herself was there to cook the laksa. laksa was flavourful, not too spicy and the tiger prawns were amazing. Love chef Renée's take on laksa. Also ordered garlic fries which were well seasoned and the laksa cocktail which was refreshing with a hint of heat. Service was excellent and staff were really friendly."
Valentine Day,"Came across Takeshi Noodle Bar while trying to find new places for ramen, and was intrigued by their menu, especially the dry laksa. Decided to gave a try and was truly impressed by the roasted iberico pork ramen and aburi salmon linguine. The service provided by both ladies is excellent as they are super attentive. Will definitely patronise again!"
Staff appreciation,"Hi Tipsy Team, Just want to say good job to the excellent service provided by Emery. Always checking on how are we & also prepare a customised cocktails for us to enjoy. Thank you so much, definitely will come back again."
Unexpected Friday Night Experience,I like the dry laksa it has the flavors minus the soupy mess. Place was nice especially for a busy Friday night. Try their local inspired cocktails as well you might like it.
Great company and food.,Nice and friendly staff Emery. She recommended us king cup game and played with us. Strongly recommend for her promotion. We are greatly appreciated. Thank you Emery. :)
Thank you Emery & Team,"Tonight on 10 Dec 2021, I would like to thank Emery and her team for making it a wonderful night for us. We actually had some “hiccups” at another restaurant & chanced upon Takashi noodle on Google.

We arrived after 8.30pm and it’s a Friday, and we only had to wait for a little while (really lucky for a Friday) & thankfully there are seats for my friends & I (yay!)

From the start till the end, Emery & her team made us feel so welcomed and even explained the dishes to us & knowing that this is a birthday celebration for me, she even gave us free shots (look at the pic!!) (sorry Takashi noodle, maybe people might start requesting for it )

Remember to order their mentaiko oysters cause it’s so good & the mentaiko linguine!

We will be back again! Thanks Emery & team for the wonderful night ;)"
5 star food!!,Unique ambience with very friendly people working here! Ordered the collagen ramen and it’s awesome! Rest of the food is extremely nice as well!
good vibes & good food,"ambience is amazing and it is a hidden gem in tanjong pagar, food was at an affordable price and tastes good also! overall pleasant experience:)"
Food,"The staff is very nice and friendly, the food smells nice and taste quite delicious too. The atmosphere is nice too."
Noodle bar,Portion is relatively small but tastes pretty good. Pretty pricey for the portion but worth it. Had the mentaiko salmon pasta.
very good service,the food is awesome. Lyna and Joyce have been a wonderful crew. They made the environment so enjoyable. Will be back soon!
EXCELLENT SERVICE & FOOD,Takeshi Noodle Bar have the most amazing menu. Service staff Lyna are very polite and approachable. Ambience of the restaurant is perfect! Definitely a nice place to unwind after a long day.
"good vibes, cool noodle items :)","the place has a good vibe :) and they have interesting noodle choices, I liked that we could choose the firmness of the noodles. my friend and I chose the hard for the firmness, however, we felt the noodles was a little starchy, and had a flour taste to it. you could try ordering the soft firmness for the noodles. overall a pleasant visit!"
Great food great ambience!,"Food taste great and service was great too! Especially the ramen, the truffle smell and taste was excellent"
Great food and quiet ambience,Really yummy food and quiet place. Attentive and friendly staff! Recommend the edamame and the uni pasta.
Draw to the good reviews for Ramen here,"Quiet location and cozy setting. Interesting decor mixed with bar setting. Friendly staff welcoming you. Tried the pork ramen, nicely cook and warmly served."
Friendly staff / Good food,Went to Takeshi for lunch and the food is wonderful. service is great. Very friendly and kind staff. Ambience is great
Huang,Ramen is nicely cooked. Good variety of choices in the menu. Service staff was friendly. But it is slightly pricey.
Interesting food and ambience,"Great service and great food, highly recommend their wagyu ramen. Thick broth! Goes pretty well with the Asahi Black"
Great food and ambience!,Their Mala Wonton noodles are good... Awesome service and nice ambience! Highly recommend for all who seek a good lunch or dinner!
Noodles but better,"Great ambience, great service and great food. Would recommend if you're looking for a little smth different when having a noodle dish."
Excellent food and atmosphere,The Singapore Mala Ramen is a must try! Strongly recommend you to try. The staff are very friendly too!
Good little noodle bar,"Noodle bar is a little difficult to find, inside Hotel Soloha. Nice ambience. Nett price. Worth to come visit"
Great Place to Hangout,This place is very decorative. Great ambience and cozy place for hangout! The staff is very polite too! Will definitely come back again!
"Friendly staff, nice place to chill :)",was here for a drink but we ended up having a full course meal. lovely place and reasonable price! highly recommended!
Will definitely come back!,"This place is very decorative. The staff is very friendly and attentive. Food is really nice. Great ambience, food, and service!"
Worth trying,"Chic interior decor accompanied with delicious and well-presented food . Great drinks selection, got the one for one deal . Value for money ! Highly recommend to try the mentaiko salmon pasta and mala ramen"
Unique flavors of ramen,"Second time coming to this noodle bar. This time they have alot more selection of ramen. Tried their seafood mala ramen and truffle wagyu beef noodle. The mala broth is nice, not very spicy but can be quite numbing on the tongue if u eat more. Truffle infused tonkatsu broth is nice, not too overpowering and still can taste the tonkatsu base. Would prefer the noodle to be more springy, otherwise everything is good! Joyce is also very helpful and friendly!"
Awesome noodles in a pretty place,The noodles here are delicious and every bite is a delight. Personally recommend the Mala lobster wanton mee!
"Chill ambience, food subpar","Ambience is cute and cozy but food was subpar. Collagen uni ramen noodle texture was mushy and seafood not too fresh, was not value for money. Garlic fries was good though"
Dinner,"Very friendly and attentive staff. Nice plating. Reasonably restaurant price. Not over expensive and definitely not hawker price. Food wise, to be honest, is not to my liking. Oyster is good. Striploin is so-so. Truffle linguine is rich and creamy but a little too creamy for me. Their signature ramen has a lot of quality ingredients but it does not have a harmonious taste together. Soup is thick but have a foreign taste. The soup already has a think flavour yet there is fried garlic slices inside which makes it very strong taste. The garlic overpowered the soup. Its a pity that lots of seafood are served buy turns out the broth is not to my liking.
Only the good service may make me revisit this restaurant and I will at most order their sides. The mains in this restaurant is disappointing."
Worth the trip!,Good ambience and friendly staff! I have ordered seafood mala collagen and its not too spicy! I loved the fujifilm photos on the wall!
Quiet environment and nice staffs,"Love the food we ordered today! Very interesting flavours especially the mala lobster wonton, and the environment is very cosy and absolutely love their tableware. Would come again sometime soon!"
A gem in Keong Siak.,"Excellent service, great fusion ramen at reasonable prices. Love the seafood mala. Not too spicy and rather flavourful."
Great Vibes,Great for dates rich uni pasta! Oysters were fresh. Didn't manage to try the drinks but its a great place with nice vibes for dates
Review,The restaurant has a very nice atmosphere and the food is great. The price is reasonable and i would highly recommend my friends and family.
Nice food,"Good food good service, recommend to come again. Good ambience, a nice place to gather with friends."
Takeshi Noodle Bar @ Hotel Soloha,"Food was amazing! The grilled striploin melts in your mouth, and the noodles were cooked to the right firmness and texture. Garlic fries done right too!"
Great place for meet-up with friends,Interesting variety of noodles. Restaurant is quiet and cosy for an intimate time with family and friends. Great service from the lovely staff here too!
Good ambience and awesome drinks,Really nice drinks with great ambience to hang out with friends. Very conducive and staff are friendly and helpful.
takeshi noodle bar,"very very good service, patient w customers and nice ambience. food is good too. very worth the price"
Honey iberico pork bamboo shoots seaweed garlic ramen mushroom,Service staff was friendly and welcoming. The soup was served hot and was rich. Free wifi as well!!!!
Awesome,"Super nice stuff, nice vibe and good food! Had the mentaiko pasta and iberico pork ramen, super yummy stuff!!!"
Takeshi ramen,Great vibes and cozy environment at a central location in Singapore. Happy hours from 5-8pm. Worth the visit for fusion ramen!
Really good service,"Very attentive staff, fast service. Pricing was normal drinks had 1 for 1 which made it worth it. Nice quiet ambience."
SPICHEEEATZZ WAS HERE,"The uni butter noodles were succulent and scrumptious. With a modest portion and with a pleasant ambience. It was a good dining experience. Will come here again. If you’re here for the garlic fries, we were too. If you sit at the back it might be a bit warm. But it’s been a really good experience and will come here again! Your lucky if you get Joyce she’s such a kind soul!"
Yumz!!,"We ordered the Mentaiko Linguine and Honey Iberico Pork Ramen!!
The Pork Ramen was pretty good, noodles were cooked to perfection, pork was decadant.
Linguine was al dente, was not jelak at all!! Satisfies my cravings as a mentaiko lover!
Service was really good as well and the staff were very attentive to our needs! Overall would come back again :)"
Great food and portions!,The food was great and portions were good! The “rich” level soup is worth the try if you’re into ramen!
Cosy Environment & Nice food,"Ramen here is good, especially the seafood collagen mala ramen! Staffs are friendly too! Worth for a visit here!"
"Great food, nice atmosphere, friendly staff",delicious noodles and nice drinks! good price range as well ! staff are friendly and helpful ◡̈ angel hair linguine and truffle mentaiko pasta is recommended
Good atmostphere,Great food good atmosphere. You should consider this place if you like ramen and good priced drinks.
Nice noodles,"Under a hotel in a vibrant neighbourhood, with indoor and outdoor seats, The staff are nice and food with generous big portion"
Fabulous dinner spot,"Came here with friends for a casual dinner. Good food, great ambience and excellent service staff!!!"
Food Review,"Food was superb , service was prompt as well ! Definitely will return back again ! Ambience was nice ."
Chill dinner,"The noodles and soup was really flavourful and staff were attentive, providing refill of water when we needed. The fries were okay but not the best."
Happy hour by Keong Saik road,Very relaxed and good atmosphere outside. Friendly staff and good happy hour deal with delicious nibbles.
Takeshi noodle bar experience,Atmosphere and ambience was very nice abd soothing. Love the design of the restaurant as well! Service staff were also nice and attentive. Ordered the wanton noodles and angel hair pasta and they were fantastic!
Excellent food in cozy ambience.,"Excellent food with cozy ambience!!!!!!!!😊😊😊😊 My family ordered the signature mala ramen, australian wagyu beef ramen and honey iberico pork ramen!"
Ramen,"Love the decor, food and drink was great. Staff is nice. Overall this is a great place to enjoy a great ramen with friends on a rainy day."
Nice ambience and good food!,The mala seafood collagen ramen is good but not enough mala in my opinion. The honey iberico pork ramen is tasty! Wait is a little too long though - waited 45 min for our noodles..
Lovely interior,Lovely interior and lovely food! Great alternative to the conventional ramen found elsewhere in town. ˆᴗˆhighly recommended to locals and travelers alike.
Gem find!,Great ambience and super chill place to be at. The interior and vibes are great. Food’s good too. 11/10 worth to come especially if youre nearby :)
Iberico Pork,"Visited this place one week ago and the food is very good, would recommend to visit here again and enjoy another food"
