topic,review
"Intimate, Date Night Dining","Intimate dining setting in a vintage vibe. Highly recommended for date night. Food is superb, service is impeccable. Fabulous cocktails by their in-house celebrity bartender Rizwan (Botak). Had all our meals here during our 2-night Luxe Sarang (Rm21) stay at Villa Samadhi on 20Jan 2023 during the long CNY weekend. Every visit to the restaurant was wonderful and enjoyable.

Special thanks to Momma Helen, Rose, Joanna, Tsai, Rizwan for the lovely dining experience.

We will see you again soon!"
Great atmosphere for gathering,"Had my rom + wedding reception there during covid in 2021.
It was a nice cosy environment, the service is great! I had everything I wanted!
The event planner was Sarah. She was so responsive and always replied to me in time. There were SO MANY regulations during that period, Sarah really helped us ease our nerves in handling all of those!!!

Highly recommend here if you want to have a small and intimate event.

Thanks Sarah for all the help we got!"
Sunday Afternoon Brunch,"Relaxing late morning leading to early afternoon brunch with attentive service. Lots of small plates, tasty and flavourful, free flow beer and bubbles (cocktails available too), made this a perfect Sunday out in Labrador Park in gorgeous surroundings. Great way to spend Sunday, thank you to all the staff."
Nice location,"Was here for an event so readers should take that into account.
Location is a bit out of the way if you are in the CBD but surroundings are worth the trip. Like I said I was here with a very large groups of people. Staff were rushed off their feet most of the time with one side of the table not getting any rice, plus a long wait for drinks at the bar. The food wasn't really that good as it lacked heat, again this could have been sue to the mix of the people there. That said I have had better Thai without the need to travel to Labrador Park and the faults would not put it on my immediate try again list."
"Unprofessional, sesnselessn behaviour","I had made advanced reservation for a special 80th birthday celebration. There was no objection from the staff I talked to.

As overseas guests were invited, I called up 4 days in advance to ensure that the reservation was in order.

However, I was told that the restaurant did not have record of my reservation and it couldn't accommodate me as it was full house on the day of the celebration. I explained my booking history and sought the restaurant's help. Another staff called back later and assertively alleged that I had given the wrong information; that I called the wrong number belonging to the hotel (Samadhi) and that I spoke to staff who are part timers etc and not to him. In short, senselessly blaming me for everything that led to the lapse.

He missed the fact that the number I dialed (6929 2100) was listed on the website as the reservation number for Tamarind Hill and I had spoken to a staff who had answered my call and acknowledged the reservation.

Unfortunately, instead of apologizing, this staff showed no desire to help or listen and accused me for the error. To add salt to wound, he hung up the phone on me while we were still talking. I called back immediately but the line remained engaged for a while.

His rudeness prompted me to request repeatedly that he or a manager return my call. The staff I made my request to happened to be the person who booked my reservation. She agreed that it was totally their fault and not mine. Till this day, I have not received any call from any staff even though I was informed the manager “will call” me.

Its incredulous that an “award-winning restaurant” under a ‘luxury boutique hotel” will offend customers by unjustifiably blaming them for reservation oversight, being rude to them and making themselves uncontactable with no follow up action despite my requests to address issues or make amends. Such behaviour shows how little it cares and how undeserving it is of any good rating."
Extremely unprofessional behavior,"Very unprofessional. Our reservation was cancelled via email notification without reason. When we called and asked for explanation, we have been told all the reservations for the day were cancelled due to private event. First of all, it is not very not nice and professional to cancel reservations of everyone with short notice just because you restaurant want to make more money by hosting a private event instead. Second of all, if you do that, at least i expect an apologize message from the restaurant explaining the reason of the cancellation and offering to reschedule the reservation to another day, even better if accompanied by a complimentary discount for the inconvenience. This is what a 5 stars review restaurant would do, and Tamarind Hill is definitely not one of these."
superb thai food and set lunch on weekdays for just 35,the Resturant is beautiful and went for lunch. they have set meal veg and normal one. the food was superb and set lunch is worth having for just 35 . the fried rice and green curry were superb. the roll is really nice. the Resturant decor is superb. the coconut ice cream is too die for.
Tranquil,Tranquil with a good view of the sea. Food was tasty but overpriced by Singapore's standards of luxury hotels
Most expensive pint in SG?!,"Food average. Ambiance weird - why the whale music?! Service OK. No wifi and no network coverage - good luck getting a taxi back home.

But S$26 for a pint! - a pint of draught Chang at that - is just extortion. I would have called the police but no network coverage! Ohhh now I get it!"
Such a big disappointment,"When we visited this restaurant in 2020, we were absolutely delighted and this time deeply disappointed with the service and food.

The service was extremely slow, the food took almost an hour to arrive and the quality was subpar. One of our main dishes was forgotten, and mistakes can happen but the waitresses didn’t even bother to apologize.

The taste of served dishes, appetizers and main dishes like vegetarian curry and tom yam soup was not good at all, their taste was too sweet for Thai food. To be honest, you can get much better Thai food from hawker centers in Singapore.

Drinks menu is and the quality of wines were good, but last drink was served at 9pm and staff already informed us they close the restaurant at 10pm. Other restaurants in Singapore serves the last drink at 9:30pm and they close the restaurant at 10:30pm.

This information of early close should have been mentioned during reservation. This was a place we liked in the past but we won’t go there again."
