topic,review
Terrible service - anti customer restaurant,"Terrible service - anti customer restaurant....I made a reservation and 8 days before I was due to go they cancelled it without even talking to me or saying why! I just got an email which may as well have said that we don't want your kind in our restaurant, maybe they don't like mohawks or don't like certain kinds of customers....

Apparently it was because I hadn't picked up a call from an unknown number (which no one does in Singapore) which turned out to be them! But why would you cancel a reservation 8 days out because someone doesn't answer a call when they have already confirmed it?

Bizarre service. Clearly they don't want customers."
Great experience,Tandoor at Holiday Inn has reopened. We had dined there Sunday 17th. January 2021. The food and the service was good. Special thanks goes to the staff and chefs
Ta$$$ty!,"Nice ambience. Tasty North Indian food. Good service. Friendly staff.
$$$. Hard to find. Were it not for a hotel staff who showed us the way we would have missed it despite being there. It is located in the basement of the Holiday Inn."
Located inside the Holiday,"Located inside the Holiday Inn you find this gem! The food that was serves to us was outstanding , explosion of all these wonderful flavors! Starting from the appetizer all the way to the desert !! This of course was complimented by the superb service!! Highly recommended"
Great Indian Food,"This restaurant is at Holiday Inn Hotel and is a fine dine restaurant. As the new suggest it Specilaizes in Indian Tandoori food/Mughlai food.

We were a big group of 30-40 ppl and the service was good. We tried their veg, non veg snacks, main course and everything was good.

A great place to be at."
"Nice place, quality food","This place does not disappoint when it comes to fine dining Indian cuisine. The quality of seats, and cutlery and nice ambient surrounding.

The quality of ingredients can be tasted in their dishes. The price was a bit high with a standard service charge, but nothing unexpected."
Hosted an office party at maharaja suite,"Tandoor continues to impress me in terms of quality of food, ambience and service. I have hosted events multiple times and have always been impressed with guests equally raving about food and service.

In particular Nitin the assistant manager is amazing, very helpful and customer focused, taking care of every minute detail.

Thanks you Nitin and Holiday Inn. We had a great time."
NOT PLEASED AT ALL,"Very unfortunate of us to have experienced a rather opposite review from the rest of the people here with their waiter Boon Leong. 6 of us had visited the restaurant for last Sunday Dinner whereby I had made prior reservations. 2 of them were very special guests of ours from overseas and I truly wanted to impress them.However upon reaching, and informing of our reservations, he obviously had no prepared table and went to adjust tables for 6 of us at the corner we chose. That was still fine enough for us. However upon sitting we had to wait and wait for someone to take our order. Again Boon Leong just robotically came to our table to take orders and can see the impatience on his face. Serving was done in the same manner and for again asking the menu to choose dessert it took so much time and we had to request 3 times. That we still silently tolerated. By the way the restaurant was not full at all and only 4 tables were being served at that time. Anyways we just ate quietly and when the time came to make the payment. I quietly tried to signal to him through my phone app of my chope vouchers which i had purchased earlier.He so rudely announced loudly that his phone could not read the QR code and refuse to help in anyways. My son immediately showed him how its done on his phone and he had to again loudly say he will deduct $200 !!. OMG that was the last bit. i could not take it anymore and had to tell him how embarrassing it was for us. It became so awkward truly. The last time will we ever bring our special guest to this restaurant. Apart from Fine dining we expect some Fine service too. Maybe he thought we were just locals and not very much deserve good service!! Truly dissappointed!"
Very pleasant revisit in January 2020.,"We have been to the Indian buffet previously & had a great experience. This visit was just the same. Good variety of dishes to sample & very nice flavours. The food is fresh & the dosas & some other dishes are made as you request them.
The friendly, attentive staff top off the experience. They even suggest some dishes to consider trying.
The cost is commensurate with the experience.
Will return again on our next visit to Singapore."
Awesome Service and Great food,"Before 2 weeks, i was in Holiday Inn with my friends to eat vegetarian food in Indian Restaurant called Tandoor. And i had very nice experience with food and service. When I entered the restaurant, a chinese man welcomed us very nicely. Having a chinese person in Indian Restaurant shocked us first. And then we confused to choose a nice vegetarian dishes from menu. After then the same Chinese guy helped and explained everything very nicely with a smiling face. That was really awesome to have knowledge about Indian dishes as a Chinese person. His name is Mr. Boon Leong. And He was very good in his service. We like not only his service but also his friendly attitude towards customers.
Food was also very delicious. So i can say that i will again visit this restaurant because of nice food and nice service.

Thanks,
Viraj Rajput"
Great food and standard service,"We visited Tandoor with the entire family. The food was super tasty and amazing. Even the Thali preparation was superb. Hospitality was bang on. Mr. Boon Leong was very helpful and helped us decide what we should order. The vegetarian thali was very good. I had super awesome time at tandoor,
Thank you Mr.Boon ."
"Great food, ambience, service and overall experience!","Got to know of this place when I attended an Indian Wedding at Holiday Inn Hotel. They catered the wedding buffet and was blown away at the quality and spread of the food.

Came back with some overseas friends just for the Indian buffet spread. We enjoyed the entire experience, my guest loved the entire variety as this was their first time trying so many different Indian dishes. Truth be told, some dishes were new to me too. Loved the decor and also the ambience of the entire place.

Shoutout to Boon Leong and Harzot (I hope I got his name right) for the wonderful hospitality and also conversations. We really appreciate you guys. All in all great value for groups and wonderful experience."
