topic,review
Tasty food and Very good service,Indian Food was very tasty and service was also very good. Lady who was taking order never leaves without adding an extra item to the order.
Worst Service and No sense of Cooking,Food items never tally with recipe briefs mentioned in menu. Arrogant staff. Overpriced. The food items are not served fresh. Better try Al-Azhar nearby to this place to enjoy indian food.
Saag Paneer more like Shrek’s crap,"Customer Service good Food so bad, Don’t know who is cooking it so oily and the saag paneer was horrible. Overall tasted 2/10 Would not go back unfortunately."
Good food and service,Very good Indian food! My mom and dad said it was one of the best they have ever had. Definitely worth paying them a visit!
Great food and Great Service,"Best Indian food I ever had in Singapore. Roshan is one of the staff who is very courteous. Great variety, meal packages available too. Desserts are awesome."
Had terrible experience with,"Had terrible experience with services, while having lunch on 1st January. Have been to this restaurant many times before but have now decided to never go there because of the rude behaviour from one of the staff member. When I asked him to be polite he asked me to go and complaint to his manager.. very bad!"
Yummy food,"Tried this restaurant for our New Year’s day lunch. It was a great choice.

We ordered a few dishes including the Butter Chicken, Fish Tikka Masala and Mutton Seekh Kebab with Tandoori Roti, plain and garlic naan as well as the Lashih Peratha.

Hot favourite was the butter chicken and garlic naan as well as the tandoori roti.

Friendly and helpful staff made the experience even more enjoyable.

Highly recommend."
Will definitely be back.,Will definitely be back. Very tasty North Indian food at relatively wallet- friendly prices. Decent drinks selection too.
Best Tandoori ever at this price,"Fair price and the Tandoori dishes are absoutely the best.
Tandoori Lamb Chops 4 pcs $27, has the wow factor. So does the tandoori prawns. Bhaji, best, crispy, crunchy, tasty.
Those with Woe factor anf not Eow, are butter chicken, a tat too sweet masala tea not great at all. Garlic naan,crispy like prata.
Kashmiri naan a bit flat. But if you order right, you will get a beautiful meal ata very fair price."
Excellent food and services,"After my first bite of the food, I was surprised that it wasn't more crowded. The service staff even gave us tester for a drink that we were not familiar with, making sure that we were comfortable with all the food we order. She made sure to ask our preferences as well so that the food suit our taste buds. Will definitely go there again! 100% recommended :)"
Excellent food,"Very impressed!! Taste, quality and portions - all 10/10. One of the best curries in Singapore for Paneer Tikka. Malai Kofta and Biryani were great. Highly recommended"
Good Indian food,We have had really good meals here and have usually visited for lunch. The staff is very friendly and the chicken meal here is excellent. The pricing is quite moderate considering the location. Will definitely return to this place and recommended restaurant for good Indian food.
Casual Indian restaurant,"Pro tip:
- Recommend the Chicken tiki Masla. Skip the Chicken Tandoori.

While I’ll admit I’m no expert in Indian food, I still feel this places had some decent Indian food and would come back again.

My wife and I were craving Indian food and found Tandoori culture to be the highest rated one in the area.

We ordered the following:
- chicken Tiki Masla (Recommend)
- chicken Tandoori
- Garic naan (Recommend)
- veggie dish (Potato and cauliflower dish)
- Saffron Rice

Chicken tiki Masla was a standard dish for us that was flavorful. The same goes for the Garlic Naan. However, the Chicken Tandoori was excessively dry.

The service was good and they ensured that we had water and were happy with our dishes.

Overall, there wasn’t anything amazing about this place, but rather instead I could see this being a spot to definitely check out to satisfy your Indian cravings.

Price wise, it was on average about $13 per plate.

The ambience is very casual, not recommended for a date night."
Amazing food courteous Staff,If anybody wants Indian food then Tandoori Culture is the best place to have good Indian food.Specially for vegetarians this place is highly recommended. N Neha was very helpful n courteous.
Good food. Great service.,Very good and tasty Indian food. We got two fine dishes to share. Very welcoming and informative service.
Wonderful Indian food served with a smile,"What a nice dinner we had tonite! We started with Masala Papad, Vegetable Samosas! Then Tandoori Chicken and Lamb Mutton Vindallo. This heavenly food melts in your mouth - no kidding! Ended up with delightful Gulab Jamun! Thanks so much to our lovely servers Manpreet and Neha!"
Hidden Gem,"+ small restaurant with a family-like atmosphere
+ absolutely delicious food
+ very affordable
+ polite and lovely staff"
Lovely authentic Indian Cuisine,My wife and I chose to dine here after reading the reviews on TA. The restaurant is situated in a quiet side street off a busy main road. We were greeted by a very friendly young lady who quickly showed is to our table. We were provided with complimentary Popadoms and a Mint Sauce accompaniment. We placed our order of - Vegetable Samosa & Hara Bhara Kabab. Dal Makahani & Veg Chilli Milli with single portions of Plain Basmati Rice & Plain Naan. To say our food was delicious would be an understatement. We are both vegetarian and this food just ticked all the boxes. Absolutely delicious. Can’t recommend this restaurant highly enough.
Perfect place to make friends,"Last night I met my business partner in this restaurant/bar. Great food, cool beers and an amazing friendly supportive staff. I recommend this place very much. Thank you Niha for the amazing service."
Very fine,"After a long hot day we found here a light meal, german beer and very friendly staff. Highly recommented."
very good indian restaurant,it’s a very good indian restaurant. the starters are very tasty and the chicken tikka massala is very tasty
Nice evening out,Good mainstream Indian food and very good service. The family had a good time. All our dishes were good value and tasty. Thank you
Great dinner! Awesome Indian food and service.,"Great dinner tonight at Tandoori Culture. This was my first visit, after initially finding them on Yelp. They did not come up on Trip Advisor, but I found them after digging a bit deeper on TA. All the reviews were great, and now I know why!

The samosas, chicken tikka masala and roti were all excellent. And it was an easy walk from the Westin hotel. Definitely recommend Tandoori Culture. They also have my favorite beer, the big Kingfisher!

Cheers!"
Best Punjabi food in Singapore!,"This place has authentic Punjabi food, reminds you of home when you are away and it tastes really good. All the staff gave ace customer service and were very accommodating. A special thank you to Neha, Manpreet and Samitri who were very polite and kind.

I definitely recommend anyone who is visiting or in the Telok Ayer area to try this place and experience true Punjabi cuisine."
Still great,"It has been about 3 years since we were there but the food and service is unchanged. Soft and juicy tandoori chicken. Generous servings. Friendly service.
This is worth the visit. Highly recommended."
