topic,review
good food bad service,"Simply just avoid this place. We made a reservation for a table going out with my wife after some time not being each others. They put us up at he table that facing the bathroom and kitchen. When we asked to be moved to a better place they refused citing that more people are coming. Nobody came. So here we are in an empty restaurant, stuck at a terrible table; paid over 600 dollars for what it was a good food but horrible service, Typical for Singapore dinning. Living in in Singapore form 20 years this is juts typical.
If you come to Singapore for few days go to Hawker centers s and d Food courts, avoid high dining. This is very typical; bad service and highly overpriced food and drinks."
Too pricy for average food,"Average food at expensive price. The food was ok but quite expensive. 43 dollars for a salmon dish is overrated. Service was basic, did not feel welcome. Would not come again"
French Comfort Food,"I love French food, but sometimes I do find that French food looks to be like serious business, with all the formalities and such. I do love formal settings when I’m in the mood to be pampered. But that is more of once in a while thing, which is not enough to satisfy my cravings for French food. And Taratata Brasserie fills in this spot nicely with its affordable French cuisine and cozy, rustic setting. Now I can see enjoy French food often!

Enjoying fresh French Baguette with fluffy centre that is slathered with creamy French butter is a good way to start the meal.

French Onion Soup may look messy, but this is seriously awesome comfort food. Rich, thick and flavourful.

For a bit of indulgence, I ordered Pan-seared Duck Foie Gras with Dark Cherries. Perfectly seared to have thin crispy exterior that wraps around luxurious fatty juicy core. With the dark cherries added for that variety in taste.

Pan-seared Scallops with a Petite Ratatouille & Potato Grenaille. Every component of this dish is delicious. Ratatouille a la cooked veggies in sauce is very flavourful.

Pan-roasted Sea Bass with Mediterranean Vegetables features fresh fish with pliable, moist yet firm flesh. I personally think that it is not easy to roast or pan-sear fish to perfection, but the chef at Taratata manages to nail it just right. Thumbs-up.

Pan-roasted Eggplant with Parmesan Cheese truly surprises me with how good it is. I never like eggplants, but this dish is one exception for me. Hot eggplant soaked with vegetable sauce works so well with the melted cheese drizzled above.

Chocolate Lava Cake with Vanilla Ice-cream. Premium creamy ice-cream and quality chocolate cake with molten centre is pure indulgence.

The interior is classic with hints of nostalgia, exuding a homely feel. I immediately get comfortable and feel super cozy when there. The service is good and friendly. This is really one French restaurant without the frills, aimed at providing authentic and affordable French food at cozy setting. I can truly go back as often as I like without any special reason or occasion, other than the simple decision to enjoy rustic good French food.

Thoughts: C’est Bon!"
What a weird evening......,"When entering a French restaurant on a Saturday evening at 8.30 h in the busy Keong Saik Rd area and encountering that only one table is occupied, all alarm bells should go off. We stayed. To be fair, the food was good but the rest was just awkward. When our main dish was served we were asked if we want dessert since it is ""last order"" (at 9.15 pm!!). When the people from the other table left, we just tried to finish off our bottle of red wine quickly, the atmosphere was simply eerie. The fact that this restaurant charges 2 SGD for a small bottle of tab water completed our impression. It is not the 2 SGD (on a billl of 300 SGD) but the attitude and greediness of the owner is disturbing."
"Good dinner, cosy environment","Nice, cosy dining environment. No pretense, no extravagance, just a nice warm setting for a stress-less dinner. As they market it on their website, it's not fine dining and they want patrons to dine comfortably and that was exactly how it went.

There were only 4 tables on the Wednesday evening, with 2 service crew including the floor manager. Both of them were prompt, always making sure our tables are attended to, but they look rather expressionless most of the evening.

There were 3 of us. We went for the restaurant week degustation menu, but because there was only one dessert option we decided to change 2 other desserts for variety (with added cost of course).

Came the starters. The foie gras was delicious, it was cooked perfectly and went very well with the dark cherry sauce. Tuna Carpaccio was okay, the meat was a little dry but taste wise it is alright.

There were 3 options for the mains we could choose from so we had one of each. We ordered a 4th main - beef tartare served with fries and salad. The risotto with wild mushrooms was the best, flavour was intense and the rice was al dente. Duck Confit and Grilled Angus Beef Tenderloin (we ordered medium rare) paired with truffle mashed potatoes were nice, not overly seasoned but nothing to wow about. The beef tartare, apart from the weird combi of fries and salad instead of toast, was served with bigger chunks of beef instead of the typical minced meat. This adds to the chewy texture and while I personally love it, my wife preferred it minced. So it's a matter of personal preference. The flavours were pretty good.

The chocolate tart was part of the degustation menu, and we changed two other desserts to a Crème Brulée and a Lemon Meringue Tart. We love all of them. Crème Brulée had the thickest sugar crust I ever had, the lemon sorbet that came with the meringue was tangy and refreshing, while the chocolate tart was rich and went well with the vanilla ice cream and caramel.

The only disappointment was the 3 meagre slice of sourdough served as a starter. There were 3 of us so it meant one for us each, and they were not refillable. We can buy them however at $5 for 5 slices.

Otherwise, it was a pleasant evening"
Very disappointing,"Too spicy for French food Low level of service No smile, too quick 25 min waiting for paying - without excuse for r gift to wait…."
A pleasant surprise,"We choose this place as we wanted to visit Keong Saik area as we hadn’t been for a while. Reserved a table but there were only two other diners on mid week evening. We passed on the three course dinner but had escargots and foil gras for starters first. Both were excellent, the foie gras well pan fried and cherries sauce not too over powering. For main course, I had the beef tartare and she had scallops with ratatouille. My beef tartare was good and her scallops were quite ok. we then split cheese for dessert and had three decent selections of excellent cheeses, livarot was my favourite. The food was excellent and good value, the decor and ambience was a bit lacking but it was nice and quiet for us, not so good for the restaurant. We really enjoyed the meal and will visit again."
Average Dining Experience,"The overall dining experience at Taratata was a bit underwhelming for us. Despite being on time and placing our lunch order promptly, our order was not recorded and we had to wait 30minutes or so after I decided to ask the waiter what happened to our food. While we waited for our food, we were not even served bread… if I hadn’t asked for it, perhaps that would have taken another 10 minutes or so. Service staff was a bit all over the place and we had to request for cutlery to be given. Not quite fitting for a supposedly fine dining restaurant. Soup was okay, baked cheese dish was average, steak was okay. Molten lava cake was delicious. Price wise it is quite good but I just with they improve the service standard and the quality of the food in general. The manager was too busy lost in the reservation sheet than to be bothered with us sitting idle for 30 mins without being served any food."
Cosy French venue with good food,Cosy little French restaurant serve classic delicious French food with good service. Thank you for your hospitality & we will be back!!
Tasty food but sadly too many let downs and kiddie portions for the set meal at $69 ++ is not on,"Dinner on a Saturday evening with friends. Four of us opt for the set 3-course dinner meal and one for a la carte.

What we liked - an $88 Pinot Noir was good, the lobster bisque was tasty but 3 portions were small - more on that later, everyone enjoyed their beef tenderloin, except me. The Madeira sauce was my personal highlight and we agreed the set menu chocolate dessert was good although orange segments lacked depth of flavour and sweetness.

The let’s downs - 1) all four of us ordered the lobster bisque but the one portion that was ordered a la carte was what I’d expect portion wise. The 3 of us ordering the set meal were served smaller portions in an unattractive kid size bowl. This is a bad move it made me feel cheap and unappreciated for ordering the set meal. Our friend with the proper size portion was also embarrassed dining with two men who had very small bowls. 2) The free bread basket shown on the menu wasn’t provided until we asked for it, half-way through our baby soups. 3) For the 3 tenderloin orders, my friends both asked for medium and I ordered medium rare. My friend got my medium rare, they got a medium right but mine was well served as medium rare by the waiting staff but was actually well done. ... uugghh ! 4) The gratin potato serving with the steak was small and there were no other vegetables at all. 5) The ice-cream portion served with the (set meal) chocolate dessert was again very small, about the size of a kids marble.
6) The cheese platter was very poor value considering it was a $5 premium for the set meal third course - the 3 pieces of cheese were so small with my plate by far the worst that I doubt there’s even $1.50 worth of cheese on my plate. It was a big let down and we all got different slivers of cheese but not offered a choice or cut at the table. The cheese was overshadowed by much larger pieces of French toast to help cover the plate and about one eighth of one walnut on my plate as a garnish .

My verdict - the food is tasty but don’t go for the set meal if you are hungry or mix and match with guests can be embarrassing all round.

At $69 ++ for the set meal it’s not acceptable to serve such small portions for this price and it definitely feels like you are being served as a second rate diner.
I did not appreciate this experience"
