topic,review
Tatsuya,The sushi is fresh and I like the their shop Caviar. It is very delicious. . The resturant is clean and neat. The staff is very friendly too
Food 8/10 overall experience 6/10,"It’s a classic without a doubt and I hope it’s still here in 50 years, fantastic sushi bar food but the prices for mediocre service, ambience and the somewhat dated feel (very 1990/2000) don’t justify the 800-1400 prices.

Yes, we visit again, it amazing but massively over priced for the standard of service and overall ambiance."
Way overpriced (now),"Used to frequent this joint some years back - before covid. Set lunches then were reasonably priced at about $45 - $60. Went back recently, and to my horror, the set lunch price has been revised to $100. You would have thought there would be a better revised menu, but sadly, the same old tiny sushi with just some minor additions, and removal of other stuff from the previous menu. Food is nothing fantastic. This is the last time I am going back there. At $100 per set lunch, there are plenty of Jap dining places that serve much better food."
ridiculously over priced for omakase and they serve salmon aburi inside $370 omakese,"atmosphere =like hawker center, wet mkt kind (so busy and loud, takes forever to get staff's attention
price for food ($350-$370 omakase) = way overpriced, what kind of 5 star hotel japanese restaurant who charges $350 for omakese serves salmon aburi sushi and over flavored katsuobushi fish flakes on the top of sashimi.
I ordered sake and they served differnt sake from what i ordered which almost coasted double the price yet nobody informed me. (only realised when I got the bill)"
Incredible food,"Took my client here for business lunch, pre-booked the place in advance as this is a small and authentic place. My second visit, somehow I had is a lot more impressive meal than the first (I can’t recall what I got). Aburi set I chose this time was incredible, every item was melt in the mouth experience. My contact chose the normal sushi set (also $100++) and commented that she thinks the food was nicer 10 years ago when she had last visited.

I’ll definitely come back for the Aburi set !! Impressive dining experience and service as well. Thank you!!"
The “tare” sauce was an overkill n too salty!,"Ordered the premium Teppanyaki set (dinner) for lunch. Scallops, crayfish, beef all came too salty which kills the entire unami. Sliced garlic came in a tub n placed on our plates (soften) n not fragrant nor crispy. Fried garlic rice pre-prepared n given right at e start of the meal! Not even like warm with spring onions garnished on them. Only tasty stuff were the sashimi n miso soup. Even the bean sprout was too salty! The show of sprinkling pepper etc whilst cooking is far too noisy! Maybe due to e need to show, salt is sprinkled more than required!
The old Tatsuya quality n taste is no longer there unfortunately…"
"Average food, lofty price","Let’s put it this way.
I’ve been to many other Japanese restaurants in Singapore that offer similar if not more delectable food at easily 30 per cent to 50 per cent cheaper compared with this restaurant.
Yes, I can see the many photos of dignitaries dining here adorn the walls, but I can’t help but question why after a dismal lunch.
Maybe my taste buds aren’t as sophisticated."
Dinner at Tatsuya Japanese restaurant at Goodwood Park hotel,"Dinner at Tatsutya Japanese restaurant at Goodwood Park hotel.

We have dinner on 1st Oct 2021 at Tatsuya Japanese restaurant and selected their premium Omakase dinner set.

We noticed that the chefs were busy entertaining the regular customers drinking and talking loudly.

When we were served with the dishes from the Omakase set, the chef didn’t bother to introduce the dishes ?

They seemed to lose their concentration serving the dishes probably because they were drinking too much and talking to much with the regular guests in particular lady guests.

Unfortunately the food quality is average and is not superb considering the price range of the Omakase set.

Indeed I will think twice about going back to Tatsuya again."
Yum!,"We had a great night there, the food was exquisite, the atmosphere was great. It wasn’t as expensive as we feared but the dishes were quite small. We will def go back though, overall a really enjoyable experience."
Overly Priced - For What!?,"I found that the price of $280 set menu per person were rather expensive and I'm unsure if I can finish them. So, my partner told the waiter that we do not want to pay too much for the food (there were 8 items), and he recommended chef menu, with 2 lesser items than the actual menu stated. Our big mistake for not checking the price clearly. And guess what!? They charged us $260 for that ($20 less - what a joke). So, do check the price first before ordering.

Am I happy with the food? I love Japanese food and have eaten at a lot of good Japanese restaurants, with fraction of the price. The food was tasty, but so do other Japanese restaurants I've visited. I wonder what they charge more for? The servings? The ambience? The location? The service? Certainly not the best.

I would probably not come back here, and will advise friends and acquaintances the same. Tatsuya did not seem like a good value place, given the prices."
Indescribably Nice!,"Went to Tatsuya on Friday evening, we made reservations last mins but luckily they managed to give us table for two.
We ordered the mixtures of sushi for one, salmon sashimi and some grill cod fish. It taste so really excellent... not only the foods,
but the service was so good, everyone friendly...one of the young lady who keep take note of our table (i forgot her name) and made sure our tea full, she’s so kind and provides amazing service!!
We really enjoyed our Friday evening, will sure comes back again for more.."
Intimate Japanese Sushi Restaurant,"We went to this restaurant for our 2 year anniversary and it met our expectations. The sushi is made in front of you from fresh ingredients and the chefs interact with you and assist you in any selections you want to make.

The service was impeccable with constant attention to our needs.

Although a bit pricey, it was well worth it for our anniversary outing."
We had a delicious lunch here.,"We had a delicious lunch here. Sat at the sushi bar, we opted for 2 of the set lunch menus. Every course of the set lunch impressed, the sushi was exquisite. This combined with great service and the live preparation at the bar made the whole experience a delight. I highly recommend dining here. I will be back for more!"
one of the better Omakase restaurants in SG,"Thank you Chef Sasaki! 3rd time having their dinner omakase, fresh and authentic japanese taste. The mentaiko geoduck was really good!"
Fine Japanese cuisine with tints of fusion,"I took my guest to Tatsuya and reserved a table and ordered omakase. It’s a full course that is a bit too much food but every bit satisfying. From aperitif to sashimi, aburi sushi to wagyu, all food are fresh and well presented. The food incorporates some ingredients that are slightly strong in flavor such as a string of fresh ginger, strands of Chinese herb, mint flowers and leaves as highlighted flavor without covering the original tastes of the raw material. The dinner ended with refreshing melon pieces. The service was attentive but not intrusive. Chef came to greet without imposing and a day later the restaurant sent a text message to thank customers."
"Not a fan of Japanese cuisine, went for the experience (which didn't happen).","Not being particularly fond of Japanese cuisine, yet I was persuaded to go for the experience as my grand children simply love Sushi and the associated Japanese food.
Hardly found anything which I could enjoy except for a chicken dish or two, which too was not particularly worth paying a King's ransom for. The chef was quite friendly and enjoyed being photographed. Frankly, I would not go again. You need a specially developed palate for this food, which I don't have.
Experience was Okay as we were seated at a table (Children are apparently not allowed to see the food being prepared in front of them). Perhaps, I would have enjoyed the experience more, had I been able to see the food prepared in front of me.

Am giving 4 stars as the family liked the food."
Not great,"Somehow i do not feel Tatsuya to be as good as before. I noticed that the chefs are not friendly. But the staff are still good.I do not like that the sushi is made all at once and presented to us on a plate though we are seated at the counter. Other sushi places give more personalized attention especially when you are not paying low prices, you would expect SERVICE. Food taste wise, it is still ok, but not incredible. Been there, done that, so i guess I will probably not be back for me."
Average,"We were strongly recommended to go to this place whilst in Singapore.
Our expectations were high.
What a disappointment...
first of all the place is freezing cold ... you need a winter coat at least to feel comfortable.... the food is good . The service is very average .... certainly not the best Japanese in Singapore .... nobody in the Restaurant is Japanese ... not even the Manager/owner ... the price is outrageously expensive ..... now we understand why the owner drives a Lamborghini parked outside ..."
My go-to for Japanese in Singapore,"I had the omakase last year and two lunches two day in a row this year. The omakase was so good: comforting and delicious. Lunch bentos were of very good value: delicious, cheap and well-portioned.

Service was excellent and friendly. The staffs were more than kind, helping my mother to her seat from her wheelchair through the steps."
Excellent set menu,"Super sushi set during week day lunch. Fresh and nice. Rather crowded, due to the good food. Ordered the cheaper set, will try the higher end sets next time."
Amazing place excellente experience,"I come here after e months and must admit all was perfect!food super fresh especially sushimi, terennce our chef super nice, sushi great and warm food very detailed! We had a menu and out of japan one of ny favourite places althought pricy! Will come back!"
A treat indeed,"Saturday night at this very busy Japanese Sushi bar.
Highly experienced chefs prepare fantastic Sushi Sashimi and other delicacies in front of your eyes.
A great experience delivering a night out with a buzz.
One of the best in my experience.
Not cheap but the food and ambience are worth it.
Down sides some wait staff appear pushy need to rush you or oversell.
Toilets are very disappointing two cubicles for the entire restaurant for male and female resembling something the size of a broom closet."
Very enjoyable experience,"Our family thoroughly enjoyed our dinner, with good food, cheerful atmosphere, and warm staff . Chef Chen Su is very professional, friendly and attentive to our preference and needs. He even arranged a surprise birthday song singing for my Daughter when he overheard us talking about it. Thank you!"
Good food!!,"This is a Japanese Restaurant located next to Goodwood at Scotts road.
I had no surprise when entered the restaurant and found at the seating capacity only around 30-40 seats (including private room), and luckily we booked the seat prior. Open for lunch and dinner only, the food tastes superb, good quality of raw materials."
Outstanding service and quality food,This restaurant is located in the beautiful old building of Goodwood hotel. The restaurant itself is small and expect to be packed next to your neighbours unless you book one of the few tables ahead of time. Great quality and excellent service.
Superior taste but expensive,"We found Tatsuya from trioadvisor app.
It was very clıse to our hotel just 5 min far by walking.
Taste is really high level something like michelin recommended. It is bit far from downtown and harbour.
Location 3 of 5
Taste 5 of 5
Price is over value
Staff 5 of 5
View, ambiance 4 of 5"
"So good, the food is amazing, but not really a family place,","So good, the food is amazing and the atmosphere is really nice. I really recommend the sushi bar because it is very cool how the chefs make it and it is entergIning"
Great sashimi and excellent service,"My longtime favourite japanese restaurant in Singapore..
Visited for lunch and was seated at the Sushi bar right opposite the japanese sushi chef sasha.. he was busy carving a horse mackerel called sobo in japanese..
Ordered Otoro ( tuna belly) and fatty salmon sashimi which were delicious..
Carpaccio of hamachi with truffle oil and caviar was heavenly
Also had some super veggie japanese salad of avocado, lettuce and japanese pear with jaoanese seasoning on the side..
Japanese matcha tea was a great choice..
First time i ate the famed japanese fruit tomato which was so succulent.. see pic below..
Very satisfying.. tables are usually full at 1 pm but the last order is at 2 pm.. the restaurant located at the iconic goodwood hotel on scotts road opens for lunch at 12 pm..
Be there early to get a seat at the sushi bar.. waiters are well trained and will help order if you are not familiar with the menu..
Here are some pics of what i usually eat here"
Best meal,I was not a sushi fan until I ate at this restaurant. This was one of my best meals ever. I strongly recommend this restaurant to everyone. They will cook your meat even if it’s normally served raw. My brother told me that some people will have an extra layover so that they can go to this restaurant during their travels.
Good food and service,Fresh sashmimi and great service from staff. Staff even recommended food which were off the menu! Will definitely be back again!
"Eye-poppingly, astoundingly expensive; good (not amazing) quality","S$572 (US$423) for two people, including a bottle of sake for S$210 (US$154). One portion of seabream sashimi comprises six beautifully cut, thin (almost transparent), small pieces for a princely US$44. US$32 for four pieces of tuna sushi (not otoro). You get the idea - very highly priced. I've posted a photo of the bill so you can decide for yourself whether I am being fair in saying that this is astoundingly expensive, even by the usually pricy standard for higher quality Japanese restaurants.

By the way, the prices are not because the fish is flown in fresh every day from Tokyo. I asked and was told the fish is delivered twice a week. I eat sashimi in Boulder, Colorado at an izakaya (Amu Sake Bar) that receives fresh fish every day from Tokyo: one might think that a top end restaurant in Singapore could manage the same.

The quality of the fish was high. The preparation/presentation was nice, though not amazing.

The sake list is short and not comprehensive. There was little choice and I did not find even one junmai daiginjo on the dryer side (+3 or higher on the scale).

Service was pleasant and reasonably attentive.

Be warned: the air-conditioning is absolutely fierce! It was so cold that I accepted the offer of a ladies' shawl just to stay comfortable."
Enjoyed our lunch,"Treated ourselves to a nice enjoyable lunch at Tatsuya. I just mention that Tatsuya is actually outside the hotel and does not seem part of Goodwood Park Hotel. Service is good. We sat at the sushi counter and I must say that it is a long counter about 24 seater. Ordered the popular Aburi set lunch and also the famous beef don. If you do not like your fish raw, the Aburi would be a great choice. The beef don comes in various sizes and we chose the smallest. It is pricy but worth the price as the tender and moist beef literally melts in the mouth. Will come back again next time to try out other dishes."
Love the food!,"Brought my friend here for lunch to celebrate her birthday. We were pleasantly surprised when we were ushered to a private room when I didn't book one. The room had tatami seating, perfect for us! We ordered a bento set each costing just below $50 and a plate of 4 slices of kampachi truffle sashimi for $40. Costly but it's worth the price tag. The aroma of truffle exploded in my mouth once I started chewing the raw fish. Lovely! The bento sets were too big for us, we ended up eating only the raw fish from the sushi and leaving the rice behind.
This restaurant is at level 1 of Goodwood Park hotel on the left side from the main entrance. Nearest train station is Orchard plus a 10 minute walk along Scotts Road."
One of the go-to places for good Japanese food,"I was there for a business lunch and had the opportunity to be seated in one of the private dining rooms. The service was impeccable, and should be expected of for a restaurant of this quality.

The food was delectable as well. It was omakase for us and the chef prepared a good variety of dishes. A few of the memorable ones were the skipjack tuna sashimi paired with caviar and umi, the wagyu beef, and also the aburi sushi.

Tatsuya is a Japanese fine dining restaurant so if you are heading there to eat your hearts out, then be prepared to spend or get disappointed. Otherwise, the quality of food should be lauded and I for one would definitely return."
So good!,"Go for dinner. You won't regret it. In Singapore, if you want good Japanese food, be prepared to spend. The ambience is OK too but when the next guest is chewing with his mouth wide open..."
