topic,review
Excellent service,Food was fantastic! The service was excellent as well. We didn't have to wait long for food to be served. Overall fantastic experience!
Great Food and Service,"Lobster give away is great for birthdays, one must buy the BAG which costs SGD180+. Fair enough although you are somehwhat paying for the 'free' lobster. Wine had to be ordered by the bottle and not sold as glasses, having said that, the wine selection arent fantastic and the bottle we had to buy, wasnt good just drinkable for the not cheap bottle of red."
Forgettable,"For the price paid, we could have gotten much tastier seafood from our regular black pepper crab and chilli crab restaurants. The seafood here just tastes like boiled seafood with bottled sauce. The bombdiggity bag is supposedly meant for 4 persons, but if not for the free lobster (birthday promo) and extra 2 orders of mantou buns, it wouldn't have been enough for my family of 4. The ice lemon tea is almost tasteless - very diluted. They charge $3.90 for the refillable tea, but they don't refill unless you keep waving your arm to get their attention or walk over to them to ask."
Thank You for an Awesome Evening,We had a great birthday celebration at Howard Road Boiler on 4th Dec. Our first time at this branch and we love the ambience and superb service by the branch manager and her team. The sambal sauce for the seafood's bag was awesome!
Great atmosphere,It’s a good hidden neighbourhood place. Good to hangout with friends and family. Love the ambience and highball drink
Birthday at Boilers without birthday cake,"I went to Boiler at Howard Road for the very first time with my family. Many attempts we try to book a reservation on same day when we decided to dine out. Perhaps, I have the birthday luck that day to get a reservation. We are very excited and ordered a Boiler's Bombdiggity bag with a free lobster as a birthday compliment. The seafoods are very juicy fresh and the foods was served pretty fast. We also ordered several starters and salad to test it out. The crispy soft shell crab salad was very delicious. There is also the happy hour drinks deals that come great.
There are few tables celebrates birthday on that day and only disappointment was my table no birthday cake. Birthday cake with candle light was served only at selected table. I only get my one small slice of cake as take away when asked. I hope dinners can allowed to bring own birthday cake since not all birthday table can get the birthday cake."
Good experience,Came here for my mother's birthday. Had a splendid time. The staff was super friendly and the food was amazing.
Super fresh seafood and Free Lobster in your birthday month,Both the lobster and seafood bag were fresh and soo tasty. I really enjoyed the messiness of it all. Come with a group of friends and dig in!
Birthday celebration at The Boiler,I had a wonderful family birthday celebration at The Boiler. Staff attentive and friendly. Food is awesome.
Need to sort their ac then worth it,"More like broiler room - good venue, great music and wide selection but need to sort their ac as far too hot, so I bailed early ☹️"
Yummy,Portion was huge. Seafood was tasty. Be prepared to get your hands dirty! Not too busy on weekday nights
Garlic butter yum,"We enjoyed the food. 5 ladies, ordered 2 bags, with 2 free lobsters. Our favorite is the garlic butter sauce."
Customer service,We (with elderly) came 15mins earlier than our reservation time. There was another group of 30-40 years old came after us. The staff attended to them first. Very disappointed.
Good food,We ordered the seafood combo with crab and the in-house sauce is simply great! And the quantity is just right for 2!
Birthday Dinner at The Boiler@Howard,"Excellent service! Surprise birthday FREE Lobster for our friend plus a apron with BIRTHDAY markings and this made our day! In addition, the service staff even prepared another birthday cake for him! What more to ask for? Highly recomended !"
"Good service, Great food",3rd visit here n the food never disappoints. seafood bag is great! loved the fried oysters and the chicken wings is excellent (we ordered a second serving!)
Awesome food,Food is awesome and service is great even if the crew are few. The atmosphere and ambiance is good for us friends.
Service issue at Howard Road outlet,"Food was quite good. Great lunch offer on lobster. The new item, oyster was good but east it while it's still crispy ,it makes a lot of difference. Service not good. My wife and I came about 10 minutes before opening last Friday, so we stood outside the door. When they finally turned the 'closed' signage we were 'greeted' by a wait staff as if we were queuing for free food. No proper greeting, no good afternoon, no thank you for waiting, just a very very curt ""reservation?"" ....""Name?"" And pointed to us to a table. After which there was absolute nothing from her. She treated us as if I owed her a living. As if she's giving us a free meal and she was forced to pay for it. WTH!!!! Initially had the intention of bringing my kids for Sunday dinner there, but after that experience......never. To be fair, again, food was good. But that Chinese wait staff, she's utter rubbish!"
Great for the seafood lovers,Our 2nd visit for birthday celebration. Seafood bag was good but did feel the contents seem a little lesser and the price increased compared to last year. The blissful experience was completed with small bites chocolate cake and a slice of delightful mango cheese cake on the house.
Service was exceptional,"Food was not bad, the bombigiddity bag portion was enough for 4 person and certain drinks were refillable. The thing that stood out was the service by Moises :)"
Birthday failure,Celebrated my gf bday in the restaurant. Didn’t get any complementary bday cake even though stated in the booking. Saw other table had it. Soured my plans. What’s a birthday celebration without a cake.
First time experience,"Decided to try some new seafood place instead of the regular Chinese style seafood. Was not disappointed. Delicious fresh seafood, great service and nice casual atmosphere."
Excellent service,"We have been served by Linda. She is excellent at her work. Effective and Efficient, clearly a manager whom encourages her team to see through details of the customers needs. My office is diagonally across the restaurant and like to bring my friends, staff and customers to visit the restaurant once in awhile. Great to have the customer experience where you look forward to visiting the restaurant again. Keep up the good work."
Open restaurant serving Western cuisine.,"On the ground floor surrounded by industry. Open space with high ceilings. Orders made through an iPad devise. Plenty of seafood offerings, we chose a vegetarian salad, chicken karagge, and a small portion of baby’s back ribs. All tasted good and acceptable. Price is at the higher end for bistro style restaurant. Quite popular during lunch time, plenty of industrial buildings surrounding restaurant. Service was fair and friendly."
Not worth the effort and money.,"I had a reservation at 7.30pm and I arrived at 7.10pm. However the reservation was ""checked-in"" at 6.14pm by another guest because of the same name (don't the restaurant check for name AND phone number?).

My family and I were left standing at a corner waiting for their arrangement. Eventually gotten a seat but the whole celebration was already ruined. It was for Father's Day celebration.

Orders placed through the iPad (as usual), drinks were not served till two dishes were already on the table. No utensils (I guess I was expected to rip the pork ribs apart using hands). I had to again, request for gloves and handphone sleeve.

Experience aside, the taste and flavor of the food gotten worse. My last visit was just a month ago and this time, the garlic flavor was just too much for their signature sauce. I wouldn't have re-visited this restaurant if they had messed up the previous round. The butter garlic flavor was okay.

All in all, almost $500 spent here for this kind of service and food standards? Not forgetting we made our way from Jurong to Howard road, for this experience. Not worth it. Absolutely not.

Due to the inconsistency in the food served and their service level, I won't consider this restaurant at all. People make reservations to get a guaranteed seat at the specific time stated, not to go there and wait at the corner."
Happy birthdaying at The Boiler,"Excellent seafood and happy birthday lobster. Garlic sauce to die for. Good ribs too. Should serve French bread basket, rather than the “mantou”, better to mop up the sauce. And please offer free water. It’s wrong for restaurants to charge for water."
you won’t regret!,"it’s my second time back and again the seafood bag didn’t disappoint me. the prawns are nicely cooked with the mud crab, and the clams soaked into the mildly spicy sauce got me finger licking.
a good surprise is the fried oysters which is yummy good n a must try"
"Not bad, can give a chance to try",Only Bombdiggity Bag package able to enjoy the birthday benefit - free lobster. The waiters service are not bad and friendly.
Seafood at the Boiler,"Tried the place at Esplanade but we thought we will give the place at Howard Rd a try. The place is pretty ulu, mainly industrial buildings but once we are settled, the Mother's Day set was just about right for the 5 of us. We tried the garlic sauce but I could observe quite a few tables trying the chili crab sauce. The seafood is pretty fresh but the lobster is probably not my cup of tea. Worth another visit but I still think the Esplanade site has more ambience. Thanks!"
Look no further if you're craving some Louisiana boil,"Really tasty seafood and decent value. The only thing that stopped me from grading them an A+ was that they ran out of Dungeness crab when we visited, and tried to replace it with mud crab for the same price. No way was I gonna pay Dungeness crab money for plain old mud crab."
Worth it very worth it,"Nice simple ambience. Super service and staff. Very helpful. No qualms for addition plates or gloves! Food, one of the better places. My nephew and his wife (from UK) loved it. Our second time there. Will be going back for. Beer slightly costly! :)"
An expensive sea food place with unique taste and flavour,"Saw lot of online review so visited this place and tried their signature dish (bomdig ****)

Decor is average as compared to the price of the dish, my friends liked it, I found it over priced place

Not a good place for vegetarian (of course one will not go to sea food place to try. Vegetarian )

Birthday month promotion was good … a free lobster"
Taste and Environment,"The place is pretty Nice, Modern and Neat. Taste is pretty good, just thta I hope maybe you can lessen down the seafood boil works sauce garlic? So it wouldn’t taste too much of garlic and maybe the table mat can be put on only after the customers arrive due to hygiene purposes ? Might’ve gotten a little bit of stomache from it but it’s okay!"
A bit overpriced,"Easy to get a reservation and service was great. The bombdiggity bag was a bit too little for 4 to be honest. If you are not coming on your birthday month(when you get a free lobster), it is not worth getting that bag $179. Also, it was a bit too bland(garlic butter) the last time we went in Apr 22 compared to the past. I guess there is not enough seasoning/salt. The breaded oysters, fries, desserts were nice."
Service was Great!,Service was friendly and Lynn was especially helpful in arranging for a birthday cake for my friend. Would definitely return for special occasions.
Enjoyed sumptuous Lunch!,My family and I enjoyed the lunch treat for my birthday. The food was good. We selected the Duo Plus - it was awesome. Service was good and superb ambience.
Dinner Saturday,"Staff was welcoming and attentive, Menu was easy to navigate. food was served quickly. Overall a great dinner date!"
Great Tasting Seafood & Ribs,"Seafood was very fresh, and the sausages provided an interesting twist. We selected the mild version of the sauce, called “The Works”. Sauce tasted very good with the deep fried bun, though the sauce was a little on the salty side. Overall, still great tasting. We also ordered a slab of BBQ ribs which was tender and moist with meat falling off the bone."
A place to celebrate birthday!,Thank you Boiler for the fantastic Duo Plus and their complimentary birthday cake! Not to forget the outstanding service by ZY! He has a good sense of humour and make effort to connect with the customers. Thumbs up for this young man!
Nice....,"Not a large selection on the menu, but the seafood was fresh and yummy. The birthday promo lobster was good, Ambience was simple but staff were fast and attentive."
Birthday lunch,"Food is good, portion should be better though, the combo advertised for 4 should come with more sides. The deal of free lobster for birthday is nice."
Fresh seafood with location outside of town,Seafood tasted good for the dish I ordered. Location was also good for a work or friends' gathering outside of central Singapore.
Excellent food in good dining environment,Dined many times at The Boiler Howard Road. And this time on the day of my birthday Thank you Cita for the extra effort. Big thank you to everyone at The Boiler.
Birthday dinner,"I visited there on my birthday, the staff were really friendly ~ the food was amazing ♡ the garlic butter sauce !"
worst restaurant ever,"Never ever buy their vouchers! i merely forgotten to use the vouchers that i bought and its expired by just a few says but they refused to extend it by even just one day. Its covid still and i overlooked it but the people managing the restaurant just have zero empathy! Why would anyone want to dine in such a restaurant. When u push the sale of vouchers u guys were so enthusiastic but when asked to extend expiry cos due to special circumstances cos of covid, u guys suddenly turned nasty and jusy flatly rejected me!"
"Fresh Seafood, Okay Service","Seafood was fresh and tasty. I would go back just for the food.
Service could have been better. One person stood out from the rest - he may have been the manager. He patiently explained how to navigate the ordering system and our questions about the food, and made a few recommendations. Other than that, we had to call out to the staff for service on multiple occasions during our meal."
Great food,Food is great! Price is gonna be pricey but normal especially for things like lobster. They still have the birthday lobster deal and that's brilliant.
Excellent and Friendly Service,"Friendly and Helpful Service Staff, assisting us in making the required order and providing drinks refill several time. Food is as good as review"
Delightful Evening,"Came to celebrate my dad and husband’s b’days with (only) one seafood bag. The service staff (the Eurasian / Caucasian lady who can speak Mandarin and young girl) were exceptionally attentive and thoughtful towards us, especially towards my parents. Then, overhearing my mum commenting that we only had one cake (so embarrassing), they initiated blessing us with another one — a very lovely surprise. All in all, we are very delighted with the food quality and owing to the sincere, and friendly service staff, our dinner was an extremely enjoyable one. Am very grateful and appreciative ❣️"
