topic,review
Mother’s Day Buffet Dinner,"Complimenting May from The Carvery for still remembering my name after two years ! Came here for I am pleasantly surprised when she said “ oh! It has been a long time since I have met u , Xxx!” I have seldom come across staff like her . This is how you should keep the regulars ! Keep up the good work ! Food as usual are quite impressive especially given the Mother’s Day menu . Tender ribeye."
The Carvery,"My family enjoyed dining very much at The Carvery, especially the Guinness Aged Beef, Whelk, Wood-fired bread and the BBQ Chicken Pizza. The restaurant crew also paid attention to the needs of our kids and greatly appreciate chef melvin for assisting us in our food request.Thank you very much."
Satisfying meals here over 2 weekends!,"Believe you me, family and I visited this cafe consecutively over 2 weekends for the lunch buffet but it was totally different experience.

The first visit was the usual buffet styled while our second visit was ""ala cart buffet"", where we were given a menu of dishes and ordered for them instead of going around to take food. The rationale of the latter was that due to the Covid-19, the cafe was trying to reduce human contact and interactions and also due to the fact that there are now lesser diners to avoid food wastage.

Located on the 7th storey of the hotel, next to the swimming pool and bar, the cafe was simple but nice and trendy. We enjoy the view outside.

Well, in terms of the food variety and spread, surely it's not that great as it's quite limited as compared to other similar category cafes and restaurants in hotels but the food quality wise was great.

In fact, the cafe is well-known for it's meat dishes and true enough they were very nice and yummy. Among all, we loved the roast chicken most, very fragrant, juicy, tender and really nice. The beef and lamb were good too.

There were also a small section of seafood (mainly prawns and escargots), a salad bar, and fruits. In terms of cooked food items, on the days of our visit, there will grilled salmon, stir fried vegetables, stewed beef, seafood soup (with prawns, mussels and squids), pizzas, some pastries and desserts, probably about all. Generally, the food were nice and no complaints.

Although hot beverages like coffee and tea are included, there was no ice cream, a little disappointing as most would provide that, be it 1 or 2 flavours.

Service wise, would commend that the staff did a great job! The used plates and utensils were cleared off promptly and staff were friendly and polite! And they will also contact you earlier to confirm your reservations.

There were 30% discounts as we made our reservations via Chope (reason why we visited twice over 2 weeks was that we bought the Chope vouchers twice by ""accident"" as the system was jammed and hanged and we thought that the purchase was not made and key in the 2nd time but both purchases were processed), and though it's cheaper then, we would have expected to have a few more dishes, such as fried noodles or rice, some local delights like fried carrot cakes, rojak or popiah etc. And for Japanese/Korean food lovers, you will be disappointed too as there was no single item from these countries too.

Though there was a live cooking station there, it was not functioning as a ""live cooking station"" whereby chefs would cook say spaghetti or laksa or noodles upon your order request like other cafes or restaurants. Perhaps it's more for the pizzas (as the oven over fire was at that station). a little under-utilized.

Having said that, we still enjoyed our both dinning here overall despite two very different offerings."
compliments,It’s service was Impeccable. Food is fresh & meticulously set. Cutlery & ambience is perfect. Pricing is affordable. Highly recommended
Great Lunch with Buddy,"The Chicken was perfectly brine, Lamb and beef was just delicious. All the food there was nice. Maybe except the pizza. The crust was hard and pizza was too cold. But can't be picky as the rest of the food was just delicious. For the price point, I would go back regularly."
Excellent experience and fine meats,"The service was excellent and the food was really sumptuous. The range wasn’t as large as other buffets but it was well done. The roast chicken and all the meats were extremely tender and juicy. If you are a meat lover, this is the place for you. The price is also reasonable with Chope dining vouchers for a hotel Christmas buffet."
Festive dinner,"Overall was an average buffet dining experience. The food was average, we were expecting a larger variety of food. The restaurant is known for their large selection of meat but we were not impressed as the taste weren’t memorable. Didn’t help when the place was dimly lit to the point it looked like the restaurant was not fully open for business."
Simple but delicious,"Not a huge selection for the buffet - but what there was delicious, fresh and the meat at the Carvery were amazing. It was our first visit, and we will go back."
Great food and ambience!,"The carving section had chicken, beef and pork and they all taste great. There was quite a number of cooked foods to choose from that rendered me spoilt for choice. Came in not having too high an expectations but we were pleasantly surprised at the quality of food and the service staff were delightful. I believe the not-so-good reviews were by customers who were expecting a much bigger buffet spread like in other bigger hotels. But honestly, for The Carvery's price point, my partner and I thoroughly enjoyed our meal and thought that we would definitely come back again."
Quality food and excellent service!,"My friend recommended that we celebrate our 50 birthday celebration at The Carvery and the experience was a delight! So in the subsequent month, I went with another friend to celebrate her birthday and the standard of food and service was consistently good! I will come again!"
Awesome experience,"Great view, great taste, limited variety, meat & dessert is awesome. U wont regret for trying this out!"
A few very good dishes among the buffet spread,"The roast chicken was moistand juicy. The clams and mussels in the seafood stew were fresh and tasty. I like the beetroot and walnut stew, too."
Carvery 1 for 1,"Beef and lamb and roast chicken are so tasty with other many foods are worth , hope 1 for 1 offer will continou to full support !"
Value for money,"Food was generally good, meat was nice and tender and good selection spread. Was hoping for a little more choices for desserts"
Relaxing Saturday Luncheon with my husband and children,"I am excited to visit this restaurant for my birthday celebration because I love Le creuset cookware which is widely used by this restaurant. What made the dishes more enjoyable is the sight of the LC cookware keeping the food warm and moist. Although there is not a lot of variety, this is The Carvery - meat, people! Rotisserie chicken was delicious, warm and moist. Roast beef too! I rate it 5 because I came not for quantity but quality! A nice ambience with tables spaced out and very prompt service. The Chinese waitress brought my husband a finger bowl when she noticed he was peeling a prawn. That's attentiveness! I particularly like the wood baked pizzas. Lots of flavors. Totally worth the 1-1 Chope promo."
"''Issues'"" with purchased vouchers","Hi. The ambient is very good and the food is just right.
I had a problem with the vouchers. I thought what i purchased was for 1-for-1 and I purchased 2 vouchers for 4. I was shocked when the waitress told me that I have only purchased for 2 persons! However, she was very nice to help me secure another voucher for 2 persons. Hope someone could look into this and clarify exactly what I have purchased was for 2 persons or for 4 persons. Thank you."
Slight disappointment,Did not replenish the baked oysters after the first tray was served and roast beef was undercooked. Chef at the meat service counter seemed disinterested. He served a tiny piece of roasted pork with 90% fat. Limited selection of desserts. Table service is excellent and the 1 for 1 vouchers offered good value for Sunday buffet.
Declining food quality; service remains excellent,"Went for the lunch buffet. Don't get me wrong - the food is generally very good. BUT their main attraction is supposed to be the meat station (hence ""The Carvery""). Unfortunately the carving station only had 1) roast beef, 2) roast chicken. The roast beef was a little tough; the chicken was, well, chicken. This was very disappointing. I want MEAT!

The service was excellent as always."
Bad,The range of food is limited. The nice of food is bad too. It is sad to say that their pastries are better than their main : meat. This one star is basically for their services.
Wonderful Ambience,Greeted by friendly staff esp. Ms May. Ambience was wonderful with seats looking out over the pool as we dine. Spread was good and better than expected except meat dish of beef and lamb too well done for my liking as I prefer more rare.
Veriety of food at The Carvery,My wife likes the variety of food at The Carvery. Peaceful and Quiet to enjoy the dinner at night. Can spend a few hours there and enjoy the ambience.
Restaurant that lives up to its Name,"Went with my family of 6 to The Carvery, to celebrate my mum’s birthday. Perhaps due to the 7th month, the restaurant was rather empty, with just 4 tables.
Was pleasantly surprised that they acceded to our request to waive corkage if we purchased a bottle from them.
The Carvery lived up to its name - the buffet had quite a good selection of meats - pork roast, beef short ribs, pork chops, beef stew, baked oysters, trout, salads, asparagus, pasta and pizzas.

The meats were very well done and tender, which was a pleasant surprise - many of the buffet restaurants tend to have over-done meats.

Service was impeccable and prompt, and the manager of the restaurant was exceptional. Little things count, and the fact that they changed the wine glasses for the different bottles of wines, was appreciated. The only disappointing thing was that the dessert section was not replenished, even though some items had run out. Additionally, the complimentary birthday cake was a cup cake with a candle! It would have been great if they had provided a small proper cake - many restaurants do this already.

Would I go back - yes, for sure - hopefully the quality of the food and the service remain good."
"Excellent Food, Service and Atmosphere!","This was my third time eating at The Carvery, and once again, the food never fails to impress me (especially the meat)!

Came with my boyfriend for dinner and thankfully, it wasn’t very crowded. We were given our own table in the corner (the atmosphere was pretty romantic by the way). When our table light flickered out, the staff were quick to realise and replaced it efficiently. Service was great as well!

Once again I am impressed and will definitely come back again."
"Good food, excellent service","Went for the dinner buffet. The selection is not wide, but the food is good and the service is always excellent."
"Small choices, but big on quality and flavour","The reservation and staff were the highlight of The Carvery. Each was professional in how they served their guests. Even a double booking made (my mistake) was rectified with pleasant smiles and seriousness, which only shows how well trained the staff were.
The food was another gem. Being a family of boys, with good cooks among us, quality was prime. The meats on the carvery table were well done, with interesting compliment-salts. The Chef there was very knowledgeable.and helped the uninformed as I was. The cooked foods were quickly replenished and nicely cooked. Flavour was very good, that even a simple fish soup was laced with the bouquet of saffron shreds. The crunchy Mac & Cheese was nicely balanced with a while sauce dip, which added a new dimension to an already all time favourite. The pastry chef making the vanilla sauce was equally passionate about his creation, and it was a delight to speak to him concerning right balance and intensity of vanilla beans (!).
On the whole, a pleasant Sunday lunch, with lovely ambiance, and even nicer people. (Except for a screeching toddler, whose parents saw no wrong in such bad behaviour... ah well, one can't have his cake and eat it i suppose Bravo The Carvery!!"
goood,the selection wasn’t the biggest but the food was quite good and the staff were rlly helpful! pls have more discounts 😘
Cosy place having a good pool view,"Food spread is not big, But food is prepared in batches keeping the food fresh and warm. Food tastes delicious with fresh ingredients."
Experience at The Carvery,"I have been to The Carvery twice and found the food selection and ambience very well. However, on my second visit, I have found the beef to be on the rare side. I have observed this as the beef had a fairly constant texture from one end of the slab to the other end. Other than the beef, the pork and chicken was delicious as usual. In addition, the restaurant servers could serve coffee and tea instead of directing diners to help themselves; this was not consistent with my first visit when the servers pro-actively served me the hot beverages."
Good for those who love medium rare roast beef,"A good place for those who love roast beef, rotisserie roasted chicken and crispy pork. Parma ham with rock melon was also served at the salad bar which is good. However, the desserts were simple. Good service from staff though."
Bbq buffet,Bbq buffet but there were only 3 bbq items. Food were top up after 8pm after several reminders. Not value for $ if not for 1:1
