topic,review
Was an okay affair,"I think the food was good overall - we had pork knuckle, fish and chips, barramundi and ribeye steak. Think that it was slightly over priced, especially the steak."
Pleasant,Food was good and staff were friendly. We were accorded an indoor table as there were people smoking outside.
Better off somewhere else,"Pork chop was chewy and hard. Spinach was extremely salty. Super understaffed. Avoid at all cost, there are many better options out there at this price range."
nice gula melaka sago ice cream,"overall service was good and the we ordered set lunch, baby back ribs (4/5) and broccoli soup (3/5)
Slightly different concept of set lunch just come with main course, any additional soup/ salad, drinks, dessert have to top up.

The gula melaka sago ice cream is best"
Prime grain fed rib eye steak must try,"Prime grain fed rib eye steak was juicy and tender. Loved the sweet potato fries and the steamed broccoli with almonds and butter, al dente crunch to the broccoli. Service staff were really considerate to half the steak for us as we were sharing.
Brownie was not too sweet and was soft yet chocolate rich"
on the chopping block,"Decided to give this restaurant a shot with dad because we had never eaten here before. The other two choices we were considering was Jamie’s Italian and So Pho. In particular, I picked this over Jamie’s (which we considered a safe and palatable choice) because it also offered burrata, and I was thinking of trying a different take on it.

Initial observations: the restaurant was relatively empty with only 3-5 tables filled when we entered. Dad opted to sit near to the glass panels, and that choice of location apparently rendered us invisible most of the time. The waiters outside couldn’t see us, and neither did the ones inside pay attention to us. We had to wave for a good two minutes before finally we got any attention - and not from anyone inside the restaurant, but the waitress who was bringing in new customers from outside.

First thing I asked for was burrata. The waitress blinked, then mentioned it might not be available. I flinched - then what was I here for? I could get steak anywhere else. And I guess that was the beginning of a bad night. On hindsight, we should have left there and then.

Either way, I stuck to my medium rare steak ($41) and my dad ordered the Berkshire pork chop ($33). It took a little while too long to come. Because I ordered an apple martini along with it, my stomach was burning by the time the food came (LOL). I thought the steak was fine, a little chewy, but not worth $41 by any means. Dad abandoned the pork chop about three-quarters through, declaring he preferred pho. Again, we struggled to get the attention of the waiters and our bill took ages to come. All this while, the Jamie’s Italian sign stood brightly outside the glass panels that separated us from it, as if mocking my choice.

We’re not coming back. Still, I will mention some qualities worth noting, though they don’t redeem the experience. First, the apple martini had some real good kick to it, but considering it’s almost $25 it had better be. Second, their truffle fries are okay. Third, they were playing John Mayer in the background, which makes everything better. But not better than a 2/5."
Delicious meal,"A place I would definitely return for the beautiful ambience, quality food and service. Thank you for service with a beautiful smile, you have made my visit a memorable one."
Lunch menu not for Chope reservation,"These days it is more convenient for diners to make reservation via apps such as Chope instead of calling the restaurant to book. I frequent Chop House for dinner quite often but last week was the first time I was there for lunch. I am not pleased that Chop House does not provide lunch set menu to those who make reservation via Chope. Only Ala Carte orders are allowed. Although I am planning to order steak that is not in the lunch set menu, but I think it is disappointing that Chop House differentiates those walk-in and direct phone reservation vs. reservation via Chope. There isn't a special discount for bookinga via Chope so I am not sure why Chop House makes the differentiation. I have booked many restaurants via Chope or Quandoo before and I never encounter such differentiated treatment for non-discount reservations."
Sumptuous meal❤️❤️❤️,It was a causal family dinner with my hubby and toddler son. We ordered 2 sets of rib eye medium rare. It was nicely done with the red wine sauce. Kiddos!
Great Burgers,"Not sure what type of training the serving staff have had, but our server was slow, not very attentive, polite or easy to understand. We were on a Saturday celebration with my family of four and had we not had ordered drink we would have left. My son didn't understand her asking what 'doneness' he wanted his burger and so she just kept mumbling the same question."
"Good burgers, but atrocious service!","Oh what a shame, terrible service - order taking was painful - poor first impressions, followed by chewy calamari, but thank goodness the burgers were good and tried to overlook the bad start. When the bill arrived, $240 for two starters, 4 burgers, 4 soft drinks and 2 beers, I knew I’d been better off at Hans Im Gluck next door."
Overall ok,My friends and I were walking around looking for a place to dine when we finally decided to dine here. The service is good although there were only one staff that was attending to the diners inside and outside the restaurant (I guess when we are too early not many staffs). I have ordered Baby Octopus Aglio Olio. It was really good although a little spicy for me.
"Suave ambience, epic service","We were just walking past when we decided to have a couple of drinks and a meal. We were served by Shafiq who displayed absolute excellence in service. Very very impressed, will drop by for another beer if we come by anytime soon"
Good steak place in casuala dining bistro,"I made a reservation but was offered a very small table for 2 persons because most reservations are for 3 or 4 persons. It seems like there is no value in reserving a table when allocation of seats is poorly strategised to start with. My husband wanted to leave seeing that we were given the 'naughty table'. Soon, the staff offered to seat us at a proper table. Didn't feel that we are valuable customers.

I loved the steak; the tenderloin is seared to perfection, the pork belly starter is surprisingly good with complex textures with belies its simple presentation.Mac and Cheese is creamy though a bit watery under the cheese crust. Lovely beer at $7 per pint before 8pm. Tap water costs 50cts. Casual ambience with quite a number of families with kids. Volume of music could have been lowered for better conversation. It is hard to locate and contrary to the map that comes with the email confirmation, the bistro is located near the back of the mall, not near the main road.

It's a skeleton crew out there and we had to wave our hands to get their attention for orders."
Dinner catchup with friends,This was a return visit as I had a pleasantly experience the first time round with a group celebrating a friend's birthday. The food was good as usual and the ambience was as cozy as my first visit - the lighting was brighter than the last time thankfully and music selection just as enjoyable. I will definitely want to bring other group of friends back for another visit again.
Not worth to visit,"We visited there as a family lunch with small kid and when we asked plate for the kid to share the food, one of the waitress pointing the kids menu and said ' there'.
We politely asked for the plate for one more time to get a plate. We are not big fan of waisting food and little one won't finish even kid's menu.
After that, we could hear the waitress was talking about us right behind the table and even upon leaving behind the counter. Worst service ever."
Very highly priced meal for nothing,The food was not good. The steak very chewy and no taste. Sides of small salad was really really small. Came home hungry after spending 100$ for two people.
Pleasant experience and decent food,Went there for a business lunch. Tried the US grain fed steak which was good. Also had the gula melaka sago for desert which was also good. Guess you get what you pay for since it is relatively pricey for lunch. They do have set lunches which are much more economical. Worth checking for a special occasion or just to unwind. Has a view of the sea. Option to sit out if weather is good.
Not too bad for casual dining,"Our first impression when we walked into the restaurant was that the music was a bit loud so we asked where the best place to sit if we didn't want the loud music. The attendant took us outside into a corner which turned out to be fine. The food was good. We ordered fajitas and steak and a couple of simple appetizers (French fries and spinach and mushrooms). The beer was good, as we tried both their IPA's. And for dessert we had a banana split. The staff was friendly and the food was good so I can recommend this place to anyone looking for a pretty good Western meal."
Not value for money,"The serving size is very small for the price. The fajitas were burnt, but they did try to replace and also gave complimentary dessert."
A bit disappointed,"Frankly speaking I was a bit disappointed when having dinner with my family on the Labour Day at The Chop House Vivo City. Am quite a careful diner and also quite particular on the sequence when come to serving... The person who took the order from me missed out serving the soup of the day... when I reminded, the waitress then served us the last dish... never mind, the bowl of soup served without a spoon... By the way the restaurant was not full house that evening!"
Nice place for gathering,Friendly and helpful staff; Friend had her 50th birthday celebrated there and all of us had a good time. Friends loved the songs played..
Great service and ambience,"It was a very nice place for birthday lunch. The service were great and attentive. The food was quite average - My seabass was soft but extremely saltish, my colleague's pork chop was tender but the sauce was extremely thick and saltish. For the prices quoted, i would expect better quality. I remembered better food with The Chop House."
Work day lunch,"We took advantage of the work day set lunches. They usually offer a pretty good 2 course or 3 course set lunch during the work week

The menu for this period was pretty fusion. A burnt corn appetizer and a fusion chicken rice appetizer was on offer. I picked the burnt corn appetizer which turn out to be pretty good. It had grill corn with corn purée and also popcorn on top. I had the pork chop which was also pretty good as well."
dinner,"this is under the wooloomooloo group. as a steak lover, i ordered their ribeye and mash potato. food is of good quality."
Cheap Cheap,"Dined here for lunch- for starters, don’t run a Chope lunch deal which isn’t exactly that lowly priced, and have a special menu just for chope- I.e. tiny 3 portions of pork in small buns as your main course. My heart kinda sank when I was presented with a chope menu that was separate to the set lunch menu.
To TOP it all off, we ordered pints of beer over lunch but they still charged us for a bottle of water!"
Service and food was great!,"The service staff were attentive and very friendly. We were sitting at a table underneath a ceiling fan that, when activated, would cause the light above it to keep pulsating, making our dining experience very unpleasant. thankfully, the service staff noticed and turned off the fan without having us tell them. we ended up staying on for dessert as a result :)"
