topic,review
New Year's Eve 3* event did not do the hotel's reputation justice,"We have been to the Fullerton Bay hotel quite a few times. Not to stay the night but for dinners and brunches. This time we decided to opt for the New Year's Eve champagne dinner. We were looking forward to a classy night out. Unbefitting the class of the hotel however, the organiser of the event seemingly decided that the volume of the sound equals the level of enjoyment. The volume was so elevated, we could hardly hear the person sitting next to us at the table. We virtually had to yell at each other, for 4 hrs! The buffet set-up was nice as well as the food, but not being able to talk to each other decently was crazy. People around us started staring at their phones or stopped talking to each other all together. Some families came with kids and grand parents, and it was clear this is not what they signed up for for $600 per person. The quality of the band/singers playing would fit a low budget high school party, which made it even worse. I complained about the volume level multiple times and at one point a restaurant team lead called Azoul shot back at me that he could hear me well. Scanning the room he felt everyone had a great time. I think he needs to learn how to better read a room. Ultimately the best part of the night was the great view of the fireworks afterwards and the party outside. During that time (after 11PM), one of the employees started to charge for champagne in cash payments only. This seemed like a total scam and we reported that to Mrs Ibrahim, the duty manager. So overall, a very odd experience, and totally not the level of class the hotel usually stands for, in my opinion."
Gin Parlour - the place to be on a sunny evening,"Came here with my wife and a couple of friends for one of our friend’s last night in Singapore after many years living here.

My wife had booked the Gin Parlour and it turned out to be an inspired choice!

We had a fantastic table overlooking the Marina Bay Area - although in fairness all the tables look to have great views - but when combined with a beautiful evening, the sounds of the team practicing for the NDP, the gins, the food and the Happy Hours it meant that we spent a very pleasant evening enjoying the best that the Parlour had to offer.

Our waiter, Sibiil, did a terrific job and even mentioned to us about the Fullerton dining card that saved us 25% on the bill - great customer service!

Definitely a recommended spot that we will be back to, but you do need the weather to really enjoy the location to the fullest."
Restaurant is Closed. Bar is open,"I booked for The Clifford Pier on Chope only to be told on arrival that the restaurant is closed but the outdoor bar is open. I had booked for a friend’s birthday dinner. Imagine being told they only serve finger foods and limited to choice of around 6 to 7 items. What saved the day was the excellent service of the cheerful waitress who tried to find alternatives but to no avail as it was a Friday night. Anyway, we have no choice to do our best to enjoy the wonderful views and cool weather. Finger foods were ok."
Amazing service,I reached about 45 mins earlier than my reservation timing because I finished my dinner early. The hostess accommodated me and my partner and let us sit early. Loved the menu and the drinks and the view.
Heritage dim sum brunch,The service provided by ASEL is very good. Our water is filled up promptly and the requests are accommodate. Ambience is very nice as well. Its a nice place for friends and family.
Very beautiful place but unfortunately avg food,Very beautiful place but unfortunately the food was just average. Good to go once but doesn’t give you any reason to come back. Service was not so great except one manager who was running everywhere to compensate for her lousy colleagues
Favourite place for a brunch,"I love coming here for brunch, really such a beautifully decorated spot. The food is spot on and so is the experience. First class costumer service. Not too expensive for all that you get."
"Great Food, Great View but service not so much!","This is a review for their Christmas Eve Dinner 2020. My friends and i arrived at 8PM. Water was served within the first 10 minutes, no problem. After that has been a downward spiral experience at this restaurant. I specifically remembered two tables around us that arrived at least 20-30 minutes after us that got served first.. I lost track of how many times our group have asked for a followup. Also there was clearly a lack of supervision with the staff, courses are Being served in no particular order and it was obvious the staff were confused which food goes to which table. I would expect the servers to recall/remember what course they have already served to each table. The servers i think clearly tried their best but I feel that this restaurant is understaffed. Such a sad experience on a Christmas Eve. The only redeeming factor is the food. It was delicious. The view is wonderful. However, i wont be going back to this restaurant again."
Very Nice Place to Celebrate the New Year,"Went to have New Year dinner with family. Food and service was wonderful. Atmosphere was great too.

Staff even knew who is having the sea perch and the tenderloin without asking us.

Apart from the mains, my favorite dish was the marinated king crab.

Attentive service by the whole team"
"Good drinks, view, great staff!","Made reservation via Chope at 6PM, but went earlier, to our surprise we were accommodated warmly. We were greeted by Nicoleta who was super friendly and warm. Staff were attentive and friendly. Femia (pardon if I didn’t spell her name correctly) was also a great joy. They have a good selection of happy hour drinks. (Price range starts from $9++) My friend and I enjoyed our time as everything is a delight, the drinks, ambiance, view, and most especially the staff. It’s a hidden gem and a must-go for people who just want to chill out or catch up with friends. Will definitely be back soon!"
Heritage Dim Sum Buffet,Food was fresh and good. Service was excellent. Quite a good choice of the menu. Would be perfect if it comes with coffee/tea considering the price that you paid @$59++/pax. Love the ambience!
