topic,review
Great place to eat,"Octopus chorizo and fish tacos were both 10/10. The sauce on the octopus was the perfect level of spice, noticeable but didn't overpower the other flavours in the dish. I the fried fish went surprisingly well with the taco as well. Definitely something I'll order again.
I don't think it says anywhere, but if you order the chocolate dome, they let you yeet it into the plate to break the shell. That was a pretty cool experience.
Also, Sapporo is life and they have it on tap"
Delicious,I enjoyed every single bite of my Mentai Pasta: it tasted simply amazing since all the flavors were perfect. The chocolate dome was also a impressively fun and tasty dessert. Definitely coming back to try more items off their menu!
Good food and service,I tried the beef cheeks ragu which i enjoyed very much. The portion was good and filling. Service was great too.
The Communal Place @ Joo Chiat,"Delicious cafe food! The fish and chips were fresh and juicy, and the batter was crisp and not overly thick - really love it! Salmon was grilled to perfection with mentai mayo that was lightly charred! Salmon was fresh and there was no fishy smell! The iced white was great although not spectacular and their basque burnt cheesecake was quite a thick slab I got to say for $10 I would say its not bad! Total damage was approximately $75 rounded up and I got to say it is definitely expensive but it is like your standard cafés but with a wider range of food (ie arent limited to brunch options!)"
Great food with a cozy ambience,"This is a charming and cosy bistro along Joo Chiat Road I ordered the fish tacos, seafood bouillabaisse, and miso salmon for sharing and it was such a satisfying dinner! The fish tacos were definitely the highlight for me — super crispy yet succulent beer-battered fish, and tangy salsa, rounded off with a rich chipotle sauce. Special mention for the bouillabaisse as well, which had a hearty deep broth and fresh seafood. Can’t wait to go back and try their other dishes!"
Great vibes and service!,"I had the Fish Tacos, Miso Salmon & Bouillabaisse (a seafood broth with dory, prawns, clams, octopus and ciabatta). The beer-battered dory was nice and hot, giving a satisfying crunch to the exterior and perfectly cooked fish inside.

I was honestly pretty apprehensive about the Bouillabaisse as I've never had it before... and I was not a huge fan of seafood but wanted to try a soup dish. It ended up being a pleasant surprise! The broth was rich yet light, with great seafood ingredients. Although I had the soup by myself, I felt that would taste best when shared with everyone at the table, and slowly consumed throughout the meal.

Overall, a satisfying experience at The Communal Place. would come again!"
Nice atmosphere,"Place was nicely decorated, nice atmosphere. Ordered the butterfly chicken and 2 smaller items for sharing. Chicken was juicy, nicely cooked and flavorful, enjoyed it. Would come back for the chicken again"
Overrated,"The place is very loud and noisy, the cemented interior walls and floors bounce all the noise.
In terms of service the 5 of us were served one by one, by the time the 5th person got served, the first ones had either finished or their dishes went cold.
Food is okay, good portions and taste.
The reviews are surprising and overrated for an okay place. I will be more careful with all TripAdvisor ratings next time."
Good food in a nice location,"We had the mentai salmon and fish and chips, and had some burnt cheesecake for dessert. The food was good and we had an enjoyable experience."
Salmon Mentaiko Pasta and Fish Tacos,Ordered their Salmon Mentai and Fish Taco and they are seriously Superb! Love how the mentaiko integrates so well into the pasta sauce and the fish tacos is so soft on the inside and crispy on the outside. Highly recommend!
Great pasta,"Great lunch hangout spot with pretty interior! I had the spicy scallop aglo for mains which I would recommend to those who love a mild spicy kick to their pasta! To end off, I also tried the basque burnt cheesecake which was delicious and creamy. Overall, great service with attentive and prompt servers. Would definitely pay another visit if I'm in the area!"
Amazing food,Ordered Pulled Pork Burger and beef cheeks Ragu. Pulled pork was fantastic as well as the beef cheeks ragu. The beef cheeks was so tender. Absolutely loved the sauce for the Ragu. Price for the food and beer is reasonable as well!
Would recommend!,"Nice cosy vibes, food was good - ordered the pulled pork burger and beef cheeks ragu, and both meat were tender and tasty. pasta was al dente as well."
Disappointed,"We read the reviews and decided to give it a try.

I had the Wagu Burger and Bouillabaisse (shared). My wife had the Octopus Chorizo and Spicy Scallop Aglo. We each had a beer with dinner. The total bill for the two of us was about $130(S).

In review:

The service was prompt and the restaurant has a good presentation (tables are appropriately spaced and not crowded).

The Bouillabaisse was fairly good. The toast with it was quite oily and the octopus and clams were very small.

The Wagu burger was well done and because of this, the Wagu lacked moisture and flavor. The fries were tepid. The accompanying salad was good with a balsamic dressing that complimented the greens.

The Octopus Chorizo was moderately good, though the Chorizo could have used a sear and the Octopus was baby octopus. The menu indicated octopus leg - which is what was expected.

I didn’t try the Spicy Scallop Aglo and rely on my wife’s opinions. The pasta cooked properly. The dish, though advertised as spicy was a bit over spiced and was lacking some liquid. She is usually quite forgiving with restaurant food, but didn’t come close to finishing the dish.

The beer was cold.

Overall, it wasn’t the worst dining experience. However for the price and given the prior reviews, the quality was not in line."
Great atmosphere and vibes!,"Nice place to hangout, relaxing atmosphere and vibes. Their Yuzu Chicken was interesting and huge, great for sharing!"
Pls order Foie Grass Miso Linguine,"Highly recommend the Foie Grass Miso Linguine. The subtle taste of miso, creamy linguine and perfectly cooked foie grass blends well altogether. The dish is unexpectedly tasty & presented a well-balanced of flavours. Next up, we ordered Risotto with sausage. Risotto was crispy and paired well with the giant sausage + sour cream. Salad veggies was fresh too. Sweetness was just right for the Passion Fruit Oolong that we ordered. Highly recommended."
Amazing Ambience with Great Food,"We ordered the Foie Grass Miso Linguine. Creamy light miso linguine was rich in taste. Foie grass was perfectly cooked, not oily, and tasted good. We also ordered the Risotto which tasted great especially with the sides being crispy. The giant sausage was juicy and filing. Will come back again for the tasty food and amazing ambience."
Tender beef ✌️,"The Bouillabaisse was delicious and a must order if you are a seafood lover! The broth had good amount of meat but I wish there was more soup! We also ordered Foie Gras Miso Pasta and the Beef Cheeks Ragu. The Miso pasta was decent but we prefer the ragu, as it was cooked with the most tender beef cheeks. Unfortunately did not try the fish tacos so will come back in the future to try it out!"
wide selection of western fare!,we ordered the seafood bouillabaisse as a starter and it exceeded our expectations! the seafood broth was sweet and it tasted like a scoop of the ocean. i ordered the foie gras and miso pasta which was nice as well but the foie gras was a little overlooked. the price point is a bit steep but overall a pleasant dining experience!
great place for a gathering with friends!,"first time here, loved the music! was spoilt for choice by the extensive menu, but went with their scallop spicy aglio as well as the bangers & mash. the scallop spicy aglio is unlike any aglio olio i’ve had. scallops were fresh and there were bits of bacon in every bite. level of spice hit the spot i was taken away by a surprising combination in the bangers & mash: the cherry tomato in the side salad + the belgium mash = heaven in a bite. the sweetness of the cherry tomato really complemented the buttery, creamy smooth mashed potato! also loved that they welcomed us with the “welcome drink”—the pomelo pulp was the cherry on top of a refreshing quencher. would love to come back to try their other stuff!"
Wagyu beef burger,Cozy nice environment with good ambient lighting and nice floral decorations. The staff was friendly and attentive. Waited about 15 minutes for the food to come so was still rather reasonable. They also have a huge selection on their menu that I'm sure will cater to everyone.
Wonderful comfort food!,"Really love the ambience of this cosy little place! Mentaiko pasta is amazing, welcome drink is appetising and sweet, sides compliment mains so well, what else could you ask for?"
Best mentaiko pasta,"I was really happy with the mentaiko pasta here. I also tried the wagyu burger, the fries, the chicken wings and the ice cream with waffles, which were all good too. I appreciated the welcome drink given to us for free, which set the tone for a great meal!"
"Nice environment, friendly servers and yummy food",Enjoyed the fish n chips which was a huge portion that could easily be shared by more than 1 pax. The servers brought us a welcome drink which was nice and refreshing and the place was a really nice place to chill and hang out.
yummy burger and nice place to chill,enjoyed the burger which was really moist and the fries were yummy too! the servers brought us a welcome drink and that instantly lit up our meal. the servers were really friendly and the environment was good with a very chill vibe.
Cosy dinner place with good food,"Highly recommend The Communal Place for dinner & drinks! It had great food, a cosy vibe and good service. We ordered the fish tacos, wagyu burger and beef cheeks ragu (fish tacos were crispy, saucy and all-around amazing)"
Explosive fish tacos,"Many reviews said the fish tacos are good. They are wrong, the fish tacos are amazing. The batter is so crispy it explodes in your mouth and the delicate fish melts after. The mains were good and filling. Sapporo on tap is great, especially the lychee beer. Ambiance of the place was nice and relaxing too. Great place for a casual drink and good food."
"An Unknown, Quiet Western Place","A great place to visit when café-hopping or for a casual business lunch. I personally found the hip atmosphere enjoyable, especially on a weekday where less people were hanging out past 3pm.

There was a great variety of drinks and the western fusion food was superb. My personal favourite was the Foie Gras Bruschetta - the richness of the liver was nicely complimented by the crispy ciabatta and miso paste

10/10 would visit again!"
"The communal place, good place to destress!","Had a very hectic monday and went out to eat here with a friend and will say that eating here has succesfully helped me destress! Since it was a monday night the place wasn't crowded and there was parking! It's a really nice vibe to chill with chic wooden table and mellow lighting and the food came out quick! Upon sitting they served us a shot of refreshment each, it was a sweet blue carbonated drink with a unique taste. We ordered a pulled pork burger that has a big portion so definitely worth the money, its more to sweet than savoury! We also got the truffle fries, again in big portion. Lastly ordered a glass of beer that was reasonable in price and definitely helped me relax!"
Great food and ambience,"The Communal Place had great decor, good vides, excellent music, and delicious food. I recommend for people to come on weekdays especially. Overall, a great experience!"
good cafe in katong,really love the ambience of this place. quiet and chill and a good place to have a meal with friends. ordered the fish tacos and it is so yummy. the fish in fish tacos is fry to golden crispiness and the pickle compliment the fried fish really well. the frozen tiramisu is really a good end to the meal. was skeptical as it did not look like the traditional tiramisu but omg the frozen version is so good! highly recommend tcp!
Nice Restaurant For Group Outings,"I had dinner here with my friend earlier this month.

The best thing about the restaurant is their wide selection of food. Although the selection for each type of food is not as wide as you would find in a more specialized restaurant, you will surely be able to find a favorite dish for everyone in your group. This makes the restaurant ideal for group outings.

After taking some time to decide, we decided to go with the rosti, pulled pork burger, and smash meatball. The food is in general quite well made for the price range. Among these I like the pulled pork burger most.

The restaurant also offers some selection of desserts. We ordered the chocolate dome and had great fun dropping it onto a plate to break the chocolate shell."
CHOCOLATE DOME!,"Fantastic food and ambience! Dropped by here with a good friend and we had a great time. I had the smash meatball, rosti, wagyu burger, and i liked them all. I also really liked the welcome drink so i ordered another whole glass of it hehe. Ended off the night with a chocolate dome and i loved how we could drop it from a great height! Its a lovely dessert experience even tho I lifted the dome a little too high and the chocolate bits went everywhere :D. Loved this place and would recommend people to go :)"
Best fish Tacos in Town,"I have never tasted fish tacos like this. It ended my hectic day on a good note. Trust me on this, try the fish tacos and you’ll thank me later. The rest of the food was great too, the bouillabaisse soup was also a great choice for a starter.

Honestly one of the best add ons to this place is that there are parking lots just outside the restaurant."
Fish tacos are absolutely bomb!!,Food was amazing and ambience was great! Make sure to order the Fish Tacos which was the best item on the menu! We ordered the recommended items from the menu and was blown away by its taste! Will definitely come back for more!
Dinner with friends,A nice place with a cozy ambience. Came here with a friend for dinner and ordered their steak for sharing. Meat was well seasoned and of good texture. Their service staff was also responsive. Overall a good experience!
Relaxing Atmosphere serving Contemporary Western Fusion Food!,"Came by on a weekday night, and was warmly greeted with a welcome soda drink. Loved the ambience and atmosphere of the cafe, a great place to relax and unwind after a long and tiring day of work!

My partner and I were spoilt for choice, as there was a large selection in the menu to choose from. We finally decided on the Medium Rare Steak and Fish N Chips.

Overall, the food and drinks served were decent!"
great food!,"welcome drink was really pleasant! fish tacos was great, soft tender fish with crispy batter with a great sauce! beef cheeks ragu had a wonderfully light yet flavourful sauce, with beef cheeks so soft. mentaiko pasta with smoked salmon was alright! iced chocolate was nice!"
Western/Pasta/Drinks,"Ambience was nice and cozy, welcome drink was a 10/10, would recommend to try it. Fish tacos was very fresh and crispy, with a good amount of sauce. Pastas were not bad! Would recommend to try the beef one if you like tomato base and the mentaiko salmon pasta if you would like something more savoury!"
Amazing and Cozy Atmosphere,"Amazing experience at The Communal Place, ordered the lychee draft beer which has an intense lychee flavour alongside fish and chip also pulled pork taco! Ended off with the chocolate dome dessert which has an interesting presentation :)"
Cozy cafe!,Cozy cafe along Joo Chiat road! We came on a weekday evening and managed to snap this photo of the dreamy environment before the dinner crowd. Was served a petite blue welcome drink which is nice. Food is decent.
Review for The Communal Place,"Enjoyable experience at The Communal Place, ordered the Lychee and Passionfruit Draftbeer respectively which was smooth and paired well with the mains. For mains, we ordered the pulled pork taco and fish & chips which both tasted really good! Lastly, ordered the Chocolate Dome dessert which i highly recommend as it was both tasty and interesting (order it to find out )"
