topic,review
AVOID!!!,"Visited the courtyard on a work Christmas party in December, we enjoyed our night. Visited again early January and took my in laws, well it is safe to say, I was embarrassed for recommending the place and taking my family. The whole experience was shocking. Food was cold and tasteless, 45 minute wait on drinks, and not attentive at all. I then was told that the general manager and head chef had left. Safe to say those senior staff obviously carried the place as it is now on a downward spiral. It is apparent there is no leadership with customer service and no quality of food in the kitchen.
Will not be returning and would absolutely not recommend to anyone."
Excellent Service,"Without A Doubt,We Genuinely Enjoyed Our Afternoon Tea Experience At The Courtyard.
A Special Shout Out To LINH
She was very couteous,helpful,friendly and attentive.
This kind lady went all the way and helped me look for a 2023 party novelty of my choice.
I'am deeply grateful.
A HUGE TQ also goes out to the doorman n bellhop on duty.
On the whole we were thoroughly impressed.
TQVM FULLERTON HOTEL."
"Excellent services, quality food with reasonable price","We had afternoon tea at The Courtyard. Have been there for couple of times.

Services are excellent, food are good, menu changed quite often with very reasonable price.

Staff Lali is always provided extraordinary services, caring and considerable, go extra miles to satisfy my girls, 5 star services. Girls are having a relax and enjoyable tea time.

Nearby hotel with lots of sightseeing to experience. Worth an afternoon time!"
Courtyard Review,"Excellent service as always and food was amazing, Albert and team took very good care of us during our visit to their high tea. We had an amazing time. Will definitely recommend Courtyard to friends and family."
"Worth a visit, even if it’s just for coffee","Did not actually stay as we were on a trip to the Grand Prix but visited for coffee. A very beautiful hotel, was originally the Post Office. A variety of shops on the ground floor, one being a very nice jewellers!

Has a great seating area outside th3 hotel too so you can watch the world go by!"
Beyond my expectation!,The quality of food and the standard of service were better than my ‘good’ expectation. We thoroughly enjoyed ourselves and had a great time!
Very impressed with the high tea !,"We came here for the afternoon high tea and we had amazing time . We were very impressed with the decorations , food , ambience and the service . Albert , our server , was very friendly and he made our experience memorable . I highly recommend this high tea . Hotel is decorated for Christmas and I truly enjoyed it"
Delightful Christmas high tea,"We reserved a table for the first day (December 1) of Christmas high tea at The Courtyard with a credit card deposit. We were very impressed with the beauty of the Christmas decorations at the outside entrance and in the hotel lobby, especially the tree. We also enjoyed the calming harp music and the quiet and respectful behavior of diners that were having high tea at the other six or seven tables that day. The fare included clumps of sweet ham, wagyu beef in a pastry shell, and haddock. There were small sandwiches, and on the top tier was a collection of sweet pastries with Christmas decorations. We tried without success to access the free hotel wi-fi. We were given a bill for the tea that did not mention the amount of the deposit, but we found that the charge for the deposit was reversed shortly after we left. The service team did a wonderful job making us feel at home. We recommend the Christmas high tea at The Courtyard."
As nice as the hotel,We stayed 1 night at this hotel and the courtyard is great for some tea/coffee and to take it all in!
Extremely satisfied visit,"Joey is very professional , polite and nice. He makes us feel very at home. Great ambience and delicious food. I had high tea with my cousin and there was lovely harp performance. Would definitely recommend the high tea. I am from the hospitality line and I believe Joey is an asset to the restaurant. Keep it up!"
"Great experience, food can be better.","5 stars for ambience, environment and service. Love the harp performance.

3 star for the food. Much room for improvement on the food quality. Too little of the savoury selection and the sweets are generally too overwhelmingly sweet.

Still worth a visit though, and a great place to spend a nice afternoon."
Visit to the clubhouse.,"Great experience at the clubhouse. My visit was during tea time (2-4pm). I had a warm welcome, and was lavished with the choicest of teas, juices and a whole assortment of delectable treats. Highly recommended to visit this posh area to unwind from a morning's worth of sight seeing and/or shopping.
Not only was I getting a treat from all that's available, team lead Joshua even prepared a little gift for my kid who was with me at the time.


Thank u Joshua, Chandra, Ryan and Nash for your kind hospitality."
Afternoon Traditional Tea,Received a warmth welcome and great service from the staff especially the manager. He was very patient and fulfilled our request. All the staff is very friendly and would definitely recommend to our friends here. Food was nice and quite huge serving. Ambience was good too. Thank you for making our visit a memorable one.
Afternoon tea,"I thought the savory was free flow. Got disappointed it was one time serving only. However, the ambience is good."
Afternoon High Tea,Very nice afternoon high tea. Good service. Celebrated my wife’s birthday and Fullerton prepared a birthday cake. Can come back for another high tea as it is with it. Good delivery. Spent a happy afternoon
Great service,Had high tea here and the service was really good. The staff were all very friendly and accommodating. They gave complimentary cake since we were celebrating a birthday. Overall good experience and food
Courtyard High tea,"The high tea at Courtyard is nice, great ambience. Food presentation is great. Savory is nicer than sweets. 😊 Manager Lailikumar is very friendly and gave 5 stars services!! This is highly recommended."
Pink afternoon tea,"Want to say great thanks for all the staff of Fullerton. My Saturday’s morning was absolutely amazing because of this occasion!! The food was very tasty and I really appreciate that all the dishes were dairy-free as I’m lactose intolerant. The service was absolutely fantastic!!! Unfortunately, I didn’t remember the names of the staff but I want to say great thanks to everyone! It was my first afternoon tea experience and now I know how to spend afternoon perfectly. I will definitely recommend Fullerton to my friends!) I can’t even find the right words to describe the atmosphere, it was warm and inviting, hope to come again soon❤️ I’m very happy that I’ve chosen Fullerton! It’s an absolutely perfect place. And by the way, it was extremely great that the staff recognized me immediately when I came. So, see you soon, I will come again!)"
Excellent,"The Straits Lounge’s cocktails & canapés and afternoon tea are delicious. Chandra, Crystal and the Straits Lounge team made us feel very well looked after on both occasions, for a relaxing and delicious experience. A visit to the Fullerton Hotel’s Signature Reserve bar is a must for those who appreciate - and for those who want to learn more about - whiskey."
Fullerton hotel,I had a very pleasant experience at the afternoon high tea at Fullerton. It was a baby shower with family and the staff was very helpful and welcoming to my family. They accommodated to all our needs too. I’d like to highlight Lalikumar who was extremely helpful and enriched our experience.
High Tea at the Fullerton Hotel in Singapore.,"I took my wife to the Fullerton Hotel for her birthday and we shared a wonderful High Tea. It wasn't busy and the service and attention to detail was first class. Being a top shelf Hotel, (5 stars) the high tea presented was without fault and plenty of different savoury and sweet treats to enjoy. A complimentary drink was offered upon arrival and the afternoon was something to remember. Highly recommend this place."
The Courtyard high tea at The Fullerton,"Had a lovely high tea with bestie to support Breast Cancer Awareness month. Staff went the extra mile with free slice of decadent cake for besties’ birthday celebration, impeccable service in a beautiful relaxing ambience. Will be back 😊💜"
SUPERB SERVICE,"Drop by Fullerton hotel for food and discussion after a long morning meeting, we step in The Courtyard dining area looking for lunch. We were famished. However it was 11.15am, the kitchen would not be open until 11.30am. The quick thinking staff (Mr Lalikumar) at the Courtyard tell us not to worry, he will take our food orders and speak to the chef and serve us food at 11.30am. At 11.30am, the food promptly arrived. It really helped us. The good service did not stop there, we continued our discussion after food and suddenly a plate of love cakes appear in front of us, it is on the house according to Mr Lalikumar. We felt well taken care of and our tiredness all wash away. It just made our day. Thank you to Mr Lalikumar at The Courtyard, Fullerton Hotel. They have top grade, out of the box thinking staff."
Breakfast by the river,They have a large spread with a good mix of international and local delicacies. The ambience is pleasant with indoor and outdoor seating. Highly recommend the outdoor seating by the Singapore river for great views of the business district skyscrapers and other heritage buildings.
Great ambience!,"The ambience, customer service and menu variety at Courtyard Cafe was immensely impressive! We had the seafood hor fun and Hainanese chicken rice."
Lovely Afternoon Tea,elegant environment with soothing harp performance during the Afternoon Tea. service was prompt and food was enjoyable. complimentary chocolate cake for the birthday girl.
High-tea,My friends and I went for the traditional afternoon tea at the Courtyard. Fantastic high-tea and service! Will definitely revisit. Ambience was also great. The savouries were really delicious so worth the money.
Excellent service!,"Savoury dishes in the high tea were delicious. Always like the ambience at The Courtyard with its open space and high ceilings. Tables are not too close together too, which is nice. Service was excellent - very attentive and prompt. Felt very well-taken care of. Really appreciated it and thoroughly enjoyed our gathering."
Excellent High Tea,"We had an excellent high-tea as a family. Mr Lalit Kumar was of great help to make our entire high-tea experience, a fun and great experience. It was a delight and all our dietary options were well catered for!"
Birthday high tea,We celebrated our friend’s birthday at the high tea and Lalikumar provided great service! The restaurant provided a slice a birthday cake as well. Will definitely come back again! Thanks for the lovely experience!
"Going beyond service , Mr lalikumar of Courtyard","We will like to compliment Mr lalikumar for going above and beyond in his customer service. His attentiveness and making us felt like home, giving professional recommendation does give an unforgettable first impression of fullerton :) kudos to him and his team for going the extra miles."
Afternoon tea set at The Courtyard.,"Most amazing service! The food (transitional afternoon tea with handcrafted pastries) with the high tea set along with the harp playing in the back ground, makes for a fantastic experience. The Thanks Lalikumar and team! Will come again ☺️🤩🤩🤩"
Lovey Afternoon Tea,"We took my daughter for her 16th Birthday for afternoon tea at The Courtyard and we go every year.
Although they have changed the volume of the Afternoon Tea (no free flow unfortunately), the staff there really are welcoming, very attentive and cater to our mix of vegetarian, meat and Pesci requirements without hesitation.
Always a friendly welcome and a place where you don’t feel like you are rushed to leave.
Will be back for sure!"
Excellent service,"Thank you for customising the experience for my friends and young daughter. Super good service too, Lalikumar and the team. We really enjoyed ourselves. The vegetarian high tea set and tea/coffee recommendation were excellent"
"Classy high tea, elegant setting, top notch service","A lovely way to spend an afternoon. The Courtyard at Fullerton’s high ceilings and skylights make for a wonderful setting. The tea is of good quality and the service is outstanding. Kumar, John, Johnnie, Daniel and the lady who seated us were all excellent."
Wonderful time at Fullerton’s afternoon tea,"I went for an afternoon tea on my birthday with my parent at Fullerton Hotel, and we were impressed by their excellent customer service! The staff there were really welcoming and they made us feel very special. Thank you for making my birthday a wonderful one."
Birthday hi tea,We had a wonderful high tea experience. LaliKumar was really attentive pleasant n professional attending to us with such grace n care. We shall certainly come back again for more memories n treasure the moments. Thank you. Lambert Yeo
Excellent dessert and super friendly Staff Fabian,We had tea time in Fullerton and the dessert was amazing! Great ambience and we were amazed by great service from Fabian and his hospitality ! Definitely will go back soon! Thank you very much!
Celebration of birthday,"Wonderfull experience with super friendly staff❤️
Hightea set are adorable and super pretty.
Recommend the sakura sakura tea very fragrant❤️
Thanks Laili kumar for the warming and friendly services！
And also free gift to us
Thumb up and we enjoy our girls time here"
Best service restaurant!,Excellent service and food! Came here for a birthday celebration and the service by Albert and Lailikumar really makes our day. They are very accommodating to our special request diet as well. Thank you The Courtyard!
Great location & Nice view! Family & child-Friendly hotel in Singapore!,"Lunch at the French restaurant inside The Fullerton Hotel with my family. Nicely decorated and beautiful setting. It is spacious so we didn't feel crowed and sat comfortably at our table. The staff was nice and helpful. They explain the menu to us clearly. We were afraid that there wasn't much food that the kids would enjoy but luckily, they do have the kids menu available and they loved it very much. Overall it was a great lunch date and beautiful view especially the historical building. We took a walk and cross the bridge outside of the hotel to the park on the other side. It was very relaxing. Highly recommended if you are looking for a comfy and spacious place for dining!"
Experience the Fullerton,Worth going just to enjoy the ambience of the Fullerton Hotel! Such a historic building. Was very formal & lots of business meeting for a family to go but enjoyed the experience.
Wonderful service at The Courtyard!,I had high tea here with friends today. The food was excellent. The ambience was great. I must say that the hospitality we received from the staff was amazing. Big shout out to Lalikumar and Albert. They were very warm and helpful.
Enjoyed the service. Food could be improved,"Happy to be served very warmly by Latikun. Fabian was also smiley when servicing. The lady staff who ushered us from the entrance to our table was comparatively not friendly.
Food wise, staff was generous in offering to refill our trays. Selection is sufficient. However I minus one star for the freshness of the savoury treats. The bread/bun/toast were hard and chewy. I ended up not eating them :( otherwise, I enjoyed my visit!"
Staycation at Fullerton Hotel,Had a wonderful time at the Courtyard. We celebrated my sister's 50th birthday and my niece's success in her admission to Uni. Mr Lalikumar and Mr Fabian are v hospitable and thoughtful. They looked after tummy and thoughts well.
Staycation at Fullerton Hotel,Fabian and Lalikumar are two very friendly and approachable managers. They make the hi tea experience a memorable one. Food and drinks here are great too! Desserts were absolutely delicious. Chef kiss! Would definitely come here again and highly recommend it to family and friends!
The Courtyard @ The Fullerton Hotel,"Brought the family for the Afternoon Tea and what we got was the amazing service and food, highly recommend the smoked chicken in the wafer cup. The managers and staff were extremely friendly and incredibly helpful. Had a blast 10/10 experience."
Oriental Flavours Afternoon Tea at The Courtyard,"Good and peaceful ambience. Pastries are tasty, and refillable. Tea is unlimited too. Most hotels do not come with refillable and wide selection of teas. This is why we choose the Fullerton. The staff are friendly, especially Mr Lalikumar. He came to every tables to ask if the food is ok. Overall, strongly recommended to have the afternoon tea at the Courtyard."
Dining at the Courtyard,Lailikumar and his team did a very good job during our afternoon tea seating. The food service was prompt and attentive. The restaurant is clean and well managed. Great job to the team for their fantastic service.
Friends forever.. 🙌🏽,"It was a lovely hi-tea experience with my buddies at the courtyard today. Was a pleasant surprise to meet Madam Pamelin Ho, your Group Finance Director, shared some background of the postal services and that the hotel was the zero mile location in Singapore. We will be back soon with family and friends. Thank you for the excellent service rendered by the courtyard staff."
Good service and quality food!,Had a great time having lunch with my family. Service staff was attentive and made us feel comfortable and welcomed. Food quality also met our expectations. Overall had an enjoyable time there. Will go back there again.
High Tea at Courtyard,We have a great time at Fullerton Hotel High Tea for Easter celebrations. The service and ambience is impressive. Special thanks to Mr Lali Kumar and Mr Ramli for their warm service and we look forward to come back soon
High tea,"Service is 5 stars,staff were very attentive and efficient. My friends and myself has been comming monthly since Dec'21 till date. Food is nice.

Would like to mention Lalikumar. Despite wearing a mask, we can see his smile behind the mask. His passion in providing the best service for the guests. Thank you for the best service that we always experienced when we come. We always look forward to our high teas not only for the food but also the excellent service."
Courtyard afternoon tea,"Staffs ( Lalikumar and team ) are friendly, helpful and with very good attitude towards their jobs. Good ambience Would highly recommend this place And would definitely revist again @@@@@@@@@@@@@@@@@@"
The Courtyard Afternoon Tea,"Great service, Good Ambience highly recommended! Favourite afternoon hideout !! Thank you for the great service Mr Lailikurma and team :) Will definitely come back again !!!! @@@@@@@@@@@@@@@@@@@@@@@@@"
High tea,"We were served by Mr Lalikumar, and his service is excellent. Another waitress, Ms. Christine, was very kind to offer to take a picture of us for memory. We were given a complimentary picture by the hotel. Thank you. We will patronise again."
High Tea,"Good food, cosy environment! We are very please with Lalikumar friendly, helpful and cheerful service. We are strongly recommend friends to visit again. Great service from Christine too. We understand that the cafe will change menu every month, we Looking forward for new menu☺️"
High tea,Lalikumar is very nice and helpful person. His service is excellent and because of his service we will be back again. Christine is also a very nice and helpf girl. . The ambience here is good and high tea is good.
High tea,"Lalikumar is very cheerful, helpful, friendly and excellent in customer service I ever experience! Well done and keep it up Lalikumar! HighTea is awesome, good for companionship n enjoy the atmosphere here in Fullerton Hotel!"
A wonderful luxury high tea experience - Vegan version,"The savoury snacks were an absolute delight. This was no half hearted attempt at accommodating dietary choices. The snacks were innovative and flavourful.

The desserts were melt-in-the-mouth good. Valrhona chocolate mousse was the highlight.

The service was extremely good. I got great tea recommendations from the manager himself. The waiters were cheerful and discreet and kept bringing snack refills without disturbing our conversation."
Amazing Afternoon Tea,"We really enjoyed the Purple Afternoon Tea! Delicious food, very reasonable prices, lovely atmosphere. The team is also super kind! Best part is that the food and the tea was free flow! Will definitely come back :)"
