topic,review
Average food at high prices,"Nothing wrong with the food…we had a small meal of butter chicken ( good), sag ghosht (good) and Kashmiri pilau rice (too sweet) with tea on the side. Bill was S$ 106.
It would have been half that price in our local in London and similar or better quality.
Singapore has got beyond itself in pricing levels. Singapore no longer offers good value for visitors."
Great Indian food gluten free,"Great staff, friendly service, knowledgeable about gluten free options. Tasty food, bit on the pricey side, worth a visit though."
Unnecessarily Expensive!,"The two of us ordered two veg starters, two veg mains, two breads, and a salad and paid $110 for the pleasure. The food was just okay ... not awful but not memorable either, just very mid-grade. Subsequently we ate at two truly classy and gourmet restaurants (Peranakan and Chinese) ... we ate our fill of mind-blowingly delicious dishes at these two places and each time paid just around $75 for two people! This tells you that even in today's Singapore (and today's out-of-control inflationary environment) it is possible to eat well for a reasonable price. But not here!"
Quality Indian dining in lovely outdoor terrace setting,"High quality Indian food in lovely outdoor terrace setting. The prawn malabar masala and paneer makahnwala were both exceptional. I’ll stick my neck out on this one and reckon that was the best garlic naan I’ve had outside India too. The complimentary starter was also delicious.

I booked this for my husband’s birthday and was so glad I did! He was spoilt with surprise cake and bubbles by the lovely staff - such a nice and unexpected touch. Apparently the outdoor area has just been renovated with new furniture - it looks great. It’s covered so no issues with rain. Highly recommend for top-notch Indian food."
Authentic Indian cuisine!,"Authentic Indian cuisine in a hidden walkway. Super friendship staff, all dishes were fresh, well seasoned and good sized portions. Certainly not inexpensive ($150 CDN for 2 people for 3 fishes and 3 drinks), but the location is fun and the staff really make you feel welcome."
"Best around, good service, but food average","Hi, found this place while staying nearby on a business trip….. friendly and welcoming service, decent menu selection, convenient location.
I have to say that probably gets a 4/5, but the food was quite a disappointment. Nothing wrong with it but it was very bland and average. The flavours were not stand-out and it was just a bit boring, the lamb was a bit on the tough side.
I did actually go back another day because the location was good and I have to say same experience, good friendly service but food was just average. The fact I went back another day shows there really wasn’t anything bad about the food, but it wasn’t a meal I will remember.
If I was in the area I might go back, but I wouldn’t travel any distance or time to go here again."
not disappoint.,Came across this lovely indian restaurant on a recent trip to Singapore. Great customer service. Friendly and attentive staff with the added extra personal touch from the owner. Highly recommend this place.
Excellent meal & service. I will definitely be back,"Excellent Indian restaurant, great location too. Plenty menu variety and wide variety of selection. Reasonable pricing, excellent service overall. I will definitely return on my next visit to Singapore."
First visit and totally impressed by the service and food.,"We were randomly walking around seeking dinner and chance upon Curry Culture. Warmly welcomed by the manager Amar and we decided to give it a shot. So glad we did.

Great food recommendations by Amar when we weren’t sure what to order. Food is so flavorful, super delicious! We polished up our plates. That’s the best testimonial. (We had chicken tikka masala and clay oven fish, along with some Naan)

Will definitely be back to try another house’s favorite - Butter Chicken. ❤️"
"Good food,good behavior, high price","Location: Good, Cuppage road, 10 min walking from orchard road.
Sitting: Casual, open area, with other restaurants sittings around, seperated by low height temporary partitions, music playing around.
Food: All dishes ordered were good in taste.Potion sizes were less.
Price: High. We got exactly similar bill in other Indian fine dining restaurants.
( Awadh is bad, and, not fine dining).

I have mentioned Awadh because it is very near to Curry culture. If you want to dine at Orchard/ Cuppage, then Curry culture is much better than Awadh.We did not put in effort to locate other Indian restaurants in this location."
