topic,review
Great bar,"We have two great memories here. The first was our last night out before all the COVID lock downs. And the second was tonight for an after dinner drink. The bartenders Bob and Jes were exactly what you want from from a bar tender - good conversationalists, good recommendations and a little fun without being intrusive. Hats off to them and their great drinks."
Casual dining with good food and flawless service,"Had a casual brunch at this restaurant with our visiting friend from the UK. The service was prompt, efficient and friendly. We ordered poached eggs on salmon and spinach and cheeseburger with side fries. Light, tasty and just the right portions for lunch. The service was flawless. Ulli, the Operations Manager, sent a thank you email for our visit. This was unexpected and was a nice touch to what was already a wonderful dining experience."
Unique ambience,"Nice starters: angel hair with black truffles, crispy salmon sushi, scallops with truffles.

The mains of sesame crysted sea trout, wood fired tiger prawns were very nicely done too. The grilled octopus and the bacon wrapped SRF pork chop was ordinary - bacon was generously provided and apricots were sweet and interestingly made.

We were served a complimentary dish of samosas with minced chicken filling and herbs. They were delicious.

We tried the desserts of blueberry basque tart and Flaming Rose Alaska. These were the must try because they have a great balance of textures and taste.

Ambience of restaurant was cosy, set in a colonial high ceiling house. Service staff was not obtrusive and always within reach."
Pricey,"This being a celebrity chef restaurant by Jean Georges + under the Como group, prices are not low. $65+++ for set lunch Simple crab meat on lettuce to start. Dry burger. Average bluebery tart Service is good though"
Old world charm restaurant with new world cuisines,"Outstanding dinner from the starters till the dessert, and also the wine! We had the Crudo-ceviche and kale & broccoli salad. Followed by delicious orecchiette (pasta) with scampi and kale and also the delicately cooked pork chop with smoked chili glaze and asparagus. Finished with the refreshing sorbets and a pie. Total cost for 2 persons including one bottle of wine S$314."
Public displayed of affection,We came to celebrate our anniversary here which the place is very romantic elegant and classy. Service are excellent and food are amazing. Excerpt the manager I can tell Russian or German that make us uncomfortable as he is mingling next table with us. He gave that 5 star service to that table not to everyone. I can tell seems like a couple as too much affection to show. And when the bill comes the friend of the woman insist to pay and he said he take care of it and she insisted to pay and said he didn’t key inn and nothing to worry.
Wonderful dinner!,"Enjoyed the Dempsey experience! Table outside, great service, tasty food. The pasta with crab was divine. Interior is very original!"
Portuguese Wine Pairing Dinner,"I went here for a curated Portuguese Wine Pairing Dinner by Wine Adore. The food was incredible, each dish carefully paired with the wine. The team were very knowledgeable and explained each dish and the wine that accompanied it. It was my first time in this restaurant and will definitely be coming back!"
DC Experience,"A great place to celebrate our anniversary. A lovely setting, excellent food and attentive service. We could not have been happier with the experience."
Outstanding brunch.,Outstanding brunch. Wonderful convivial atmosphere created and led by the GM Balthazar who has done a wonderful in creating a fantastic environment to have a relaxing brunch. The food was sublime and the cocktails were amazing! Will definitely be back. Highly recommended.
