topic,review
"Treat yourself to cake and coffee, be happy.","Every business you enter makes you feel a certain way. When my family and I walked into The Fabulous Baker Boy we felt welcomed and relaxed. Once we sat and ordered our food and drinks we had a look around the shop and were instantly tempted by the deliciousness of the mouth watering cakes on display. The hardest part of experience was choosing which cake to have. Highly recommended for everyone who enjoys great food, coffee and awesome cake in a lovely space.
We’ll definitely be back.

Charlie"
Bandung and Lychee cake is so good!❤️,"We had all our favourites last night, the beef rib was excellent, fall off the bone succulence. Thoroughly enjoyed the seafood pasta dish with crayfish. Tried the new Bandung and Lychee cake, it was so light and fresh with real fruit and a delicate note of rose, loved it, ordered one whole cake for my sisters birthday!"
Must Try For The Cakes,"First time at the new location at Aliwal Street. Lovely place with delicious cakes. We ordered the Keanu Reeves (lemon with cream), which was super light and tasty, as well as the carrot cake, which was excellent. They have a less sweet version of the carrot cake called Hummingbird. Do also try their cheesecakes.

The fish and chips was also pretty good. The fish tasted fresh and the batter was light, if a tad oily. The fries were done just right.

We will definitely be back. Service, especially by Q the petite lady server was excellent."
The best almond croissant!,"Had a great piece of cheesecake and a very good cafe latte at the cafe then picked up some bread and pastry for the fridge and freezer yesterday. Broke up the big loaf of sour dough (yes they will slice it for you) into smaller packages. Cling wrapped and froze. Kept 2 almond croissants in the fridge for our breakfast today. Heated up oven 170 degrees (oven toasters would work too) popped them in for 10mins and had the best ever almond croissant! It was light, flakey, almondy, buttery, ate every last crumb! Well done Fabulous Baker Boy!"
Obnoxious service,"Nothing Fabulous about this place. It has got to be the rudest and most obnoxious “manager” ever encountered along with terrible service. They took 15 mins to put together a latte to go and then forgot to pack the chocolate cake. The “manager” who stood behind the payment register (3:30 pm on Sunday Aug 29th) when told by me, that his staff is a little confused and if he could clarify that I had ordered a cake, kept yelling “chill chill” in a raised voice. It seemed like he was talking to himself. He refused to give me his name so I could write to the concerned owners and bring this their attention. He also turned away 2 groups of people ahead of me for no reservations despite four tables empty. I won’t comment on that since I don’t know their policy. But net net the cake and coffee will never offset rude, obnoxious and ridiculous service. Avoid until they can get the right people in place."
Fab Food for Fab Company!,A lovely diner nestled in the Kampong Glam arts and heritage district. An ideal spot to chill-out or for good conversations.
Fabulous Baker Boy,"Friday March 12th I arranged a Walk to Coffee/Cake Morning for a group of friends.
We had heard about the new venue and wanted to check it out, we figured if we walked first we could justify the calorie intake

We booked a table for 8pax and were greeted very warmly by the staff.
They were extremely friendly, informative and helpful, giving us full descriptions of the menu and even patiently taking group photos for us!

Juwanda, owner, came over to chat also which was a lovely touch! A great guy with a fun energetic presence!!

We ordered several different cake slices which were all delicious, and several ordered extra slices to take home also.

We all rated this Cafe 10/10 and will definitely be returning.

Note: They take orders online and deliver!"
Final visit in early July,"I came back here for a final visit in early July, a gap of some 4 months since my last visit in March. Unfortunately this was for the last time as the Baker Boy is all done for now.

Opted for the carrot soup and the fish and chips with some cake shared for dessert. Surprisingly busy for a weekday lunchtime, but understandable given the imminent closure. Hopefully they will find new premises soon and start again!"
"Final Dining @ FabulousBakerBoys, Fort Canning","I would like to give an excellent rating even though FBB is open for 3 weeks (since it was closed over pandemic) . I have been a follower and occasional diner. FBB never fail to impress me - their food, desserts and the atmosphere. Gonna miss FBB at Fort Canning big time.!"
Not nice,"Oh wow. I don’t think Covid is why this place is closing. I think it’s because the food really is rubbish. Chicken & Waffles was really dry, Garlic fries with Truffle Mayo came with what seemed like a plain mayo - maybe it had a drop of truffle oil. Fish goujons weren’t nice and the Laksa Prawn thing wasn’t nice either.

I mean usually some places are hit n miss and out of 4, your get maybe 1-2 tasty dishes. But I’m sorry to say that this wasn’t the case.

Rumour has it that this place is famous for cakes, but I didn’t bother staying to try."
Please don’t go!,The food is always great and doesn’t disappoint! I went two days in a row with different people and plan to go a few times more before they shut in July. I really hope the restaurant decides not to shut or at least be able to find another location. This has always been our go-to place that encourages us to walk/run to Fort Canning and treat ourselves to a yummy meal thereafter!
Hidden gem,"We spent the morning exploring Fort Canning Park and then stumbled across this cafe for lunch. It's quite small and the ordering system is odd, especially when the staff offer no explanation. Once we worked out how to order, the meals were delicious. Staff could be a little more friendly."
Tasty food,"I came here for some afternoon tea in Feb and then visited again in March for a lunch. The food was really very good quality, and the free-flow bread an added bonus. You definitely won't walk away hungry from here after lunch."
Good food but very noisy,"We came here one day for brunch at the weekend but we had not reserved a table, but they managed to get us seated in 10mins, I'd highly recommend reserving a table.

You order by ticking a menu sheet, then the staff collects (or you take to the till?) and present you with a receipt and then you can get up to pay. However, we did not have any menu sheets or pencils, but our waitress did this for us quickly when I flagged her down.

I had the French toast which was amazing, like deep fried bread encrusted with cinnamon sugar.

We found the restaurant incredibly loud and deafening and were unable to have a conversation without shouting. The restaurant was 80% full but equally it may have been the walls, amplifying the sounds."
"Decent carrot cake, overpriced coffee","The Fabulous Bakery Boy is a cute cafe that serves up breakfast, lunch, coffees, tea, and cakes. I went specifically for the carrot cake, and it was certainly quite tasty compared to other slices you can find in Asia. It was moist and sweet, but could have used more spice. The iced coffee I got on the side was very pricey, and I would recommend sticking to the cakes."
"Good food, terribly unhelpful and unfriendly staff","If the staff is accommodating enough to let you in and help you the food is pretty good. But they generally have a lot of ‘reserved’ tables empty and won’t let walk ins even for just a coffee. They are rude and just say need reservations. Typical Singapore customer service, empty venue but don’t seat people. Seems easy to say here is a table but you need to be done in an hour for another customer. But that would require someone to make an effort."
Great cafe near Fort Canning,"Great cafe near Fort Canning MRT station and on the edge of the gorgeous Fort Canning park. They do all their own baking, the coffee is excellent (if quite expensive at $6.50 for a regular flat white) but food is high quality, fresh ingredients, made with love and very good value. Nice low-key vibe, good place to come to for a chat with a friend or to chill with a book or magazine."
A MUST!,"We went there for Breakfast, and it was very delicious & tasty! The pancakes are a MUST! The staff are really nice."
Over rated,"Nice location but not as good as some say. Ordered two full breakfasts and pancakes. Both breakfasts were cold, with soggy cold roast potatoes. The only thing that was hot where the poached eggs. Clearly good quality ingredients but cooked badly.
Also very small cups given for tea and coffee. Generally average and expensive."
"Good food, but slow","Always enjoy eating breakfast here. There is a good selection of indulgent vs healthy items (the French toast is more like a sugar-covered donut). But for our table of five, our orders came out one at a time even though we ordered 2 of the same items. If you have hungry kids, it doesn't really work out well if they get their food one at a time."
"Nice ambiance, fast service and nice food",Service is fast and responsive. Have quite a number of cakes choices and the food is nice also. The restaurant has a nice surrounding.
"Great location, Above average food, Overpriced drinks","Location was great, within a closed compound where kids can run free on the lawn in front. Food was above average, tasty but nothing to write home about. Cakes were fabulous, just a tad sweet. Drinks were atrociously overpriced. $8 for a small cup of hot chocolate, and $6 for a small long black. I’ll bring my own coffee next time, thank you."
Waiting time too long !,"Waited almost 45min to be served and finally end up with sharing every dish that came one after another.
Staff seemed not very concerned about the waiting time, the manager neither !

Food was OK, didn’t get the chance to try the Pancakes as staff told that there were 20min waiting time !"
Delicious cakes!,The cakes were moist and not too sweet! It was a beautiful burst of flavors for each cake. Each one has its own unique taste! Will head back again for more!
Average food in a different location,"A different location at the River Valley Rd side of Fort Canning park. The entry was tricky to find as there is construction before it and the fences make it difficult to see the entry, which is on a busy thoroughfare road. The food was ok, my daughters grilled cheese sandwich could have done with far less oil/butter on the bread as it ended up very greasy. My eggs bene with smoked salmon was good and the Hollandaise sauce had a good lemony tang. The accompanying rosemary potatoes weren't good, tasting metallic and dried rosemary was used, rather than fresh, which contributed to the flavour issue. I left most of them on my plate uneaten. My daughter rated the Valrhona hot chocolate as the best she has found in Singapore. I concur. The cakes looked fabulous, but we couldn't eat any more so didn't get to try any of them."
Fantastic Breakfast,"Really amazing eggs benny, to go with great staff and service. Was a perfect breakfast with friends."
Not recommended for breakfast,"The location and service were nice. But we were very disappointed from the food, especially because of the high prices. We had a granola with yogurt that was tiny. We also had french toasts, which I really don't recommend. It was deep fried, too sweet (and I like sweet), I couldnt even eat a half of it.
Maybe the cakes are good, we didnt try, but the breakfast was really not good. We left hungry and with a big bill to pay."
