topic,review
Delicious food,Foods and beverages are delicious. But need to be careful of the bird which will try to rob food....
Great Ambiance,Halia’s customer service is great! Thank you tho we changed our booking timing. Love the ambiance. Food was great!
Average food but ambience is good,"Food was so so but serving was quick. Table was dirty. The fan and ceilings lights placement makes it alittle giddy. The light shadow on the table flickers. Receptionist is friendly, patient and observant. Unable to locate toilet. No signs. But ambience is good. The greenery surroundings makes it a good location for dining."
Don’t bring guests to entertain here,"I had guests from Hong Kong visiting me and I thought long and hard where to bring them to a nice halal restaurant. My wife suggested Halia . I agreed because we have been here several times and we’re quite satisfied with the food and ambience I thought it would be a great place to bring my foreign guests.

I must say this , I refrain from writing negative reviews but I think I have to share my experience.

I will start with a commendation first , the staff was good . friendly ,and I can see they were trying their best. however the food is extremely disappointing.

Firstly I booked a 7pm slot for dinner and my guests wanted the tomahawk to share. it was sold out, then he wanted a ribeye - also not available. I was getting irritated I mean it’s the start of dinner service and you have ran out of things on your already sparse menu?? It’s embarrassing that my guests had to settle for other cuts or food which they didn’t really want. how can I possibly ever bring my foreign guests who just want to have an enjoyable time here for dinner ever again? I suppose Halia is an ok place for family and friends but if you need to do proper entertaining of guests please, I don’t recommend you bring them here. I was really embarrassed. The medium rare tenderloin was also not properly done and the meat was tough. I didn’t complain there and then , because I didn’t want to make a scene and ruin the evening for my guests. The rest of the food was also really sub par .it’s honestly mediocre quality food for a place which is supposed to be a nice place to dine. I’ve been here before but standards have really dropped. I’m quite upset at how the restaurant has embarrassed me with their menu items and poor food quality. Halia is just a glorified overpriced cafeteria with polite staff. I will never forget how Halia embarrassed me in front of my guests todaY"
"Fine-dining prices, cafe-standard food","Halia is set in the very beautiful Botanic Garden, which raised hopes for a good dinner. Unfortunately, it was not meant to be. The servers were distracted and service was not polished. The atmosphere was too racuous for the fine-dining prices Halia charged, and the decor looked rather too casual as well. On top of that, the food was not stellar. My slow-cooked lamb loin consisted of two small squares of ordinary-tasting lamb and cost $48. The ribeye was $76 and you could get better quality beef at one of those budget chain steakhouses.

A regret."
Birthday dinner on 7th Jan,"Would like to commend the staff for the attentive service. Thank you for remembering my request and surprise my friend with a birthday dessert. We especially enjoyed the mango prawn salad, truffle fries and paper baked halibut."
Corporate lunch,"Attended a corporate lunch - 3 courses; 1 starter, 1 main and 1 dessert.

Had the lemongrass and ginger prawn salad which has mango, tomato, glass noodles and ginger flower dressing which was refreshing. The serving was generous.

Had the salmon fillet with asparagus, pearl cous cous, Yuzu, coconut, soft herbs. Salmon cooked to the right doneness and the coconut taste was different in a good way.

Didn’t include in my photo is the dessert which is a seasonal scoop of ice cream.

Will be back to try their full menu."
Quite a disappointing experience,"Been to Halia Restaurant a couple of times and this is the worst by far. We ordered Wagyu steak and requested it to be 'Medium Rare' but it came close to 'Well Done'. It also taste like a regular steak.

Items are rather pricey perhaps due to the location but do not expect food or drinks to be anything better than a regular chained restaurant.

Don't think we will come again anytime soon."
bland,"the food was fresh but it was rather bland and extremely.. meh and disappointing. chairs weren’t that comfortable. service was so so. outdoor seating didn’t have strong enough fans to feel cooling in such hot weather. overall, just way way overpriced for this level of subpar mediocrity."
"Great ambience, excellent food, wonderful service.",A gem of a restaurant. Excellent food in an equally excellent setting. Lovely cool December weather; great menu selection and quality servings with service to match. A plus that it’s Halal certified too.
