topic,review
Excellent service provided by the service crew.,"Abigael, charmaine, edgar and the rest of the crew provided excellent service sincerely and with passion. They serve all of our requests timely and we could see their sincere smiles through the masks. Menu were explained thoroughly and the membership for the fullerton club was introduced. A truly enjoyable breakfast experience made by the service crew! We will come back just for them!"
Lovely dim sum lunch,"Had a lovely dim sum lunch at Fullerton. We were attended to by Yvonne, Amy and Alson, and service was impeccable. Food was great too, and 15 dishes is definitely more than sufficient! Will be back again for another occasion!"
Worth a visit!,"Great food and service. Ordered the Michelin Guide set menu and every dish that came was surprisingly good and refreshing, especially the wagyu beef and fish! Service was tiptop as the restaurant staff will explain the details of each dish and make sure you’re okay with the food."
Anniversary celebration didnt disappoint,"Can't beat the view and atmosphere and the service has really improved past couple years... we tried the Merlion and Temasek cocktails, worth a try"
Amazing service!,We managed to finally booked a table at The Fullerton Lighthouse Restaurant during our stay. The view facing The Singapore skyline was just perfect for the evening drinks. Rey and Andy were so friendly and attentive to our need. Definitely will come back for the view and the happy hour!
Great Experience,"Loved how friendly and professional the staffs are. Justin was at the door during our entry and when we had to wait as the staffs at the check in counter were busy, he rushed over and served us immediately. Detailed explanations and assisted with booking of the rooftop bar - The Lighthouse.

At the Lighthouse, we had a lovely view of the entire Marina Bay, we especially loved the day to night transition (~6:30-7:30pm). We also had a few great chat with Ray! The food was splendid too! We will definitely be back again.

The only things which bumped us slightly was that the washroom in our room had a light stench and the standing shower wasn’t working. But these didn’t really mattered much for us as we were using lush and it perfumed up the washroom. The bathtub also had a separate shower head which we used. Overall, a great experience at the Hotel."
Last meal before circuit breaker.,"We visited The Lighthouse on 3 April just as Singapore was stepping up it's COVID19 measures. On 7 April restaurants closed.

There were very few guests the day we visited and the staff were amazing. The were implementing safe distancing and other measures in a subtle and friendly way.

The food and the service were fantastic and the view is really special. The restaurant is quite small and feels exclusive and luxurious. The staff make guests feel incredible special. We look forward to returning when the restaurant re-opens."
Our delightful dining experience here was the perfect ending to our wonderful 40th wedding anniversary Asian adventure.,"From 28 December 2019 to 14 January 2020 my wife and I organised an interesting private 18 day tour, best described as an Asian smorgasbord of familiar and new places, to celebrate our 40th wedding anniversary. Beginning with Hong Kong then Macau, the adventure continued to Taiwan and Laos, and then culminated with a three night visit to Singapore staying in the renowned Fullerton Hotel for our anniversary proper.

Our three nights in the Fullerton far exceeded expectations and the Hotel lived up to its huge reputation as one of the truly great Asian hotel experiences. On the afternoon of Sunday 12 January, our actual anniversary, we had just enjoyed a most fabulous Sunday Champagne Brunch in the Hotel’s Town Restaurant and we decided we wanted to follow this up the next evening with a trip farewell Dinner at the Lighthouse Restaurant and Rooftop Bar and check out their Italian fare.

I am always particularly interested in understanding the history of places we visit. How fortunate then that this Restaurant’s printed menu gives the genesis of the Lighthouse Restaurant making for interesting reading. It has been aptly named because a Lighthouse was installed on the rooftop of the Fullerton Hotel, 50 metres above sea level, which was turned on for the first time on 14 December 1958 to guide ships ashore from more than 18 Nautical Miles (33 kilometres) out of Singapore. It replaced the then 103 year old Fort Canning Light on Fort Canning Hill which was gradually being blocked by the City’s High rise buildings. The Fullerton Light sat on a small concrete structure which today is the Lighthouse Restaurant.

The Lighthouse Restaurant and Rooftop Bar is located on the 8th floor and the rooftop of the Fullerton Hotel. Prior to having our meal in the Restaurant we went up to the Rooftop Bar for a pre-dinner drink, my wife choosing a French sparkling wine while I had a very robust red Italian wine. The “picture postcard” views from the Rooftop Bar of Marina Bay and the waterfront were simply stunning. They left an indelible impression on the mind. We arrived in time to see the transition from late afternoon to evening and as it got dark so the lights of the city began to emerge in all their colourful splendour. Complimentary nibbles were provided with our drinks.

The meal in the Restaurant was a real treat. We felt privileged to have been given a table by the window so we could continue to enjoy the Marina Bay waterfront by night throughout the evening. The food was beautifully presented and well cooked. For main course I chose “Giancia Di Manzo Brasata All’aglianico, Purea Di Carote, E…Liquirizia” ( Slow -Cooked Beef Cheek, Campania Red Wine, Carrots Purée, Liquorice) and my wife enjoyed “Spigola Acqua Pazza Indivia E Agrumi” ( Orbetello Sea Bass in Seafood Broth, Endives, Citrus Fruits). Instead of a dessert I had their “Formaggi “(Cheeses), one of the very best cheese boards in my view I have ever experienced, The variety of Italian cheeses and condiments provided was amazing. My wife’s choice of dessert was a very delicious and very colourful “Meringata Di Frutti Di Bosco” (Wild Berry Compote, Meringue, Vanilla Chantilly”. Complimented with a glass of French sparkling wine for the wife and a glass of Italian Rosé wine for me, this was a very lovely meal indeed. While waiting for our mains we were given very nice complimentary bread as a more than tasty meal starter.

The waiter service throughout the evening was first class with attention to detail and a friendly manner very evident. The décor in the Restaurant is pleasing and overall we had a very pleasant dining experience.

As we were heading home back to Brisbane, Australia, the next day, after 18 glorious days “on the Asian road” our dining experience at the Lighthouse Restaurant was the perfect ending to our wonderful 40th wedding anniversary adventure."
"Delicious food, with amazing views over Marina Bay.","After aperitifs at Raffles, we called at the Fullerton, & The Lighthouse for dinner, our window table overlooked Marina Bay & also gave us the chance to watch the evening light show. We enjoyed the lamb & lobster pasta with an excellent bottle of Sauv Blanc. Our desserts were delicious, & the serving staff could not have been more attentive, all in all a superb evening. We visited the roof top bar for a cognac & to further admire the incredible views. A wonderful evening & we shall certainly return in the near future."
Fantastic experience,My wife and I where so lucky to dine at a window table with an extraordinary view of Marina Bay. We asked the waiter for recommendation regarding the food and it was all VERY delicious. We where served by assistant manager Rey Zaldivar who made a great job making our evening very special.
Good view but food not good,"We like the environment of the restaurant, but the food quite expensive and tastes not meet our expectation."
Dinner with stunning views,"Ate here one evening for a light dinner, great music and atmosphere. Food was good and the wine excellent. Service was good and the place was busy. Would recommend"
"Nice venue with great views, good food and attentive staff","Went here for my birthday celebration and had a very pleasant evening.

Staff were friendly and welcoming, the actual space itself is nice - feels more initimate and not like a hotel restaurant (which can feel a little sterile at times).

Views are great, and you can go and appreciate a full 360 from the bar above too.

We went for four courses, starters were good (I went for burrata), followed up by angel hair pasta (wtih lobster) which was also a decent portion and with good flavour. The mains were quite small portion wise, I ended up eating two quite easily, the lamb was the pick of the two. Then a nice moment with a birthday cake at the end.

Service very good, and a decent wine list. Cost overall not that bad (in Singapore terms).

Will be going again!"
