topic,review
Best in town!,"This is my second visit. The buffet here definitely one of the best in Singapore, coupled with excellent service by Mdm New and Mr Nelson. Will definitely be back again soon."
Good food and staff,Friendly and helpful staff New and Nelson. They were thoughtful and cater to our needs. Went for our son and helper’s birthday celebration. The food were great with great variety to choose from. I
Kids Friendly Buffet,Good experience. My child enjoyed the food at The Line. Excellent service provided by Rachel. Highly recommended.
Fantastic Service Staff,Good food. Good selection Friendly and fantastic service. Especially from Mdm New Ms Ruby. Well done.
Great service at The Line,"Excellent environment and food. Commendable service from staff New who is fast, polite and has initiative to ensure our needs are met :)"
Amazing breakfast,"The breakfast spread at The Line is amazing. Many different cuisines and while the vegetarian options in some cuisines are limited, overall there’s a lot of vegetarian options as well. In fact they even bake fresh eggless croissants if requested.
The best section for me was the Indian cuisine especially the fresh Dosa and Uttapam.

Chef Ayyappa at the Indian section is super friendly and he ensures that you get the food exactly as you ask for. Even our young kids (both below 5 years) enjoyed the food cooked by the chef.

The one downside is that during peak season (we had visited during the Christmas holidays), there will be waiting to get a table so plan accordingly if you are visiting during peak season."
Fantastic Buffet Experience but with Signs of Deterioration,"It has always been wonderful dining at this establishment. You can always expect high quality food and service. The international spread was balanced and it's difficult to get disappointed by the variety offered.
The dessert station should be one of the highlights as it offered so many different dishes to choose from!

However, I am giving it 4/5 because there were some letdowns. A table was assembled on the spot even though I reserved it. The seafood selection and quality seems lackluster. Oysters weren't even offered. A fish dish (which I believe was grilled) was dry. There wasn't much gravy nor sauce to go with it. It wasn't trivial to uncover the pots (at Indian station) and find space to place the lids. And not to mention that those lids were really hot. Some handles were missing protective towels.

My experience was redeemed by the attending staff, Manoj New who had been attentive and went the extra mile to help us out on different requests. Thank you New!

I used to be more impressed by this place and it's a go-to whenever I want to impress my guests too. I hope the rough edges can be smoothened and it still remained as one of my top buffet dining locations!"
Birthday celebration,We went for dinner buffet to celebrate my hubby birthday. Great variety of choices available and kids friendly food choices available. Great service provided by Sarah and extra mile service for taking caring of needs of my kids. Thank you very much for the great service and good food! We will sure be back for more celebrations and occasions with The Line!
Great and wonderful,"Great atmosphere, wonderful food and staff. Been here for the third time. Every time experience just keeps getting better. Thank you Ruby, Ameen and Dolores."
Cute and lovely service,"New took care of our table and she was gorgeous, kind and helpful. Amazing selection of food, need Chicken rice next time. Thank you :)"
Great place to meet up with friends.,"Amazing spread of food. Love the desserts 😋 Great service. Very attentive, especially, LingLing. She reminded us to get our desserts before closely, which was the best part of the buffet."
Fantastic buffet lunch,"A big range of buffet options ranging from Japanese, Chinese, western, Indian. The dessert range was fabulous. Brought a friend here for her birthday and was given a chocolate cake. Great service too by attentive staff."
Great food and service with all the Singaporean hits!,I visited with my wife and 2 young children. The food and service was great - I am a Singaporean living overseas and visiting the Line allowed me to have a taste of all the best Singapore food which I missed (the kid-friendly food was a great bonus). The service provided by Brianna and New was exceptional and the food quality was amazing and we will be back the next trip!
Good start!,The service atThe Line was lovely this morning. We had a great breakfast and kind attention from employee New Samer who obviously knows all the ropes. Thanks everyone for a really pleasant start to our day! :)
Great breakfast and service,With so many choices and fresh food. We love the conge and fresh fruit. We also get food service from New and Samer.
Great service at the Line at Shangri-La Singapore,"While morning buffet breakfasts are typically a crazy and hectic activity with hotel guests rushing to have their meals, I had an lovely experience seated at Neu’s and Sameer’s section - they were so attentive, working very hard to quickly clear the plates for our next dish, and helpful to top up or recommend things to try.

I would love it if more Resturant staff were as attentive and hardworking as Neu and Sameer :) thank you for the lovely morning!

(Breakfast dishes are the same every morning for the 2 days I came down - might be nice to have least few dishes “new” for variety).

Overall, always a great experience at The Line Shangri-La Singapore !!"
The Line - Great Service,"The dining experience at The Line was awesome. Great food and great customer service. Especially to the lady named, New. She was always attentive to all our needs and very friendly. Thumbs up."
Good food and service,"The food is very good with amazing service, would like to mention Mr Samar for his attentive and good service. I liked the verity of every cuisine."
