topic,review
Happy Sat drinking,"Good environment, decent service and good list of wine and quite well going food with wine. Thanks to Aleksandra and Seungwan for my brilliant weekend."
It was the service!,"It was the service that makes me wanna comeback here. Staff are very attentive and accommodating. Thanks to Dhora, Noel, Aira. You did great! Will definitely recommend to my family and friends. keep up the good work!"
compliment,excellent service by Seungwan Kang. very attentive. made the experience very pleasant. friendly to chat with too.
Birthday Celebration,"Celebrated my brother's birthday! Everyone was friendly and soft spoken, especially Rhodora who tried to make the day special!
The food was great too. The lobster bisque was a tad bit salty but it doesn't take away from the fact that our experience here was pleasant."
Hi tea,The ambience is good and service is good. Food is nice as well. We enjoyed the hi tea very much. We will visit again.
Good food and Great Service,"We ordered the Wagyu beef burger and Club sandwich. The food was so delicious and. Kudos to all staffs especially Aira for the expectacular service! She was very attentive. Asked for extra condiments and for the take away of our food,she always come to us with a great smile and sweet voice! Very friendly yet super proffesional.
Will surely bring bak my family again!"
Yongxiang & John & Seungwan,"Seungwan is extremely professional and dedicated at work with service excellence. Yongxiang stayed back later as he had to wait for us to finish our wine, I'm extremely apologetic. Service is great here, i love the wine selection as well. John was very polite and served me my long black coffee. I absolutely would give 5-star rating to lobby lounge at Intercontinental Hotel at Bugis:)"
The lounge,Great atmosphere..it will be even best with live singing and playing of piano...the staff are friendly..
Drinks,"We are very impressed and extremely happy with Seung Wan for being so polite, friendly.. My Korean friend is extremely happy with Seung Wan. Thumb up for his excellent service."
Excellent service but food is average,"Excellent service by staff, Faez took time to explain the food served. Would appreciate if the scones were heated up"
Nice food and service,Everyone did a really great job. Food was fantastic. staff are very attentive and friendly. Thank you! will be back.
YOU HAVE MY 5 STAR!,"I have been coming here almost everyweek. And I would say that lobby lounge is my comfort place to go since im staying nearby. Chicken rice has always been my favourite! and have been ordering it everytime I visit. One thing I love the most is whenever I come, Dora would recognize me and make sure my table is taken care of. She would always take time to have small conversation to me and my friends to make us all feel welcome. The level of service and friendliness of staff are excellent! On my next visit, I would love to try the High tea that Dora has recommended. See you soon!"
Dinner at The Lobby Lounge,"While the food was decent, what stood out during this service was the warmth & care shown by Mr John Tan. He made thoughtful suggestions, was extremely attentive but never intrusive. By the end of the meal, we realised he wasn’t the only shining diamond. We wanted to make a repeat visit on the spot & even though he wasn’t working during our next visit, he took the initiative to asked his colleague Ms Dora to follow up. She shone as brightly as Mr Tan & made us look forward to dining in again at The Lobby Lounge (Intercontinental Bugis).

They have shown me what true hospitality is and will go far in any service industry."
Amazing staff and great food,"Great staff for being friendly and attentive, especially to the manager (DORA) who gave food recommendation and made our day extra special. Wagyu beef burger was amazing! I will definitely recommend and bring my friends again."
Exceptional environment with soothing services,"Ask for water, ask for power point to charge laptop, ask to change seats, ask for clearing of tables, everything is done with good services!"
Feedback on service rendered,"We were served by a senior hostess named Hani Lee tonight. She was very friendly and we had a wonderful conversation with her. We would like to thank her for her insights and experience about life as a foreigner working in Singapore.

We would like to add that one of the additional services she could perform is to serve as an ambassador to promote cultural understanding between guests and foreign service hostesses like her.

We would like to thank Hani for the service she rendered as well as for her friendship. We think she is a great asset to the hotel and would like to wish her the very best for her career.

Regards."
Great place for coffee and meetings,The Lobby Lounge is a great place for business meetings with a wide range of coffee selection and pastries as well as other dinning options. Compliments to Hayden Lam and team for the excellent service.
Refined Elegance,"The Lobby Lounge at the IC Singapore is one of the most elegant, refined and spacious eateries in Singapore. We visited after evening drinks in the Club Lounge. Hayden, the manger, has perfected the art of greeting and caring for his guests, as have the other staff who demonstrated the best standards of hospitality - gracious without being stuffy, warm while not crossing boundaries. A young Korean staff member had just started working in the Lobby and his enthusiasm added to the service we received. The Lobby Hamburger is not to be missed. The Negroni was expertly mixed. The atmosphere in the lounge allows for conversation without others listening. We visited twice during our recent stay and enjoyed the added celebrations to mark Chinese New Year."
Best service in the world!,"Have stayed at hundreds of hotels around the world, have never experienced such elite service anywhere.

Intercontinental Singapore is a level above, beautiful hotel and the staff take the experience to a whole nother level.

Hayden Lam in the lobby bar is an unbelievably friendly host, who makes your stay beyond anything you could imagine.

The check-in staff (especially Nora & Karen) make sure everything is perfect, and everything runs smoothly.

These people genuinely care, and it makes any stay very special.

Can’t wait to stay there again"
Thank you Hayden,Absolutely beautiful thanks to Hayden never had such good service anywhere in the world. Our son absolutely loves him and made our stay at the intercontinental hotel.
Enjoyable lunch,"We really had an enjoyable lunch at The Lobby Lounge. The food and service was excellent. Definitely will return again. The staff, Hayden, provided us great service with a smile. Thanks."
Fantastic experience of high tea in the Lobby Lounge,"I had a really beautiful and very personal experience at the Lobby Lounge on Chinese New Year 2023. The staff were so gracious and helpful, always attentive and pleasant, and the quality of food and tea was of the highest standard. The manager, Hayden, made me feel like a longtime friend and showed me the highest caliber of Singapore hospitality, explaining all aspects of the high tea menu and their cultural significance. I could tell that it had deep personal meaning to him as a local, and I absolutely loved it. I am eager to return. The hotel's signature heritage blend of tea was magnificent."
High tea,Very attentive staff and delicious food. Just needs a couple more savory items to balance out the sweet ones.
CNY dinner,Thank You Hayden and Hans for the amazing service at the lobby lounge SG at the intercontinental hotel today! They are really helpful & full of smiles today.
"Dinner at The Lobby Lounge, Intercontinental Middle Road","Food was great! Cocktail ia good too.
Hayden Lam, the assistant manager , was friendly and helpful.
Will definitely come back again!"
Great Ambience,My husband and I come here often for afternoon tea. Great ambience and great service here. Today is the first day of Lunar New Year and there is lion dance performance which delights all guests.
Pat C.,"Lobby lounge dinner at IC. Catching up with close friend. Good ambience, great food, attentive lounge manager and friendly service staff. Hope the IC management can soon add a local band, bring this great experience to a higher level !"
Very good service,"came to have high tea with my mom. there was some issue with a voucher, and the staff (named John) very kindly explained to us the situation. also sought help from the person in charge (named Sabrina) who helped us settle the issue and also clarified some doubts we had abt the membership/voucher. on top of it all, food was very good. while dining, a staff (named Dora) came to ask abt the meal and i thought that was a very nice gesture to ensure patrons feel welcomed. very very good service, and very nice scones :>"
A wonderful venue for a great simple meal,"Good food, good ambience and more importantly good service staff especially Hanis and John who were very helpful and attentive. Both tried heir very best to ensure we had a wonderful time during the meal."
Great service,Great service and good food at Lobby Lounge! Hayden was really patient and helpful in assisting with our requests and queries. Will be back again.
Exceptional service from NOEL,"We came here for afternoon tea, and Noel was so attentive and friendly yet professional.
I would love to visit here again to get a best service from professional staff like NOEL.
Thank you so much for the wonderful service!"
Fantastic Nonya Classic High Tea,"Items were very good and the service was of a high standard. Ambience is good and the setting has a good vibe.
Some of the best dishes are the Pandan cake and the mantou.
Highly recommend to come and try, and will be back!"
High Tea,The ambience and food were fantastic. The nonya theme was definitely refreshing and different from other places we have been to. Their signature pandan-coconut cake was
High Tea,"Very comfortable and beautiful space. Grateful for the attentive service!
Food portion is just nice."
Afternoon Tea,"The Afternoon Tea was amazingly filling. We had the vegan menu and the nonya menu. The scones were yummy, the desserts were delightful. The pular hitam cheesecake was to die for.
The staff were very attentive and helpful, making the experience even more wonderful."
Lobby Lounge,I had nice local food in lobby lounge with my friends. especially the burger and Laksa was nice. Also thanks to all the staff was kind and attentive especially Faez making nice drinks. thank you all for the great service! Love it
Thanks Haris! Wr have wonderful time,"Haris takes extremely care of us and make sure we have wonderful time.
The food is good, I Specially like the oysters.
Bartender lady is nice and cheerful. Lovely talk."
Another Great IHG experience!,We were served by Mr Hayden Lim during dinner today. The food presentation has improved from previousnyear (club icon member here) and Mr Lim's service recovery is top notch! Was surprised for the complimentary tea that he gave in response to the sandy clams we had.
Hi tea at lobby lounge,Great service from faez who introduced us about the hi tea and suggest us a nice tea:) will come again
Highly recommended,"Good service, friendly staff, great tea set with local flavour.
Relaxed atmosphere. Seats comfortable
LOVE it❤️❤️❤️❤️❤️❤️"
Eating at the lounge,"Ordered the Wagyu Beef Burger. Thick, juicy and a great blend of sweet and savoury. Ambience is comfortable, plushed seatings, low lights and great music."
Nonya High Tea at The Lobby Lounge,"Great service and ambience at The Lobby Lounge. For those who wish to experience a uniquely local-themed afternoon tea, this would be one to consider."
A great catch up with friends at Intercontinental Bugis Lobby Lounge,"“DELICIOUS FOOD! We ordered the Hokkien Mee, Club Sandwich, Lobster Bisque, Hot Earl Grey Tea and Hot Cappuccino . All were absolutely delicious. Hani, our great host, was super attentive, on top of it and provides personalised service by showing us around for table availability for selection. She made the experience perfect. She brought out our surprise flower arrangement to my friend and brought us anything we asked for. Would definitely come back to such a wonderful prestige hotel intercontinental well manage by IHG!” Cheers - Jason Yang"
Fantastic Experience!,"We tried the high tea: kids, vegan AND classic. All were delicious! The atmostphere was fastive, fun and relaxing. Hayden was really helpful, dealing with all our needs in a kind an generous way. Kids loved it, we loved it, can't wait to come back!"
Classic high tea,"Did not enjoy the food . It was mediocre at best. Not tasty and for the price charged, one would expect better quality."
Excellent service from Haris,Excellent service provided by Haris. Special made cocktail and tasty foods. Kudos to Haris and service team. Definitely will be back again.
Perfect,the most delicious oysters and in general all dishes in the restaurant! top notch service! highly recommend
