topic,review
delicious food and excellent service,"organised a post Chinese New Year gathering with friends. Loved the burgers,salads and coffees. Special thanks to Uncle John, Roselyn,Kane and Noel. Missed meeting our jovial manager Joe. Will visit again."
Best cupcakes,"Interesting way to present cupcakes. I don’t really enjoy cupcakes, but always enjoy having one from this restaurant because it is brings another dimension to the cakes."
Wedding Reception Dinner,"Really appreciate the cooperation and great service by Kannan and his team. They have made our special night, the reception dinner a dream to remember. The food was spectacular and our guests enjoyed them thoroughly. The cupcakes are a must order! Highly recommended to host your events here, as we would again for our future events. Location is also very convenient next to Tg Pagar MRT."
Amazing Intimate Wedding Dinner,"We hosted a small wedding dinner (~45pax) at TMP Downtown. Kannan (the Restaurant Manager) was really helpful and made sure we had settled all that we needed. He was prompt in replying and helpful in providing whatever we needed, and also continuously worked to help us maximise our value for money.

The location is great – high ceilings, spacious, and lots of greenery. The food was really good too and was better than expected. The service crew was friendly and helpful too. Everyone really enjoyed the food and it was all around a great experience.

Would recommend!"
Business Dinner,"Ribeye was fantastic, seasoning was on point, salmon appetiser was great, pistachio (i think) log cake was awesome too."
Great food and ambiance :),"Extremely recommended as the food were delicious, value for money is a 100%, atmosphere is awesome, location is good and easy to find :)"
Almost,"Almost, trying but not there yet. Food average, don’t bring out desert prior to the mains. Go to hawker markets instead for better quality and price"
Pretty venue for baby's 1st birthday,Was searching for a venue which can cater to adults and yet a spacious venue for kids so that they can interact freely. What made this venue stand out was the lush greenery and the cosy ambience. Guests were very impressed with how pretty the venue was! Special mention to Kannan who was very responsive throughout the planning stage. Appreciate it a lot!
Nice ambivence,"I went there to celebrate a friend's birthday. The ambivence was good, food was nice and we had a geeat time"
Wedding Solemnization Event,"So much praises for TMP Oasia, Kannan (the Restaurant Manager) and his team. It was a perfect event!

The ambience was cozy and that's why we chose TMP Oasia. The food quality catered for our event way exceeded our expectations. They were not stingy with the portions as well. The service crew was attentive from start to end. Very friendly, very sweet too.

Kannan was so obliging and really easy to work with. From start to end, he gave his all to ensure that the event will turn out the way these we want it to be.

My guests liked the venue, service and food so much. TMP made both my husband and I really proud. Keep it up Team TMP Oasia!"
