topic,review
Amazing,"Loved the experience of gaming and food. Insane number of games, good customer service, helpful staff and vegetarian options available"
Visit to mind cafe,It was the best service and the service was great it was fun playing new games which i did not even know which existed
Good place to spend with friends,"Great selection of games, snacks and fun! Game masters are very knowledge and recommends good games. Snacks and drinks are good!"
Board game cafe review,Had a wonderful time with playing board game. I will comeback again. Drink and snacks were nice. It was clean and staffs were kind.
nice place,"the place is nice, snacks are great and the staff are friendly. this has been my nth visit, but this has been my go-to for boredom"
Board game,"Fun times to escape work time! Hang out with friends or family, couples or with your kids on the weekend."
Very helpful intern!,Keith was super friendly and helpful. Most importantly he introduced the fun games to us! Love the set up!
Fun games and drinks,Was great fun. Many options and free flow drinks and snacks. Went with friends and there was lots of space.
Good selection and drinks,Lots of games available and free flow drinks. You should come on a week day night since there’s lots of space available for tables
Boardgames,Great variety of boardgames. Free flow drinks and snacks. Many games to choose from. Good place to spend time with friends
Good cafe,"Great cafe, staff are knowledgeable about board games, free flow drinks and food, good value for money"
Review,Came here with my partner to enjoy board games. They had a variety of games here and provide free drinks and snacks too :) Would definitely come here again!
Game board cafe,I had a great time playing a lot of board games for a long period of time. They also have free flow drinks and snacks which are good for playing games.
Games,It was fun and I had a blast playing different board games with my friends. There was also a free flow of drinks and snacks
Nice place with good atmosphere,"Came during the weekdays and it was not crowded at all, had fun with friends with free flow of snacks and drinks!"
Great!,Ivan and Xin Long served us for today’s visit to the mind’s cafe for board games we had a pleasant experience! Free flow drinks and snacks
Mind cafe,"Great staff and team, they were very helpful and efficient with the delivery of the food and drinks."
Good,"Service good, fun times, loved it. Clean and good service, nice food, good atmosphere, fun games, had a good time."
Board game mind cafe,Lovely ambience and a wide selection of board games. Love the free flow drinks and food especially :)
Mind games cafe,"Best game place to come too, very friendly and helpful staff. speedy service with the food and beverages"
Great Place for board games,"I have been to the mind cafe for many times, it is a great place to play board games wirh friends and it had a lot of board games for sale"
Fun hangout spot with friends!,Love the atmosphere and theres so many types games to play! Staffs are very friendly and helpful when explaining games!
amazing place,we had lots of fun!!!!! there were a wide variety of games and free flow refreshments all for an affordable price point!!!
Family friendly fun.,"Helpful and friendly staff. Good variety of drinks and snacks. Back for the second time. Kids love the Assassin Costume Party. Do check for reservation if able to, it was a pretty packed day. We were lucky to get a table."
Mind Cafe,Amazing range of board games selection and friendly staff. Please come here with your friends to enjoy a wonderful time.
Great place,"Nice place to go to have fun and win your friends easily, i had a lot of fun. Food was really good as well. Affordable"
Fun time with kids,"First time there with kids. It was a wholesome experience - games with free flow drinks and snacks is gold. Good selection of drinks and snacks I must say. Oh and popcorn was sweet with a tinge of saltiness, which is perfect. We were welcomed by the crew warmly and that gave a good vibe. The game selection was wide and differentiated by the level of difficulty. The easier levels were kid-friendly. We did Costume Party Assassins and a Tikki game. The crew explained each of the games simply enough for the kids to follow. Will go back!"
Fun!,"Good stuff- especially liked the dinner package w lasagna, bells whistles and all. Good selection of games."
Very good place,Good service and reasonable packages. Staff were very friendly and knowledgeable about the games available.
Mind Cafe review (prinsep street),"Great board game cafe with wide, well-organised and well-maintained selection, cozy ambience, wonderfully friendly and helpful staff, smartly designed game rental packages with free-flow drinks/snacks. If eating more, the dinner package mains are decent and the cakes are tasty!"
Friends cohesion,Loved to come here with my friends and spend a day with them! Shout-out to Sufi and the staff for helping us with the games and experience!
Good service and ambience,The staff are really helpful and snacks are really nice! Game selections are wide! The place is really clean too.
Fun birthday celebration,Our group really enjoyed our time here. There were free flow snacks and drinks included in the package as well.
Session review,Great atmosphere. Came here with friends after exams was great to really let loose and have fun :DDD
Fun screen free time,"Lots of board games, free flow drinks and snacks. Good for family and friends looking to spend time together"
Date night,"Good service, friendly staff and wide variety of games. Played Jenga, uno flip, splendor and many other games"
Kids friendly game cafe,Had fun with my family . They have a variety of games suitable for kids . A variety of snacks and drinks too
Fun Place,Wide variety of games and many different types of snacks and drinks provided. Good service as well (:
Games and fun,I enjoyed the great service and experience at the mind cafe ! The drinks and snacks is delivered to me promptly !
Fun,"It was a fun day, the staff was mostly helpful and friendly. Will come back with others again :) yay"
Friends hangout,"Spacious and fun, staff very helpful, food was good, will definitely come back again next time with my friends"
Great place!,"Great bonding experience if you trying to get to know people! Came for 2h, extended 1h. Free flow snacks and drinks so worth"
free game night,"after 6pm on mondays only, there’s a free game night (excluding free flow drinks & snacks) until end of november"
Fun experience,"There’s a variety of games available, packages were reasonable & affordable, Space is huge and clean . Staff were also very knowledgeable of the games they recommended and they explained it very well too :)"
You will leave with a smile,"Super fun place, really lovely staff, awesome service. Game packages come with free-flow snacks and drinks too! Guaranteed you will leave with a smile!"
Great customer service at mindcafe,Great customer service and food was great with fast service and also drinks had a wide variety along with the snacks
Great hangout session with friends,"Great variety of games and Great place to bond with friends but if you’re coming at night, i’d recommend to come after 10pm for their night package!"
Best games cafe,I’ve come here so many times and I have the best time everytime. Will keep coming back. Prices are great!
Mind cafe mega!,"Wide range of games, helpful and friendly staff! Located conviniently in the heart of Singapore at dhoby!"
Board game heaven.,Great place to have fun! Board game heaven for friends and family. There are a variety of games to choose with a clean environment to play in.
Mindcafe review,Mindcafe is a great place to meet up with friends. Its spacious and is able to contain up to many peeps. Love the snacks and drinks there too.
Really fun hangout in Great location,"Highly recommended for anyone who's interested in boardgames. Great staff, excellent selection of games and reasonably priced"
Hanging out with friends,Very nice place to chill and hang out. Would highly recommend people to come here. Snacks and drinks are good too
Review,"Highly recommended to come here to try out new games! Very affordable, also have a store to buy out the games you've tried!"
Board games,Great place for board games with friends! Will surely visit again for more board games… they got lots of options!
Friends birthday bonding,staff are friendly and very knowledgeable on all game. cafe can be pack at times. and game can run out at times too
Great place to spend time with friends,It was a great experience! We walked in to spend the night and the staff Dan Feng was really helpful and passionately explained the games to us! There was also a free tasting of their new menu of the paus and lomaikai. They were great!
Great experience,"It was really nice, loved the experience, definitely recommend it. Come with friends and family. Free food"
Good experience here,I had a very good experience here. It was very fun playing all the games and the staff were helpful and friendly and aided us well when we had any questions. The Lava cake so good
Yay,Staff were friendly. Lots of snacks and it wasn’t warm in Singapore’s heat. A lot of board games for selection too
GOOD PLACE FOR GATHERING,Friendly Staff. Lots of selection for boardgames and spacious location. Will recommend to come again.
First time experience,"Nice place to be at the play games with your friends, good environment, service. Free flow drinks and snacks"
Fun night,"Fun place to enjoy and interact with my friends. Really enjoyed ourselves so much!
They had many game selections for us to choose from and unlimited drinks and snacks to go alone as well.
It’s a well deserved place to be with to enjoy time with family and friends for a fun and laughter time!"
MindCafe,It was a great time with friends! We had nice drinks and food free flow! Will come here again!! Thank you
Board games and cafe~,Really nice place to play and relax with your group of friends. Student packages for unlimited drinks as well!
Good place to visit,Nice place to hang out and play board games with friends/family. Staff were very helpful and knowledgeable as well.
Board game cafe,"There are a few types of games, it’s fun. Service crews are friendly and they will help to introduce games for new comers."
Great time spent at MindCafe with friends! (And Wasim!),"Had a great time trying out new games at MindCafe with my friends! Wasim was really friendly and patiently taught us the games, made our experience a whole lot better, thanks man!"
Great experience,The experience was great! Great place to hang out with friends and family. The food was great as well and the free flow of snacks and drinks
Great,"Very fun, nice and many selection of snacks. Very friendly staff that explains the game well too. Food is great"
Very fun and different experience,Had a fun time and was a great night overall . Good food and drinks made it a memorable evening . Staff were very pleasant and overall a great time
Weekend Student package 11am-6pm,Always coming back for fun games and free flow snacks! Always a great time. The employees are friendly and helpful
Mind cafe board game!,"Friendly staff, variety of games. Would recommend 10/10! Wide variety of snacks & drinks available. Toilet is nearby too"
Review for Mind Cafe.,This day was great. The games were interesting and facilitated well by the staff. The food was good and the unlimited snacks and drinks were truly great. I will definitely come back here.
Minds cafe,I had a great time with my family. Free flow drinks and snacks. Great place to chill with friends and family. Please do come to minds cafe and have a great time.
Review for Mind Cafe,It was a great day spent with my family and friends. I will definitely come again. The games were taught well. The food was decent as well.
Very fun experience,"Had a great time! Sweet stuff, hot and tasty food, and good selection of snacks and drinks. Well worth the money paid!!"
Good,It was a fun experience. My friends and i really enjoyed ourselves. You should definitely try !!!!!!
Review of mind cafe,It was nice.has alot of game options.free flow of drinks and snack.i had alot of fun.defintely worth paying a visit
Board game,Plenty of games and free flow drinks and snacks. A lot of people during weekends. Got sell games here also.
Good shop,Fun experience for a good price. They have good membership deals. Great explanations and good energy all around
Hang out place,Good place to hang out ! Free flow food and drinks to enjoy while you play the games with your friends as well!
Board games,"Fun games, great place to hang out with friends. There are multiple games of different variety for you to choose from."
Great service and games!,Wide variety of games available with friendly staff! We got the unlimited drinks and snacks package and really enjoyed our time here!
Amazing Time,It was a great service. There was free flow food and drinks. Would recommend to friends to have a great time here
Mindcafe,Nice place to play and chill with some snacks with your friends at affordable rate! Got ladies night on tues bonus!
Birthday Celebration,Fun hangout place with a plethora of games to choose from. free flow food and drinks that taste great
Fun night out,Good and fun place with a lot of different games and fun people. You can also enjoy free snacks and drinks. The staff is very friendly.
Lovely Place,Beautiful place with nice places and a lot of different boardgames and good snack choices. To be repeated oftentimes!!
Fun boardgames place,The package is priced nicely with the free flow of snacks and drink. Will come again and again and again.
Comfortable place to play boardganes,Good variety of games for the family. The kids enjoyed it. Good packages for unlimited gameplay. Highly recommended!
Great family bonding time,Fast reservation. Friendly and patient service. good variety of food Fast reserabd games for family.
