topic,review
The Orchard Hotel,The hotel was very clean. The rooms were very clean. Housekeeping service was 10/10. Wonderful variety of food. The staff overally was friendly. Great food!
Helpful and efficient staff,Everything was great! Food spread was great and tasty. Staff were constantly checking on us and helping us to clear plates/refill water. Special mention to Yuva. He was very friendly and helpful with my family and ensuring that we would have an enjoyable time. Will return again for sure :)
Prosperity buffet,"The variety of food offered was very extensive and the quality and taste was pretty good as well! Foo was constantly replenished, especially the BBQ station. Deserts were unique as well, such as burbur cha cha, chocolate pudding and osmanthus jelly.
We were also offered a sample of what seemed to be a dish not included in the buffet, fried fish and mint(?) sauce which was much appreciated!
Staff was also quite attentive in terms of clearing the plates and offering to help take dishes like the hot fish maw soup.
Overall a pleasant experience and would recommend!"
Excellent service & wide variety of food,Service was excellent in accommodating to us and food was good having a wide variety of food while still remaining delicious food!
A great start to the day in Singapore,Very friendly staff and surroundings. Great variety of food on offer catering for all different nationallyties. Good coffee
CNY cum Birthday Celebrations,"Nice ambience with good service, friendly staffs. Good place to enjoy with your families and friends."
Mr Sam Sunder,Excellent buffet lunch. Very good and wide variety of food spread from western to Chinese and Asian cuisine. Very good value for money
Orchard Cafe - slide in standards,"Had buffet lunch. Spread looks about alright, but pale in comparison. Stranger were ‘station chefs’ who are not taught to man serving stations!
On display in Chinese kitchen were 1 duck n 1 slab of roast pork. The mid aged staff mumbled no,no when asked for a cut of the roast duck - pointed to the plate of shredded meat meant to eat with popiah roll.
The surprise was elevated at the salad stand (just a bowl of lettuce n a bottle of premixed oil n vinaigrette). In melodious China Chinese, this lady “station chef” asked that I do not use the wooden salad bowl to toss the greens. When told this is a salad bowl, she retorted no, you mix in your plate.. ???
CDL - owners gotta take note."
Monday lunch by buffet,"Monday lunch. Small spread but food was well executed. I especially like their little morsels of dessert, ice cream... Will be back for more. Service staff were attentive.."
Great lunch and service at Orchard Cafe,Orchard Cafe provided a great lunch experience for me and my team. Tina Soh served us especially well and helped with the arrangements and settled the details. Thanks for the good service!
Excellent service Orchard Cafe,"Despite the cafe being very busy during breakfast, Tina Soh and Catherine Chong are always welcoming guests with a warm friendly smile. Their courtesy and professionalism shine through at the cafe every morning when they are working there. Compliments!"
Feedback,Good service. Good ambience. We had a complimentary cake given for my Grandfather’s birthday but unfortunately could not eat it as we were very full.
Birthday celebration,Celebrated our friends birthday’s at orchard cafe. The Service is very good. There is a lot of variety of food. Money well spent!
Orchard Cafe at Orchard Hotel Singapore Review,"I’m staying in the hotel for a month after I relocated to Singapore for work. I take breakfast every day in the Orchard Cafe Singapore and the service is excellent! Tina Soh is really helpful during my time here, much appreciated!"
Lunch Buffet @ Orchard Hotel Cafe,"My family and I are very pleased with the outstanding service from Ms Tina SOH. Not only was she friendly during our meal, she was thoughtful and observant. She took the initiative to help us take our family photos. Whenever we visit this Cafe for meals, we feel like coming home with Tina greeting and welcoming us warmly. Tina and her team of staff definitely make our meals precious memories and homely experiences. Because of Tina, we will surely be back for many more family gathering meals!"
Review for Orchard Hotel Singapore Cafe,We are tourists from Hong Kong and were impressed by the excellent service from the Orchard Cafe. Food is of great variety there and the staff is very friendly and helpful! Highly appreciating the outstanding service and friendly attitude by Ms Tina Soh:) Feeling warm and joyful every time seeing her in morning for breakfast! Thank you for the superb experience!
Quality and Variety matched with excellent customer service,"Quality, fresh food matched with excellent customer service from Tina and her team has been an amazing experience for us on holiday. At breakfast each morning Tina remember who we were, always happy to accommodate anything we asked. Food was always fresh and plenty of it."
New year buffet,"There are plenty of food available. Variety of cuisine such as chinese, indian, western and japanese. Food are fresh and service is good. Will come again"
New Years Day Lunch Buffet,Nice selection. Very high quality food all round. The Indian selection in particular was very wide and rich.
Festive times had by all,"We visited the Orchard Cafe on Boxing Day 2022 for their Festive Buffet, our Christmas dinner. We had an incredible time. The food was amazing and delicious. Our amazing servers just made the night for us too... I'd like to give a special shout out to Norhafizah and her team Matilda, Eddie and Ava who made sure we were comfortable, welcome and that our glasses were never empty. All in all it was the best way to celebrate our Christmas dinner. I'd recommend it to anyone for a Christmas feast"
Collected cake and turkey from hotel restaurant.,"You dont hear much about orchard hotel but the service is really good. Staff greeted me promptly, knew who I and got my stuff really well packed, I think her name is Catherine. Very nice and professional lady, got me to take a seat before checking and siging forms.

The yuzu was divine, blew most expectations out of the water. A few thinks the taste was too heavy though.

The turkey was much softer and tender that we expected. Very rich truffle smell too. I will consider orchard hotel for food next tim"
Wonderful and memorable Christmas lunch,"Grateful for Wayne, Cecilia and Tina for blessing us with special package and working with us to accommodate 100+ pax for Christmas lunch. Thankful to Cecilia especially for acceding to our requests and being always contactable and patient as we finetune our plans. Food variety and quality was good too. Everyone had a great time and we created many beautiful memories here."
Festive Buffet,"Pleasant overall service from the staff, Tina was extremely helpful and kind! Food was really good as well with many variety. Will definitely come back again!"
