topic,review
best peranakan food,"Their peranakan food is absolutely fantastic, better than all others I have ever had in Singapore.

The Ayam Buah Keluak was aromatic and not too salty that one could still taste the flavour of the paste inside pangium. The chicken was tender.

Their chap chye was also not salty at all, very much to my liking.

It was really sad news that the restaurant closed in late November 2021, owing to the COVID situation."
Garden Authentic Peranakan Restaurant in Middle if Orchard Road Area,"It Been a long Time last Visited The Peranakan. Recently Renovated with a Garden Feeling .Food Still remain Fantastic. Service Friendly. Dishes Super Shiok Die Die MUST TRY Assam Pedas FISH Head , Nonya Chap Chye , Nasi Ulam , Ngoh Hiang , Satay Babi Sum Chan .Kaki Babi Pong Teh my Favourable, Beef Rendang .Lastly Assam Pedas King Prawn.
Not to forget Dessert Chendol"
Quite disappointed. I came,"Quite disappointed.
I came to this restaurant with some expectations of a really good Peranakan meal. But it did not live up. The much heralded Ayam Buak Keluak was average. The beef rendang lacked the rich rempah flavors I expected. The redeeeming dishes were the fried buah keluak and the fried egg cincalok. The head server was a bit brusque and somewhat finicky. I won’t say the food was bad but it isn’t a place I’d recommend. The decor of the restaurant was quite a sight. Right next door is a small museum and it was quite interesting."
Disappointing! I am never to return. Ever.,"We were all looking forward to a nice meal. We left were very disappointed. All the food we ordered came to us looking like it was cooked day/s before, microwaved, cold, lukewarm, tasteless. We ordered: fried spring rolls, kueh pie ti, veg mutton cubes, eggplant with sweet soy, the chicken curry, salted fish fried rice. I sent the veg mutton dish back because the gravy had caked over; as gravies typically do when microwaved. We pointed out to the server that the salted fish rice was cold and the response was, “it’s supposed to be served cold; like a salad”. Really? How could one even dare say that to locals! We left half of every order, except the kueh pie ti, on the table. It was so bad we couldn’t even bring ourselves to doggie bag any."
Vegan High Tea - Flavourful and Beautiful,"I tried the vegan high tea set at The Peranakan during a 50% off promotion.

The main was dry laksa, which consisted of chewy yellow noodles with a deep spicy seafood aroma topped with a firm but bouncy prawn. This dish was impressively realistic and was the star of the show.

The savoury platter consisted of petite servings of a variety of Peranakan dishes.
Nasi ulam: Spicy herbal rice. This dish was not sufficiently fragrant in my opinion.
Kueh pie ti: Delicate shell filled with juicy stuffing.
White bread with hae bi hiam: The pumpkin floss did not successfully mimic hae bi hiam as it was not spicy and lacked a seafood aroma. Nonetheless, the pumpkin floss had a satisfying crunchy and powdery texture, such that this dish was reminiscent of meat floss sandwiches.
Popiah goreng: Crispy deep fried spring rolls with sweet vegetable stuffing.
Mutton rendang kongbak pao: Soft steamed bun topped with a spicy stew of potatoes and mock meat.

The sweet platter contained an array of Peranakan desserts.
Pulot enti kelapa: Glutinous rice with crunchy grated coconut. This dish was somewhat bland for a dessert.
Kuih kosui: Chewy and mildly sweet gula melaka kuih.
Apom bokwa with pisang pengat: Rice flour cake sitting on a pool of creamy sweet gravy made from banana, gula melaka, and coconut cream.
Apom balek durian: Traditional pancake with a tastefully sweet durian paste.
Durian pengat: Dainty cup of a mixture of two types of thick durian paste with rich complex flavours. We saved the best for the last!

Overall, the food was flavourful and beautifully plated. The restaurant had a nice ambience with intricate flamboyant decorations. There was also a small shop and museum gallery."
Circuit breaker cheers,"Circuit breaker kept us home. But nothing will stop us from having good food. We decided on Peranakan and know of a fabulous Peranakan restaurant in claymore connect at orchard road. On the website I am delighted to see that they have set menu for delivery/ takeaway orders! The ‘bento’ sets are like samplers of what the restaurant offers, and it ranges from appetisers ( eg. Kuey pai ti) to the assortments of desserts. We chose the bigger ‘Bento’ for 2 (Tok Panjang WKW) , and also ordered their chicken curry, the kids’ favorite fried chicken wings and the Peranakan seafood Hokkien mee. We cooked our own rice and with the sumptuous spread of food, we fed a family of 5 and we had a lot Left over for the next day. What to look out for is their Peranakan seafood and the fried chicken wings ( not in the set), the beef rendang and the sambal prawns . The rest are delightfully delicious as well. What a treat and cheer, we so needed during this time. And by the way, we also had a chance to donate a nominal sum to ‘adopt-a- bento’ in the same order website- which will help them to provide delicious and nutritious meals to the healthcare frontliners, elderly living in one room rental flats and former Sungei road vendors. Great cause !"
Special Set Menu,We went straight to its famous Tok Panjang set menu. It's a menu you can taste a bit of everything from soup to desserts. It's always good to try out special meals.
High Tea Super sedap!,"Authentic and tasty Peranakan desserts and kuih2 with excellent coffee and chendol. My third time here and I am still looking forward to coming back again. Staff is warm and friendly, very welcoming. Do check out the Peranakan exhibits on display: certainly like a mini museum!"
Great Peranakan food with an ambience to match,Delicious Peranakan food with great ambience and service! They offer a vegetarian version as well! Beat that!
"Nice dinner, lovely Peranakan ambience","Came here for a reunion dinner with friends and we all had a great time. The peranakan food was delicious, including the pai tee, buah keluak, ngoh hiang, cincaluk omelete, dark soy fish and lovely banana dessert. Service was friendly and cordial and they also have merchandise on sale at the front of the restaurant. A great time was had by all!"
Authentically Singaporean,"A Singaporean friend took me here for a taste of what authentic Singaporean cuisine has to offer. We tried a tasting set filled with lots of interesting things, not all of which were to my liking, but all which offered something different. The herbed rice was outstanding, as were the pork meatball soup and the pork belly curry. The service staff were attentive and very helpful, and there was real pride in the food that they brought to the table. I had such a lovely night here and would recommend it to all visitors who want an authentic experience."
gd ambience,"Ambience and deco was great. Food is alright but expected better. Service staffs was very friendly and helpful. Location of restaurant is not very easy to find, requires abit of navigation. Overall experience was a good one"
Authenticity and quality,"Among the many good food experiences we had during our recent 9-day visit to Singapore, the highlight for me was the Peranakan Restaurant. The warm welcome from restaurant staff made a strong positive first impression as did their enthusiastic and quick service. We chose the Tok Panjang tasting menu which had an impressive range of dishes, distinct flavours and textures. We are subject to so much modern fusion food in Australia, it was a really nice change to have a lunch that celebrated the original Peranakan culinary traditions."
Pretty Peranakan Restaurant,"Restaurant is very pretty and the museum next door is very enjoyable, especially if there’s overseas guests. Service is a bit slow though. The Bakwah kepiting soup is par excellent. Ayam buah keluak is thick and flavourful but the chicken could be more tender and smaller bite pieces. Ngoh Hiang was average. Chapchye was good too. Desserts were a little disappointing, could be more lemak and fragrant."
Great introduction to Peranakan Cuisine,"This beautiful and colorful restaurant located inside the Connect mall has an elegant yet festive atmosphere. The servers are dressed in traditional attire, very attentive, and helpful. This was my first time to try Peranakan cuisine which I really wanted to experience after reading about Nyonya Baba cooking. The food was good, but I felt like the home-cooked version would be more flavorful. Nonetheless, the plate-up and food presentation were all excellent. Try the dessert platter if you have a big group. It was a bit pricey for a group of 5, but it was well worth the experience and the variety of food we were served."
Heritage Peranakan Super Shiok Food Must Try,"Orchard Recently is crowded with 2 new Peranakan Restaurant. But Nothing Stand out against The PERANAKAN at Orchard Hotel in Claymore Road .This Restaurant also have a Heritage Peranakan Museum & Boutique where you can purchase item Baba & Nonya Clothes & Accessories. Item die die must Try appetizer Kueh Pie Ti,Main Food Assam Fish Head ,Ayam Buah Keluak ,Ngoh Hiang, Chap Chye ,Bai Pong Teh Not forgetting Super Shiok Udang Assam Pedas .Lastly Dessert Cendol."
Best Peranakan restaurant at Claymore Connect,"Unlike the more discrete True Blue, the décor here is flamboyant, yet charming. The food is very good, although the signature Nasi Ulam is less fragrant and addictive than many home-cooked versions. The Assam Pedas Fish Head is yummy, though. A bit pricey, but all good Baba-Nonya restaurants in Singapore are!"
Peranakan style dinner,Amazing food and impeccable service! We chose the set dinner and the food came with a unique presentation. In our group was a friend from UK and the waiter offered a complimentary scoop of durian pengat! We were also introduced to their gallery and someone helped us for photo taking. Great experience all round.
"Beautifully decorated, authentic","Beautifully decorated, authentic Peranakan ambience. On Sunday’s lunch time there is an artiste and dance performance during December 2019. We did not take the set menus which offered so much variety but decided on the a la carte menu, of Babi Pong Teh (Slow cooked pork stew) and seafood noodles. All were tasty except the seafood which was probably frozen ones because they are not as tasty as fresh seafood."
"Dinner at The Peranakan restaurant - Clay more Connect, 442 Orchard Road, S238879","We had a birthday celebration dinner and was glad we had chosen Peranakan cuisine for a change. The ambience was great, location tucked away at the far side of Orchard road, central yet not too busy.

When we are seated, the restaurant served some snacks, mini prawn rolls as starters. We ordered the signature perankan dishes, Soup Bakwan Kepiting, Ayam Buah Keluak, Kaki Baby Pong Teh, Beef Rendang, Samba Udang Petal, Nonya Chap Chye and finished off with Chendol Melaka, Apong with banana.

The hot lemongrass or pandan tea was a great compliment to the satisfying meal."
Expensive,"Nice ambience with all the Peranakan decorations , Peranakan food tastes authentic but a tad salty. Price is on the high side!"
Great interesting flavors,Unique Peranakan flavors mixture of Malay and Chinese. Great service and friendly staff. Arts and dress traditional to this Singapore region. Clise to walking distance from our hotel. Makes it a great location in heart of Orchard Road in Claymore Shopping mall level 2.
Perfect,"We stopped by here the other day. The owners were running special charity sales of their (excellent) peranakan goods and offering space for local charities to sell things too. This really endeared them to us. So we booked a table. We were so glad we did. Here is the summary;
* great atmosphere
* excellent food
*friendly and helpful service
* good value for money for local dishes
So how do you judge a restaurant- you book your next meal before you leave. And that is what we did. Thank you. See you soon,
Dr John"
Nice restaurant,We visited as a group it was good food and not too expensive for Singapore but service was slow However a good night out
Highly Impressive Once Again,"It was my second visit to this restaurant, and I must say her standards have not dropped. This time I brought my cousin and I am quite sure she was impressed, both with the food and the service.

From the beginning of our lunch experience to the end, the level of attentiveness lavished on us never wavered. Lunch was the chap chye (mixed vegetables) and the simmered chicken. Both were excellent choices and served with rice, our meal was perfect. We decided that washing down our meal with hot lemongrass tea was ideal. We ended our meal with the chendol. I have always been wary of the strong taste of brown sugar in this dessert. Surprisingly, despite not asking to omit the sugar, the dessert to me was a delight.

We are your fans."
Amazing Peranakan experience !!!!,"We are here in Singapore visiting from London and so wanted to try authentic Peranakan cuisine. We were not disappointed !!! The ambiance is perfect, lots of original Peranakan features, decor and tableware really set the scene. We were lucky enough to meet Raymond Khoo - the owner and Chef - who is a most charming host and took time to explain the history and heritage of our fantastic meal. The vegan menu is incredible, so tasty and we found it hard to believe that we were not eating meat & fish. The blue gin & tonic is also a must as is the blue flower welcome drink which seems to cure every ailment under the sun ! We will definitely be telling all our friends and family back in London about this fantastic restaurant and will be back next time we are in town. Than you Raymond and team for a great experience."
Sambal Udang (Prawn Sambal),"Sambal Udang (Prawn Sambal)

I had a seafood lunch at The Peranakan (Claymore Connect Mall). I have read about it online as one of the TOP 10 best local cuisine restaurants. I had prawns with chili sauce and ladies' fingers (Okra). This dish was well presented and tasty especially the Okra, which was so smooth and not over cooked, I love the edible green seed pods. It was the classic local dish of Sambal Udang (Prawn Sambal), it is served with rice. The Sambal Udang is fiery and tangy, if you are not a fan of spicy dishes, then do request a mild flavour. By the way, Sambal is a chili sauce. I had Iced lemongrass & pandan tea as my cold drink. There is a Peranakan Museum next door of local interior and cutlery.

SEE photos."
"was reccommended,and not disappointed","i dont normally write reviews,but very pleased with friendly service and the food was excellent,will be going back."
Peranakan fare at its best,"Fabulous lunchtime feast at lunchtime - beef rendang, satay pork belly, sambal crispy skin fish all great"
