topic,review
One of the best hidden gems in Singapore 👌🏻,This place is a hidden gem in Singapore! The food was delicious and the atmosphere was amazing👌🏻👌🏻 The staff are very friendly and you can expect good service!
"Hidden, but nice cafe","I often go to this cafe with a group of buddies. The cafe is located along the street where is about 10 mins walk from MRT.
Despite this location, the place is quite busy.
They have Japanese inspired menu along with typical cafe menu.
I tried some snacks and these were good.
Coffee is not the best, but they have some selections of tea.

Overall it is nice hang out place."
pretty gem at king george,"super attentive staff, reasonable prices, chill and class atmostphere. food portion is big and delicious. had to of the dons and enjoyed both. overall i had a fun time hanging out there. will definitely return"
Good food... Nice service,"It was a lovely lunch and service was good. Well-balanced and tasty. We had the Unagi Don, Duck, Orion ring."
Nice Japanese Fusion Food,"The restaurant serve fusion Japanese food. The refinery truffle gyudon is awesome, and the coffee baller is also interesting. It’s quite crowded during lunch hour though. The price isn’t that cheap in that area, but the quality of food is really worth it."
Nice food and ambience,Everywhere else seems to be full house and we came across Refinery and decided to give it a try since there is still seats available. The place is nicely decorated and good for some Instagram pictures. We order the rice bowl and have a decent meal here. Service is good and the price is reasonable. Food is tasty as well. We didn’t spend too long in the restaurant as we just want a quick meal.
Thier mentaiko sauce is good! And the donburis bowl,"Not alot of range but food was good, love thier mentaiko fries! Located near lavender mrt, spacious tall ceilings"
Wine after work,"Visited here in Jan for a few glasses of wine after work with a friend. Good ambience and reasonable pricing with fairly efficient service. Didn't try the food, but it looked good."
Valentine's dinner date,"The food was good and served fast. It was obvious the place was under-staffed but they staffs were patience and attentive and tried their best. The place has nice decor but is a little warm. My partner and I enjoyed ourselves.
and... I like the happy hour. I mean, who doesn't?"
Change in menu but the food still good,"Overall ambience is good.
We wanted to try the Yakitori but sadly it was taken off the menu and we had no choice but to order other food in their new menu.

Food came pretty quick, maybe there isn't much crowd.

Staff were friendly and accommodating too!

We have some food and beer as well. Will return when they have Yakitori back in their menu."
A Rare Find,This place a rare find. It is located in an old industrial building. The food was fusion Japanese. The bar drinks menu was imaginative and good. Great place to meet friends and enjoy the evening.
Har Cheong Gai Burger,"Really crispy and good har cheong gai burger. The butter made the burger really flavourful and the Refinery waffle was crispy on the outside and fluffy on the inside. Nice ambiance and overall good food, only A LITTLE pricey."
Cosy place for chill,A cosy place for food and drink. Food are nice and staffs are friendly. Will not hesitate to go back again
"Nice ambience, good food!","Love the ambience of the place. The café is spacious with outdoor seating as well, and the food we ordered (Har Cheong Kai Burger and another set of waffles) tasted so good we finished them all. Not to mention that the staff were friendly and attentive. Food was served relatively quick as well."
Nice restaurant but a bit overpriced,The lunch is good here. Nice environment. But the price is a little bit expensive. The coffee ice ball and the donburi are both very good
Average cafe in warehouse area,Food is average. We ordered the salmon & gyu don & Presentation was in a small bowl like food court style. The fried tofu thing was nice but not worth the price tag. Ambience was ok but service so so.. they put a single person at a 4 seater window seat and us 2 people need to occupy a small corner table. Service is impt to me when I dine out & I dont think they bother.. will not be back.
Nice Ambience with ok food,"Here for lunch for the first time but we were given a Brunch menu at 12ish own a weekend.... 3 of us ordered 3 mains, 2 sides and 5 beverages, it costed us almost $140.
I'm a fan of lobster and I will try a lobster dish whenever available, the refinery roll (lobster roll) in my opinion was the most disappointing dish of all those ordered as I find the fishy smell too strong.
Here's my ranking of the dishes ordered, 1 being the best: 1. Chicken Nanban 2. Wagyu with Foie Gras bowl 3. Truffle Fries with seaweed (only a little bit of truffle taste) 4. Risotto (rice abit hard) 5. Refinery Roll
Probably because we ordered the more expensive mains on the menu, else it should be much cheaper...
Nothing is stopping me from visiting again but no pull factor too!"
Relax n Chill,Laid back atmosphere and great food! Delicious fusion and value for money! Love their cauliflower dish.
Refinery,The food was prompt and service was fast. I think i will definitely go back to the place again =) The aircon could be much better though.
Tasty food but lack in service and portions,2nd visit to the refinery and I was disappointed that all food portions have reduced in size for the same prize. The restaurant was not even full on a Saturday yet service was slow to respond. 2 out of 4 of their dessert options were not available for a Saturday dinner. Food was tasty and interesting but probably will be my last time there
Yummy Food & Good Atmosphere,"I have visited this place for a couple of times already, both lunch & dinner time. it is one of my favourite place to be away from the crowds. And I have been booking them through chope and my very last recent visit, I was really surprised that the manager/owner read my remark on my booking's comment and then I have received a pleasant surprise from them due to it. Really appreciate it.

Food wise - The quality of the food has been consistent for me. Even friends who are fussy about their food, enjoy the food here (*thankfully). The portion may look small at first, but it is surprisingly filling. Price is affordable.

Oh yes, their Refinery Waffles is good :)

Drinks - Their Signature Coffee Balls is good, you can add a shot of Whisky to go with it. Have tried both with or without whisky, they are good on their own, it's more towards which type is your preference.

Their cocktails are surprisingly in good ratio and is delicious. This is not commonly found in many places.

Service - sometime it is a little disappointing, it should be consistent right? but we are all humans, however it would be great with more smile right?

Atmosphere - is good, though it might be quite warm during the day but its a nice place to hang out."
Great for after work drinks,"If you’re looking for that new trendy bar on your way home after work, Rookery could be the place for you. That is if you do actually have to pass it on your way home from work. If you don’t, you can check it out anyway as the beers are good value at around ten bucks a pint and they have Asahi Black, which is a bonus for me. The atmosphere is also relaxed and the venue has a large ceiling so it doesn’t feel claustrophobic. The food was a surprisingly good treat as we honestly just came for the drinks. The karage chicken was crispy and the chicken juicy, so it hit the spot. The Yakitori sticks were the highlight though, as the meat balls were thick and chunky and packed with flavour and the pork was as crispy as I like it. The egg plant with a sweet sauce was a little too sweet for my liking after a while, but it was still good. The fires were as good as you expect fried to be, so no complaints there. All in all, it was a good night out in a nice venue with even nicer food, so what more could you possibly want on your way home from work?"
The Refinery,"Very bad customer service. Place was not crowded when I went, but was given high table and chair. When I ask if possible to take the normal seat, the service staff says it is reserved. But I observed no reservation sign and the seat was vacant for the 2 hours I was there and was given to a walk in customer after that. In addition when I requested for the bill, the service staff acknowledged my request but bill never came after 10 mins. I have to go to counter to make payment. Definitely not going back no matter how good the food. In any case, food was ok, nothing to rave about."
