topic,review
Beautiful place,"Rose Veranda has always been our favourite for a leisurely family weekend brunch and for birthday celebrations. Being vegetarian, am impressed with the spread they have . They have done away with the buffet now and it’s a set menu which makes it easier actually . Staff is very helpful and friendly too."
Flavours not great,"You’ll enjoy the October menu to commemorate Breast cancer awareness if you like beetroot and rose flavours. Mains were passably good. Steak was good albeit small. The tiger prawn main consists of 1 medium sized prawn and something similar to risotto The desserts weren’t great. Looked pretty but didn’t enjoy the flavours. The scones that were cold, hard and dry."
Saddened,"Having read such raving reviews of this high tea spot, we decided to host our overseas relatives there on 23 July 2022. Sadly the staff were obviously shorthanded and the inexperience of the new or temporary staff was pretty obvious. Service standards were inconsistent with requests forgotten e.g. milk for tea etc. Even more upsetting was that a significant number of teas (those from Sri Lanka) were unavailable. It would have been professionally courteous, I reckon, if the restaurant pre-informed guests of the shrinkage of the tea repertoire before seating the guests as some discerning guests especially epicurean tea lovers have their strong preferences! Service was at times tardy and sadly the strict end-time after 2 hours meant that guests felt 'chased' away with not too subtle offers to pack unfinished dessert away. All in all, a disappointing afternoon tea experience!"
Thank you everyone! Highly recommended,"The rose veranda’s high tea set was amazing. All of the food really delicious and staff’s serve also perfect. Especially, Our lovely servers Christy and Allie. They’re really attentive and friendly. Thank you for making my mother on her wonderful trip to Singapore."
First stop for afternoon tea in Singapore,"Afternoon tea is on par with NY and London. Every bite is quality and value for money. Thanks to the crew - Christy and Mika for the excellent service. Chef Fritz, Shohbit, Darshine for a wonderful vacation kick off"
Shang ri la,Nice and Relaxing embiance . Thank you to Christy & Mika friendly services. Cheese cake is awesome. Will be back again
highly recommended!,"Friendly staffs, nice food and love the vibe the most! one of the best places to spend time with families and friends. Highly recommended!"
Enjoy good quality food in a relaxed surroundings,"Always enjoyed the high tea here as it includes a main course. And the main course is always delicious. There is an equal number of savoury and sweet items which makes the afternoon tea experience a balanced one. There is also a wide variety of good quality tea to choose from. And service at Shangri la is always impeccable. It has a view of the pool, surrounded by greenery, which makes the ambience a relaxing one."
Best Service Ever! Especially cheers to Christy,"We’ve been here for friends lunch. Service was top notch. Especailly Christy was taking care of our table with warm smile and service. I’ll definitely come back. Thank you for nice food Chef Fritz. Shobhit and Darshine. and Cheers to the team, Allie,Eunice"
One of the best hightea in orchard,"Everything is excellent Thanks the service team Christy ,Hani ,Alice and Eunice bringing the wonderful service. The food is awesome from Chef Shobit Fritz Will definitely visit this place again"
One of the best high tea at singapore,"Having high tea with family, excellent service. Have a warm welcome by Allie and Hani. Service are good by all of the service team, Christy,Hani,Allie, and Eunice have served us well with all the food serving and tea refilling , even we want to order some dessert for my kids they also able to fulfill my requirement.

Food are great, especially the free range chicken I have today, special thanks to chef Shobit and chef Fritz.

Will return visit again
Soon"
What a wonderful afternoon tea service!!!,Had a wonderful time with my family at the heart of Singapore. Such great cuisine and especially excellent service from staff named Christy and Eunice!! I want to visit the place again.
Rose Veranda was the best.,"The food we ate in a nice atmosphere was the best. The service was also excellent and I would like to thank Christy, Allie and Hani. Thx!"
Awesome Experience,"Good service from Rose Veranda team(Allie, Hani, Christy, Eunice) Delicious food! Definitely go back again"
wonderful experience,"went to have good time with friend and the staff, Allie, made my lunch the best of the day. She is kind and attentive. Defenitely I will visit again and recommand to others!!"
Incredibly good view and nice ambience,Thanks Khemika and Eunice for the great services. I really love the appetiser and tea. Will definitely visit again soon!
Excellent hospitality and services,"Special thanks for Khemika, Allie, Eunice, Hani, and Christy for the excellent hospitality services. Food is good overall. Highly recommended."
Love it here!,"Really sociable and patient service team! Amazing 3-set courses and excellent tea selections. Also, a big shoutout to Hani, Mika, and Eunice for their excellent hospitality in keeping my friends and I well taken cared of throughout our dining experience!"
