topic,review
What a find - amazing.,What a find. Loved the great service and wonderful food. We chose a ‘journey through India’ meal from the menu and it was absolutely fabulous. The service was exemplary and the recommendations were spot on.
"Excellent service,high quality food.","A warm welcoming,followed byan excellent service,with a lot of attention to details on order to please u.thanks Rohit for your lovely service."
Friend Birthday,We celebrated Bday their. Its awesome indian food. Feel like in india food. Speacilly garnish part is very nice. The person serving us Mr Rohit very kind and served all dishes in well manner also thanks All staff. Keep it up.
Below average for a Michelin Star,"Always looking for Michelin stars restaurant and loving Indian food our expectations were high. While the food was good and the server friendly, details were lacking such as dirty menu, bright lighting, and service not to standard for a Michelin star restaurant. I guess it would be a good restaurant if not Michelin."
Authenticity and luxury,"I have been to The song of India twice, both times I enjoyed my time. The staff is very helpful and attentive. The food is delicious and authentic. If you are looking for a luxury experience and excellent Indian food this is the place for you. I would like to thank the staff from The Song Of India for making my Valentine's day very special. I am very much looking forward to trying every single thing on the menu. Keep up the good work."
An amazing experience!,"Brought by my Fiancée for my birthday. Every dish and the accompanying sauces had a very distinct taste. Rohit, who served us, came across as someone who is very warm and hospitable. He took the time to explain the different courses to us, even how they made it. Even though we did like a tasting menu, they were very generous to offer more of the meat curries that we liked. The birthday photo printed on the spot was also a nice touch. The 2.5hrs here went by very quickly."
"Great place, amazing hospitality!","We chose to dine at ‘The Song of India’ on occasion of my wife’s birthday. Amazing hospitality, great food, loved the way Mr.Rohit treated us throughout our dine time. It was a pleasant surprise when Rohit brought a ‘cake with candles’ to celebrate a special day. Got a memorable gift, We loved it!"
Service By Thina,There is no words for me to explain how good the service was carried out by this man called Thina. He was so polite and kind and was answering all sorts of my questions regarding the food since it was my First time there. I would like to visit often because of his service
COMPLIMENT,The food was fine and was served by Thina and he was friendly and has excellent customer service quality
Great service,I was there with my family to celebrate my parents wedding anniversary . The food was good . And the service was totally amazing by Thina . Great experience
Birthday Dinner,"Awesome Service and food, Staff is very polite. And Welcome dish is thanks for making us a memorable celebration."
Song of india,Food very good services very good all good chef mural is very good food world no 1 food Singapore very good
Grate food at 'song of India',"I visited with my family for Singapore on vacation,we had lunch at song of India was grate specialty lamb shank,which was so well cooked,
With authentic flavour.
One must visit here for sure!
Thanks to 'chef mural'"
Booked Lunch buffet but there was no lunch buffet,How did Song Of India get a Michelin star?? The food & service was mediocre. Ops Manager never bothered to revert to me after I shared my experience. Will not recommend this over-priced restaurant to anyone.
Proper Indian food in elegant settings,"A wonderful, first class restaurant; with none of the pretense. Despite it's Michelin star, the food here is not 'stuffy': it is hearty and delicious. The restaurant itself is beautiful. Staff are so friendly and warm and chatty. Dina in particular really looked after me. The chef (Manjunath) also came out and said hello which was a nice touch. Highly recommend this place."
20 February,"Heard about the song of India is a Michelin restaurant. Book a reservation today n went to try it out. Really like the ambience and the food was great. Anita was really attentive to us. Clearing the plates n replenish our water once we r done, even notice my friend was feeling cold n handle her a shawl. Overall we enjoyed our lunch there."
What is wrong with Michelin reviewers? Definitely doesn't deserve a star,"When you go to a Michelin star restaurant you expect a very unique experience in terms of service, food, wine, etc. They don't have a tasting menu, only big dishes, so we could only try two dishes, the Tikka Masala which was ok (7/10), and Chili Prawns which were good (6/10). The service was like a regular restaurant in the beginning, then they said that kitchen was about to close and then they started to clean the tables, and no verbal description of the dishes, no Sommelier coming to the table, no contact from the Chef, etc. No Michelin Experience at all, and at 350 SGD that is what you are expecting. Definitely not worth it"
Excellent Valentine's Day lunch,"We had a quiet corner and were served by Rohit. He made us feel welcome, showed good knowledge of the dishes and obliged readily when asked to take photos. Food was excellent and portions were just nice. We had the set menu Journey through India and the items were tasty and jsut right
All in all, a perfect lunch"
Good experience,"It was a our first visit to this restaurant. Overall good experience.
Food and service was excellent"
Worst Michelin experience ever!,"Never have I been so disappointed by a ""Michelin"" starred restaurant. My husband and I decided to dine at The Song of India as a pre Valentine's dinner but I wished we would have walked out like some of the previous reviewers had...the decor was ghastly and outdated, the service was non-existent, the entire restaurant smelled like something was burning in the kitchen and the food was absolutely not up to par to deserve a Michelin star! We have been to various Michelin starred restaurants and this was an insult to the dedication and innovation of the chefs from the other restaurants. I don't know how this restaurant achieved a star...the presentation of the food was loveless, we had to keep the same cutlery for the entire set menu (aside from dessert) and the food (though ok) was dull without any surprising twists. We could have gone to any Indian restaurant and gotten the same for less money and probably in a nicer setting. Never again."
I was there with my best friend and brother,"I was there with my best friend and her brother to celebrate his birthday.
The place was beautiful and the food was delicious from the buffet spread.
Though it was not an elaborate spread, the quality and taste were wonderful.
The servers were friendly and professional.
Especially Prasad who was always smiling and he helped to take a picture and the postcard given was so memorable.
He is a good listener and helped to cut the cake as requested and he showed his professionalism in the way he delivered his service and good situational awareness.
Thumbs up to Prasad and the rest of the team!
Please keep up the good work!"
