topic,review
Amazing service and food!,My boyfriend and I came here for dinner after seeing a friend’s post. We were pleasantly surprised and fell in love with this place. The food is super worth its price and the staff were absolutely great. We highly recommend the lobster bisque and seafood risotto! Will be back here again for sure.
French Toast? French Kiss? More like French Serenity.,"You would think naming a restaurant “The White Label” doesn’t necessarily constitutes to an F&B establishment but boy, have we ever been more wrong on this beauty.

Their spicy linguine is a MUST-TRY and especially their chocolate hazelnut as well. The Hokkaido Pan Seared Scallops is not too shabby either. Overall, delicious halal French cuisine with a local touch. It’s got my vote ! ✌"
Dinner was amazing!,Food was absolutely delicious. Wonderfully executed and super value for money. Would recommend to try everything if I could. Will definitely see me again.
Birthday Dinner,Very great service provided and great Halal French food served. The ribeye steak was nicely spiced n seasoned
10/10,delicious food. Great service. Highly recommended. Thanks alot for the bday slice cake and a bday sang by the waiter.
Brunch,"The ambience, service and last but not least the food was excellent with nice portion and definitely will come back again."
Dinner,"Steak was good drinks were great and loved the complimentary cake , beef wellington was tender although i didnt like the taste of the black sauce that was underneath it."
Awesome Food Excellend Service,Lobster Bisque was the best one I have had. Staff was excellent and accomodating when we had no reservation
Really good will comeback,Great food as well as service didn't have to wait for very long for the food as well. The service was great.
Best food,had a really good time there good food good vibes good environment good service…………………. Bestest food ever
Wedding Anniversary meal at The White Label,"We celebrated our Wedding Anniversary with a meal at White Label. We left the place with the widest smile, which was just the start we were hoping for."
First Visit,Lovely first time visit. Very nice food and good service! Sweet potato fries with their home made sauce (asian fused mayo) is so flavourful. Squid ink with a unique Malayan taste. Beef cheeks pasta are also well done! Thank you for the lovely anniversary surprise!
"Delicious food, friendly staff and awesome vibes!","Love the truffle salmon linguine, tiger prawn linguine and ondeh ondeh gateau!!! Will definitely bring my friends here!"
Brunch @ The White Label,"High tea was worth it, enjoyed a little brunch date with mum here and they did not disappoint. Friendly staff, great food!"
Awesome food!,The food was superb! We all had our fill and dishes were served meticulously. The servers were also a delight! Overall it was a fantastic night to celebrate my birthday.
Birthday trip,Great service and food!Would highly recommend for intimate occasions with family. Thanks to the staff for great service!
Anniversary dinner,Fabulous dinner! Kind and helpful staff taking an extra mile to check on customers. They indeed check the information on the booking and offered us anniversary cakes. Thank you white label for memorable dinner
Birthday Celebration,Absolutely amazing service and the food was 5 stars and more. Loved every single bite ! Definitely coming back again! Thank you for the complimentary birthday cake and singing for me on my birthday!
"Great atmosphere, Great food, Great service","Great atmosphere, Great food, Great service. Will definately make a comeback. Highly recommended...."
Unique dining destination,"This place transports you to Paris, commonly known as the city of Light. Unique French Malayan cuisine is served here. I had a fork-tender pulled beef placed in a flaky shell which was topped with a garnish of chili that was delicious. It was on the menu identified as TWL's Vol Au Vert. Safe room for dessert."
Dinner cum birthday surprise,"Food was delish, service crew was amazing. Thanks Ain for the birthday surprise and complimentary birthday cake as well!"
Wedding Anniversary Celebration,Food was superb. Staff was efficient and friendly. Thanks for the complimentary cake. Preciate it lots. Definitely recommended to all to visit this place
The White Label SG,"I'm very happy with the food, i ate the Beef Wellington for the first time. But it's very expensive because for the first time i had my food in ""The White Label SG""."
Amazing food and service!,5 out of 5 amazing service and great quality of food! Came in to dine for a friend’s birthday celebration. Additional they surprised her with a complimentary cake too. Will definitely come back! thank you!
