topic,review
Excellent food and service.,"The staffs were very detailed in service n recommendation. Had our CNY reunion lunch here n I must say the food is really good. Especially love the huge yusheng n cod fish is a must !!!

A great shout out the the service staffs n chef. The attention to details is fantastic made our experience very memorable as a family.

Orh nee is a must !!! Delicious n very well done"
Tien court,"Came with family for cny. Excellent food for the value. Friendly staff and service. Would highly recommend! Special thanks to Kinki, Ah Ho and Joanne."
Dining,"Execellent food, will be back soon Just book for CNY. My friend also book for their next visit as well."
Above average,"First visit, the double -boiled beauty collagen fish maw soup was okay.
The pomfret fish with tomato and pickled vegetable was also okay, pretty ordinary dish.
The teochew poached crispy with oyster was good, can repeat order this dish.
The home made Tau suan was okay better than the one at my hawker stall.
All these are their signature dishes. Total spending = SGD91, worth it?
Ambience okay and normal customer service."
Really good food and service,Food and service was good! All the staff were so friendly and efficient. Very positive vibes. A special mention to Kinki Teoh who was so patient with our requests and always so friendly and efficient. We will definitely come back again!
"Great food, must try",Would recommend this place. The food is good and the fish maw soups are a must order. Would be back again
Tasty Food,"Must try the cod fish cubes that were deep fried. The prawn mayo balls were also superb. First time visiting and definitely not the last.

Will be back for more!!"
Mother’s Day menu 2022,"Appetiser was a prawn/lobster ball, another course was one single spare rib. Requested for xo sauce in the noodles to be served separately but this was forgotten. Very very average experience for the price."
Excellent service and a great dining experience,"Very much enjoyed our dining experience, excellent food and service by our waiter Chris, who was always attentive and pro-active in making our lunch enjoyable."
Tien Court Restaurant,Superb food and service. The restaurant manager was informative and provided excellent information and recommendation.
Best Teochew food in SG,"Finally got round to tasting the food here and every serving was licked clean. Not only was food plated beautifully, tasty without leaving you thirsty, the wide range and quick service was such a delight. free parking too (complimentary carpark coupon issued when paying the bill). even if not a member, can still get discount with OCBC or UOB credit cards."
Excellent service,Outstanding service especially with manager Joanne Ooi makes me wanted to come back again.Approachable and knowledgeable
TIEN COURT Restaurant,Very polite service amd food is really delicious. Must try DEEP FRIED GLUTINOUS DUMPLING with MINCED CHICKEN. Wrap/skin is thin n crisp.
Waited 1 hour for my 3rd dish,3rd visit here. Ordered the set menu. Worst service experience I ever had in a restaurant. Restaurant is not crowded but waited for 1 hour for my 3rd dish. Worst is even after the dish they don't even bother to clear it.
Fantastic service and nice teochew food,"We went to Tien Court restaurant to celebrate new year and a birthday lunch. Service was excellent; Chris was very attentive to our table. We enjoyed the food , particularly he Black Pork dish (second picture); if you go to Tien Court, you definitely should order it! It was a good meal to start the year !"
Fantastic service,"Went for NYE dinner and was served by Chris. Very friendly and attentive. Thumbs up . Goodness pretty good as well but the salter egg prawns was below expectations, as we can't really taste the salter egg"
Excellent food and service,"It was my first time at the restaurant. The moment we entered the restaurant, we were greeted with warmth. We arrived at 630pm and restaurant started getting crowded by 7 to 730pm. It has a cosy and homely feel which I like. The staff were attentive and obliging. The Teochew style food is delectable and suited my palate very much. I had the pig stomach soup. The pig stomach soup is a combination of pig stomach and salted veg duck soup. I like both soups so I find the combi delicious. I love the tau suan with orange peel too. Very refreshing after taste - best dessert to end the meal with."
great experience,"good food, good service:)
had a great experience here
staff was very friendly
overall it was an amazing experience."
First timer,"Good food, good service, good experience, good wine
Even though, it was my first time here but the environment was my welcoming"
Great service,"Carina and team given us a great and awesome service
Will be back for more next time
Keep it up for the great service"
Hidden gem and a shame it is totally under the radar,"I was thinking hard of where to go for my dim sum and decided to give Tien Court a try after the usual suspects of Wah Lok and Hua Ting are full.

The ambience is elegant and the service staff are professional, pleasant and display a good balance of prompt attention but unrushed service.

Every of the 9 items we chose was immaculately cooked. We particularly loved the yam dim sum and prawn dumplings. Both are way better than all the branded restaurants we have tried in Singapore.

The only negative point is a relatively short list of dim sum. But we said we will return."
Regular dinner,"Excellent service and food from the Tien court team.

Good food, recommendation and hospitality

We wish the best for them in these difficult times"
Great brunch spot,The service rendered by Chris and his team was excellent! And the food was amazing! I would definitely come back again and recommend Tien Court to friends and family!
Nom Nom TV- valent’s edition,"food was fantastic! loved the plating and garnish! absolutely adored the black sea cucumber and abalone in oyster sauce ❤️❤️ crispy on the outside, soft and savoury in the inside saliva drop drop with the prawn and cabbage roll and crab meat!! hao chi orh!"
Tien Court,Nice cosy place for dinner. Good recommendations on dishes by Chris. The promfet needs some improvements. The chicken and the fish maw with fresh prawn is nice.
Wonderful restaurant ❤️,My family went to the restaurant for Mother’s Day celebration. The restaurant provided quality food and top notch service. Recommended food by Zhiling are so yummy. Food is reasonably priced. Thanks to the team for their excellent customer service. Definitely an under-rated restaurant. We will return!
Tien Court Dim Sum,Very good dim sum and service from Chris! The other dishes were crispy and hot which makes the whole experience very enjoyable.
Birthday dinner,"Well service provided by the staff especially Si Yuan and Joanne who are well trained.
Prompt services especially helping us to do the cutting of cakes and packing of food."
Tien Court King's Copthorne,"Teochew style Chilled crab around 400g was fresh and meaty. Do try Signature crispy noodle, worth to wait."
Ala Carte Buffet - Value for Money,"The last we went to Tien Court was like 20 years ago. Back then, food was superb & taste good.
This time, food was good too but kind of not as good as compared those years.
However, service was prompt and fast and the staff were warm and friendly."
Fantastic service. Authentic cuisine,"Fantastic service.food is good and staff is attentive.

Have been here for the original Cantonese dishes."
Delightful dining experience,"Delicious food, pleasant ambience, excellent service. Thanks to Chris for the exceptional service and friendliness☺️ Will be back again!"
Good Chinese food!,Good service and good food! Relaxing ambience too. Came to dinner with my family and parents really enjoyed.
Top Notch Service & Excellent Food Quality,"This is my first visit to Tien Court, my family and I were totally won over by the food quality and staff’s service.

Chris Toh was the staff who served us and he was a marvellous multi-tasker. As there was a wedding lunch going on, could tell that the restaurant was seriously under-staffed, Chris was simultaneously serving 3-4 tables but that did not affect the quality of service he delivered at all. He made great food recommendations and was very attentive, making sure that our needs were well taken care of.

Food was of high standard and portions were reasonable. Had dim sum and a few a la crate dishes for lunch, we would definitely return to the restaurant for more meals."
Enjoyable dinner at Tien Court,Had an excellent dinner with family at Tien court with impeccable service by Chris. The dishes suggested were tasty! Heard menu changing on 1st May
Tien Garden - Great Food & Service,"Have dinner at Tien court with wife and friend. Great food recommendation and service by Chris Toh!

Food was great too!"
Superb Cantonese Food Corpthorne King,"Great service, value for money and authentic ambience. Easy for folks who are driving as the parking and restaurant proximity is quite near.

Special mentioned of this super attentive service staff; from picking up the call to place reservation till bidding farewell at the restaurant, they fared really well in all angle.

Portion of staple food can be improved. That is my only feedback. Rest I can say it is all compliment.

A gem of restaurant under MCIL group.

Tips: one of the best Yam Paste with Ginko Nuts that I had in my life."
Delicious Cantonese cuisine & great service!,"It was our first time here and we celebrated my husband's and auntie's birthdays. Food was delicious, price reasonable and I'd like to thank Chris Toh for his excellent service. He even arranged complimentary longevity buns for the birthday peeps. Worth a visit!"
CNY 2021,"Cny set menu is delicious esp the braised pork. Service is excellent, staff are attentive to our table. Highly recommended!"
Dinner at Tien Court Restaurant,"We have always enjoyed the food her. Joanne the restaurant manager is attentive to our needs and very friendly. She makes our visits more satisfying. Their new captain Chris is a delightful addition.
Thank you Tien Court."
Dinner for the family,"Chris Toh is an excellent service staff. He recommended very good dishes. Pork shang with dried oysters and black moss what an apt dish fir CNY. Stir-fried beef cubes in Japanese style, fantastically tender. We enjoyed every dish.
Carpark is easily available. Check in was smooth. Very good dining experience."
Excellent Chinese cuisine,"Excellent Chinese food and dim sum , excellent service . Our server Chris was really helpful and attentive."
