topic,review
Starting a new year right,"It was just wonderful to be able to go back to Raffles Hotel and have dinner once again at the Tiffin Room restaurant.
There have been changes made to the restaurant, which was to be expected as there have been changes to Raffles hotel entirely.
We arrived in time for our dinner table and were warmly greeted and informed the table needed to be free by 8:45 pm
The furnishings and furniture had been changed, and one thing that was missing were the tables that used to have all the wonderful curry options etc available. Instead was a long table with bottles of wine and glasses place on a perfectly white linen cloth.
We were shown to our table and there were hats for gentlemen and tiaras for the ladies and little things that you would use to see the new year in.
The menu was quite detailed and we chose our own appetisers and main choices. I very much appreciated that we were able to have a pause between the courses, thank you.
The food was delicious, the wine perfectly cold and water was replenished if required.
It was our 30th anniversary together and there was a small desert from the kitchen.
Thank you for making this evening wonderful and memorable.
Hope to see you again."
An experience,"Located in the Raffles Hotel complex, The Tiffin Room oozes that old colonial vibe.

From the staff uniforms to the decor and ambiance, this is certainly a venue that impresses even before you have eaten.

Service was good, the food was good and yes it was expensive (but that's just a Singapore thing) however I had a really pleasant evening and am glad I went. Yes I could get a better curry for less money elsewhere in the city but this is one of those places that is more than the sum of it's parts thus you go for The Experience and not just the food"
"Average food at best, worth one visit for the ambience but would not visit again","The food was average, at best. You would pay good money for the ambience, but not so much for the food itself. Several other more affordable Indian food establishments in Singapore serve much better and more authentic tasting indian food. The food might appeal to the non indian palate perhaps and maybe the food is intentionally made to be bland to cater to wide ranging preferences.

Service was average, too few servers to cater to the weekend crowd. Took some time to catch their attention for service. Otherwise, the servers were friendly.

The seating, table arrangement, crockery, etc was not worthy of a fine dining establishment. No place mats and no spoons provided initially for the food. Had to ask for it. No bowls provided for the main dish curries either."
Great dining experience,"Everything about our dinner was fantastic, the ambience, the service and the food, a very enjoyable evening. The waiters were very attentive and efficient, each dish had an amazing taste, ."
Excellent food,Classic Indian food at the Tiffin Room. Absolutely beautiful setting in the Raffles hotel. Very classy. Must go if you are in Singapore. Friendly staff and excellent service.
"The days of British quirkiness are gone, shame.","We are long time visitors to Raffles and are pleased to have finally seen the latest incarnation.
The Tiffin has always been a favourite although it has changed substantially.
The renovations are thorough but sadly some of the old character is gone.
This is now a smart restaurant with decent Indian food but the food is like the decor.
The place needs to regain its soul.
The restaurant does not particularly feel part of Raffles as it used to.
Those who visit for the first time will appreciate it as is now."
Beautiful setting but disappointed in lack of warmth of service,"Lovely setting in the iconic Raffles hotel. Had booked on line and had noted we were celebrating my sisters birthday. Sadly no reference was made to that during the visit. Service was brisk and efficient but I found very cold and almost sterile. We all opted for the mera dabba ( tiffin boxes ). Food was delicious and we all enjoyed our meal. For a £300 lunch for four was slightly disappointed in our experience.
We had had a meal in little India which we all agreed we enjoyed more!"
Classy experience,"A lovely Sunday lunch experience amidst colonial styled architecture themed restaurant. Its a composed place and one can enjoy the food while engaging in a conversation. Food was fantastic, service good too. Ideal for celebrating special occasions."
Tiffin Room is a wonderful Indian restaurant. Dolce Vita is a desultory restaurant pretending to offer Italian cuisine..,"Last week my wife and I were in Singapore. Two of our dining experiences were at the Tiffin Room in the Raffles Hotel and Dolce Vita in the Mandarin Oriental. My goodness, what a difference! Both are said to be well-regarded but whilst the Tiffin Room was outstanding in both the quality of the food and its service, Dolce Vita's food was unsatisfactory. In fact, the cooking there could be described as borderline amateurish. For example, we have eaten Vitello Tonnato all over the world and love it. However, rather than the delicate thinly sliced veal with a touch of tuna sauce we have had elsewhere, we received thick pieces of veal heavily laden with a sauce that had the consistency of peanut butter. Frankly, it was terrible. The main courses were little better. The seafood was reasonable but otherwise unremarkable and the pasta was barely acceptable. Unfortunately, al dente is not in the chef's vocabulary.
On the other hand, the food at the Tiffin Room was authentic, beautifully prepared and delicious. We shared several dishes accompanied by naan bread and condiments all of which were excellent.
The meals including wine at both restaurants were about the same price so if you like both Indian and Italian food, the Tiffin Room is certainly superior."
Delicious Indian in an iconic setting,Fabulous food - delicious with a great choice. Fabulous setting and service of a very high standard.
