topic,review
Don’t even try to compare this with the original in HK…,"This is my rating for the Waterway point branch but I don’t think it’s significantly different from other branches, right?

For those who are aware of the ORIGINAL tim Ho wan offerings when it came to Singapore years ago, the current version pales greatly in comparison. What I missed most of all was the liver Cheong fun which has been removed.

The prawn cheong fun is expensive, really, for an eatery like this. It may be good, but note that many other places today in Singapore can whip up a similar standard. That cheong fun costs the same as a bowl of steamed chicken and mushroom rice, which shamefully did not come with Hong Kong preserved sausage.

Service may be good but it can’t make up for the sad menu and disproportionate pricing of its items."
Definitely not worthy of a michelin star,"Went to great world branch. Very disappointed. Would be a great insult to the michelin star. We ordered the pork and century egg congee which was tasty but by no means world class. The one we had at Imperial Treasures was much much smoother but as this was half the price, we would still have given it 4 stars. The fried shrimp beancurd skin was too oily. We had shrimp dumplings and spinach and shrimp dumplings, both were slightly above average. Then we had the salted egg buns which were a disappointment. The filling were not quite solid as opposed to the usual hot liquid filling. It tasted grainy. You could actually chew on the grains. Then we ordered mushroom and truffle buns shaped like mushrooms. These cost about $10 for 3. All I can say is do not bother. I coupd not make out either the mushrooms nor the truffle taste. I would suggest that you try the ones at social place in Orchard. All in all, I would probably not bother going back. For this price tag of more than $50 for 2, it is only average in quality with a few items below par"
A sad surprise,The experience was OK. Staff very polite. They placed cutlery and hand wipes on table before food arrived. I used a hand wipe. My husband washed his hands and didn't use the 2nd handwipe. At checkout I was charged for the handwipes. The handwipes had no price on them and were not mentioned on the menu. The point is there was no indication they would cost the customer. Surely they can't charge without telling you beforehand.
Perfect Dim Sum,"We had a fabulous lunch at Tim Ho Wan. The Don dim was prefect, so delicious. We can see why they have received Michelin Stars every year. Wish Tim Ho Wan would open up a restaurant in Seattle, WA!"
Dim sum,Popular hong kong dim sum chain where you don’t have to queue up for now. The pork buns still great. The other items are ok. Ok service
Simply HK Dim Sum at its best!,"The One Michelin Star restaurant is great for business and family HK dim sum lunches. With a variety of good and affordable dim sum dishes that are favorites with both the old and the young, it is one of the restaurants to go if you want to embrace HK dim sum."
Worst Tim Sum In Singapore,Had lunch at Westgate branch. The quality and taste of the dim sum/food have deteriorated tremendously. The quality and taste are worst then those dim sum sold in coffee shops and hawker centres.
Restaurant Manager,"Went to this restaurant on 9th Jan 2022 with my family. The person who approached us as we lined up outside the restaurant was rude in his approach to us. I just brushed it aside as I did not want to ruin my Sunday lunch. Later when I was having my lunch, I heard a loud altercation between another customer and the same person. Obviously this manager has a problem that needs to be dealt with.

The food here is very good and the rest of the service staff are very nice. One of them told me they also have issues with the Manager when I tried to provide feedback."
On my list of go-to places again?,"I’ve frequented Tim Ho Wan since they opened their first outlet in Singapore but over the years could never find a reason - most likely grew tired of the same dishes.
I brought my family to the outlet at Jewel & was surprised that I pretty much enjoyed myself this time because my kids liked the dim sum very much!
Service can be improved though but overall it was a good experience.
Hope to see menu change so that there is a reason to go back again."
Good Food Good Mood Tim Ho Wan: World Renowned Cheapest Michelin Restaurant Most Famous For Its BBQ Pork Bun & Egg Tart!,Good Food Good Mood Tim Ho Wan: World Renowned Cheapest Michelin Restaurant Most Famous For Its BBQ Pork Bun & Egg Tart! #goodfoodgoodmood #timhowan #worldrenowned #cheapest #michelin #bestrestaurant #mostfamous #bbqporkbun #eggtart
Cantonese Cuisine,I had a lunch meeting at Tim Ho Wan at Plaza Singapura Mall. The restaurant is located in a prime spot opposite Starbucks. We had a short wait and were escorted to a nice table. We quickly ordered and within minutes our food was served. The dim sums were delicious. The menu is quite elaborate and the taste is quite authentic. We enjoyed a nice meal. Service staff was friendly. Food looked good and tasted good too !
Much improvement since last visit more than 2 yrs ago,"There has been much improvement in the quality of the food.
1) noodle with chicken fried - Good. Noodle fine and not sticking together. Not found in any other place.
2) Pork rib with yam rice - excellent. Good fragrance and tasty.
3) Fried carrot cake with prawn - Well fried. Excellently done.
4) sweet vinegar dumbling - less vinegar now, Better more soury with vinegar.
5) All others same as other places."
