topic,review
Delicious Italian food,"Our 3rd visit here, and never disappointed. Fresh, generous portions. Pasta, meats, seafood; limoncello- all delicious"
Hearty Meal at an Italian Home,"Dining is an adventure that engages all senses. Part of the excitement is discovering new tastes and textures of food, and another part is like a mini travel to a new place and immersing oneself in it. And at Trattoria Nonna Lina, I get exactly what I'm looking for: enjoy a good unique meal at a place like no others in Singapore. Yes, the place feels like an Italian home, super cosy and full of personal touches.

Frittura di Calamari is served in very generous portion, perfect for sharing, but I have no problem finishing it by myself since deep fried squid rings are easy to bite. Tartar sauce is thick and creamy, more nuanced in flavours, going very well with the calamari.

But the real highlight is the arrabbiate sauce, yes, that red sauce. I seldom get arrabbiate sauce served with calamari at other Italian restaurants, so this is quite a new experience, and a good experience at that. With tomatoes as base, this sauce has the refreshing tangy taste that balances well with the seafood flavour of the squid. What makes this sauce special is spicy element from the garlic and red chilli peppers that really kicks things up a notch.

I never knew just chopped tomatoes with herbs and spices on bread can be so good until I have them here at this restaurant. Definitely another unique experience and the spread being handmade really gives that homely feel. The toasted aroma of bread accentuated by the zest of the tomatoes and the pungent flavours of the herbs + spices. The refreshing juices of the tomatoes also goes very well with the crunchy, crispy texture of the toasted bread. This is so good. I also like the pretty tongs that come with the bread and also the calamari, giving that ""Come help yourself to these treats"" vibe.

Lots of Italian restaurants serve spaghetti but not many serve gnocchi. And this restaurant is one of the few that do. Actually I love gnocchi due to its slightly chewy texture of potato starch. So when I see Gnocchi Mare e Monti on the menu, I immediately order this. Again, this dish has that homely feel where the chef adds in lots of goodies such as large prawns, smoked pork jowl, porcini mushrooms and special secret spicy sauce, which is like wanting the family enjoying a yummy and nutritious meal. I also love this dish a lot. It is so full of flavours and the spicy flavour makes the taste exciting.

Panna Cotta comes in pretty generous portion. The milk pudding is full of milky goodness and is of perfect consistency, being soft and jiggly smooth. The alcohol within adds a kick and refreshing taste to the milk. A very nice dessert to complete the meal with.
Checkered tablecloth, Italian memorabilia and collectibles, quirky quotes and Italian posters, this place is full of personal touches and really feels like a cosy, rustic, comfy Italian home. The service is very welcoming. The young service staff is very efficient, friendly, knowledgable and quick to response to requests. One special noteworthy gesture is that he straightaway pull out a chair to place beside me to put my bags. That's so thoughtful! the Italian guy will serve the dishes with lots of gusto, livening up the atmosphere to make it feel like, well, a home gathering.

Dining here is an experience like no others. This place is definitely worth a trip for that unique experience and the good food, of course.

Thoughts: Loving the Heart-warming Homemade Food here!"
Best Ever Gnocchi Gorgonzola,"Came here for dinner with a friend and we experienced the best Italian food restaurant in Singapore and with the tastiest and most irresistible Gnocchi Gorgonzola dish ever. We also had other classic and typical Tuscan dishes that were magnificent, like the ""poor man dish"" tribe - just wonderful. Not to mention the home made Tiramisu - to die for!
Tuscan food is undeniably delicious - and the ambiance and vibe of Trattoria Nonna Line is top rate too. Will for sure be back - SOON!"
Brilliant restaurant,"If you are visiting Singapore then this is a must place to eat. Run by two brothers - one is the chef and one is the maitre d'. Food is outstanding and not expensive. Wine list is vast, not expensive and great wines - as we found out!!! Will visit again in a heartbeat. The only problem we had is that we found it too late in our journey and couldn't return!! Thx to all."
delicious,food is scrumptious and waiter come strait away i like the beef the best the spaghetti is very nice too
Authentic Italian Cuisines,"food is perfect, but its quite pricey if you order the steak. The ambiance of the restaurant is very italian trattoria."
"Excellent service, spectacular food",Third time I’ve been back and it’s superb as always. Food is very worth it and true to it’s Italian heritage. A must try if you love Italy
Fabulous,I think it was one of the loveliest pasta places that I’ve been in Singapore so far. Food was lovely and I totally recommend it.
Truly italian!,Both the food and service were excellent though a tad pricey but definitely worth it! Food also arrived pretty quick! Would highly recommend!
Excellent!!,Excellent food and wine The staff is friendly Will visit again Will also recommend to my friends and family
Perfection,"It was nothing short of spectacular and perfection - we had been searching for our go to Italian restaurant for a long time and so glad to have chanced upon this gem! The decor is cute and cosy, makes you feel like you’re in Italy + food quality is amazing with generous portions. The bill comes out to the same place as if you dine elsewhere but this is SO much better!

Not sure about why others gave bad reviews on service as everyone in the restaurant were friendly and accommodating to all the guests on a busy Friday evening.

Would give 6 stars if I could! We will be back soon and often!"
Will be back,"Good food and service, and the place was really clean and nostalgic. Loved the story/ intro to the restaurant which is written on the first page of the menu. Felt cosy!"
Food is very good,"cosy and nice ambience to dine in. We had the burrata, bruschetta, meat platter and crab meat pasta. Everything was on point. Very decent dinner."
A corner of Italy in Singapore with authentic Italian cuisine,"From the typical Italian trattoria decor to the menu and the food itself, a truly authentic Italian experience. Excellent service, atmosphere and food!"
Marvellous,Enjoyed my Birthday Celebration at Nonna Lina. Feels very much cosy and at home. Food was tasty and I ordered Carbonara di Mare and smoky bacon enhanced the flavour. Lamb rack is never on my list but I thought let's give it a try and never regretted my bold choice. Perfectly done with great fragrance and tasty.
Usually reserve this hotel for last evening of Singapore Business trips,Restaurant came recommended by friends and is one of the best Italian restaurants I've eaten in anywhere. Food and service is excellent. Looking forward to next SG trip so I can experience once more.
A hidden gem where you feel at home,"We had a great experience at Trattoria Nonna Lina. Loved the decor, the fresh ingredients, authentic and delicious cooking. Highly recommend the clams and mussels for starter, the tagliatelle with tomato and beef sauce and their chocolate rum pudding. A place where we’ll return again and again. :)"
Excellent food in a small cozy restaurant,"Love this place so much. Excellent food, great service and a very nice ambience. Pity no music is allowed due to the restrictions or it would have been perfect. Highly recommend the grilled seafood. Came in a mix of crayfish, prawns, scallops, squid and vegetables - all grilled to excellence.
Maybe one tip for the restaurant is to tone down the spotlights as it can be a little glaring.

I would definitely be come back."
Fave Italian Place in SG,"3rd time visiting this place in a span of 6 months coz the pasta is just soooo good. I love the homely feel of the restaurant as well. This place reminds me of my trip to Italy with the vibes of the restaurant and the taste of the food. Service is great as well.

will definitely go back again. and again. and again. PREGO!"
Definitely worth a visit!,Nice and lovely place with great food and great ambience! Such wonderful and friendly staff members. The pastas are a must try!
