topic,review
Company CNY Lunch 2023,"Held a company lunch and pre-order their CNY set lunch for 2 tables at the Fairprice Hub- Joo Koon. The experience was extremely disappointing. Though we were given VIP table but there were no table setting when we arrived. Waited 35 mins for the food to be served and 4 dishes came at the same time and without the Lohei which we had pre-ordered too. Their reason was there is a shortage of ingredients. Service staff didn't bother to serve the shark's fin soup, its ""help yourself"". No bowls and spoons provided which we need to self help too. Its like putting you in a VIP room and forgotten all about you! No drinks were served even though we would like to place an order.
Its a complete disaster. Taste of the food is below average for a restaurant standard even for the crab which they are proud of. The crabs are not even probably chopped. There is also no manager in the branch to manage the restaurant which is strange. This is like a zichar stall charging a restaurant price.
I would not recommend if you are hosting a lunch or dinner. Maybe standard hor fun or 1 dish rice set can be considered.
Certainly not worth paying this price to get yourself embarrassed along with a bad experience if you are hosting or as a gathering venue."
"Excellent food, but disorganised at Reception","Staff at reception was disorganised - served customers who had no reservations over those that had ready tables waiting. But besides that, service after seated was great, and the food was excellent as well. Will come back, but avoid peak periods."
Disappointed by an old favourite,"The Tebing Lane Uncle Leong has always been the go-to for birthday celebrations in the family, where we order almost the same dishes each time. This time, it was quite disappointing as the service was no longer as prompt (and server to guest was even better than covid times) and the crabs and broth didn’t taste as fresh nor as evenly cooked as previously (we’ve had better ones even during seasons when crabs were scarcer or not of great quality).

The usual staff/manager were not around so we’re not sure if there has been a change in management. For the standard, there are many competitors which are on par for about the same price. Sorry, but this outlet has lost its unique proposition for us."
Crab Bee Hoon,"Signature Crab Bee Hoon. Freshly cooked in a claypot and accompanied by lime juice. Other variety of crabs - Chili style, Black Pepper, Salted Egg available too. Ample parking. No queue."
Excellent seafood in a suburban district,"This restaurant is off the beaten path, but it may be worthwhile driving up here to eat. No frills, solid seafood cuisine prepared with strong fires and passion.

Of note, the pumpkin prawns were a delight. Crispy prawn balls with a sweet creamy pumpkin sauce. By mistake they served us the butter creamy crab instead of chilli crab, but we were pleasantly impressed. Guess we were also lucky we came on full moon, so the crabs were very large-sized. The flavour was just right, not too overwhelming. Crispy fried baby sotong was lovely too. Interestingly the garlic fried pork ribs were very good too!

Beverage selection was limited but I suppose it’s alright since it has decided to stick to its forte which is good seafood.

I would be happy to come back some time, to try out other dishes… see if the rest is as good as those of my first encounter."
NOT RECOMMENDED,"BAD BAD BAD BAD BAD.
Came on Mother's day with my family (5 pax including my mum).
On the mother's day set menu, it has superior crab roe shark fin stated for mummy only. So when we received only 1 bowl of shark fin, i checked with the staff only to find out that only 1 mummy per table gets the shark fin soup. All other mummies who dine together are not eligible. But it's mother's day? and it's a mother's day set menu? Lol. how ridiculous.
Rice was also not part of the set meals but was not mentioned to us during ordering until we asked when the mains were all served.
The Shimmering Sand Crab was terrible too."
Everything is so so.,Price is no diff from Jumbo seafood. Jumbo seafood chilli crab is really good and they surely their fish is fresh too. At uncle Leong the chilli crab n fish were disappointing.
YUMMILIOUS!,"Uncle Leong is still superb, still serving delectable and fresh as before. Highly recommend all to come back to support them."
Birthday Dinner Celebration,"Service from the servers were below standard just as what other reviews mentioned. Only the cashier which might be the owner is friendly. Gloves were not issued to us even though we ordered $200+ worth of crabs. Made the booking 2-3 weeks before but was not granted an indoor seats.

Food taste and quality was acceptable, however the crabs were not serve hot like its fresh from the kitchen. For the price charged, i think it can be better."
Awesome butter crab,"The queue can really be long ( for us it took 1 hour plus) and its really worth it. Butter crab was awesome, we had it with salted egg brinjal and a few bottles of beer. Setvice was very good and waiters were really attentive beyond the expectation. One Improvement point is really limited beer selection. But prices were much reasonable compared to its equally famous peers."
Way below expectations,My neighbourhood zi char is better. That should be my first and last time to this restaurant. Wouldn't recommend to anyone.
Nice place. Good food.,"Came here with my family for dinner. The location was a little out of place (Tebing @ Pungol East) but the restaurant and atmosphere kinda made up for it. Went there at 530pm and we were the first customers for the night. Overall, the food was not bad. Good thing about this restaurant chain is that the food served here is not overpriced as compared to some higher-end Chinese restaurants out there like Jumbo and No Signboard seafood etc.

Cons:
For Chinese tea lovers/drinkers, there is only tea with teabags there. No pu er cha or tie guan yin. Just fyi. Desserts are rather limited in choices with only two selections."
Very unique location to have meal,1st time to this seafood restaurant during COVID period. Staff are responsible for the safety and hygiene and follow closely to he regulations. Well serve and food is nice.
Suggest to go there for non-seafood dishes,"We ordered crab, prawns and other non-seafood dishes. With the price we paid, we expected better quality from this seafood restaurant. However, the size of prawns are rather small, hence leaving one unsatisfied. Crab had an average taste, falling below our expectation. Other than seafood, the other dishes are fine."
Chilli crab was good,"The chilli crab was different from the usual. Not the usual tomato sweet kind and had a nice spicy kick to it. I really enjoyed it. The salted egg prawns were decent. The prawns were fresh but would have preferred more of the salted egg taste. We had the scallop and tofu as well. The scallops were rubbery and not fresh, the tofu was alright. The cuttlefish youtiao was below average. This is the only dish I won’t order again."
Yummy & affordable,Enjoyed the yummy zhichar dishes. Friendly staff. Good outdoor setting. Friends surprised with the big selection of menu. Easy to book. It’s a gem in Punggol.
Enjoyable dinner,Their black pepper and beehoon crabs were superb and so were their non-seafood dishes. Service was attentive and recovery quick!
"Nice Ambience, Grest Seafood and Reasonable Price","Visited the restaurant with friends for dinner. Ordered their signature dishes like Shimmering Sand Crab, Guinness Pork Ribs, Chinese Spinach with 3 types of eggs and Fried Mee Sua. Food was good, generous portion and price was quite reasonable.
The ambience of the restaurant was also very nice, next to cannal but do watch out for mosquitoes and sand flies if you are sittnig in the open.
Staffs were helpful and friendly. Will definitely visit again."
Bad Service from Waitress,We encountered very bad service from the waitress who took order for our food. Sort of rude and seems like getting very frustrated
