topic,review
One of the best Unagi restaurants in Singapore,Have gone there multiple times and the unagi sets are always delicious. The portions are also very generous and the service staff are friendly.
Authentic Japanese vibe and cuisine,"Order salted hitsumabushi and nagayaki (sauce) salted eel served with fresh wasabi, very tasted. Sauce one is very delicious. Highly recommend! we will definitely visit again!"
Birthday celebration @ Uya,The restaurant allocated us in a room because I stated that I was having a birthday celebration. It was really thoughtful of them and the food was delicious too. Our unagi set meals were well prepared and delicious. The staff were also friendly and attentive to us. Had a great time!
First time to Uya,Happened to pass by Uya one evening and was intrigued with the containers of eel. Made a reservation to try their signature eel set. The food was delicious and the service superb.
1st time dining in,This place sells great food. The amount of food is just the right portion. The staffs are friendly. The place is small and cozy.
Nice place,Would think it’s a good place to hangout in small group but very noisy for business lunch. Good food though
2nd time dining in,This place is great& charming!! Atmosphere is chill & cool. The food is awesome!! The amount of food is serve in right portion. The staffs are really friendly & knowledgeable. They know what they are doing & I can tell that making customers happy is their main priority.
Great Food. Great Choice.,Great food. Restaurant is small but cosy. Sashimi is fresh. The 3 ways of eating the unagi are interesting and unique.
One of the best unagi in Singapore,"One of thw best Unagi dinner in Singapore. Especially the Hitsumabushi, very special with condiments and special soup for the chazuke. Tasty unagi with crispy skin but tender and juicy meat."
Best unagi house in Singapore,Walked-in and was a pleasant surprise to find available tables on a busy Saturday dinner hour. The unagi bowls were excellent and freshly prepared. The best unagi rice bowl I ever had in Singapore.
Delicious food!,"My third visit to Uya and the quality of the food served is superb. Love their Hitsumbushi, grilled to the right amount of char, retaining the moisture of the meat."
Probably one of the best unagi in singapore,Good quality food. Delicious and reasonably priced. Prepare to queue if you do not have a reservation.
Dinner,Good ambiance with good food. Arigtou. The unagi is good as usual. Has a beef bowl which was great as well. Will definitely come back again.
Good,"Business lunch. Went well, not too noisy, maybe because lunch crowd not that many. Food came quickly"
Best Unagi ever!,I love that their Unagi is grilled so perfectly that it leaves a light crisp on the surface. This is what makes it special and apart from all the unagis I’ve tried since my first unagi bento on the Japan shinkansen. It’s a place that I’ll bring all my visitors who will be happy to eat grilled eel.
For Unagi Lovers,"I was looking for a restaurant with nice grilled unagi and found Uya on google. Indeed, the unagi is really good. Char grill to the right perfection and the sweetness of sauce is just nice; not overpowering the unagi. However, my husband doesn't like to eat fish and the other selections which included wagyu beef don and tempura are pretty normal. Nonetheless, it is worth a second visit for its unagi."
Superb Hitsumabushi,"Amazing eel, well seasoned and grilled. We given a private room for our lunch, which pleasantly surprised us all and for which we are thankful to the restaurant for."
Nice but service is lousy,"As the title says. Food was ok, quite decent but the service was pretty poor. We were tucked away at the side of the restaurant and appeared to have been overlooked. When our order arrived we had to ask for cutlery which they forgot to bring. Towards the end of our meal we were being rushed to leave even though there were other diners in the restaurant.Can do better guys...."
Beyond Sushi & Sashimi,Top quality and excellent service. Very traditional Japanese unagi cuisine- eel dishes. They have also the Traditional Sushi & Sashimi options. An opportunity to learn more abou Japanese cuisine.
Delicious unagi meap,Delicious unagi meal. Arrived around our reservation time. Table wss ready for us. Service was prompt. Very satisfied with the dinner. Hope to visit again soon
Service is prompt and friendly!,"The Sashimi Rice Bowl was fresh, and the rice was soft and full of flavor! The unagi Rice Bowl didn't not disappoint either. My friend and I really enjoyed our meal. It's great as a pitstop lunch or dinner. Service is prompt, friendly and very informative. Staff were always smiley."
Decent Unagi in SG,The Unagi was flavourful and decent. However found still feel the soft bones when biting into the Unagi..
Serendipity,"The salmon skin salad was exquisite. Crisp and light. We were not fans of unagi but they make it so well here that we’re now converts. Staff are very polite, friendly and attentive. My husband very softly wished me Happy Birthday with the sake we ordered (the sake 4th on the list was good too) and I think the young lady (Chris) who was serving us might have overheard because at the end of the meal she brought us a green tea ice cream with birthday candle on top and accompanied by an audio recording of the birthday song! It made our evening a memorable one."
Totally awesome!!!,You can taste the charcoal 'heat' from the grilled unagi. Totally can't get enough of it. Great place for couples and friends of 4 gathering. It was crowded during lunch so lucky we did our reservation.
Prepare to wait if you don’t make reservations!,"Actually the food was good and enjoyable. However , The front staff needs to be trained what to manage the customer’s expectations. We called on Saturday for lunch and told to walk in. We then went and told to leave our phone numbers. We were told there were 3 more people in front of us at 1247pm. We then came at 120pm and told us there still 3 in front of us and asked why they are many walked in. Then told they have reservations. We were upset that this should have told us earlier and we can decide not to wait. We waited all most 1 hour to have our scrumptious meal! The food was great and I love the unagi rice bowl eat in 3 ways. The grilled liver is so so , the oyster tempura was just ok ! The unagi is not cheap and ordered the medium size just enough . Overall food is good but need to improve the issues I raised earlier."
Smoky and Delicious Unagi,"I ordered a middle set Unagi at $35. It had an awesome smoky taste and smell. The Unagi was fresh and soft. Excellent unagi. There were no small bones. I prefer to eat it as it is - dry version. The staff also taught me to add the dashi stock into the rice and Unagi into a Hitsumabushi which is soup on rice and ingredient. I also enjoyed the salty sour green pickles. The hot sencha tea was nice. The large fried oyster coated in tempura flour and Shiso leaf was the bomb. The oysters tasted so rich and creamy, every bite burst with full creamy umami flavour. It came in a set of 3 and it cost $12. I will definitely order the oyster again. I feel that the Unagi at Uya is better than that at Man Man. Friendly and helpful service. They allowed us to cut our birthday cake and served us with small plates and spoons. They helped us to take nice photos too."
Theresa's Birthday,Excellent food. Very tasty Unagi! Shashimi bowl was fresh. Waitress helpful to bring cake and taking photos!
Good Times at uya,Good food n service excellent ....we like especially the private room for 8 pax. The crispy bone n fish skin salad loved by all of us.
Wonderful lunch,This is my second visit to have lunch. Do booking first as the restaurant is very famous and long queue of course.
Unagi lovers,"Hi! This is our 1st visit to Uya and definitely will be coming back again very soon. If you love Unagi, this is the place that you have to visit."
