topic,review
My Best Experience,"The staff which attended to me are very experienced. She's from Thailand and very polite and when i ask her to recommend us some food as we have 4 pax, she's able to recommend us very well.
Also, the food was delicious. Actually, i brought my Hong Kong friends there and was recommended by my daughter. I'm a Singaporean but expatriate working oversea in both Hong Kong and China."
Nice place for tourist friends or nicer family meal,"Quite decent Peranakan food (nothing beats grandma’s home cooking) and not too pricey. However, give the kitchen staff at least 20mins to prepare the dishes and order your desserts just before you finish your mains so you don’t wait too long. Wouldn’t recommend the place if you’re catching a flight. Staff are friendly but surprisingly busy when there were only 5 tables occupied when we went at 1.45pm. Understaffed? Not attentive enough? Can’t say for sure.

Not fine dining but pricier than your normal restaurants. I’ll go there to host friends or a nicer family dinner. Satay and prata was the highlight for me personally. The family enjoyed everything else as well."
excellent service,service is excellent and food is great.. celebrated my husband’s birthday and Violet Oon gave us a little surprise with cake and a souvenir photo. thank you! :)
Great food as always!,"Always love the food, the taste is consistent and good. Great to bring foreign family members or friends to try different cuisines"
"Food is good, but atmosphere is not like a fine dining","I was there for lunch time, the staff is strictly not allowing us to come until the dot at 12pm.
When we arrived, one of the glass is a bit dirty/oily, after request, the staff replaced it.
All food are good and tasty.
However atmosphere is like a market, i don't really feel the luxury/fine dining."
Local Flavours with a Touch of Class,Was wow'd by the size of the chicken satay! The peanut sauce could be a little spicier. The curry fish prata was excellent. Worth every cent... Including the ice cream!!
Expensive but good food and great service,"We dined at Jewel - family of 4 adults with an overseas relative in transit. Busy but Prompt service and attentive staff. Food was a bit ex but very good. Ambience was perfect. Good place for special occasions. Perfect for us as we could treat our overseas visitor to a local meal, at a nice place. And as she was catching another flight, the efficient service was much appreciated."
"Thoughtful Staff, Immaculate Service",I went to celebrate my aunt's 87th Birthday and she's very happy with the food and the service. We requested a table away from a group of children and the staff gladly seated us in a quiet corner. Ordering was a breeze and the food came quite fast. The Beef Rendang really does melts in your mouth. So tender. The Chicken Satay was amazing too. The Dry Laksa is good and so does the rest of the dishes. Even the plain chicken rice is so fragrant on it's own. The birthday cake and the photo was a very nice gesture to end a wonderful meal.
Super bad service!,Bad service! The waiter and waitress here are not welcoming. No one came to check on us or even refill our water. The food taste is so so and we had to find our waiter to pay the bill. Not recommend!
Excellent experience,"Mother’s birthday lunch! The staff were very attentive, friendly and accommodating especially since we had 2 young children. Kudos to everyone - so rare to find such great service these days. Food was delicious especially the rendang, curry fish and prata. We had a such a great time. Will be back!"
