topic,review
"Nice ambience, average food, tiny portions","Lovely ambience. Pity that the food was average, and the portions tiny and unsatisfying. For what it is, it's terribly over-priced. We ordered kroffles (over-rated) and the pork wrap (not bad but $27 was too much for such a small portion, I was disappointed). Unfortunately, I won't go back or recommend it. For that price, one could have a very decent and huge meal at a proper Korean restaurant."
Dinner on 28 Dec Wed night,"Fish & Chips was nice. I didnt want the potatoes chips and asked for mashed potatoes. The restaurant offered me sweet potatoes fries instead. And it was nice.

The truffle salmon angel hair salmon was nice. But the Korean style chicken had too much ketchup taste in it.

The seafood pancake is not nice. Lack of seafood and lack of taste and aroma too.

Hot mocha was nice and i had 2 cups."
Some hits and misses,Made a reservation but still had to wait a while before the table was ready. Had to wait a while for server to come over to take our orders too. Food was a mix of hits and misses. Wouldn’t recommend their kroffle.
Great hideaway with fresh food,"Lunch date with wife. The ambience is really well done.
Food selection is vast. I tried Luke’s salad and the salmon was cooked perfectly. My wife had another salad and portions are really good.
Drinks (Ginseng smoothie was good, Buttercream Latte - so-so hence the 4stars)"
Great food and fantastic ambience!,Really enjoyed the food and the drinks were equally good! Will definitely be back! The kimchi fries was very value for money. And the prawn pizza blown us off. Definitely worth a visit even if you are not in the area. 😊
Wonderful atmosphere but portions and ingredients are a bit misleading.,"Went here for a girls lunch. Food was great however we noticed the lunch portions of the meals on the menu come out significantly smaller than the dinner portions… But charge the exact same amount. We paid more to get less which did not make sense. Also, some of the photos on the menu did not reflect the ingredients that actually came with the dishes we had ordered. The atmosphere and quality of the food was good enough to make us want to go back again but we were just a little disappointed with the non-transparency of the above."
Disappointment,"Disappointed to learn their signature souffle is not available on weekends only after having main course before ordering that dessert which was our main purpose for visiting. They should have indicated it on mnenu so we could decide to visit on another day. Bulgogi pizza was not bad but meat was salty. Krofflers were unique and delicious though.

Service and"
Great Service,"It took me awhile before I located this restaurant. All that did not matter when I saw where I was going to dine. I love being surrounded by all that lush fauna. Ordering was simple. Scan a QR code to peruse the menu and press the buzzer to order.

Dinner was the Chicken Pizza and a Banana Shake. I was thankful that the kitchen could make the pizza without the spicy chicken meat as I would not have enjoyed it much if they could not. Dessert was their speciality, the Krouffles. My dinner companion chose the Honey Butter Krouffle with a scoop of ice cream on the side.

No issues about the food, and the service was wonderful, given they they were busy. The crowd was managed well."
Birthday dinner,"It’s quite peaceful and not very noisy.
But the food were average.
Fusion of Western & Korean.
No impression of any food we had to attract us coming back.
1 of the lettuce have soil, so not the sure the rest of the lettuce we had, were washed cleanly.
They did replace us with more and clean lettuce, so we need to be careful when eating."
"Terrible as the food took so long to come, and when it came it was not hot. also, there was a broken toothpick inside th","Terrible as the food took so long to come, and when it came it was not hot. also, there was a broken toothpick inside the chicken which cut my tongue a little. staff did not check on my well being but just went off . no apology and nothing."
Long wait and very average food,"Waited slightly more than 30mins, pressed the bell twice but no one attended. When I told them I have waited a long time, I was told they were very busy (even to respond to the bell). When I said I would like to cancel my order, miraculously they told me my food was actually ready. Indeed, I was served in a minute's time. The pasta was cold and salmon overcooked. It looked like my food was prepared but they left it in the kitchen and had forgotten to serve me and it turned cold. Just before serving, simply re-heat the salmon. Unforgettable indeed.... but still I'm generous enough to give 2 stars because of the lovely ambience."
Unprofessional service,Visited the cafe on 7 Oct. For 1-1 Kroffle stated on their official website. Staff claimed promotion ended in Sept. They will not honour the promo coz it's a gimmick. What a joke! Such a waste of time!
Poor service,Wanted to try out his cafe with excitement. We went there today and ordered our food. Waited for 45 mins and no food was served. The waitress went back to check and found out that the system did not take our order. Was utterly disappointed with the service!
Hangout with Friends,"Had a good time hanging out with friends at the cafe for dinner. Ordered the salmon pasta, the food is nice. Great ambience."
Feel Like Dining in the Garden!,"Nice ambience with a lot of green plants surrounding, like dining in the garden. However the food is just so so. Bulgogi beef panini is ok but Korean style fried chicken with yangnyeom sauce is disappointed as the chicken is overly fried, hence it is dry inside and hard outside."
Beautiful place to dine and relax.,"Love the place, you feel like in a garden but air conditioned. The menu has variety and food and drinks we had was also very good. The staffs was friendly and very helpful to recommend us food choices."
Service was okay...,"Went there cuz my mum was curious and wanted to try it for her birthday but disappointed with service, aircon was leaking and yes it’s the mall’s fault but they kept faulting the mall and not fixing the problem by either moving us to another table or something... they mentioned it was reserved but until we checked out, the table was empty while we just had our meal with an annoying dripping aircon... the food was tasteless except the fries and the aglio olio pasta. The drinks were superb though, if you would like to go there maybe go for some drinks and dessert instead of a meal !"
👍,"Went there to celebrate my friend's birthday. Excellent service and excellent food, will definitely be back the 3rd time 😁"
Nice little oasis in the city,Ambience was lovely and staff were friendly though service language could be further improved. The only down side was a little over pricely for the food quantity and quality.
1st visit,The experience was good and the ambience is very cozy and friendly. Staff are accommodating and very pleasant too.
Unique Atmosphere,The place atmosphere is very unique unlike any cafes. The staff are very friendly. The foods are awesome and I love the Green Tea Latte. I did even tried on Butter Scotch Latte and it's really nice!
Recommended,"A welcoming ambience, nice food & coffee. We have tried the crab & kimchi pancake, king prawn truffle with angel hair pasta, and mocha. Both are highly recommended!"
Nice place and delicious dessert!,We went there for dessert and is superb! We dessert portion is generous and the ingredient is fresh. We plan to go back to try their lunch. Highly recommend.
The places is ok only too noises for it and the sitting area is too close,Hope next time I come again will be better and the foods can do it more variety. The noises will be less the service is quite good
Wonderful place,Like the place. Have quiet corners/ bigger cube area for family or bigger groups. Like the flora that act as partition.
Great Food and Amazing Service,"Located in the Heart of Orchard is this Korean salon and Cafe. They offer all day breakfast, lunch, dinner menu.. got lots of variety to choose from and it’s really worth the value of your money. They have lovely staffs that provides amazing customer service. And lastly the nature ambiance is one of a kind. It’s Instagram-worthy!!!"
