topic,review
Dim sum delicious at wan hao,Tried the dim sum and dessert. The mao shan durian dessert was marvelous! Service is acceptable but not exceptional. Chrysanthemum tea lacklustre though as it tastes bland
Very good quality food with generous servings,"Me and my partner enjoyed our dinner here last month and decided to bring our parents and children there. Was pleasantly surprised how private the place is despite the fri night crowd! Instead of a big hall, the place was divided into smaller halls and it actually made the ambience very private and personal.

Food was really delicious and we would strongly recommend the following - sweet & sour pork, beef cubes, scallop with asparagus, dou miao with shrimp, baked alaska dessert. Peking duck was surprisingly plain so will skip this next time. We had another tofu dish but not so memorable.

Staff had a hard time copping though. Lack of manpower. They were really stretched but still maintained their smiles. Very impressed but if the management is reading this - pls support them with more help on fri nights.

Definitely strongly recommend! It is now one of my favourite restaurants to go!"
Delicious food with generous servings,"Ordered some really nice food that was cooked well - highly recommended
- baked cod fish with egg white (great contrasting texture with the crispy outer layer for cod fish with the soft interior and egg white) ; beef cubes with mushroom (not over cooked, very generous serving of beef); brandy baked alaska ice cream (really really nice). Scallop (with asparagus) was a bit overcooked but the asparagus were sweet and well cooked.

Was excited at the variety of chinese tea menu but was not very impressed with what I ordered - not sure if its because I ordered the wrong tea or very few people order (they took sometime to find the menu) - the tea was taste like plain green tea and not as fragrant as I expected it to be.

Portions are too big for 2 - could have easily fed 3 to 4 people. We were so full!

But would definitely visit again - there are so many things on the menu that I would still like to try!"
Great food,One unique thing I noticed about this restaurant is that they have nice tucked in booths if you want some privacy. Service and food were excellent.
Very poor service,Food was excellent. Service was astonishingly poor and then to top it all they still charge a service fee
Fantastic bento and Dimsum,"During Phase 2 Heightened Alert, I had done takeaways and food was fantastic. When dining-in resumed, I came for Dimsum lunch, and was very satisfied with the food freshness, and service. Will definitely return."
Typical of Chinese Restaurants,"We waited just a short while at the entrance of the restaurant before we were shown to what seemed like two private rooms, with the partition retracted to accommodate 6 tables. Safe distancing played a major part in how the tables were spaced out, which was perfect.

No e-menus here as food orders were taken down the conventional way. For my dinner companion and I, dinner was the Wan Hao Signature Crispy Chicken, Stir-Fried Broccoli with Oyster Sauce and Braised Vegetarian Chicken and Beancurd. We ate these with rice and washed them down with Chinese Tea. The dishes were brought to our table nicely presented in glistening white plates that brought out their colours.

The service rendered was befitting of Chinese restaurants. Not that the service was bad, just not exceptional."
Great,"Mainly ordered dim sum and the chicken fillet in chinese wine. Dim sum overall was great. The standard har gau, siew mai and char siew bao were well done. The chicken dish was good but also disappointing due to the lack of chinese wine coming through."
Furniture needs to be checked,"Went to have dinner with friends in group of 3.
Noticed there were a few defective dining chairs around the restaurant towards the end of our dinner.
We are rather worried about the safety of other guests that might be seated on these broken unknowingly.

The restaurant should be more attentive to such details that might lead to potential hazard caused the diners."
Good food but lacking in ambience,Enjoyed half portion of peking duck which was just nice for two. Dessert was good (chilled coconut pudding with purple glutinous rice puree). Four stars because service staff were lacking. Had to be on a hard lookout to get their attention.
food's good. service can be better with more staff.,"visited them last year with my wife. Food is good but service could be better. Stood at the door for a long while (with many crew members walking past us). we tried to get their attention but they seemed to be very busy and understaffed.

after we ate, we were left waiting to pay the bill. I walked to the kitchen dorr to get help after waiting for about 15-20mins and it was settled quite quickly thereafter."
Food is good and tasty! However,Food is good and tasty! However services is rather poor. Maybe not enough man power! Hope services can be improved and be more attentive to customer!
A very exquisite Chinese restaurant.,"A very exquisite Chinese restaurant. So far, I will give this food 80%, consider very high. As their price is not cheap either. Will be back again."
dry roast chicken and salty dishes from ala carte menu,"the ala carte item we ordered from the menu was not surely worth the price we paid as roast chicken was way too dry and most dishes are too salty
As it was a weekday afternoon and not especially crowded, was surprised that the standard of the food here is not up to the standard"
