topic,review
Noodles and drinks!,"I frequent this place because the owners here are cool (you have you look for Benson for his easy laughs and chatter). You gotta try the basic noodles, and order the side dishes!"
Wantan Seng express at Guocoland,"The ingredients and presentation are more “ high end” looking than the ones at hawker centres. Quality of char siew, mushroom and wantans is good . Worth paying a little more. Starting price from sgd5.80."
For the ultimate pig 🐷 lover,"Amazing quick quality service, exceptional value for money! Super yummy 😋 piggy 🐷 dishes. Our food was so good our table was bare! 😄"
Delicious wanton noodles and tapas,"Their wanton noodles were delicious and not too oily. Great atmosphere if you want some clean, local Singaporean food!"
GREAT FOOD,"I went to try the wonton noodles here and had a very pleasant time. The food was extremely good, it wasn’t too oily or fatty which made it very enjoyable. The atmosphere and service was great. I would certainly recommend."
Wanton,The food was not bad but a little pricey for the portions given. The chrysanthemum vodka was the best!
So good you cannot miss !,"Got a table at this funky little noodle bar for a friends gathering and it blew our mind! Noodle texture and bite is fantastic, char Siew is sinfully awesome and each and every dish we tried is a unique, funky and modern take on good old traditional local food that absolutely delivers. You have to try it for yourself! Staff were friendly and it does get really busy during peak hours and get there early to snag a table!"
Layover feast,Just having a few hours in Singapore we decided to stop by the little noodle bar. Really pleased we did. Delicious food and friendly staff it was the perfect stop for us to enjoy a respite between flights
The best wanton and budget friendly in SG,"We ordered egg and rice noodles, roasted pork, kimchi, wanton and we LOVE it. The soup was so tasty you can drink a lot if it. Service was good and ambience and resto is clean. Super recommended and delicious food"
Oodles of noodles,"A filling and hearty local option if you're in the area. Each noodle bowl comes with a good amount of noodles and ingredients, a soup flask on each table, and lots of condiments. It was a bit warm in the restaurant so not super comfortable when eating hot noodles and drinking hot soup, but worth it! Make sure to head down early to snag a table, as it can get crowded during lunch."
I have to leave a review each time I visit!,"Cool place, cool staff - I probably say the same thing everytime. But here's the catch this time they've got a new menu (more towards the platter side of bites, value for money) but it's still made with love!!!"
Not what we expected,"We saw this restaurant featured on Delicious Destinations so thought we'd try it while we were in Singapore. The food was good enough, but not memorable. The service was definitely lacking. It was like they couldn't care any less whether we ate there or not. We might have had a second drink or ordered more food had anyone ever asked or even looked our way.."
Hawker-fast AND delicious!!,"Great meal and every dish was expertly executed! We loved the char siew, kai lan, fried wantons (the chicken wings were a wee bit ordinary next to all the outstanding dishes!) and of course The Noodles, which were delightfully springy and super tasty ... exactly how they used to taste back in the good ole lardy days. The help-yourself crispy lard bowl is genius. Even though it's packed, you feel like you're in a modern izakaya in Tokyo, taking in the great vibe, music and attentive service."
"Cool vibe, great menu idea","I also enjoy myself when at Wanton! I love the bar vibe (and small seating capacity), the staff is always no-nonsense. The menu is also a great idea (to order a bowl of noodles and you pick all your meaty, veggie, dumpling sides). Good intro to the wanton noodle for SG newbies or tourists - deconstructed wanton noodle dish!
My last trip was made better with Jeff’s playlist and kindness of the only waiter in the place (you know who you are and what you did)!!! every trip at Wanton Sengs get better every time!"
Fun dining experience,"Family friendly, attentive staff, great music and a really good atmosphere. BTW - the food was also delicious!"
Singapore Hipster at its best!,"We had the noodles, soups and plenty of sides and it was awesome!! Great atmosphere, great cocktails and great food. More pricey but well worth it. The pork belly was amazing and the noodles and broth were out of this world!!"
Flavorful dishes,I've been waiting to visit since I saw this place on TV in the US. Was the first one there so I could avoid the lunch crowd. Tried the combination char sure and roast pork noodles. Was quite flavorful and worth the visit. Will try something else when I return.
Good fusion food,"Went there for dinner and drinks! Dishes are served in slight more than bite size, if u fancy drinks with local bite size food then this is the place for you!"
Too Oily,"Got the combination bowl with char siew and roasted pork. They had a special chilli sauce on the table, with another container with fried pork lard.
At first glance, it seems the wildest dream come true with free flow pork lard and special chilli sauce... but it ended real soon when you add everything into the bowl, it became too oily.

I took a look at my friend's bowl with lesser chilli, but it didnt look anywhere better.

We couldnt finish the noodle. I dont understand the hype and the queue, but the Dumpling darlings few stores down, is way better.

This is a shop with the burpple one for one as well, but i will not return. There are much better way to spend your money, and the Amoy food centre has much better REAL wanton noodles which can really satisfy your cravings."
Delicious small plates...,"Had a couple of meals here over my week in Singapore and both times the food was excellent. Really delicious char siu and green veg, the fried wanton dumplings were great as were the crispy chicken wings.

The menu is small but perfectly formed and this is a great place to grab some dinner before, after or during your night out of drinking in the area. Definitely recommended!"
Good Find,Went to try this restaurant after reading the reviews and it didn’t disappoint. Great value. Two mains and two sides alongside the noodle bowl that comes with the meal is a plentiful amount of food for two. Will eat there again next visit to Singapore.
Still great.,"Visited Wanton with my SO as we were in the vicinity. Having visited the restaurant many times now, it was great to realise that the standards haven't dropped at all. The open kitchen concept has a casual vibe while still retaining some seriousness at the same time. Sitting along the bar table allows you to look into the inner workings of the kitchen and watch your food being prepared.

We started with some cocktails namely, JuHua and the other drink that my SO ordered that was made with Pandan infused vodka or smth, my drink was tasty AF and so was the drink ordered by my SO.

Foodwise, between the two of us we shared the Kailan, XO Wanton and the Crispy pork belly. Nothing to criticize here except that all dishes were great. The $1 wanton noodle is actually q brilliant if you think about it, allowing the customer to control how much noodles they want to eat prevents over-ordering.

Not to mention the service staff, who were friendly and welcoming. Definitely will come back again!!!!"
Good value quick lunch,Short rib neef noodles were great as were the wanton. Buzzy atmosphere at lunchtime but be prepared to queue.
Hipster wanton noodles Lunch,They always have long queue. So we decided to try. Verdict: Pork belly char siew is nice. Roast pork and wanton is mediocre. Noodles is terrible. Over cook and soggy. Quite disappointing.
Superb!,"Was there with my partner on NY eve, truffle-filled chicken wings were the best bit, followed by szechuan wantons and of course, outstanding noodles! Get there or be square!"
👍👍👍👍,Amazing and best wanton dish .... u can never stop in 1 visit trust me ...more variety too for u go long with the wanton
Mediocre,Had high expectations as I ordered this via the Meal Pal app. But I was quite disappointed in the taste. The noodles were really bland - not even abit salty. The roast pork & char siew was dry. The bowl was too small to even stir or eat properly.
Nice Twist To A Familiar Taste,A local delight fuse with a western bar concept twist. Noodles were springy and broth was flavourful. A tad disappointed with the roast pork and cha siew which could’ve been more flavourful and packed with juiciness.
Great meats,"The char siew and roast pork belly were really delicious. Love the casual atmosphere and friendly service too. We had 1-for-1 happy hour drinks, which turned out really diluted though."
One of my favorites,"I'm always a little embarrassed to admit I love these hipster wanton noodles more than any other wanton noodles (when everyone seems to have their particular hawker centre favourite) but I do! I think they are delicious, and every side dish they serve for lunch or dinner is top notch, too. Highly recommended."
Fantastic Food and Atmosphere,"We had a great meal here. The food was excellent, tasty and served quickly with little wait time. The drinks were also good. For lovers of pork, this is the place for you."
Cozy little restaurant with well thought out dishes,"Visited Wanton for the third time and I'm really pleased to find that the standards have maintained consistent.

We really enjoyed the open kitchen concept and seeing how the food is being cooked in real time was really amazing.

All the dishes were well cooked and the pork belly stood out the most. Service was really prompt and all our needs were addressed."
Good food! Value for money,"Good food, especially the Kai Lan dish. Very reasonable prices. Unfortunately we only got bar seats even with a reservation so that wasn’t too comfortable."
Char Siu Noodles for Lunch - Andrew Zimmern reviewed,"Went to Wanton for lunch after seeing it on Andrew Zimmerns show.
For $12.50 SD , we had the Char Siu Noodles kicked up with 3 Fried dumplings , soft boiled egg, and a Drink.
It is just a smal place with maybe 5 tables with sharing and a bar for maybe 20 more.
Food is flavorful and good portions.
The bowl came out with ramen, wontons, char siu -yummy!, and egg. A pitcher of miso soup is nearby to add to the bowl or take in a soup bowl separate, condiments of soy sauces, peppers and chili sauce.
Favors are very good.
Ambience is shabby and quirky. Nice combination.
Place is busy and crowded."
