topic,review
Nice Italian authentic Italian food in Singapore ShangriLa hotel,"This restaurant had a nice environment and had good service. I love the way they present hospitality to customers very thankful to Theesyen , Olivia , loges and chef Simone for taking care of us. Definitely will come back again"
Super nice evening by the pool,"Very nice service, got table outside, by The pool. Staff is so nice, thanks to Julius, Ravikumar and Tobias. Enjoy with friends before heading for the airport."
Tremendous night,"It’s a 5/5 for Waterfall restaurant at the Shanghai La Singapore.
We celebrated our wedding anniversary at this excellent spot.
Our waiter Julius /Dinesh and Loges really took care of us and made our night a special one to remember.
Great job guys and thank you.
Caleb and Kelly McGuire"
I love this waterfall restaurant!,"I got a beautiful moment with waterfall team. There are wonderful view, food and staff.
Every staff in waterfall make my family satisfied with the dinner. Especially Andreano and Dinesh. Their hospitality was very professional and touched. Also Gwen, Theesyen, Kumar, Loges, Tharu make our dinner perfect with warm service.

Then I really want to say thank you to Chef Simone, Leslie, Terry, Jeffery and Kelvin chong for nice food.

Highly recommend this Italian restaurant!!
Thank you guys :)"
Dinner,"The food was amazing!! The staff very welcoming. Nesh is the best!! He was very kind, super helpful, and enthusiastic to share his recommendations."
Authentic Italian taste at reasonable prices,"I happened to eat at Waterfall many times. I am Italian, live in Italy and my kids are very Italian-taste oriented. It is difficult to find places like Waterfall.

Personnel is great, food is authentic Italian (specifically, from southern Italy - Puglia), most of the key ingredients are imported directly from Italy and Chef Simone and his team (Gwen, Julius and Ravi Kumar among others) are always on the spot to help and support.

Lastly, beside the great location and the friendly-business casual setting, it is worth noting that pricing is kept at reasonable levels for Singaporean standards.

Well done!"
Superb service,"Aside from excellent food and ambiance, Jodie, Tobias, and Nesh exceeded my expectations. They assisted me and my kids well. I love when the staff is friendly and easy to talk to. Appreciate the birthday cake."
Love the pool atmosphere,"I live near by so i often come here and spend time with my daughter Especially i love the atmosphere of calm and restfulness at pool side, And staff (Sasi Navin Ravi Jay) are so friendly and attentive! Highly recommend 👍"
Good Italian food with a wonderful waiter called Nesh,"Fine Italian food in a nice atmosphere. But what made all the difference is the waiter Nesh. Fantastic how he makes you feel special . He is quick, see when he is needed. For me that made the difference"
Birthday dinner,Dinesh has been very attentive throughout. Dinner was great and so was the wine. Food was good and the ambience is great
Bday Dinner,"Had an excellent dinner experience for my friend’s bday celebration at The Waterfall Restaurant in Shangrila. Service is amazing,everyone’s very attentive..Julius gave us the perfect example of a good service,very friendly,accommodating and approachable..Chef Simone is around to check in every diner’s table which make us more comfortable. Food was great,serving is quite good for sharing..Beef tenderloin is so perfect as we ask for medium which is I love it…Bolognese has a generous amount and oh their mortella pizza is the best,I love the crispy crust..The complimentary cake is really nice too though we didn’t finish as we’re so full. Will definitely recommend and go back again. Thank you for this wonderful experience.♥️"
Wonderful service at the pool bar!,"Visited as a family for a short stay en route home to Perth and received the most attentive and wonderful service from Sasi, Navin, Ravi and Jay at the pool bar. Kids were in their element enjoying complementary ice creams and the team went out of their way to accommodate their requests for more frozen umbrella grapes. Really made for a relaxing and fun day for all of us, couldn’t recommend them more highly."
"Wonderful food, ambience and staff",We were there for my wife’s birthday and the food and ambience was great! The server were exceptionally good too! Attentive and even provided a complimentary cake! Thimbs Up!!
Amazing Service & Experience,"Thank you for your kind and great service given by Sasi’, Ravi kumar, navin.

Absolutely amazing experience"
Great family hotel,Fabulous family hotel! The staff at the hotel and pool bar were especially wonderful. Thank you for making our stay in Singapore such a lovely one!
5/5 stars for service & skills,"I’ve been in Singapore for a few weeks and I haven’t been happy with the standards of the drinks.

Sasi, Navin, Jay & Kumar were excellent. I felt like I finally found a place where they made drinks on par with Western standards.

Highly encourage you to try the passion fruit mojito while you’re there- it’s perfection."
Great dining experience,"Went here with my friends. A great experience. The crab meat pasta is amazing. Love the prosciutto pizza as well. But the best thing of the food is the dessert. Loved the tiramisu and panna cotta so much that we had to order a second serving.

Our waiters, Thessyen, Julius and Nesh, were great as well. Attention to details are fantastic.

Would definitely love to come back again."
Excellent Dinner at the Waterfall,"We had a wonderful & memorable time at the Waterfall. Special thanks to Theesyen, Julius and Nesh for their meticulous, friendly, helpful, attentive and efficient service"
Will definitely return .,"Excellent service , great food and ambience. Gwendolyn was exceptional in her attentive service ; paying attention to details"
